,,,,ScenarioKey,ScenarioTotal,PartyTotal,Share,Total
,,,,ALP|GRN → ALP,#VALUE!,0.6518577153,#VALUE!,#VALUE!
,,,,ALP|GRN → ALP,#VALUE!,0.7592602785,#VALUE!,
,,,,ALP|GRN → ALP,#VALUE!,0.6438688439,#VALUE!,#VALUE!
,,,,ALP|GRN → ALP,#VALUE!,0.7330873309,#VALUE!,
,,,,ALP|GRN → ALP,#VALUE!,0.7193658955,#VALUE!,#VALUE!
,,,,ALP|GRN → ALP,#VALUE!,0.7283712382,#VALUE!,
,,,,ALP|GRN → ALP,#VALUE!,0.7928158798,#VALUE!,
,,,,ALP|GRN → ALP,#VALUE!,0.6914979757,#VALUE!,#VALUE!
,,,,ALP|GRN → ALP,#VALUE!,0.7946651033,#VALUE!,
,,,,ALP|GRN → GRN,#VALUE!,0.2407397215,#VALUE!,
,,,,ALP|GRN → GRN,#VALUE!,0.2071841202,#VALUE!,#VALUE!
,,,,ALP|GRN → GRN,#VALUE!,0.2669126691,#VALUE!,
,,,,ALP|GRN → GRN,#VALUE!,0.2806341045,#VALUE!,#VALUE!
,,,,ALP|GRN → GRN,#VALUE!,0.2716287618,#VALUE!,
,,,,ALP|GRN → GRN,#VALUE!,0.2053348967,#VALUE!,#VALUE!
,,,,ALP|GRN → GRN,#VALUE!,0.3481422847,#VALUE!,
,,,,ALP|GRN → GRN,#VALUE!,0.3561311561,#VALUE!,
,,,,ALP|GRN → GRN,#VALUE!,0.3085020243,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → ALP,#VALUE!,0.06857142857,#VALUE!,
,,,,ALP|GRN|IND|LNP → ALP,#VALUE!,0.07028753994,#VALUE!,
,,,,ALP|GRN|IND|LNP → ALP,#VALUE!,0.07632348165,#VALUE!,
,,,,ALP|GRN|IND|LNP → ALP,#VALUE!,0.06866245537,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → ALP,#VALUE!,0.0716003206,#VALUE!,
,,,,ALP|GRN|IND|LNP → ALP,#VALUE!,0.06994279771,#VALUE!,
,,,,ALP|GRN|IND|LNP → ALP,#VALUE!,0.07617695765,#VALUE!,
,,,,ALP|GRN|IND|LNP → ALP,#VALUE!,0.05914840549,#VALUE!,
,,,,ALP|GRN|IND|LNP → ALP,#VALUE!,0.06276536829,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → ALP,#VALUE!,0.09460423104,#VALUE!,
,,,,ALP|GRN|IND|LNP → ALP,#VALUE!,0.1673387097,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → ALP,#VALUE!,0.1651376147,#VALUE!,
,,,,ALP|GRN|IND|LNP → ALP,#VALUE!,0.08420528151,#VALUE!,
,,,,ALP|GRN|IND|LNP → ALP,#VALUE!,0.08800806181,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → ALP,#VALUE!,0.2076981707,#VALUE!,
,,,,ALP|GRN|IND|LNP → ALP,#VALUE!,0.08449424591,#VALUE!,
,,,,ALP|GRN|IND|LNP → ALP,#VALUE!,0.08884235716,#VALUE!,
,,,,ALP|GRN|IND|LNP → ALP,#VALUE!,0.110989011,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → ALP,#VALUE!,0.1195389478,#VALUE!,
,,,,ALP|GRN|IND|LNP → ALP,#VALUE!,0.1035235423,#VALUE!,
,,,,ALP|GRN|IND|LNP → ALP,#VALUE!,0.1462686567,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → ALP,#VALUE!,0.07343617921,#VALUE!,
,,,,ALP|GRN|IND|LNP → ALP,#VALUE!,0.09356096249,#VALUE!,
,,,,ALP|GRN|IND|LNP → ALP,#VALUE!,0.09228048273,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → ALP,#VALUE!,0.1061778226,#VALUE!,
,,,,ALP|GRN|IND|LNP → ALP,#VALUE!,0.2179061072,#VALUE!,
,,,,ALP|GRN|IND|LNP → ALP,#VALUE!,0.1487593633,#VALUE!,
,,,,ALP|GRN|IND|LNP → ALP,#VALUE!,0.2179677677,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → ALP,#VALUE!,0.1842133679,#VALUE!,
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.05144817073,#VALUE!,
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.06637362637,#VALUE!,
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.05857445307,#VALUE!,
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.03884503531,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.06398181228,#VALUE!,
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.05148205928,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.07987220447,#VALUE!,
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.055383884,#VALUE!,
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.06619060698,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.05772415425,#VALUE!,
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.0705316591,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.05000929541,#VALUE!,
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.05445818719,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.05643265032,#VALUE!,
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.0641025641,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.04839360129,#VALUE!,
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.0829424307,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.06027520191,#VALUE!,
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.06935190793,#VALUE!,
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.09234346454,#VALUE!,
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.06637515417,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.2447580645,#VALUE!,
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.07619382022,#VALUE!,
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.07840236686,#VALUE!,
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.1283130652,#VALUE!,
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.1526812756,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.1073657928,#VALUE!,
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.1226425877,#VALUE!,
,,,,ALP|GRN|IND|LNP → GRN,#VALUE!,0.2622826909,#VALUE!,#VALUE!
,,,,ALP|GRN|IND|LNP → IND,#VALUE!,0.1397802198,#VALUE!,
,,,,ALP|GRN|IND|LNP → IND,#VALUE!,0.1782037629,#VALUE!,
,,,,ALP|GRN|IND|LNP → IND,#VALUE!,0.1746772865,#VALUE!,
