Seat,Eliminated,AliveSet,Recipient,Votes,Share, 
Wentworth*,ALP,IND|LNP,LNP,2962.0,0.1534556004559113, 
Wentworth*,ALP,IND|LNP,IND,16340.0,0.8465443995440887,
Wentworth*,GRN,ALP|IND|LNP,ALP,4200.0,0.3546099290780142,
Wentworth*,GRN,ALP|IND|LNP,LNP,752.0,0.06349206349206349,
Wentworth*,GRN,ALP|IND|LNP,IND,6892.0,0.5818980074299224,
Wentworth*,ON,ALP|GRN|IND|LNP,ALP,198.0,0.07028753993610223,
Wentworth*,ON,ALP|GRN|IND|LNP,LNP,1892.0,0.6716364927227547,
Wentworth*,ON,ALP|GRN|IND|LNP,GRN,225.0,0.07987220447284345,
Wentworth*,ON,ALP|GRN|IND|LNP,IND,502.0,0.17820376286829961,
Wentworth*,OTH,ALP|GRN|IND|LNP|ON,ALP,125.0,0.09279881217520415,
Wentworth*,OTH,ALP|GRN|IND|LNP|ON,LNP,241.0,0.1789161098737936,
Wentworth*,OTH,ALP|GRN|IND|LNP|ON,GRN,378.0,0.2806236080178174,
Wentworth*,OTH,ALP|GRN|IND|LNP|ON,ON,192.0,0.14253897550111358,
Wentworth*,OTH,ALP|GRN|IND|LNP|ON,IND,411.0,0.3051224944320713,
Sydney,LNP,ALP|GRN,ALP,15853.0,0.7283712382265104,
Sydney,LNP,ALP|GRN,GRN,5912.0,0.27162876177348955,
Sydney,ON,ALP|GRN|LNP,ALP,591.0,0.15251612903225806,
Sydney,ON,ALP|GRN|LNP,LNP,2745.0,0.7083870967741935,
Sydney,ON,ALP|GRN|LNP,GRN,539.0,0.13909677419354838,
Sydney,OTH,ALP|GRN|LNP|ON,ALP,492.0,0.20707070707070707,
Sydney,OTH,ALP|GRN|LNP|ON,LNP,160.0,0.06734006734006734,
Sydney,OTH,ALP|GRN|LNP|ON,GRN,1547.0,0.6510942760942761,
Sydney,OTH,ALP|GRN|LNP|ON,ON,177.0,0.07449494949494949,
Kingsford Smith,GRN,ALP|LNP,ALP,13595.0,0.8709160794362588,
Kingsford Smith,GRN,ALP|LNP,LNP,2015.0,0.12908392056374118,
Kingsford Smith,ON,ALP|GRN|LNP,ALP,1654.0,0.256832298136646,
Kingsford Smith,ON,ALP|GRN|LNP,LNP,3964.0,0.615527950310559,
Kingsford Smith,ON,ALP|GRN|LNP,GRN,822.0,0.12763975155279503,
Kingsford Smith,IND,ALP|GRN|LNP|ON,ALP,1009.0,0.28366601068315994,
Kingsford Smith,IND,ALP|GRN|LNP|ON,LNP,625.0,0.17570986786617937,
Kingsford Smith,IND,ALP|GRN|LNP|ON,GRN,1348.0,0.37897104301377565,
Kingsford Smith,IND,ALP|GRN|LNP|ON,ON,575.0,0.161653078436885,
Bennelong,GRN,ALP|LNP,ALP,13434.0,0.8772365156066344,
Bennelong,GRN,ALP|LNP,LNP,1880.0,0.12276348439336555,
Bennelong,ON,ALP|GRN|LNP,ALP,636.0,0.13506052240390742,
Bennelong,ON,ALP|GRN|LNP,LNP,3080.0,0.6540666808239541,
Bennelong,ON,ALP|GRN|LNP,GRN,993.0,0.21087279677213847,
Bennelong,OTH,ALP|GRN|LNP|ON,ALP,1205.0,0.19963552021206096,
Bennelong,OTH,ALP|GRN|LNP|ON,LNP,1266.0,0.20974155069582506,
Bennelong,OTH,ALP|GRN|LNP|ON,GRN,1390.0,0.23028495692511597,
Bennelong,OTH,ALP|GRN|LNP|ON,ON,2175.0,0.36033797216699803,
Bradfield*,ALP,IND|LNP,LNP,9330.0,0.3227926930528647,
Bradfield*,ALP,IND|LNP,IND,19574.0,0.6772073069471354,
Bradfield*,GRN,ALP|IND|LNP,ALP,3980.0,0.46295219262533444,
Bradfield*,GRN,ALP|IND|LNP,LNP,589.0,0.06851227172269396,
Bradfield*,GRN,ALP|IND|LNP,IND,4028.0,0.4685355356519716,
Bradfield*,ON,ALP|GRN|IND|LNP|OTH,ALP,158.0,0.06183953033268102,
Bradfield*,ON,ALP|GRN|IND|LNP|OTH,LNP,1532.0,0.5996086105675147,
Bradfield*,ON,ALP|GRN|IND|LNP|OTH,GRN,109.0,0.0426614481409002,
Bradfield*,ON,ALP|GRN|IND|LNP|OTH,IND,303.0,0.11859099804305284,
Bradfield*,ON,ALP|GRN|IND|LNP|OTH,OTH,453.0,0.17729941291585127,
Bradfield*,OTH,ALP|GRN|IND|LNP|ON,ALP,1998.0,0.2613131048914465,
Bradfield*,OTH,ALP|GRN|IND|LNP|ON,LNP,1961.0,0.2564739733193827,
Bradfield*,OTH,ALP|GRN|IND|LNP|ON,GRN,937.0,0.1225477373790217,
Bradfield*,OTH,ALP|GRN|IND|LNP|ON,ON,850.0,0.11116923881768245,
Bradfield*,OTH,ALP|GRN|IND|LNP|ON,IND,1900.0,0.24849594559246665,
Warringah*,ALP,IND|LNP,LNP,3799.0,0.18495618305744888,
Warringah*,ALP,IND|LNP,IND,16741.0,0.8150438169425511,
Warringah*,GRN,ALP|IND|LNP,ALP,3163.0,0.3004369300911854,
Warringah*,GRN,ALP|IND|LNP,LNP,787.0,0.07475303951367782,
Warringah*,GRN,ALP|IND|LNP,IND,6578.0,0.6248100303951368,
Warringah*,ON,ALP|GRN|IND|LNP,ALP,250.0,0.068662455369404,
Warringah*,ON,ALP|GRN|IND|LNP,LNP,2514.0,0.6904696511947267,
Warringah*,ON,ALP|GRN|IND|LNP,GRN,241.0,0.06619060697610546,
Warringah*,ON,ALP|GRN|IND|LNP,IND,636.0,0.1746772864597638,
Warringah*,OTH,ALP|GRN|IND|LNP|ON,ALP,389.0,0.09506353861192571,
Warringah*,OTH,ALP|GRN|IND|LNP|ON,LNP,1031.0,0.2519550342130987,
Warringah*,OTH,ALP|GRN|IND|LNP|ON,GRN,236.0,0.05767350928641251,
Warringah*,OTH,ALP|GRN|IND|LNP|ON,ON,1663.0,0.40640273704789837,
Warringah*,OTH,ALP|GRN|IND|LNP|ON,IND,773.0,0.1889051808406647,
Banks,GRN,ALP|LNP,ALP,13380.0,0.85632,
Banks,GRN,ALP|LNP,LNP,2245.0,0.14368,
Banks,ON,ALP|GRN|LNP,ALP,1122.0,0.14044310927525347,
Banks,ON,ALP|GRN|LNP,LNP,4554.0,0.5700337964701464,
Banks,ON,ALP|GRN|LNP,GRN,2313.0,0.2895230942546001,
Banks,IND,ALP|GRN|LNP|ON|OTH,ALP,484.0,0.23036649214659685,
Banks,IND,ALP|GRN|LNP|ON|OTH,LNP,358.0,0.1703950499762018,
Banks,IND,ALP|GRN|LNP|ON|OTH,GRN,698.0,0.3322227510709186,
Banks,IND,ALP|GRN|LNP|ON|OTH,ON,175.0,0.08329366968110423,
Banks,IND,ALP|GRN|LNP|ON|OTH,OTH,386.0,0.18372203712517848,
Banks,OTH,ALP|GRN|LNP|ON,ALP,805.0,0.1137648388920294,
Banks,OTH,ALP|GRN|LNP|ON,LNP,1265.0,0.17877331825890333,
Banks,OTH,ALP|GRN|LNP|ON,GRN,858.0,0.12125494629734314,
Banks,OTH,ALP|GRN|LNP|ON,ON,4148.0,0.5862068965517241,
Cook,GRN,ALP|LNP,ALP,10259.0,0.8167343364381817,
Cook,GRN,ALP|LNP,LNP,2302.0,0.18326566356181834,
Cook,ON,ALP|GRN|LNP,ALP,946.0,0.12640299305184394,
Cook,ON,ALP|GRN|LNP,LNP,5256.0,0.7022982362373063,
Cook,ON,ALP|GRN|LNP,GRN,1282.0,0.1712987707108498,
Cook,OTH,ALP|GRN|LNP|ON,ALP,851.0,0.1304414469650521,
Cook,OTH,ALP|GRN|LNP|ON,LNP,2155.0,0.3303188228080932,
Cook,OTH,ALP|GRN|LNP|ON,GRN,704.0,0.1079092581238504,
Cook,OTH,ALP|GRN|LNP|ON,ON,2814.0,0.4313304721030043,
Barton,GRN,ALP|LNP,ALP,15134.0,0.8329113924050633,
Barton,GRN,ALP|LNP,LNP,3036.0,0.1670886075949367,
Barton,ON,ALP|GRN|LNP,ALP,2752.0,0.2889542209155817,
Barton,ON,ALP|GRN|LNP,LNP,5436.0,0.5707685846283075,
Barton,ON,ALP|GRN|LNP,GRN,1336.0,0.14027719445611087,
Barton,OTH,ALP|GRN|LNP|ON,ALP,987.0,0.13645790128577354,
Barton,OTH,ALP|GRN|LNP|ON,LNP,1346.0,0.18609152495506706,
Barton,OTH,ALP|GRN|LNP|ON,GRN,949.0,0.1312042029586617,
Barton,OTH,ALP|GRN|LNP|ON,ON,3951.0,0.5462463708004978,
Blaxland,GRN,ALP|IND|LNP,ALP,3638.0,0.4820458460315357,
Blaxland,GRN,ALP|IND|LNP,LNP,588.0,0.07791175301444282,
Blaxland,GRN,ALP|IND|LNP,IND,3321.0,0.4400424009540215,
Blaxland,ON,ALP|GRN|IND|LNP,ALP,686.0,0.14626865671641792,
Blaxland,ON,ALP|GRN|IND|LNP,LNP,2727.0,0.5814498933901919,
Blaxland,ON,ALP|GRN|IND|LNP,GRN,389.0,0.08294243070362474,
Blaxland,ON,ALP|GRN|IND|LNP,IND,888.0,0.18933901918976545,
Blaxland,IND,ALP|LNP,ALP,17692.0,0.840834561095005,
Blaxland,IND,ALP|LNP,LNP,3349.0,0.15916543890499502,
Blaxland,OTH,ALP|GRN|IND|LNP|ON,ALP,457.0,0.12624309392265193,
Blaxland,OTH,ALP|GRN|IND|LNP|ON,LNP,725.0,0.20027624309392264,
