Seat,Eliminated,AliveSet,Recipient,Votes,Share, ,division_key,ReportedAliveSet,AliveSetSource,AliveSetPositionConflict,RecordedPosition,TopThree
Wentworth*,ALP,IND+LNP,LNP,2962.0,0.1534556004559113, ,WENTWORTH,IND+LNP,positive_recipients_validated_against_3cp,False,3,IND+LNP+ALP
Wentworth*,ALP,IND+LNP,IND,16340.0,0.8465443995440887,,WENTWORTH,IND+LNP,positive_recipients_validated_against_3cp,False,3,IND+LNP+ALP
Wentworth*,GRN,ALP+IND+LNP,ALP,4200.0,0.3546099290780142,,WENTWORTH,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,4,IND+LNP+ALP
Wentworth*,GRN,ALP+IND+LNP,LNP,752.0,0.0634920634920634,,WENTWORTH,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,4,IND+LNP+ALP
Wentworth*,GRN,ALP+IND+LNP,IND,6892.0,0.5818980074299224,,WENTWORTH,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,4,IND+LNP+ALP
Wentworth*,ON,ALP+GRN+IND+LNP,ALP,198.0,0.0702875399361022,,WENTWORTH,ALP+GRN+IND+LNP,positive_recipients_validated_against_3cp,False,5,IND+LNP+ALP
Wentworth*,ON,ALP+GRN+IND+LNP,LNP,1892.0,0.6716364927227547,,WENTWORTH,ALP+GRN+IND+LNP,positive_recipients_validated_against_3cp,False,5,IND+LNP+ALP
Wentworth*,ON,ALP+GRN+IND+LNP,GRN,225.0,0.0798722044728434,,WENTWORTH,ALP+GRN+IND+LNP,positive_recipients_validated_against_3cp,False,5,IND+LNP+ALP
Wentworth*,ON,ALP+GRN+IND+LNP,IND,502.0,0.1782037628682996,,WENTWORTH,ALP+GRN+IND+LNP,positive_recipients_validated_against_3cp,False,5,IND+LNP+ALP
Wentworth*,OTH,ALP+GRN+IND+LNP+ON,ALP,125.0,0.0927988121752041,,WENTWORTH,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6,IND+LNP+ALP
Wentworth*,OTH,ALP+GRN+IND+LNP+ON,LNP,241.0,0.1789161098737936,,WENTWORTH,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6,IND+LNP+ALP
Wentworth*,OTH,ALP+GRN+IND+LNP+ON,GRN,378.0,0.2806236080178174,,WENTWORTH,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6,IND+LNP+ALP
Wentworth*,OTH,ALP+GRN+IND+LNP+ON,ON,192.0,0.1425389755011135,,WENTWORTH,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6,IND+LNP+ALP
Wentworth*,OTH,ALP+GRN+IND+LNP+ON,IND,411.0,0.3051224944320713,,WENTWORTH,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6,IND+LNP+ALP
Sydney,LNP,ALP+GRN,ALP,15853.0,0.7283712382265104,,SYDNEY,ALP+GRN,positive_recipients_validated_against_3cp,False,3,ALP+GRN+LNP
Sydney,LNP,ALP+GRN,GRN,5912.0,0.2716287617734895,,SYDNEY,ALP+GRN,positive_recipients_validated_against_3cp,False,3,ALP+GRN+LNP
Sydney,ON,ALP+GRN+LNP,ALP,591.0,0.152516129032258,,SYDNEY,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4,ALP+GRN+LNP
Sydney,ON,ALP+GRN+LNP,LNP,2745.0,0.7083870967741935,,SYDNEY,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4,ALP+GRN+LNP
Sydney,ON,ALP+GRN+LNP,GRN,539.0,0.1390967741935483,,SYDNEY,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4,ALP+GRN+LNP
