division_key,actual_winner,actual_runner_up,actual_final_two,actual_winner_pct,division,winner,runner_up,final_two,winner_pct,winner_match,runner_up_match,final_two_match,winner_diff_pp
RICHMOND,GRN,ON,GRN+ON,64.6215,Richmond,GRN,ALP,ALP+GRN,0.5088534579848649,True,False,False,13.736154201513507
BLAXLAND,ALP,ON,ALP+ON,67.2059,Blaxland,ALP,IND,ALP+IND,0.55586160990127,True,False,False,11.619739009873001
FLYNN,ON,ALP,ALP+ON,61.9371,Flynn,ON,LNP,LNP+ON,0.5118612988769343,True,False,False,10.750970112306568
FLINDERS,LNP,IND,IND+LNP,62.4925,Flinders,LNP,IND,IND+LNP,0.5327436666410754,True,True,True,9.21813333589246
MAYO,OTH,ALP,ALP+OTH,65.4185,Mayo,OTH,ALP,ALP+OTH,0.5636774826407125,True,True,True,9.050751735928742
RIVERINA,LNP,IND,IND+LNP,61.7066,Riverina,LNP,ON,LNP+ON,0.5285022971496546,True,False,False,8.856370285034544
NEWCASTLE,ALP,GRN,ALP+GRN,58.5974,Newcastle,ALP,ON,ALP+ON,0.6694024218138849,True,False,False,8.342842181388484
COWAN,ALP,ON,ALP+ON,59.9485,Cowan,ALP,ON,ALP+ON,0.6827960162043982,True,True,True,8.331101620439817
MELBOURNE,GRN,ALP,ALP+GRN,52.065,Melbourne,GRN,ALP,ALP+GRN,0.5921749145088991,True,True,True,7.152491450889919
NICHOLLS,LNP,IND,IND+LNP,60.4812,Nicholls,LNP,IND,IND+LNP,0.5409712971424966,True,True,True,6.38407028575034
FARRER,LNP,IND,IND+LNP,52.8772,Farrer,LNP,IND,IND+LNP,0.5862526485830966,True,True,True,5.748064858309654
WATSON,ALP,IND,ALP+IND,63.6178,Watson,ALP,ON,ALP+ON,0.6836183079794632,True,False,False,4.744030797946323
COOPER,ALP,GRN,ALP+GRN,58.3818,Cooper,ALP,GRN,ALP+GRN,0.5365586271886744,True,True,True,4.725937281132559
LILLEY,ALP,ON,ALP+ON,61.4372,Lilley,ALP,ON,ALP+ON,0.6563214355264969,True,True,True,4.194943552649697
FADDEN,LNP,ON,LNP+ON,53.4754,Fadden,LNP,ON,LNP+ON,0.5764924912934434,True,True,True,4.17384912934434
MARIBYRNONG,ALP,ON,ALP+ON,60.2717,Maribyrnong,ALP,ON,ALP+ON,0.6427774188314002,True,True,True,4.006041883140007
LINGIARI,ALP,ON,ALP+ON,55.7702,Lingiari,ALP,ON,ALP+ON,0.5181034765156965,True,True,True,3.9598523484303456
HUME,LNP,ON,LNP+ON,54.362,Hume,LNP,ON,LNP+ON,0.5827657243128157,True,True,True,3.91457243128157
CORANGAMITE,ALP,LNP,ALP+LNP,58.3531,Corangamite,ALP,LNP,ALP+LNP,0.5455869451796492,True,True,True,3.7944054820350743
BULLWINKEL,LNP,ALP,ALP+LNP,54.2462,Bullwinkel,ALP,ON,ALP+ON,0.5049514313579263,False,False,False,3.7510568642073707
BARTON,ALP,ON,ALP+ON,60.8743,Barton,ALP,ON,ALP+ON,0.6459459905384181,True,True,True,3.7202990538418064
MORETON,ALP,ON,ALP+ON,63.2397,Moreton,ALP,ON,ALP+ON,0.6691294624810131,True,True,True,3.6732462481013073
HERBERT,LNP,ALP,ALP+LNP,64.4266,Herbert,LNP,ON,LNP+ON,0.6075548034352666,True,False,False,3.671119656473337
CURTIN,IND,LNP,IND+LNP,55.1373,Curtin,IND,LNP,IND+LNP,0.5152327220600664,True,True,True,3.6140277939933583
SWAN,ALP,ON,ALP+ON,61.0995,Swan,ALP,ON,ALP+ON,0.6466405556761696,True,True,True,3.5645555676169707
HOTHAM,ALP,ON,ALP+ON,63.3213,Hotham,ALP,ON,ALP+ON,0.6684952993104951,True,True,True,3.528229931049516
GREY,LNP,IND,IND+LNP,52.2261,Grey,LNP,IND,IND+LNP,0.5568043866226924,True,True,True,3.4543386622692367
KINGSFORD SMITH,ALP,ON,ALP+ON,63.5427,Kingsford Smith,ALP,ON,ALP+ON,0.6699659108571404,True,True,True,3.453891085714041
FRANKLIN,ALP,IND,ALP+IND,55.8958,Franklin,IND,ALP,ALP+IND,0.5246711849440062,False,False,True,3.4286815055993785
GELLIBRAND,ALP,ON,ALP+ON,62.0021,Gellibrand,ALP,ON,ALP+ON,0.6538636271485969,True,True,True,3.3842627148596875
LALOR,ALP,ON,ALP+ON,58.8128,Lalor,ALP,ON,ALP+ON,0.6217053296806552,True,True,True,3.3577329680655126
FREMANTLE,IND,ALP,ALP+IND,54.5318,Fremantle,ALP,IND,ALP+IND,0.5117537264361259,False,False,True,3.3564273563874067
BRISBANE,GRN,LNP,GRN+LNP,54.9148,Brisbane,LNP,GRN,GRN+LNP,0.5162246288589661,False,False,True,3.2923371141033826
MACARTHUR,ALP,ON,ALP+ON,59.0806,Macarthur,ALP,ON,ALP+ON,0.6233651404592958,True,True,True,3.255914045929586
FISHER,LNP,IND,IND+LNP,51.5051,Fisher,LNP,IND,IND+LNP,0.5463612901130738,True,True,True,3.131029011307376
