State,DivisionID,Electorate,CountNumber,CandidateID,BallotPosition,CandidateName,OfficialPartyCode,OfficialPartyName,ModelCategory,CandidateSubtype,IdeologyFamily,PrimaryVotes,PreferenceCountBefore,TransferCount,PreferenceCountAfter,IsExcludedThisCount,InternalCategoryExclusion,CategoryExitThisCount,SameCategoryCandidatesAliveAfter,IsContinuingBefore,IsContinuingAfter,AliveCandidateCountBefore,AliveCandidateCountAfter,AliveCategoryCountBefore,AliveCategoryCountAfter,AliveCandidateIDsBefore,AliveCandidateIDsAfter,AliveModelCategoriesBefore,AliveModelCategoriesAfter,FinishPosition,CategoryExitCount,LastSurvivingCandidateID,AEC_Elected,AEC_HistoricElected
ACT,318,Bean,0,41076,1,David Lamerton,LP,Liberal,LNP,LIB,,23665,23665,0,23665,False,False,False,0,True,True,4,4,4,4,40676>41076>41436>41682,40676>41076>41436>41682,ALP>LNP>GRN>IND,ALP>LNP>GRN>IND,3,2,41076,N,N
ACT,318,Bean,0,41682,2,Jessie Price,IND,Independent,IND,IND_PROMINENT,LEFT,27120,27120,0,27120,False,False,False,0,True,True,4,4,4,4,40676>41076>41436>41682,40676>41076>41436>41682,ALP>LNP>GRN>IND,ALP>LNP>GRN>IND,2,,41682,N,N
ACT,318,Bean,0,41436,3,Sam Carter,GRN,Australian Greens,GRN,GRN,,9757,9757,0,9757,False,False,False,0,True,True,4,4,4,4,40676>41076>41436>41682,40676>41076>41436>41682,ALP>LNP>GRN>IND,ALP>LNP>GRN>IND,4,1,41436,N,N
ACT,318,Bean,0,40676,4,David Smith,ALP,Australian Labor Party,ALP,ALP,,42158,42158,0,42158,False,False,False,0,True,True,4,4,4,4,40676>41076>41436>41682,40676>41076>41436>41682,ALP>LNP>GRN>IND,ALP>LNP>GRN>IND,1,,40676,Y,Y
ACT,318,Bean,1,41076,1,David Lamerton,LP,Liberal,LNP,LIB,,23665,23665,294,23959,False,False,False,0,True,True,4,3,4,3,40676>41076>41436>41682,40676>41076>41682,ALP>LNP>GRN>IND,ALP>LNP>IND,3,2,41076,N,N
ACT,318,Bean,1,41682,2,Jessie Price,IND,Independent,IND,IND_PROMINENT,LEFT,27120,27120,4762,31882,False,False,False,0,True,True,4,3,4,3,40676>41076>41436>41682,40676>41076>41682,ALP>LNP>GRN>IND,ALP>LNP>IND,2,,41682,N,N
ACT,318,Bean,1,41436,3,Sam Carter,GRN,Australian Greens,GRN,GRN,,9757,9757,-9757,0,True,False,True,0,True,False,4,3,4,3,40676>41076>41436>41682,40676>41076>41682,ALP>LNP>GRN>IND,ALP>LNP>IND,4,1,41436,N,N
ACT,318,Bean,1,40676,4,David Smith,ALP,Australian Labor Party,ALP,ALP,,42158,42158,4701,46859,False,False,False,0,True,True,4,3,4,3,40676>41076>41436>41682,40676>41076>41682,ALP>LNP>GRN>IND,ALP>LNP>IND,1,,40676,Y,Y
ACT,318,Bean,2,41076,1,David Lamerton,LP,Liberal,LNP,LIB,,23665,23959,-23959,0,True,False,True,0,True,False,3,2,3,2,40676>41076>41682,40676>41682,ALP>LNP>IND,ALP>IND,3,2,41076,N,N
ACT,318,Bean,2,41682,2,Jessie Price,IND,Independent,IND,IND_PROMINENT,LEFT,27120,31882,19118,51000,False,False,False,0,True,True,3,2,3,2,40676>41076>41682,40676>41682,ALP>LNP>IND,ALP>IND,2,,41682,N,N
ACT,318,Bean,2,41436,3,Sam Carter,GRN,Australian Greens,GRN,GRN,,9757,0,0,0,False,False,False,0,False,False,3,2,3,2,40676>41076>41682,40676>41682,ALP>LNP>IND,ALP>IND,4,1,41436,N,N
ACT,318,Bean,2,40676,4,David Smith,ALP,Australian Labor Party,ALP,ALP,,42158,46859,4841,51700,False,False,False,0,True,True,3,2,3,2,40676>41076>41682,40676>41682,ALP>LNP>IND,ALP>IND,1,,40676,Y,Y
ACT,101,Canberra,0,41390,1,Isabel Mudford,GRN,Australian Greens,GRN,GRN,,18504,18504,0,18504,False,False,False,0,True,True,6,6,5,5,40677>41077>41390>41696>41706>41742,40677>41077>41390>41696>41706>41742,ALP>LNP>GRN>IND>OTH,ALP>LNP>GRN>IND>OTH,2,,41390,N,N
ACT,101,Canberra,0,41742,2,Mary-Jane Liddicoat,IMO,HEART Party,OTH,OTH_IMO,CENTRE_RIGHT,1222,1222,0,1222,False,False,False,0,True,True,6,6,5,5,40677>41077>41390>41696>41706>41742,40677>41077>41390>41696>41706>41742,ALP>LNP>GRN>IND>OTH,ALP>LNP>GRN>IND>OTH,5,2,41706,N,N
ACT,101,Canberra,0,41696,3,Claire Miles,IND,Independent,IND,IND_PROMINENT,LEFT,10187,10187,0,10187,False,False,False,0,True,True,6,6,5,5,40677>41077>41390>41696>41706>41742,40677>41077>41390>41696>41706>41742,ALP>LNP>GRN>IND>OTH,ALP>LNP>GRN>IND>OTH,4,3,41696,N,N
ACT,101,Canberra,0,41077,4,Will Roche,LP,Liberal,LNP,LIB,,17101,17101,0,17101,False,False,False,0,True,True,6,6,5,5,40677>41077>41390>41696>41706>41742,40677>41077>41390>41696>41706>41742,ALP>LNP>GRN>IND>OTH,ALP>LNP>GRN>IND>OTH,3,4,41077,N,N
ACT,101,Canberra,0,40677,5,Alicia Payne,ALP,Australian Labor Party,ALP,ALP,,45133,45133,0,45133,False,False,False,0,True,True,6,6,5,5,40677>41077>41390>41696>41706>41742,40677>41077>41390>41696>41706>41742,ALP>LNP>GRN>IND>OTH,ALP>LNP>GRN>IND>OTH,1,,40677,Y,Y
ACT,101,Canberra,0,41706,6,Teresa Mctaggart,AJP,AJP,OTH,OTH_AJP,CENTRE_LEFT,1258,1258,0,1258,False,False,False,0,True,True,6,6,5,5,40677>41077>41390>41696>41706>41742,40677>41077>41390>41696>41706>41742,ALP>LNP>GRN>IND>OTH,ALP>LNP>GRN>IND>OTH,5,2,41706,N,N
ACT,101,Canberra,1,41390,1,Isabel Mudford,GRN,Australian Greens,GRN,GRN,,18504,18504,130,18634,False,False,False,0,True,True,6,5,5,5,40677>41077>41390>41696>41706>41742,40677>41077>41390>41696>41706,ALP>LNP>GRN>IND>OTH,ALP>LNP>GRN>IND>OTH,2,,41390,N,N
ACT,101,Canberra,1,41742,2,Mary-Jane Liddicoat,IMO,HEART Party,OTH,OTH_IMO,CENTRE_RIGHT,1222,1222,-1222,0,True,True,False,1,True,False,6,5,5,5,40677>41077>41390>41696>41706>41742,40677>41077>41390>41696>41706,ALP>LNP>GRN>IND>OTH,ALP>LNP>GRN>IND>OTH,5,2,41706,N,N
ACT,101,Canberra,1,41696,3,Claire Miles,IND,Independent,IND,IND_PROMINENT,LEFT,10187,10187,528,10715,False,False,False,0,True,True,6,5,5,5,40677>41077>41390>41696>41706>41742,40677>41077>41390>41696>41706,ALP>LNP>GRN>IND>OTH,ALP>LNP>GRN>IND>OTH,4,3,41696,N,N
ACT,101,Canberra,1,41077,4,Will Roche,LP,Liberal,LNP,LIB,,17101,17101,375,17476,False,False,False,0,True,True,6,5,5,5,40677>41077>41390>41696>41706>41742,40677>41077>41390>41696>41706,ALP>LNP>GRN>IND>OTH,ALP>LNP>GRN>IND>OTH,3,4,41077,N,N
ACT,101,Canberra,1,40677,5,Alicia Payne,ALP,Australian Labor Party,ALP,ALP,,45133,45133,91,45224,False,False,False,0,True,True,6,5,5,5,40677>41077>41390>41696>41706>41742,40677>41077>41390>41696>41706,ALP>LNP>GRN>IND>OTH,ALP>LNP>GRN>IND>OTH,1,,40677,Y,Y
ACT,101,Canberra,1,41706,6,Teresa Mctaggart,AJP,AJP,OTH,OTH_AJP,CENTRE_LEFT,1258,1258,98,1356,False,False,False,0,True,True,6,5,5,5,40677>41077>41390>41696>41706>41742,40677>41077>41390>41696>41706,ALP>LNP>GRN>IND>OTH,ALP>LNP>GRN>IND>OTH,5,2,41706,N,N
ACT,101,Canberra,2,41390,1,Isabel Mudford,GRN,Australian Greens,GRN,GRN,,18504,18634,477,19111,False,False,False,0,True,True,5,4,5,4,40677>41077>41390>41696>41706,40677>41077>41390>41696,ALP>LNP>GRN>IND>OTH,ALP>LNP>GRN>IND,2,,41390,N,N
ACT,101,Canberra,2,41742,2,Mary-Jane Liddicoat,IMO,HEART Party,OTH,OTH_IMO,CENTRE_RIGHT,1222,0,0,0,False,False,False,0,False,False,5,4,5,4,40677>41077>41390>41696>41706,40677>41077>41390>41696,ALP>LNP>GRN>IND>OTH,ALP>LNP>GRN>IND,5,2,41706,N,N
ACT,101,Canberra,2,41696,3,Claire Miles,IND,Independent,IND,IND_PROMINENT,LEFT,10187,10715,421,11136,False,False,False,0,True,True,5,4,5,4,40677>41077>41390>41696>41706,40677>41077>41390>41696,ALP>LNP>GRN>IND>OTH,ALP>LNP>GRN>IND,4,3,41696,N,N
ACT,101,Canberra,2,41077,4,Will Roche,LP,Liberal,LNP,LIB,,17101,17476,134,17610,False,False,False,0,True,True,5,4,5,4,40677>41077>41390>41696>41706,40677>41077>41390>41696,ALP>LNP>GRN>IND>OTH,ALP>LNP>GRN>IND,3,4,41077,N,N
ACT,101,Canberra,2,40677,5,Alicia Payne,ALP,Australian Labor Party,ALP,ALP,,45133,45224,324,45548,False,False,False,0,True,True,5,4,5,4,40677>41077>41390>41696>41706,40677>41077>41390>41696,ALP>LNP>GRN>IND>OTH,ALP>LNP>GRN>IND,1,,40677,Y,Y
ACT,101,Canberra,2,41706,6,Teresa Mctaggart,AJP,AJP,OTH,OTH_AJP,CENTRE_LEFT,1258,1356,-1356,0,True,False,True,0,True,False,5,4,5,4,40677>41077>41390>41696>41706,40677>41077>41390>41696,ALP>LNP>GRN>IND>OTH,ALP>LNP>GRN>IND,5,2,41706,N,N
ACT,101,Canberra,3,41390,1,Isabel Mudford,GRN,Australian Greens,GRN,GRN,,18504,19111,3933,23044,False,False,False,0,True,True,4,3,4,3,40677>41077>41390>41696,40677>41077>41390,ALP>LNP>GRN>IND,ALP>LNP>GRN,2,,41390,N,N
ACT,101,Canberra,3,41742,2,Mary-Jane Liddicoat,IMO,HEART Party,OTH,OTH_IMO,CENTRE_RIGHT,1222,0,0,0,False,False,False,0,False,False,4,3,4,3,40677>41077>41390>41696,40677>41077>41390,ALP>LNP>GRN>IND,ALP>LNP>GRN,5,2,41706,N,N
