State,DivisionID,Electorate,CountNumber,EliminatedCandidateID,EliminatedCandidate,EliminatedModelCategory,EliminatedCandidateSubtype,EliminatedIdeologyFamily,EliminatedTally,InternalCategoryExclusion,CategoryExitThisCount,RecipientCandidateID,RecipientCandidate,RecipientModelCategory,RecipientCandidateSubtype,RecipientIdeologyFamily,TransferVotes,TransferShare,SameCategoryTransfer,AliveModelCategoriesAfter
ACT,318,Bean,1,41436,Sam Carter,GRN,GRN,,9757,False,True,40676,David Smith,ALP,ALP,,4701,0.48180793276621914,False,ALP>LNP>IND
ACT,318,Bean,1,41436,Sam Carter,GRN,GRN,,9757,False,True,41076,David Lamerton,LNP,LIB,,294,0.030132212770318745,False,ALP>LNP>IND
ACT,318,Bean,1,41436,Sam Carter,GRN,GRN,,9757,False,True,41682,Jessie Price,IND,IND_PROMINENT,LEFT,4762,0.4880598544634621,False,ALP>LNP>IND
ACT,318,Bean,2,41076,David Lamerton,LNP,LIB,,23959,False,True,40676,David Smith,ALP,ALP,,4841,0.20205350807629702,False,ALP>IND
ACT,318,Bean,2,41076,David Lamerton,LNP,LIB,,23959,False,True,41682,Jessie Price,IND,IND_PROMINENT,LEFT,19118,0.797946491923703,False,ALP>IND
ACT,101,Canberra,1,41742,Mary-Jane Liddicoat,OTH,OTH_IMO,CENTRE_RIGHT,1222,True,False,40677,Alicia Payne,ALP,ALP,,91,0.07446808510638298,False,ALP>LNP>GRN>IND>OTH
ACT,101,Canberra,1,41742,Mary-Jane Liddicoat,OTH,OTH_IMO,CENTRE_RIGHT,1222,True,False,41077,Will Roche,LNP,LIB,,375,0.306873977086743,False,ALP>LNP>GRN>IND>OTH
ACT,101,Canberra,1,41742,Mary-Jane Liddicoat,OTH,OTH_IMO,CENTRE_RIGHT,1222,True,False,41390,Isabel Mudford,GRN,GRN,,130,0.10638297872340426,False,ALP>LNP>GRN>IND>OTH
ACT,101,Canberra,1,41742,Mary-Jane Liddicoat,OTH,OTH_IMO,CENTRE_RIGHT,1222,True,False,41696,Claire Miles,IND,IND_PROMINENT,LEFT,528,0.4320785597381342,False,ALP>LNP>GRN>IND>OTH
ACT,101,Canberra,1,41742,Mary-Jane Liddicoat,OTH,OTH_IMO,CENTRE_RIGHT,1222,True,False,41706,Teresa Mctaggart,OTH,OTH_AJP,CENTRE_LEFT,98,0.08019639934533551,True,ALP>LNP>GRN>IND>OTH
ACT,101,Canberra,2,41706,Teresa Mctaggart,OTH,OTH_AJP,CENTRE_LEFT,1356,False,True,40677,Alicia Payne,ALP,ALP,,324,0.23893805309734514,False,ALP>LNP>GRN>IND
ACT,101,Canberra,2,41706,Teresa Mctaggart,OTH,OTH_AJP,CENTRE_LEFT,1356,False,True,41077,Will Roche,LNP,LIB,,134,0.09882005899705015,False,ALP>LNP>GRN>IND
ACT,101,Canberra,2,41706,Teresa Mctaggart,OTH,OTH_AJP,CENTRE_LEFT,1356,False,True,41390,Isabel Mudford,GRN,GRN,,477,0.35176991150442477,False,ALP>LNP>GRN>IND
ACT,101,Canberra,2,41706,Teresa Mctaggart,OTH,OTH_AJP,CENTRE_LEFT,1356,False,True,41696,Claire Miles,IND,IND_PROMINENT,LEFT,421,0.31047197640117996,False,ALP>LNP>GRN>IND
ACT,101,Canberra,3,41696,Claire Miles,IND,IND_PROMINENT,LEFT,11136,False,True,40677,Alicia Payne,ALP,ALP,,4488,0.40301724137931033,False,ALP>LNP>GRN
ACT,101,Canberra,3,41696,Claire Miles,IND,IND_PROMINENT,LEFT,11136,False,True,41077,Will Roche,LNP,LIB,,2715,0.24380387931034483,False,ALP>LNP>GRN
ACT,101,Canberra,3,41696,Claire Miles,IND,IND_PROMINENT,LEFT,11136,False,True,41390,Isabel Mudford,GRN,GRN,,3933,0.3531788793103448,False,ALP>LNP>GRN
ACT,101,Canberra,4,41077,Will Roche,LNP,LIB,,20325,False,True,40677,Alicia Payne,ALP,ALP,,14900,0.7330873308733087,False,ALP>GRN
ACT,101,Canberra,4,41077,Will Roche,LNP,LIB,,20325,False,True,41390,Isabel Mudford,GRN,GRN,,5425,0.26691266912669126,False,ALP>GRN
ACT,102,Fenner,1,41713,Elizabeth Kikkert,OTH,OTH_FFPA,RIGHT,7426,False,True,40678,Andrew Leigh,ALP,ALP,,2206,0.2970643684352276,False,ALP>LNP>GRN
