State,DivisionID,Electorate,ModelCategory,CandidateCount,PrimaryVotes,FinishPosition,CategoryExitCount,LastSurvivingCandidateID,LastSurvivingCandidate,LastSurvivingSubtype,LastSurvivingIdeologyFamily,InternalCandidateExclusions,PrimaryShare
ACT,318,Bean,ALP,1,42158,1,,40676,David Smith,ALP,,0,0.41049659201557936
ACT,318,Bean,IND,1,27120,2,,41682,Jessie Price,IND_PROMINENT,LEFT,0,0.26407010710808176
ACT,318,Bean,LNP,1,23665,3,2,41076,David Lamerton,LIB,,0,0.2304284323271665
ACT,318,Bean,GRN,1,9757,4,1,41436,Sam Carter,GRN,,0,0.09500486854917235
ACT,101,Canberra,ALP,1,45133,1,,40677,Alicia Payne,ALP,,0,0.4831968310047642
ACT,101,Canberra,GRN,1,18504,2,,41390,Isabel Mudford,GRN,,0,0.19810502649751083
ACT,101,Canberra,LNP,1,17101,3,4,41077,Will Roche,LIB,,0,0.18308441732241315
ACT,101,Canberra,IND,1,10187,4,3,41696,Claire Miles,IND_PROMINENT,LEFT,0,0.10906268401049195
ACT,101,Canberra,OTH,2,2480,5,2,41706,Teresa Mctaggart,OTH_AJP,CENTRE_LEFT,1,0.02655104116481987
ACT,102,Fenner,ALP,1,50819,1,,40678,Andrew Leigh,ALP,,0,0.5379949184840144
ACT,102,Fenner,LNP,1,20723,2,,41079,Bola Olatunbosun,LIB,,0,0.2193838661867457
ACT,102,Fenner,GRN,1,15492,3,2,41398,Dani Hunterford,GRN,,0,0.16400592843531653
ACT,102,Fenner,OTH,1,7426,4,1,41713,Elizabeth Kikkert,OTH_FFPA,RIGHT,0,0.07861528689392336
NSW,103,Banks,ALP,1,36039,1,,41350,Zhi Soon,ALP,,0,0.3642694698539445
NSW,103,Banks,LNP,1,38683,2,,41411,David Coleman,LIB,,0,0.3909940870268358
NSW,103,Banks,GRN,1,11756,3,6,41486,Natalie Hanna,GRN,,0,0.11882549148430788
NSW,103,Banks,ON,1,3666,4,5,41858,Todd Nicol,ON,,0,0.03705463182897862
NSW,103,Banks,OTH,4,8791,5,4,41763,Allan Taruste,OTH_CYA,RIGHT,3,0.08885631980593318
NSW,104,Barton,ALP,1,47098,1,,41339,Ash Ambihaipahar,ALP,,0,0.47121089333773547
NSW,104,Barton,LNP,1,24162,2,,41448,Fiona Douskou,LIB,,0,0.24173845184140227
NSW,104,Barton,GRN,1,15885,3,4,41494,Manal Bahsa,GRN,,0,0.1589278746585827
NSW,104,Barton,ON,1,5573,4,3,41862,Christos Nicolis,ON,,0,0.05575732108733279
NSW,104,Barton,OTH,2,7233,5,2,41768,Thomas Pambris,OTH_CYA,RIGHT,1,0.07236545907494672
NSW,105,Bennelong,ALP,1,49801,1,,41329,Jerome Laxale,ALP,,0,0.4535114559428842
NSW,105,Bennelong,LNP,1,38510,2,,41444,Scott Yung,LIB,,0,0.350690270644374
NSW,105,Bennelong,GRN,1,12931,3,6,41504,Adam Hart,GRN,,0,0.11775580082322515
NSW,105,Bennelong,ON,1,2534,4,5,41869,Craig Bennett,ON,,0,0.02307580228026081
NSW,105,Bennelong,OTH,4,6036,5,4,41881,Eric Chan,OTH_FFPA,RIGHT,3,0.05496667030925582
NSW,106,Berowra,LNP,1,48210,1,,41442,Julian Leeser,LIB,,0,0.4171569984770871
NSW,106,Berowra,ALP,1,31220,2,,41338,Benson Koschinski,ALP,,0,0.2701439844939776
NSW,106,Berowra,IND,1,13135,3,6,41991,Tina Brown,IND_PROMINENT,LEFT,0,0.1136560293506853
NSW,106,Berowra,GRN,1,13781,4,5,41506,Martin Cousins,GRN,,0,0.11924581198947806
NSW,106,Berowra,ON,1,4705,5,4,41879,Gerald Mattinson,ON,,0,0.04071196178873045
NSW,106,Berowra,OTH,3,4517,6,3,41697,Stephen Bastian,OTH_CYA,RIGHT,2,0.039085213900041535
NSW,107,Blaxland,ALP,1,40001,1,,41316,Jason Clare,ALP,,0,0.4603848721312985
NSW,107,Blaxland,LNP,1,17023,2,,41478,Courtney Nguyen,LIB,,0,0.19592339387243055
NSW,107,Blaxland,IND,1,16302,3,5,41982,Ahmed Ouf,IND_PROMINENT,LEFT,0,0.1876251640080105
NSW,107,Blaxland,GRN,1,6854,4,4,41578,Omar Sakr,GRN,,0,0.07888497571530512
NSW,107,Blaxland,ON,1,3086,5,3,41888,Mitchell Klievens,ON,,0,0.035517804939806184
NSW,107,Blaxland,OTH,2,3620,6,2,41850,Mike Luo,OTH_LTP,RIGHT,1,0.04166378933314918
NSW,108,Bradfield,IND,1,30309,1,,36047,Nicolette Boele,IND_PROMINENT,CENTRE_LEFT,0,0.2701288747081157
NSW,108,Bradfield,LNP,1,42676,2,,41464,Gisele Kapterian,LIB,,0,0.3803497263863389
NSW,108,Bradfield,ALP,1,22768,3,6,41324,Louise Mccallum,ALP,,0,0.20291973405108643
NSW,108,Bradfield,GRN,1,7551,4,5,41511,Harjit Singh,GRN,,0,0.06729826562806367
