State,DivisionID,Electorate,EliminatedModelCategory,FinishPosition,CategoryExitCount,AliveModelCategoriesAfter,CandidateCount,InternalCandidateExclusions,CategoryPrimaryVotes,LastSurvivorCandidateID,LastSurvivorCandidate,LastSurvivorSubtype,LastSurvivorIdeologyFamily,LastSurvivorPrimaryVotes,LastSurvivorPrimaryCoverage,DefaultEvidenceMultiplier,CategorySubtypeMix,CategoryIdeologyMix,Method,VoteBasis,EvidenceVotes,RecipientModelCategory,AllocatedVotes,Share,IsApproximation
ACT,318,Bean,LNP,3,2,ALP>IND,1,0,23665,41076,David Lamerton,LIB,,23665,1.0,1.0,LIB:23665,UNSPECIFIED:23665,OBSERVED_LAST_SURVIVOR_EXIT,LAST_SURVIVOR_TALLY_AT_CATEGORY_EXIT,23959,ALP,4841.0,0.20205350807629702,False
ACT,318,Bean,LNP,3,2,ALP>IND,1,0,23665,41076,David Lamerton,LIB,,23665,1.0,1.0,LIB:23665,UNSPECIFIED:23665,OBSERVED_LAST_SURVIVOR_EXIT,LAST_SURVIVOR_TALLY_AT_CATEGORY_EXIT,23959,IND,19118.0,0.797946491923703,False
ACT,318,Bean,LNP,3,2,ALP>IND,1,0,23665,41076,David Lamerton,LIB,,23665,1.0,1.0,LIB:23665,UNSPECIFIED:23665,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,23665,ALP,4781.596268625569,0.20205350807629702,True
ACT,318,Bean,LNP,3,2,ALP>IND,1,0,23665,41076,David Lamerton,LIB,,23665,1.0,1.0,LIB:23665,UNSPECIFIED:23665,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,23665,IND,18883.403731374434,0.7979464919237031,True
ACT,318,Bean,GRN,4,1,ALP>LNP>IND,1,0,9757,41436,Sam Carter,GRN,,9757,1.0,1.0,GRN:9757,UNSPECIFIED:9757,OBSERVED_LAST_SURVIVOR_EXIT,LAST_SURVIVOR_TALLY_AT_CATEGORY_EXIT,9757,ALP,4701.0,0.48180793276621914,False
ACT,318,Bean,GRN,4,1,ALP>LNP>IND,1,0,9757,41436,Sam Carter,GRN,,9757,1.0,1.0,GRN:9757,UNSPECIFIED:9757,OBSERVED_LAST_SURVIVOR_EXIT,LAST_SURVIVOR_TALLY_AT_CATEGORY_EXIT,9757,IND,4762.0,0.4880598544634621,False
ACT,318,Bean,GRN,4,1,ALP>LNP>IND,1,0,9757,41436,Sam Carter,GRN,,9757,1.0,1.0,GRN:9757,UNSPECIFIED:9757,OBSERVED_LAST_SURVIVOR_EXIT,LAST_SURVIVOR_TALLY_AT_CATEGORY_EXIT,9757,LNP,294.0,0.030132212770318745,False
ACT,318,Bean,GRN,4,1,ALP>LNP>IND,1,0,9757,41436,Sam Carter,GRN,,9757,1.0,1.0,GRN:9757,UNSPECIFIED:9757,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,9757,ALP,4701.0,0.48180793276621914,True
ACT,318,Bean,GRN,4,1,ALP>LNP>IND,1,0,9757,41436,Sam Carter,GRN,,9757,1.0,1.0,GRN:9757,UNSPECIFIED:9757,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,9757,IND,4762.0,0.4880598544634621,True
ACT,318,Bean,GRN,4,1,ALP>LNP>IND,1,0,9757,41436,Sam Carter,GRN,,9757,1.0,1.0,GRN:9757,UNSPECIFIED:9757,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,9757,LNP,294.0,0.030132212770318745,True
ACT,101,Canberra,LNP,3,4,ALP>GRN,1,0,17101,41077,Will Roche,LIB,,17101,1.0,1.0,LIB:17101,UNSPECIFIED:17101,OBSERVED_LAST_SURVIVOR_EXIT,LAST_SURVIVOR_TALLY_AT_CATEGORY_EXIT,20325,ALP,14900.0,0.7330873308733087,False
ACT,101,Canberra,LNP,3,4,ALP>GRN,1,0,17101,41077,Will Roche,LIB,,17101,1.0,1.0,LIB:17101,UNSPECIFIED:17101,OBSERVED_LAST_SURVIVOR_EXIT,LAST_SURVIVOR_TALLY_AT_CATEGORY_EXIT,20325,GRN,5425.0,0.26691266912669126,False
ACT,101,Canberra,LNP,3,4,ALP>GRN,1,0,17101,41077,Will Roche,LIB,,17101,1.0,1.0,LIB:17101,UNSPECIFIED:17101,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,17101,ALP,12536.526445264451,0.7330873308733087,True
ACT,101,Canberra,LNP,3,4,ALP>GRN,1,0,17101,41077,Will Roche,LIB,,17101,1.0,1.0,LIB:17101,UNSPECIFIED:17101,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,17101,GRN,4564.473554735548,0.26691266912669126,True
ACT,101,Canberra,IND,4,3,ALP>LNP>GRN,1,0,10187,41696,Claire Miles,IND_PROMINENT,LEFT,10187,1.0,1.0,IND_PROMINENT:10187,LEFT:10187,OBSERVED_LAST_SURVIVOR_EXIT,LAST_SURVIVOR_TALLY_AT_CATEGORY_EXIT,11136,ALP,4488.0,0.40301724137931033,False
ACT,101,Canberra,IND,4,3,ALP>LNP>GRN,1,0,10187,41696,Claire Miles,IND_PROMINENT,LEFT,10187,1.0,1.0,IND_PROMINENT:10187,LEFT:10187,OBSERVED_LAST_SURVIVOR_EXIT,LAST_SURVIVOR_TALLY_AT_CATEGORY_EXIT,11136,GRN,3933.0,0.3531788793103448,False
ACT,101,Canberra,IND,4,3,ALP>LNP>GRN,1,0,10187,41696,Claire Miles,IND_PROMINENT,LEFT,10187,1.0,1.0,IND_PROMINENT:10187,LEFT:10187,OBSERVED_LAST_SURVIVOR_EXIT,LAST_SURVIVOR_TALLY_AT_CATEGORY_EXIT,11136,LNP,2715.0,0.24380387931034483,False
ACT,101,Canberra,IND,4,3,ALP>LNP>GRN,1,0,10187,41696,Claire Miles,IND_PROMINENT,LEFT,10187,1.0,1.0,IND_PROMINENT:10187,LEFT:10187,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,10187,ALP,4105.536637931034,0.40301724137931033,True
ACT,101,Canberra,IND,4,3,ALP>LNP>GRN,1,0,10187,41696,Claire Miles,IND_PROMINENT,LEFT,10187,1.0,1.0,IND_PROMINENT:10187,LEFT:10187,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,10187,GRN,3597.8332435344823,0.3531788793103448,True
