Division,State,Classification,Held party,Margin
Adelaide,SA,Inner metro,Labor,
Aston,VIC,Outer metro,Labor,
Ballarat,VIC,Provincial,Labor,
Banks,NSW,Inner metro,Labor,
Barker,SA,Rural,Liberal,
Barton,NSW,Inner metro,Labor,
Bass,TAS,Provincial,Labor,
Bean,ACT,Inner metro,Labor,
Bendigo,VIC,Provincial,Labor,
Bennelong,NSW,Inner metro,Labor,
Berowra,NSW,Outer metro,Liberal,
Blair,QLD,Provincial,Labor,
Blaxland,NSW,Inner metro,Labor,
Bonner,QLD,Outer metro,Labor,
Boothby,SA,Outer metro,Labor,
Bowman,QLD,Outer metro,Liberal National,
Braddon,TAS,Rural,Labor,
Bradfield,NSW,Inner metro,Independent,
Brand,WA,Outer metro,Labor,
Brisbane,QLD,Inner metro,Labor,
Bruce,VIC,Outer metro,Labor,
Bullwinkel,WA,Outer metro,Labor,
Burt,WA,Outer metro,Labor,
Calare,NSW,Rural,Independent,
Calwell,VIC,Outer metro,Labor,
Canberra,ACT,Inner metro,Labor,
Canning,WA,Outer metro,Liberal,
Capricornia,QLD,Provincial,Liberal National,
Casey,VIC,Rural,Labor,
Chifley,NSW,Outer metro,Labor,
Chisholm,VIC,Inner metro,Labor,
Clark,TAS,Inner metro,Independent,
Cook,NSW,Inner metro,Liberal,
Cooper,VIC,Inner metro,Labor,
Corangamite,VIC,Provincial,Labor,
Corio,VIC,Provincial,Labor,
Cowan,WA,Inner metro,Labor,
Cowper,NSW,Provincial,National,
Cunningham,NSW,Provincial,Labor,
Curtin,WA,Inner metro,Independent,
Dawson,QLD,Rural,Liberal National,
Deakin,VIC,Outer metro,Labor,
Dickson,QLD,Outer metro,Labor,
Dobell,NSW,Provincial,Labor,
Dunkley,VIC,Outer metro,Labor,
Durack,WA,Rural,Liberal,
Eden-Monaro,NSW,Rural,Labor,
Fadden,QLD,Outer metro,Liberal National,
Fairfax,QLD,Rural,Liberal National,
Farrer,NSW,Rural,Liberal,
Fenner,ACT,Inner metro,Labor,
Fisher,QLD,Rural,Liberal National,
Flinders,VIC,Rural,Liberal,
Flynn,QLD,Rural,Liberal National,
Forde,QLD,Outer metro,Labor,
Forrest,WA,Rural,Liberal,
Fowler,NSW,Outer metro,Independent,
Franklin,TAS,Outer metro,Labor,
Fraser,VIC,Inner metro,Labor,
Fremantle,WA,Inner metro,Labor,
Gellibrand,VIC,Inner metro,Labor,
Gilmore,NSW,Rural,Labor,
