,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Party 1,,,,,,Party 2,,,,,,Party 3,,,,,,3CP Estimate,,,,,,,,Rescaled 3CP Estimate,,
,3CP,,,2CP,,Parties,,,To ALP,To LNP,To GRN,To ON,To IND,To OTH,To ALP,To LNP,To GRN,To ON,To IND,To OTH,To ALP,To LNP,To GRN,To ON,To IND,To OTH,To ALP,To LNP,To GRN,To ON,To IND,To OTH,Parties,Total,To ALP,To LNP,To GRN
Wentworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sydney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingsford Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bennelong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warringah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaxland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grayndler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parramatta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berowra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mackellar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chifley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fowler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMahon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hughes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macarthur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Werriwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dobell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newcastle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robertson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shortland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macquarie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cunningham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitlam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eden-Monaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilmore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parkes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richmond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chisholm,ALP,LNP,GRN,ALP,LNP,ON,IND,,0.0716003206,0.5987176062,0.0705316591,,0.2591504141,,0.36272838,0.2313032887,0.4059683313,,,,,,,,,,0.1656015305,0.6586599492,0.1757385203,,,,2.0,1,,,
