,,,,,,,,ELECTION CALCULATOR,,,,,,,,,,
,GRN v ALP CONTESTS,,,,,,,,,,,,,,IND v LNP CONTESTS,,,
,GRN,ALP,,,,,,ALP (78),,,LNP (57),,,,IND,LNP,,
SEAT,,,Swing,Status,,,NATIONAL 2PP,0.5528,,,0.4472,,,SEAT,,,Swing,Status
Richmond (NSW),,,,,,,,,,,,,,Curtin (WA),0.5259088,0.4740912,-0.0129088,IND RETAIN
Grayndler (NSW),0.30147,0.69853,0.02753,ALP RETAIN,,,,2PP,SEATS,SWING,SEATS,2PP,,Kooyong (VIC),0.5486848,0.4513152,-0.0296848,IND RETAIN
Sydney (NSW),0.3042784,0.6957216,0.0287216,ALP RETAIN,,,NSW,0.5468,+2,0.0328,-3,0.4532,,Mackellar (NSW),0.5481108,0.4518892,-0.0151108,IND RETAIN
Macnamara (VIC),,,,,,,VIC,0.5808,,0.0328,,0.4192,,Goldstein (VIC),0.5591612,0.4408388,-0.0301612,IND RETAIN
Wills (VIC),0.4330336,0.5669664,0.0209664,ALP RETAIN,,,QLD,0.4898,+3,0.0298,-3,0.5102,,Wentworth (NSW),0.5985262,0.4014738,-0.0305262,IND RETAIN
Cooper (VIC),0.3950648,0.6049352,0.0269352,ALP RETAIN,,,WA,0.5648,+2,0.0148,-2,0.4352,,Warringah (NSW),0.6347692,0.3652308,-0.0407692,IND RETAIN
Melbourne (VIC),0.5445898,0.4554102,0.0104102,GRN RETAIN,,,SA,0.5728,+1,0.0328,-1,0.4272,,Indi (VIC),0.5993744,0.4006256,-0.0103744,IND RETAIN
Brisbane (QLD),,,,,,,TAS,0.5878,+1,0.0448,-1,0.4122,,Mayo (SA),0.6485152,0.3514848,-0.0255152,IND RETAIN
Ryan (QLD),,,,,,,ACT,0.6978,,0.0278,,0.3022,,Kennedy (QLD),0.6492414,0.3507586,-0.0182414,IND RETAIN
Griffith (QLD),,,,,,,NT,0.5928,,0.0378,,0.4072,,Bradfield (NSW),0.5068822,0.4931178,-0.0318822,IND GAIN
,,,,,,,TOTAL ,,9,,-10,,,Wannon (VIC),0.493858,0.506142,-0.031858,LNP RETAIN
,IND v ALP CONTESTS,,,,,,,,87,0.0318,47,,,Cowper (NSW),0.4706662,0.5293338,0.0053338,LNP RETAIN
,IND,ALP,,,,,OUTCOME,,ALP MAJORITY,,,,,,,,,
SEAT,,,Swing,Status,,,,,,,,,,,,,,
Fowler (NSW),0.4700838,0.5299162,0.0459162,ALP GAIN,,,,ALP v LNP CONTESTS,,,,,,,GRN v LNP CONTESTS,,,
Clark (TAS),0.689062,0.310938,0.018938,IND RETAIN,,,,ALP,LNP,,,,,,GRN,LNP,,
,,,,,,,SEAT,,,Swing,Status,,,SEAT,,,Swing,Status
,GRN v ALP v LNP CONTESTS,,,,,,Bennelong (NSW),0.5198,0.4802,-0.0208,ALP RETAIN,,,Brisbane (QLD),0.544062,0.455938,-0.007062,GRN RETAIN
,GRN,ALP,LNP,,,,Tangney (WA),0.5378,0.4622,-0.0078,ALP RETAIN,,,Griffith (QLD),0.634397,0.365603,-0.029397,GRN RETAIN
SEAT,,,,Status,,,Bullwinkel (WA),0.5468,0.4532,-0.0138,ALP RETAIN,,,Ryan (QLD),0.5346688,0.4653312,-0.0086688,GRN RETAIN
