,GRIFFITH (QLD),RAW,,,,,,,,,AliveMask,,,,,,,,GRIFFITH (QLD),FULL DISTRIBUTION,,,,,
,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH
,Primary,0.2704282895,0.1633632085,0.3416619472,0.191176504,0.07,0.03192005082,6,1.06855,,True,True,True,True,True,True,OTH,,ROUND 1,0.2530796776,0.1528830738,0.3197435283,0.1789120808,0.06550933508,0.02987230436
,Eliminated,0.03192005082,,OTH,ALP+LNP+GRN+ON+IND,6,,,,,,,,,,,,,SWING,-0.0919986119,-0.1128801347,0.003206581135,0.1543355769,0.06550933508,-0.01817274646
,Weights,0.1441218223,0.23688985103602725,0.1444225480366655,0.3695657785942616,0.10500000000000001,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.02987230436,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.004600375893,0.007561536084,0.004609975073,0.01179655843,0.003351605336,
,Round 2,0.2750286654,0.17092474458108933,0.3462719222388257,0.20297306241703678,0.07335160533604983,0.0,5,1.06855,,True,True,True,True,True,False,IND,,ROUND 2,0.2573849286,0.1599595195,0.3240577626,0.1899518623,0.06864592704,
,Eliminated,0.07335160534,,IND,ALP+LNP+GRN+ON,5,,,,,,,,,,,,,SWING,,,,,,
,,0.2485440198,0.19307695113499582,0.2854815373205102,0.272897491701825,0.0,0.0,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.06864592704,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.01823110285,0.01416250432,0.02094052906,0.02001746911,,
,Round 3,0.2932597683,0.18508724890023132,0.3672124512950885,0.222990531525547,0.0,0.0,2,1.06855,,True,True,True,True,False,False,LNP,,ROUND 3,0.2744464632,0.1732134658,0.3436549074,0.2086851636,,
,Eliminated,0.1850872489,,LNP,ALP+GRN+ON,2,,,,,,,,,,,,,SWING,,,,,,
,,0.4300661977,0.0,0.15743380233523865,0.41250000000000003,0.0,0.0,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.1732134658,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.07959976937,,0.02913898936,0.07634849017,,
,Round 4 (3CP),0.3728595376,0.0,0.39635144065322064,0.2993390216968924,0.0,0.0,4,1.06855,,True,False,True,True,False,False,ON,,3CP,0.3489397199,,0.3709245619,0.2801357182,,
,Eliminated ,0.2993390217,,ON,ALP+GRN,4,,,,,,,,,,,,,SWING,,,,,,
,,0.4645522388,0.0,0.5354477611940298,0.0,0.0,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.2801357182,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1390586127,,0.160280409,,,
,Round 5 (2CP),0.5119181503,0.0,0.5566318496588328,0.0,0.0,0.0,2.0,1.06855,,True,False,True,False,False,False,ALP,,2CP,0.4790773949,,0.5209226051,,,
,,Primary row,,,,,,,,,,,,,,,,,SWING,-0.1267279343,,0.1267279343,,,
,,91.0,,,,,,,,,,,,,,,,,RESULT,GREENS GAIN,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,#ERROR!,,,,,,,,,,,,,,,,,,,,,,,
,,0,0.24232026672709028,0.7576797332729097,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.2704282895,0.1633632085,0.3416619472,0.191176504,0.07,0.03192005082,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.2191984257,0.21860645705878815,0.5621951172397592,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0.09035142261506017,0.6788595556880475,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.1345419968,0.336205309013953,0.0,0.5292526942333687,0.0,0.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.4645522388,0.0,0.5354477611940298,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.2191984257,0.21860645705878815,0.5621951172397592,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0.24232026672709028,0.7576797332729097,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.3416085351,0.2599024837674093,0.39848898114847087,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.3703703704,0.0,0.4444444444444444,0.0,0.0,0.18518518518518517,,,,,,,,,,,,,,,,,,
