,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,,,,,,,LNP,,,,,,,GRN,,,,,,,ON,,,,,,,IND,,,,,,,OTH,,,,,,
Division,Primary,Primary PVI,2nd Round,3rd Round,3CP,2CP,2PP,Primary,Primary PVI,2nd Round,3rd Round,3CP,2CP,2PP,Primary,Primary PVI,2nd Round,3rd Round,3CP,2CP,2PP,Primary,Primary PVI,2nd Round,3rd Round,3CP,2CP,2PP,Primary,Primary PVI,2nd Round,3rd Round,3CP,2CP,2PP,Primary,Primary PVI,2nd Round,3rd Round,3CP,2CP,2PP
Wentworth,0.1338301745,-0.1959448255,,,,,0.5055555052,0.3636207224,0.03864572244,,,,0.4165678116,0.4944444948,0.1017920693,-0.01900793074,,,,,,0.02377049923,-0.03955450077,,,,,,0.3648,0.2789966336,,,,0.5834321884,,0,-0.071475,,,,,
Sydney,0.5515482662,0.2006482662,,,,0.7094611605,0.7807718487,0.1758524555,-0.1476225445,,,,,0.2192281513,0.2159647176,0.09663971762,,,,0.2905388395,,0.03448050798,-0.03011949202,,,,,,0,,,,,,,0.02215405272,-0.05099594728,,,,,
Kingsford Smith,0.5078682968,0.1585932968,,,,0.6718718476,0.6718718476,0.261509906,-0.05774009402,,,,0.3281281524,0.3281281524,0.1355768067,0.01895180668,,,,,,0.05916353952,-0.007336460477,,,,,,0.03588145099,-0.0368,,,,,,0,-0.070825,,,,,
Bennelong,0.4535114559,0.07971145594,,,,0.5926128292,0.5926128292,0.3506902706,0.03681527064,,,,0.4073871708,0.4073871708,0.1177558008,-0.007969199177,,,,,,0.02307580228,-0.03924919772,,,,,,0,,,,,,,0.05496667031,-0.0007583296907,,,,,
Bradfield,0.2029197341,-0.1441302659,,,,,0.4504732536,0.3803497264,0.06652472639,,,,0.4998841375,0.5495267464,0.06729826563,-0.05010173437,,,,,,0.0153740575,-0.0452009425,,,,,,0.2701,0.1749845747,,,,0.5001158625,,0.02261991765,-0.03228008235,,,,,
Warringah,0.145680839,-0.201469161,,,,,0.5451412159,0.3172113669,-0.0043136331,,,,0.3879803299,0.4548587841,0.08747987293,-0.03682012707,,,,,,0.0172157187,-0.0431842813,,,,,,0.3968,0.3118718221,,,,0.6120196701,,0.02252491405,-0.03510008595,,,,,
Banks,0.3642694699,0.02214446985,,,,0.5238793147,0.5238793147,0.390994087,0.07684408703,,,,0.4761206853,0.4761206853,0.1188254915,-0.01147450852,,,,,,0.03705463183,-0.02319536817,,,,,,0.02016475464,-0.0525,,,,,,0.06869156517,-0.01088343483,,,,,
Cook,0.3147117446,-0.04458825542,,,,0.4280583656,0.4280583656,0.4806231432,0.1668731432,,,,0.5719416344,0.5719416344,0.09942273702,-0.02395226298,,,,,,0.04360497913,-0.01789502087,,,,,,0,,,,,,,0.06163739611,-0.01188760389,,,,,
Barton,0.4712108933,0.1327358933,,,,0.6600334164,0.6600334164,0.2417384518,-0.07308654816,,,,0.3399665836,0.3399665836,0.1589278747,0.02460287466,,,,,,0.05575732109,-0.004492678913,,,,,,0,,,,,,,0.07236545907,-0.01120954093,,,,,
Blaxland,0.4603848721,0.1335348721,,,,0.7190341367,0.7190341367,0.1959233939,-0.1130266061,,,,0.2809658633,0.2809658633,0.07888497572,-0.04591502428,,,,,,0.03551780494,-0.02668219506,,,,,,0.187625164,0.1149,,,,,,0.04166378933,-0.02008621067,,,,,
Grayndler,0.5353992677,0.1926492677,,,,0.6686448168,0.8017550822,0.1431032306,-0.1759467694,,,,,0.1982449178,0.2511499125,0.1185749125,,,,0.3313551832,,0.03161132055,-0.02653867945,,,,,,0.02314255308,-0.0496,,,,,,0.01559371562,-0.05755628438,,,,,
Parramatta,0.4776931783,0.1179681783,,,,0.625475872,0.625475872,0.3072332545,-0.00541674555,,,,0.374524128,0.374524128,0.1210618376,-0.007463162362,,,,,,0.02729704702,-0.03527795298,,,,,,0.0154,-0.0468,,,,,,0.04081695648,-0.02068304352,,,,,
Reid,0.4857484415,0.1276984415,,,,0.620073703,0.620073703,0.3172095597,0.004734559659,,,,0.379926297,0.379926297,0.1153956351,-0.01215436488,,,,,,0.02323720324,-0.03833779676,,,,,,0.03060750664,-0.0421,,,,,,0.02780165387,-0.03634834613,,,,,
Watson,0.4800323539,0.1546573539,,,,0.6651737209,0.7285897095,0.1519303668,-0.1478946332,,,,,0.2714102905,0.08932322476,-0.03735177524,,,,,,0.03228143033,-0.02881856967,,,,,,0.1474,0.0874,,,,0.3348262791,,0.0863051404,0.007855140401,,,,,
Berowra,0.2701439845,-0.07848101551,,,,0.4836546449,0.4836546449,0.4171569985,0.1029319985,,,,0.5163453551,0.5163453551,0.119245812,0.004545811989,,,,,,0.04071196179,-0.01453803821,,,,,,0.1137,0.01933775786,,,,,,0.02839021182,-0.04098478818,,,,,
Mackellar,0.1206916591,-0.2292083409,,,,,0.4634277182,0.35447531,0.03922531002,,,,0.4433914186,0.5365722818,0.06131590476,-0.06028409524,,,,,,0.02525771813,-0.03814228187,,,,,,0.3798,0.3014089627,,,,0.5566085814,,0.03162355718,-0.03232644282,,,,,
Mitchell,0.3322227598,-0.02747724024,,,,0.4619134118,0.4619134118,0.4633191241,0.1505941241,,,,0.5380865882,0.5380865882,0.1373216617,0.01082166166,,,,,,0.04271904923,-0.01735595077,,,,,,0,,,,,,,0.02441740527,-0.04803259473,,,,,
Chifley,0.5265171002,0.1867421002,,,,0.6983246471,0.6983246471,0.1969825754,-0.1186174246,,,,0.3016753529,0.3016753529,0.09756861342,-0.03475638658,,,,,,0.05969982329,-0.004000176706,,,,,,0.01698839108,-0.0557,,,,,,0.1022434965,0.02644349654,,,,,
Fowler,0.3756160021,0.03256600207,,,,0.4732402247,0.6818631776,0.1227054596,-0.1918945404,,,,,0.3181368224,0.06765800856,-0.05919199144,,,,,,0.04126406852,-0.01853593148,,,,,,0.3347177688,0.2540177688,,,,0.5267597753,,0.05803869246,-0.01616130754,,,,,
Greenway,0.5041311858,0.1494061858,,,,0.6376137414,0.6376137414,0.2747311566,-0.03814384337,,,,0.3623862586,0.3623862586,0.1072259257,-0.02259907425,,,,,,0.04573986667,-0.01593513333,,,,,,0.02638314437,-0.0463,,,,,,0.04178872074,-0.02396127926,,,,,
Lindsay,0.3209707986,-0.02015420139,,,,0.472174108,0.472174108,0.3973977544,0.08619775437,,,,0.527825892,0.527825892,0.09593870356,-0.03026129644,,,,,,0.06863244554,0.00358244554,,,,,,0.01119760357,-0.0615,,,,,,0.1058626944,0.02078769435,,,,,
McMahon,0.455225635,0.122050635,,,,0.590197782,0.590197782,0.2679818061,-0.0566431939,,,,0.409802218,0.409802218,0.09120457914,-0.03847042086,,,,,,0.08733070987,0.02478070987,,,,,,0.09825726989,0.0256,,,,,,0,-0.05685,,,,,
Hughes,0.3899587975,0.0216087975,,,,0.5305661529,0.5305661529,0.3645251539,0.04650015387,,,,0.4694338471,0.4694338471,0.114156366,-0.02044363396,,,,,,0.05354290656,-0.01608209344,,,,,,0,,,,,,,0.07781677603,0.03696677603,,,,,
Hume,0.2721807233,-0.07614427675,,,,0.4194355917,0.4194355917,0.4384871364,0.1072871364,,,,0.5805644083,0.5805644083,0.08500306634,-0.04424693366,,,,,,0.08009691657,0.01497191657,,,,,,0.04458765219,-0.0281,,,,,,0.07964450521,0.03324450521,,,,,
Macarthur,0.4819534725,0.1379784725,,,,0.6560575607,0.6560575607,0.2308522922,-0.08149770783,,,,0.3439424393,0.3439424393,0.1284211427,-0.006228857338,,,,,,0.07842969552,0.01785469552,,,,,,0,,,,,,,0.08034339719,0.0004433971947,,,,,
Werriwa,0.4084392905,0.06351429052,,,,0.5677403155,0.5677403155,0.3082041683,-0.01949583172,,,,0.4322596845,0.4322596845,0.1112493437,-0.02207565629,,,,,,0.03993653982,-0.02011346018,,,,,,0.02547538065,-0.0472,,,,,,0.106695277,0.04762027701,,,,,
Dobell,0.4280120278,0.08758702781,,,,0.5942838911,0.5942838911,0.2780415172,-0.03515848279,,,,0.4057161089,0.4057161089,0.1029421718,-0.02350782823,,,,,,0.08740464289,0.02947964289,,,,,,0,,,,,,,0.1035996403,0.01014964033,,,,,
Newcastle,0.4530877653,0.1093127653,,,,0.6580459239,0.7079230783,0.190623095,-0.124201905,,,,,0.2920769217,0.222239669,0.09458966896,,,,0.3419540761,,0.05347015684,-0.01015484316,,,,,,0.008202020948,-0.0645,,,,,,0.07237729296,-0.007147707036,,,,,
Paterson,0.3706395349,0.03746453488,,,,0.568893509,0.568893509,0.272317486,-0.02973251398,,,,0.431106491,0.431106491,0.07560899323,-0.04624100677,,,,,,0.0759309685,0.0134559685,,,,,,0.0972,0.0482,,,,,,0.08457830439,0.002903304386,,,,,
Robertson,0.4475621655,0.08911216552,,,,0.5936646856,0.5936646856,0.3038644629,-8.553709234e-05,,,,0.4063353144,0.4063353144,0.08987512689,-0.02967487311,,,,,,0.06930605245,0.009631052453,,,,,,0.0332732129,-0.0394,,,,,,0.05611897933,-0.02538102067,,,,,
Shortland,0.4460539461,0.09427894605,,,,0.6150701151,0.6150701151,0.2620620121,-0.05343798794,,,,0.3849298849,0.3849298849,0.1133773634,-0.01232263662,,,,,,0.09077034077,0.02264534077,,,,,,0.04444629445,-0.0283,,,,,,0.04329004329,-0.01595995671,,,,,
Macquarie,0.4263524908,0.08362749077,,,,0.5770566519,0.5770566519,0.3157832369,-0.001341763138,,,,0.4229433481,0.4229433481,0.1245704389,-0.005029561096,,,,,,0.08738890661,0.02033890661,,,,,,0,,,,,,,0.04590492685,-0.02904507315,,,,,
Cowper,0.1180025061,-0.2171474939,,,,,0.4092356244,0.3790411658,0.05519116582,,,,0.5254466979,0.5907643756,0.0422518216,-0.0758231784,,,,,,0.06363762937,-0.005662370632,,,,,,0.2935,0.2177850954,,,,0.4745533021,,0.09532649557,0.02027649557,,,,,
Cunningham,0.4469144569,0.09753945693,,,,0.675216932,0.675216932,0.2321994562,-0.09257554385,,,,0.324783068,0.324783068,0.2042364515,0.0827114515,,,,,,0.07590453262,0.02002953262,,,,,,0,,,,,,,0.04074510279,-0.03915489721,,,,,
Whitlam,0.3863112445,0.05506124447,,,,0.5624611219,0.5624611219,0.2827399466,-0.04126005342,,,,0.4375388781,0.4375388781,0.1241172381,-0.002907761901,,,,,,0.07664934685,0.01067434685,,,,,,0.048,0.0129,,,,,,0.0445405979,-0.0172594021,,,,,
Calare,0.104322132,-0.224552868,,,,,0.3774360808,0.2971477505,0.01414775048,,,,0.4322037886,0.6225639192,0.03531670227,-0.08423329773,,,,,,0.07716412433,0.01481412433,,,,,,0.3945533421,0.2791533421,,,,0.5677962114,,0.09149594888,0.001470948883,,,,,
Eden-Monaro,0.4303750187,0.07837501868,,,,0.5721462722,0.5721462722,0.3188219035,-0.002853096519,,,,0.4278537278,0.4278537278,0.1002820111,-0.02546798894,,,,,,0.06957829075,0.01097829075,,,,,,0.0233,-0.04616997983,,,,,,0.04172269535,-0.02600230465,,,,,
Gilmore,0.3812774081,0.03515240808,,,,0.5512953275,0.5512953275,0.3444031228,0.03540312283,,,,0.4487046725,0.4487046725,0.07142535546,-0.04297464454,,,,,,0.05003917049,-0.01683582951,,,,,,0.07537842292,0.0027,,,,,,0.07747652022,0.00127652022,,,,,
Hunter,0.4350419084,0.08421690845,,,,0.5903538935,0.594813382,0.1816928147,-0.1299321853,,,,,0.405186618,0.07419944122,-0.04442555878,,,,,,0.1612848342,0.09838483416,,,,0.4096461065,,0,,,,,,,0.1477810015,0.0603060015,,,,,
Lyne,0.1981435757,-0.1388314243,,,,0.4022039323,0.4022039323,0.3623228166,0.05259781664,,,,0.5977960677,0.5977960677,0.06380429813,-0.05464570187,,,,,,0.0838957476,0.008395747599,,,,,,0.1549428441,0.0822,,,,,,0.1368907179,0.08481571788,,,,,
New England,0.2031815717,-0.1383934283,,,,0.3294037395,0.3294037395,0.5221957917,0.1906957917,,,,0.6705962605,0.6705962605,0.07890962517,-0.04416537483,,,,,,0.09958371959,0.03803371959,,,,,,0.03708044007,-0.03369455993,,,,,,0.05904885173,-0.01167614827,,,,,
Page,0.2203747421,-0.1289252579,,,,0.4071416622,0.4071416622,0.4465769467,0.1206269467,,,,0.5928583378,0.5928583378,0.1511701396,0.0123201396,,,,,,0.05699202558,-0.01515797442,,,,,,0.021,-0.0384,,,,,,0.09058125918,0.05395625918,,,,,
