INNER METRO,ADELAIDE (SA),RAW,,,,,,,,,AliveMask,,,,,,,,"ADELAIDE
(SA)",FULL DISTRIBUTION,,,,,,,,HINDMARSH (SA),RAW,,,,,,,,,AliveMask,,,,,,,,"HINDMARSH
(SA)",FULL DISTRIBUTION,,,,,,,,STURT (SA),RAW,,,,,,,,,AliveMask,,,,,,,,"STURT
(SA)",FULL DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SA,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary,0.3879401491,0.1483372111,0.2103940108,0.184420078,0,0.04967447059,5,0.9807659196,,True,True,True,True,True,True,IND,,ROUND 1,0.3955481541,0.1512462945,0.2145201078,0.1880367928,0,0.05064865081,,,Primary,0.4058629865,0.1423534429,0.1542049431,0.2030561199,0,0.07248671302,5,0.9779642053,,True,True,True,True,True,True,IND,,ROUND 1,0.4150080179,0.1455609951,0.157679537,0.2076314438,0,0.07412000626,,,Primary,0.2806353259,0.2525269274,0.1759846385,0.1728191378,0.0691,0.03865938004,6,0.9897254097,,True,True,True,True,True,True,OTH,,ROUND 1,0.2835486724,0.2551484735,0.1778115796,0.174613217,0.06981734461,0.03906071286,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.06931699499,-0.09041591661,0.02482609701,0.1478576344,0,-0.01295081978,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.06640496852,-0.0854674478,0.0221245939,0.1578941782,-0.01587964898,-0.01226670676,,,Eliminated,0.03865938004,,OTH,ALP+LNP+GRN+ON+IND,6,,,,,,,,,,,,,SWING,-0.06931165356,-0.08827845397,0.02162694113,0.1401663728,-0.002004539166,-0.002198667179,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.234741784,0.13474178403755868,0.28544600938967135,0.11267605633802817,0.0,0.2323943661971831,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.113594041,0.20401406993585763,0.09848955100351749,0.41092489137181876,0.17297744672046347,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.03906071286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.0043914752,0.007887057464,0.003807544982,0.01588610154,0.006687200851,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 2,0.3879401491,0.14833721108082287,0.21039401081611728,0.1844200779570405,0.0,0.04967447058875088,6,0.9807659196,,True,True,True,True,False,True,OTH,,ROUND 2,0.3955481541,0.1512462945,0.2145201078,0.1880367928,,0.05064865081,,,Round 2,0.4058629865,0.1423534428874999,0.15420494305198673,0.20305611989443664,0.0,0.07248671301935611,6,0.9779642053,,True,True,True,True,False,True,OTH,,ROUND 2,0.4150080179,0.1455609951,0.157679537,0.2076314438,,0.07412000626,,,Round 2,0.2850268011,0.2604139849075339,0.17979218348264564,0.18870523932821764,0.07578720085149111,0.0,5,0.9897254097,,True,True,True,True,True,False,IND,,ROUND 2,0.2879857366,0.2631174085,0.1816586517,0.1906642362,0.07657396699,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated,0.04967447059,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.07248671302,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.07578720085,,IND,ALP+LNP+GRN+ON,5,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.2805953693,0.1214167585446527,0.3205622932745314,0.277425578831312,0.0,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.05064865081,,,,,Weights,0.2011929342,0.1649460885524203,0.30373938976829545,0.3301215875200734,0.0,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.07412000626,,,,,Weights,0.2845966416,0.22997827421388967,0.3421539009953525,0.1432711831434581,0.0,0.0,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.07657396699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.01393842642,0.006031313201,0.01592376221,0.01378096876,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.01458381448,0.01195639978,0.02201706998,0.02392942878,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.02156878284,0.01742940966,0.02593088642,0.01085812193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 3,0.4018785756,0.1543685242821307,0.22631777302524553,0.1982010467132637,0.0,0.0,2,0.9807659196,,True,True,True,True,False,False,LNP,,ROUND 3,0.409759931,0.1573958895,0.2307561555,0.202088024,,,,,Round 3,0.4204468009,0.1543098426720645,0.17622201303079552,0.22698554867049847,0.0,0.0,2,0.9779642053,,True,True,True,True,False,False,LNP,,ROUND 3,0.4299204395,0.1577868002,0.1801927024,0.2321000579,,,,,Round 3,0.306595584,0.2778433945668613,0.20572306989950162,0.19956336126134167,0.0,0.0,4,0.9897254097,,True,True,True,True,False,False,ON,,ROUND 3,0.3097784304,0.2807277573,0.2078587332,0.2016350791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
