,,ALP,,LNP,
Party,Votes,Votes,%,Votes,%
Centre Alliance,37453,22724.0,0.606733773,14729.0,0.393266227
Katters,51775,19406.0,0.3748140995,32369.0,0.6251859005
Ind,1126051,756196.0,0.6715468482,369855.0,0.3284531518
ToP,296076,107154.0,0.3619138329,188922.0,0.6380861671
Family First,273681,95831.0,0.3501558384,177850.0,0.6498441616
Libertarian,83474,22918.0,0.2745525553,60556.0,0.7254474447
Legalise Cannabis,186335,113653.0,0.6099390882,72682.0,0.3900609118
Aus Citizens,20770,11584.0,0.5577274916,9186.0,0.4422725084
Gerard Rennick,71892,15914.0,0.2213598175,55978.0,0.7786401825
Animal Justice,35312,23313.0,0.6602004984,11999.0,0.3397995016
Fusion,14374,10663.0,0.7418255183,3711.0,0.2581744817
Christians,31365,7745.0,0.2469312928,23620.0,0.7530687072
Shooters,26968,11398.0,0.4226490656,15570.0,0.5773509344
Socialist Alliance,18653,15344.0,0.8226022624,3309.0,0.1773977376
HEART,5138,1601.0,0.3115998443,3537.0,0.6884001557
Vic Soc,23652,20775.0,0.878361238,2877.0,0.121638762
Indigenous,6306,4223.0,0.6696796702,2083.0,0.3303203298
Aus Democrats,1368,467.0,0.341374269,901.0,0.658625731
Great Australian,1509,608.0,0.4029158383,901.0,0.5970841617
Non-Affiliated,13433,6692.0,0.4981761334,6741.0,0.5018238666
TOTAL,2325585,1268209,0.5453290247,1057376,0.4546709753
