BEAN (ACT),RAW,,,,,,,,BEAN (ACT),HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,LNP,GRN,ON,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH
Index,1,2,3,4,5,6,150.0,,Index,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALP,0.0,0,0,0,0,0,,,ALP,0,0,0,0,0,0,,ALP,0,0.02289440771,0,0,0.9771055923,0,1,,0.9404953318,0.04123615589173084,0.0,0.0,0.018268512313297746,0.0,0.9404953318,0.06413056359725969,0.0,0.0,0.9953741046077689,0.0,0,0.032065281798629844,0.0,0.0,0.49768705230388444,0.0
LNP,0.2020535081,0.0,0,0,0.7979464919,0,,,LNP,0.2020535081,0,0,0,0.7979464919,0,,LNP,0.2020535081,0,0,0,0.7979464919,0,1,,0.7642712717696982,0.0383011155462359,0.0,0.0,0.19742761268406592,0.0,0.9663247798459953,0.0383011155462359,0.0,0.0,0.995374104607769,0.0,0.48316238992299765,0.0,0.0,0.0,0.4976870523038845,0.0
GRN,0.4818079328,0.03013221277,0.0,0,0.4880598545,0,,,GRN,0.4818079328,0.03013221277,0,0,0.4880598545,0,,GRN,0.4818079328,0.03013221277,0,0,0.4880598545,0,1,,0.4735508991132752,0.031627981895039084,0.0,0.0,0.49482111899168574,0.0,0.9553588318794943,0.06176019466535783,0.0,0.0,0.9828809734551478,0.0,0.47767941593974717,0.030880097332678914,0.0,0.0,0.4914404867275739,0.0
ON,0,0,0,0.0,0,0,,,ON,0,0,0,0,0,0,,ON,0.3419307204,0.01506610639,0,0,0.6430031732,0,1,,0.6189110854414868,0.03496454872063749,0.0,0.0,0.34612436583787576,0.0,0.9608418058627448,0.050030655105796865,0.0,0.0,0.9891275390314583,0.0,0.4804209029313724,0.025015327552898432,0.0,0.0,0.49456376951572917,0.0
IND,0,0,0,0,0.0,0,,,IND,0,0,0,0,0,0,,IND,0.9577976462,0.04220235379,0,0,0,0,1,,0.008527133631422596,0.021928209811832314,0.0,0.0,0.9695446565567452,0.0,0.9663247798459952,0.06413056359725969,0.0,0.0,0.9695446565567452,0.0,0.4831623899229976,0.032065281798629844,0.0,0.0,0.0,0.0
OTH,0,0,0,0,0,0.0,,,OTH,0,0,0,0,0,0,,OTH,0.3419307204,0.01506610639,0,0,0.6430031732,0,1,,0.6189110854414868,0.03496454872063749,0.0,0.0,0.34612436583787576,0.0,0.9608418058627448,0.050030655105796865,0.0,0.0,0.9891275390314583,0.0,0.4804209029313724,0.025015327552898432,0.0,0.0,0.49456376951572917,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANBERRA (ACT),RAW,,,,,,,,CANBERRA (ACT),HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,LNP,GRN,ON,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH
Index,1,2,3,4,5,6,151.0,,Index,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALP,0.0,0,0,0,0,0,,,ALP,0,0,0,0,0,0,,ALP,0,0.2646806971,0.5097675803,0,0.2255517226,0,1,,0.596132642,0.16220016270511745,0.15030673595668015,0.0,0.09136045929706027,0.0,0.596132642,0.42688085979673,0.6600743162218636,0.0,0.3169121819402645,0.0,0,0.21344042989836495,0.33003715811093176,0.0,0.15845609097013222,0.0
LNP,0.7330873309,0.0,0.2669126691,0,0,0,,,LNP,0.7330873309,0,0.2669126691,0,0,0,,LNP,0.7330873309,0,0.2669126691,0,0,0,1,,0.16294193024801187,0.2501687613410647,0.3737041547823485,0.0,0.21318515362857507,0.0,0.8960292611213205,0.2501687613410647,0.6406168239090397,0.0,0.21318515362857507,0.0,0.44801463056066015,0.0,0.3203084119545198,0.0,0.1065925768142875,0.0
