BRISBANE (QLD),RAW,,,,,,,,BRISBANE (QLD),HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,LNP,GRN,ON,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH
Index,1,2,3,4,5,6,89.0,,Index,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALP,0.0,0,0,0,0,0,,,ALP,0,0,0,0,0,0,,ALP,0,0.5569575144,0.1891503014,0.2538921841,0,0,1,,0.5603045799,0.18913414998817257,0.12717293795608964,0.12338833216411697,0.0,0.0,0.5603045799,0.7460916644258673,0.316323239390934,0.377280516291578,0.0,0.0,0,0.37304583221293364,0.158161619695467,0.188640258145789,0.0,0.0
LNP,0,0.0,0,0,0,0,,,LNP,0,0,0,0,0,0,,LNP,0.6134122668,0,0.1650477971,0.2215399361,0,0,1,,0.19079722548740294,0.506678275197687,0.14678391913262423,0.15574058018228598,0.0,0.0,0.8042094922632083,0.506678275197687,0.31183171624752704,0.377280516291578,0.0,0.0,0.40210474613160413,0.0,0.15591585812376352,0.188640258145789,0.0,0.0
GRN,0.9140563565,0.08594364351,0.0,0,0,0,,,GRN,0.9140563565,0.08594364351,0,0,0,0,,GRN,0.9140563565,0.08594364351,0,0,0,0,1,,0.0527188851819442,0.5090905563652808,0.18707884439581396,0.2511117140569611,0.0,0.0,0.9667752416694934,0.5950341998777317,0.18707884439581396,0.2511117140569611,0.0,0.0,0.4833876208347467,0.2975170999388658,0.0,0.12555585702848054,0.0,0.0
ON,0.1802575107,0.6809106177,0.1388318716,0.0,0,0,,,ON,0.1802575107,0.6809106177,0.1388318716,0,0,0,,ON,0.1802575107,0.6809106177,0.1388318716,0,0,0,1,,0.5445790801813117,0.11232749201718166,0.1464785599661019,0.19661486783540474,0.0,0.0,0.7248365909109254,0.7932381096697287,0.28531043158394104,0.19661486783540474,0.0,0.0,0.3624182954554627,0.39661905483486437,0.14265521579197052,0.0,0.0,0.0
IND,0,0,0,0,0.0,0,,,IND,0,0,0,0,0,0,,IND,0.4127978347,0.3270466585,0.1110694666,0.1490860403,0,0,1,,0.3290120625656713,0.3409708383680643,0.15275705939768008,0.17726003966858445,0.0,0.0,0.7418098972196168,0.668017496851635,0.2638265259760796,0.32634607995266873,0.0,0.0,0.3709049486098084,0.3340087484258175,0.1319132629880398,0.16317303997633437,0.0,0.0
OTH,0.1440796367,0.2142857143,0.1943765281,0.4472581209,0,0.0,,,OTH,0.1440796367,0.2142857143,0.1943765281,0.4472581209,0,0,,OTH,0.1440796367,0.2142857143,0.1943765281,0.4472581209,0,0,1,,0.38973822233375754,0.40149446672173056,0.1247137738311244,0.08405353711338745,0.0,0.0,0.5338178590784309,0.6157801810074448,0.3190903019484838,0.5313116579656403,0.0,0.0,0.26690892953921547,0.3078900905037224,0.1595451509742419,0.26565582898282014,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LILLEY (QLD),RAW,,,,,,,,LILLEY (QLD),HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
