ADELAIDE (SA),RAW,,,,,,,,ADELAIDE (SA),HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,LNP,GRN,ON,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH
Index,1,2,3,4,5,6,135.0,,Index,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALP,0.0,0,0,0,0,0,,,ALP,0,0,0,0,0,0,,ALP,0,0.515665163,0.3163229545,0.1680118825,0,0,1,,0.6354393754,0.1387161684456405,0.1592596973426395,0.06658475879917475,0.0,0.0,0.6354393754,0.6543813314669137,0.47558265182731063,0.23459664129323038,0.0,0.0,0,0.3271906657334569,0.23779132591365537,0.11729832064661522,0.0,0.0
LNP,0,0.0,0,0,0,0,,,LNP,0,0,0,0,0,0,,LNP,0.6277688207,0,0.2431071593,0.12912402,0,0,1,,0.2395702642170785,0.43032757389834436,0.22462954054463533,0.10547262133994166,0.0,0.0,0.8673390849352998,0.43032757389834436,0.4677366998731253,0.23459664129323038,0.0,0.0,0.43366954246765,0.0,0.2338683499365627,0.11729832064661522,0.0,0.0
GRN,0.8917348512,0.1082651488,0.0,0,0,0,,,GRN,0.8917348512,0.1082651488,0,0,0,0,,GRN,0.8917348512,0.1082651488,0,0,0,0,1,,0.0679654847996841,0.459836597405428,0.30839623552610435,0.16380168226878344,0.0,0.0,0.9597003359795726,0.5681017462255394,0.30839623552610435,0.16380168226878344,0.0,0.0,0.4798501679897864,0.2840508731127698,0.0,0.08190084113439174,0.0,0.0
ON,0.1764438381,0.6217977869,0.201758375,0.0,0,0,,,ON,0.1764438381,0.6217977869,0.201758375,0,0,0,,ON,0.1764438381,0.6217977869,0.201758375,0,0,0,1,,0.5702602379121684,0.11282934103931036,0.20697672981440396,0.10993369123411717,0.0,0.0,0.7467040760203995,0.7346271279121313,0.40873510483335196,0.10993369123411717,0.0,0.0,0.3733520380101998,0.3673135639560657,0.20436755241667603,0.0,0.0,0.0
IND,0,0,0,0,0.0,0,,,IND,0,0,0,0,0,0,,IND,0.4495913529,0.2838265647,0.1741068894,0.09247519294,0,0,1,,0.3497513269481002,0.30818917688335634,0.22987397960874037,0.112185516559803,0.0,0.0,0.799342679827308,0.592015741629218,0.40398086903990016,0.20466070950357368,0.0,0.0,0.3996713399136541,0.29600787081460905,0.20199043451995013,0.10233035475178687,0.0,0.0
OTH,0.2805953693,0.1214167585,0.3205622933,0.2774255788,0,0.0,,,OTH,0.2805953693,0.1214167585,0.3205622933,0.2774255788,0,0,,OTH,0.2805953693,0.1214167585,0.3205622933,0.2774255788,0,0,1,,0.411028258132448,0.3519015922053308,0.17424897348571283,0.06282117617650836,0.0,0.0,0.6916236274819518,0.4733183507499835,0.49481126676024423,0.34024675500782037,0.0,0.0,0.34581181374097597,0.23665917537499181,0.24740563338012217,0.1701233775039102,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDMARSH (SA),RAW,,,,,,,,HINDMARSH (SA),HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,LNP,GRN,ON,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH
Index,1,2,3,4,5,6,136.0,,Index,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALP,0.0,0,0,0,0,0,,,ALP,0,0,0,0,0,0,,ALP,0,0.4202933064,0.2969975173,0.163432867,0.02855425053,0.09072205879,1,,0.5090488821,0.1678396157186427,0.17474695451655173,0.09116549432259276,0.017151873424751836,0.040047179910770815,0.5090488821,0.5881329221027547,0.471744471799591,0.25459836133993,0.04570612395254253,0.1307692386984917,0,0.29406646105137735,0.2358722358997955,0.127299180669965,0.022853061976271266,0.06538461934924585
LNP,0,0.0,0,0,0,0,,,LNP,0,0,0,0,0,0,,LNP,0.4920315411,0,0.2602443146,0.1432081818,0.02502068511,0.07949527734,1,,0.2648479624462658,0.35386716220902037,0.20341091868074276,0.1075569178567618,0.019864258150086467,0.050452780657122734,0.7568795035799409,0.35386716220902037,0.46365523326744484,0.2507650996858814,0.04488494325588159,0.12994805800183074,0.37843975178997047,0.0,0.23182761663372242,0.1253825498429407,0.022442471627940795,0.06497402900091537
GRN,0.8414751687,0.1585248313,0.0,0,0,0,,,GRN,0.8414751687,0.1585248313,0,0,0,0,,GRN,0.8414751687,0.1585248313,0,0,0,0,1,,0.07799921706704889,0.3536663808806193,0.2911712220247805,0.16022675220918123,0.02799409266527681,0.0889423351530932,0.9194743857374694,0.5121912122101988,0.2911712220247805,0.16022675220918123,0.02799409266527681,0.0889423351530932,0.4597371928687347,0.2560956061050994,0.0,0.08011337610459061,0.013997046332638406,0.0444711675765466
ON,0.175698169,0.6304790087,0.1938228223,0.0,0,0,,,ON,0.175698169,0.6304790087,0.1938228223,0,0,0,,ON,0.175698169,0.6304790087,0.1938228223,0,0,0,1,,0.47331265035903447,0.10457049459927975,0.21626049747456166,0.11900460801219515,0.02079194627835338,0.06605980327657564,0.6490108193991676,0.7350495032917155,0.41008331974199275,0.11900460801219515,0.02079194627835338,0.06605980327657564,0.3245054096995838,0.36752475164585774,0.20504165987099637,0.0,0.01039597313917669,0.03302990163828782
IND,0.234741784,0.134741784,0.2854460094,0.1126760563,0.0,0.2323943662,,,IND,0.234741784,0.134741784,0.2854460094,0.1126760563,0,0.2323943662,,IND,0.234741784,0.134741784,0.2854460094,0.1126760563,0,0.2323943662,1,,0.36962605180105373,0.2504792849188578,0.19204692880497048,0.12876749387865732,0.027072647173084302,0.03200759342337635,0.6043678358386124,0.3852210689564165,0.47749293819464184,0.2414435502166855,0.027072647173084302,0.26440195962055946,0.3021839179193062,0.19261053447820825,0.23874646909732092,0.12072177510834275,0.0,0.13220097981027973
OTH,0.186476717,0.1528811397,0.2815224325,0.3059749096,0.07314480119,0.0,,,OTH,0.186476717,0.1528811397,0.2815224325,0.3059749096,0.07314480119,0,,OTH,0.186476717,0.1528811397,0.2815224325,0.3059749096,0.07314480119,0,1,,0.3830458516590306,0.32576963078812776,0.17535338152624805,0.060611922281442375,0.00914989374950864,0.04606931999564262,0.5695225686481864,0.47865077048619287,0.4568758140161481,0.36658683191359204,0.08229469494023796,0.04606931999564262,0.2847612843240932,0.23932538524309643,0.22843790700807404,0.18329341595679602,0.04114734747011898,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STURT (SA),RAW,,,,,,,,STURT (SA),HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,LNP,GRN,ON,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH
Index,1,2,3,4,5,6,137.0,,Index,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
