,,,,,,,,,,,,,,,,,,,,,,,,,,2028 FEDERAL ELECTION PROJECTOR,,,,,,,,,,,,,,,,,,,,SEATS PROJECTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,FIRST PREFERENCE,,,,,,,TWO-PARTY-PREFERRED,,,,,,,SEATS,,,,,,150,OUT OF,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,SEATS,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,NATIONAL,,,GRN,ALP,OTH,IND,LNP,ON,,ALP,,SWING,,LNP,,,ALP,,CROSSBENCH,,LNP,,NATIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALP,,GRN,IND,OTH,ON,LNP
,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.28,0.07,0.07,0.215,0.225,,0.5449932348,,-0.007806765222,,0.4550067652,,,76,-18,32,+19,42,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-94,0,-13,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,-0.0656,-0.0088,-0.0014,-0.1032,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.543767,,,,0.453983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP v GRN,,PRIMARY,,,,,,,,,,,,2CP,,ALP v GRN,,,,,,,,,,,,,,,,LABOR MAJORITY,,,,,,,,,,,,,,,,,LNP v GRN,,PRIMARY,,,,,,,,,,,,2CP,,LNP v GRN,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DIVISION,,ALP,,LNP,,GRN,,ON,,IND,,OTH,,ALP,GRN,SWING,,RESULT,,,,STATE PRIMARIES,,,GRN,ALP,OTH,IND,LNP,ON,,ALP,,SWING,,LNP,,,ALP,,CROSSBENCH,,LNP,,STATE 2PP,,,,DIVISION,,ALP,,LNP,,GRN,,ON,,IND,,OTH,,LNP,GRN,SWING,,RESULT,,,,,,,,,,,,
,,,%,SWING,%,SWING,%,SWING,%,SWING,%,SWING,%,SWING,%,%,,,,,,,NSW,,,0.126125,0.28685,0.058125,0.0935,0.2146,0.2216,,0.5085438631,,-0.04415613688,,0.4914561369,,,25,-3,8,+2,13,+1,NSW,,,,,,%,SWING,%,SWING,%,SWING,%,SWING,%,SWING,%,SWING,%,%,,,,,,,,,,,,,,,
