,,,,,,,,
,,,,,,,,
Division,2022 Margin,2022 Aus 2PP,2022 Lean,2025 Margin,2025 2PP,2025 Aus 2PP,2025 Lean,New PVI
Wentworth,-0.01164449475,0.5213,-0.03294449475,0.005555505248,0.5055555052,0.5528,-0.04724449475,-0.04366949475
Sydney,0.2565718487,,0.2352718487,0.2807718487,0.7807718487,,0.2279718487,0.2297968487
Kingsford Smith,0.1330718476,,0.1117718476,0.1718718476,0.6718718476,,0.1190718476,0.1172468476
Bennelong,-0.000387170801,,-0.0216871708,0.0926128292,0.5926128292,,0.0398128292,0.0244378292
Bradfield,-0.0613267464,,-0.0826267464,-0.0495267464,0.4504732536,,-0.1023267464,-0.0974017464
Warringah,-0.007358784107,,-0.02865878411,0.04514121589,0.5451412159,,-0.007658784107,-0.01290878411
Banks,-0.0264206853,,-0.0477206853,0.0238793147,0.5238793147,,-0.0289206853,-0.0336206853
Cook,-0.1162416344,,-0.1375416344,-0.07194163439,0.4280583656,,-0.1247416344,-0.1279416344
Barton,0.1199334164,,0.09863341637,0.1600334164,0.6600334164,,0.1072334164,0.1050834164
Blaxland,0.1304341367,,0.1091341367,0.2190341367,0.7190341367,,0.1662341367,0.1519591367
Grayndler,0.2662550822,,0.2449550822,0.3017550822,0.8017550822,,0.2489550822,0.2479550822
Parramatta,0.037175872,,0.015875872,0.125475872,0.625475872,,0.072675872,0.058475872
Reid,0.05187370303,,0.03057370303,0.120073703,0.620073703,,0.06727370303,0.05809870303
Watson,0.1515897095,,0.1302897095,0.2285897095,0.7285897095,,0.1757897095,0.1644147095
Berowra,-0.07564535512,,-0.09694535512,-0.01634535512,0.4836546449,,-0.06914535512,-0.07609535512
Mackellar,-0.07867228178,,-0.09997228178,-0.03657228178,0.4634277182,,-0.08937228178,-0.09202228178
Mitchell,-0.1048865882,,-0.1261865882,-0.03808658823,0.4619134118,,-0.09088658823,-0.09971158823
Chifley,0.1365246471,,0.1152246471,0.1983246471,0.6983246471,,0.1455246471,0.1379496471
Fowler,0.0589631776,,0.0376631776,0.1818631776,0.6818631776,,0.1290631776,0.1062131776
Greenway,0.07941374142,,0.05811374142,0.1376137414,0.6376137414,,0.08481374142,0.07813874142
Lindsay,-0.06112589204,,-0.08242589204,-0.02782589204,0.472174108,,-0.08062589204,-0.08107589204
McMahon,0.104797782,,0.08349778198,0.09019778198,0.590197782,,0.03739778198,0.04892278198
Hughes,-0.03463384709,,-0.05593384709,0.03056615291,0.5305661529,,-0.02223384709,-0.03065884709
Hume,-0.0686644083,,-0.0899644083,-0.0805644083,0.4194355917,,-0.1333644083,-0.1225144083
Macarthur,0.09755756073,,0.07625756073,0.1560575607,0.6560575607,,0.1032575607,0.09650756073
Werriwa,0.05344031547,,0.03214031547,0.06774031547,0.5677403155,,0.01494031547,0.01924031547
Dobell,0.06558389105,,0.04428389105,0.09428389105,0.5942838911,,0.04148389105,0.04218389105
Newcastle,0.1794230783,,0.1581230783,0.2079230783,0.7079230783,,0.1551230783,0.1558730783
Paterson,0.02599350898,,0.004693508979,0.06889350898,0.568893509,,0.01609350898,0.01324350898
Robertson,0.02226468565,,0.000964685649,0.09366468565,0.5936646856,,0.04086468565,0.03088968565
Shortland,0.05997011507,,0.03867011507,0.1150701151,0.6150701151,,0.06227011507,0.05637011507
Macquarie,0.06325665193,,0.04195665193,0.07705665193,0.5770566519,,0.02425665193,0.02868165193
Cowper,-0.09526437555,,-0.1165643756,-0.09076437555,0.4092356244,,-0.1435643756,-0.1368143756
Cunningham,0.150716932,,0.129416932,0.175216932,0.675216932,,0.122416932,0.124166932
Whitlam,0.08306112189,,0.06176112189,0.06246112189,0.5624611219,,0.009661121885,0.02268612189
Calare,-0.1544639192,,-0.1757639192,-0.1225639192,0.3774360808,,-0.1753639192,-0.1754639192
Eden-Monaro,0.06084627222,,0.03954627222,0.07214627222,0.5721462722,,0.01934627222,0.02439627222
Gilmore,0.001695327456,,-0.01960467254,0.05129532746,0.5512953275,,-0.001504672544,-0.006029672544
Hunter,0.04781338205,,0.02651338205,0.09481338205,0.594813382,,0.04201338205,0.03813838205
Lyne,-0.1379960677,,-0.1592960677,-0.09779606767,0.4022039323,,-0.1505960677,-0.1527710677
New England,-0.1520962605,,-0.1733962605,-0.1705962605,0.3294037395,,-0.2233962605,-0.2108962605
Page,-0.1064583378,,-0.1277583378,-0.09285833783,0.4071416622,,-0.1456583378,-0.1411833378
Parkes,-0.1814967212,,-0.2027967212,-0.1296967212,0.3703032788,,-0.1824967212,-0.1875717212
Richmond,0.08233620703,,0.06103620703,0.100036207,0.600036207,,0.04723620703,0.05068620703
Farrer,-0.1634580771,,-0.1847580771,-0.1288580771,0.3711419229,,-0.1816580771,-0.1824330771
Riverina,-0.09710822586,,-0.1184082259,-0.1262082259,0.3737917741,,-0.1790082259,-0.1638582259
Chisholm,0.03330886479,,0.01200886479,0.05700886479,0.5570088648,,0.004208864792,0.006158864792
Goldstein,-0.0372,,-0.0585,-0.0397,0.4603,,-0.0925,-0.084
Hotham,0.1158936485,,0.09459364849,0.1685936485,0.6685936485,,0.1157936485,0.1104936485
Kooyong,-0.03741873558,,-0.05871873558,-0.02371873558,0.4762812644,,-0.07651873558,-0.07206873558
Macnamara,0.1216513245,,0.1003513245,0.1179513245,0.6179513245,,0.06515132452,0.07395132452
Cooper,0.2571159333,,0.2358159333,0.2853159333,0.7853159333,,0.2325159333,0.2333409333
Melbourne,0.2309073311,,0.2096073311,0.2397073311,0.7397073311,,0.1869073311,0.1925823311
Wills,0.2709098687,,0.2496098687,0.3086098687,0.8086098687,,0.2558098687,0.2542598687
Fraser,0.1656303963,,0.1443303963,0.2202303963,0.7202303963,,0.1674303963,0.1616553963
Gellibrand,0.1120237448,,0.0907237448,0.1510237448,0.6510237448,,0.0982237448,0.0963487448
Maribyrnong,0.1302557497,,0.1089557497,0.1264557497,0.6264557497,,0.07365574971,0.08248074971
Aston,-0.02612112627,,-0.04742112627,0.03427887373,0.5342788737,,-0.01852112627,-0.02574612627
Deakin,-0.0001722735419,,-0.02147227354,0.02822772646,0.5282277265,,-0.02457227354,-0.02379727354
Menzies,0.004174010783,,-0.01712598922,0.01077401078,0.5107740108,,-0.04202598922,-0.03580098922
Calwell,0.1238634072,,0.1025634072,0.1470634072,0.6470634072,,0.09426340725,0.09633840725
Jagajaga,0.1220905382,,0.1007905382,0.1287905382,0.6287905382,,0.07599053817,0.08219053817
Scullin,0.1543333471,,0.1330333471,0.1429333471,0.6429333471,,0.09013334714,0.1008583471
Bruce,0.05306326009,,0.03176326009,0.1461632601,0.6461632601,,0.09336326009,0.07796326009
Dunkley,0.06769260976,,0.04639260976,0.07079260976,0.5707926098,,0.01799260976,0.02509260976
Holt,0.07108457988,,0.04978457988,0.1402845799,0.6402845799,,0.08748457988,0.07805957988
Isaacs,0.0951031854,,0.0738031854,0.1434031854,0.6434031854,,0.0906031854,0.0864031854
Gorton,0.09983875518,,0.07853875518,0.1028387552,0.6028387552,,0.05003875518,0.05716375518
Lalor,0.1279360944,,0.1066360944,0.1321360944,0.6321360944,,0.07933609444,0.08616109444
