,ALP,LNP,GRN,ON,IND,OTH
Wentworth,,0.4276,,,0.5724,
Sydney,0.6507,,0.3493,,,
Kingsford Smith,0.6223,,,0.3777,,
Bennelong,0.5656,0.4344,,,,
Bradfield,,0.5076,,,0.4924,
Warringah,,0.4075,,,0.5925,
Banks,0.4967,0.5033,,,,
Cook,0.4043,0.5957,,,,
Barton,0.601,,,0.399,,
Blaxland,0.6643,,,0.3357,,
Grayndler,0.6217,,0.3783,,,
Parramatta,0.6022,0.3978,,,,
Reid,0.6005,0.3995,,,,
Watson,0.6857,,,0.3143,,
Berowra,0.4525,0.5475,,,,
Mackellar,,0.4534,,,0.5466,
Mitchell,0.4351,0.5649,,,,
Chifley,0.6334,,,0.3666,,
Fowler,0.4493,,,,0.5507,
Greenway,0.5926,,,0.4074,,
Lindsay,0.4587,0.5413,,,,
McMahon,0.5591,,,0.4409,,
Hughes,0.4984,0.5016,,,,
Hume,,0.5297,,0.4703,,
Macarthur,0.5757,,,0.4243,,
Werriwa,0.5472,,,0.4528,,
Dobell,0.5277,,,0.4723,,
Newcastle,0.7022,,,0.2978,,
Paterson,0.5215,,,0.4785,,
Robertson,0.5388,,,0.4612,,
Shortland,0.5417,,,0.4583,,
Macquarie,0.535,,,0.465,,
Cowper,,0.5237,,,0.4763,
Cunningham,0.603,,,0.397,,
Whitlam,0.5143,,,0.4857,,
Calare,,,,0.5006,0.4994,
Eden-Monaro,0.5329,,,0.4671,,
Gilmore,0.5271,0.4729,,,,
Hunter,0.4984,,,0.5016,,
Lyne,,0.5483,,0.4517,,
New England,,0.5639,,0.4361,,
Page,0.3868,0.6132,,,,
Parkes,,0.484,,0.516,,
Richmond,,,0.6398,0.3602,,
Farrer,,0.5685,,0.4315,,
Riverina,,0.5041,,0.4959,,
Chisholm,0.5436,0.4564,,,,
Goldstein,,0.5018,,,0.4982,
Hotham,0.6246,,,0.3754,,
Kooyong,,0.4689,,,0.5311,
Macnamara,0.6351,0.3649,,,,
Cooper,0.6035,,0.3965,,,
Melbourne,0.4958,,0.5042,,,
Wills,0.4853,,0.5147,,,
Fraser,0.5486,,0.4514,,,
Gellibrand,0.6106,,,0.3894,,
Maribyrnong,0.5937,,,0.4063,,
Aston,0.5085,0.4915,,,,
Deakin,0.5076,0.4924,,,,
Menzies,0.4969,0.5031,,,,
Calwell,0.6035,,,0.3965,,
Jagajaga,0.6082,,,0.3918,,
Scullin,0.5609,,,0.4391,,
Bruce,0.5588,,,0.4412,,
Dunkley,0.5436,,,0.4564,,
Holt,0.5603,,,0.4397,,
Isaacs,0.6105,,,0.3895,,
Gorton,0.551,,,0.449,,
Lalor,0.5783,,,0.4217,,
La Trobe,0.4477,0.5523,,,,
Ballarat,0.5672,,,0.4328,,
Bendigo,0.4967,0.5033,,,,
Corangamite,0.5621,0.4379,,,,
Corio,0.5815,,,0.4185,,
Hawke,0.4928,,,0.5072,,
Casey,0.455,0.545,,,,
Flinders,,0.6384,,,0.3616,
Gippsland,,0.5599,,0.4401,,
Monash,,0.5063,,,0.4937,
Indi,,,,0.4659,0.5341,
McEwen,0.5165,,,0.4835,,
Nicholls,,0.6111,,,0.3889,
Mallee,,0.5352,,0.4648,,
Wannon,,0.5462,,,0.4538,
Brisbane,0.5943,0.4057,,,,
Lilley,0.6072,,,0.3928,,
Griffith,0.4968,,0.5032,,,
Moreton,0.6257,,,0.3743,,
Bonner,0.5153,0.4847,,,,
Bowman,0.4519,0.5481,,,,
Dickson,0.5049,0.4951,,,,
Petrie,0.4822,0.5178,,,,
Fadden,,0.5201,,0.4799,,
Forde,0.4544,,,0.5456,,
Oxley,0.6282,,,0.3718,,
Rankin,0.5866,,,0.4134,,
Ryan,,0.4595,0.5405,,,
Blair,0.4685,,,0.5315,,
Capricornia,0.3938,,,0.6062,,
Herbert,,0.5944,,0.4056,,
Hinkler,0.3855,,,0.6145,,
Longman,0.4515,,,0.5485,,
Groom,,0.5446,,0.4554,,
McPherson,0.4297,0.5703,,,,
Moncrieff,,0.5499,,0.4501,,
Dawson,,0.5012,,0.4988,,
Kennedy,,,,0.3199,,0.6801
Leichhardt,0.4554,,,0.5446,,
Flynn,0.3744,,,0.6256,,
Fairfax,0.4245,0.5755,,,,
Fisher,0.4149,0.5851,,,,
Maranoa,,0.5403,,0.4597,,
Wide Bay,,0.4861,,0.5139,,
Wright,0.3535,,,0.6465,,
Cowan,0.5925,,,0.4075,,
Curtin,,0.469,,,0.531,
Perth,1.0,,,,,
Fremantle,0.4641,,,,0.5359,
Swan,0.601,,,0.399,,
