Eliminated,AliveSet,Recipient,Votes,ScenarioTotal,Share,Seats
ALP,LNP+GRN+ON+IND+OTH,GRN,23407.0,94792.0,0.2469301206852899,1.0
ALP,LNP+GRN+ON+IND+OTH,IND,16372.0,94792.0,0.17271499704616422,1.0
ALP,LNP+GRN+ON+IND+OTH,LNP,31462.0,94792.0,0.33190564604607986,1.0
ALP,LNP+GRN+ON+IND+OTH,ON,8451.0,94792.0,0.08915309308802431,1.0
ALP,LNP+GRN+ON+IND+OTH,OTH,15100.0,94792.0,0.15929614313444174,1.0
ALP,LNP+GRN,GRN,23407.0,30893.0,0.7576797332729097,1.0
ALP,LNP+GRN,LNP,7486.0,30893.0,0.24232026672709028,1.0
ALP,LNP+IND,IND,183888.0,263927.0,0.6967381131903898,13.0
ALP,LNP+IND,LNP,80039.0,263927.0,0.30326188680961025,13.0
ALP,LNP+ON+IND,IND,60404.0,101649.0,0.5942409664630247,2.0
ALP,LNP+ON+IND,LNP,38527.0,101649.0,0.37901996084565515,2.0
ALP,LNP+ON+IND,ON,2718.0,101649.0,0.026739072691320132,2.0
ALP,LNP+IND+OTH,IND,104568.0,150239.0,0.6960110224375828,2.0
ALP,LNP+IND+OTH,LNP,35151.0,150239.0,0.233967212241828,2.0
ALP,LNP+IND+OTH,OTH,10520.0,150239.0,0.0700217653205892,2.0
ALP,LNP+ON,LNP,12116.0,20567.0,0.5890990421549084,1.0
ALP,LNP+ON,ON,8451.0,20567.0,0.4109009578450917,1.0
ALP,LNP+OTH,LNP,6391.0,21491.0,0.2973802987297008,1.0
ALP,LNP+OTH,OTH,15100.0,21491.0,0.7026197012702992,1.0
GRN,ALP+LNP+IND,ALP,148715.0,297535.0,0.4998235501705682,27.0
GRN,ALP+LNP+IND,IND,125156.0,297535.0,0.42064294956895826,27.0
GRN,ALP+LNP+IND,LNP,23664.0,297535.0,0.07953350026047355,27.0
GRN,ALP+LNP+ON+IND,ALP,241145.0,372558.0,0.647268344794636,12.0
GRN,ALP+LNP+ON+IND,IND,60588.0,372558.0,0.16262702720113378,12.0
GRN,ALP+LNP+ON+IND,LNP,56893.0,372558.0,0.1527091083804401,12.0
GRN,ALP+LNP+ON+IND,ON,13932.0,372558.0,0.03739551962379012,12.0
GRN,ALP+LNP+ON+IND+OTH,ALP,1231531.0,1676352.0,0.734649405375482,7.0
GRN,ALP+LNP+ON+IND+OTH,IND,123130.0,1676352.0,0.07345116061543161,7.0
GRN,ALP+LNP+ON+IND+OTH,LNP,260177.0,1676352.0,0.1552042769060436,7.0
GRN,ALP+LNP+ON+IND+OTH,ON,40387.0,1676352.0,0.024092195433894553,7.0
GRN,ALP+LNP+ON+IND+OTH,OTH,21127.0,1676352.0,0.012602961669148247,7.0
GRN,ALP+LNP,ALP,1090982.0,1333078.0,0.8183932223020709,73.0
GRN,ALP+LNP,LNP,242096.0,1333078.0,0.18160677769792916,73.0
GRN,ALP+LNP+ON,ALP,169256.0,245192.0,0.6902998466507879,21.0
GRN,ALP+LNP+ON,LNP,39891.0,245192.0,0.16269291004600475,21.0
GRN,ALP+LNP+ON,ON,36045.0,245192.0,0.14700724330320727,21.0
GRN,ALP+LNP+ON+OTH,ALP,25373.0,41539.0,0.6108235633982523,6.0
GRN,ALP+LNP+ON+OTH,LNP,4886.0,41539.0,0.11762440116517008,6.0
GRN,ALP+LNP+ON+OTH,ON,4438.0,41539.0,0.1068393557861287,6.0
GRN,ALP+LNP+ON+OTH,OTH,6842.0,41539.0,0.16471267965044897,6.0
GRN,ALP+LNP+OTH,ALP,16539.0,29192.0,0.5665593313236503,2.0
GRN,ALP+LNP+OTH,LNP,2468.0,29192.0,0.08454371060564539,2.0
GRN,ALP+LNP+OTH,OTH,10185.0,29192.0,0.3488969580707043,2.0
IND,ALP+LNP+GRN,ALP,28305.0,82858.0,0.3416085350841198,9.0
IND,ALP+LNP+GRN,GRN,33018.0,82858.0,0.39848898114847087,9.0
IND,ALP+LNP+GRN,LNP,21535.0,82858.0,0.2599024837674093,9.0
IND,ALP+LNP+GRN+ON,ALP,20442.0,82247.0,0.24854401984266902,16.0
IND,ALP+LNP+GRN+ON,GRN,23480.0,82247.0,0.2854815373205102,16.0
IND,ALP+LNP+GRN+ON,LNP,15880.0,82247.0,0.19307695113499582,16.0
IND,ALP+LNP+GRN+ON,ON,22445.0,82247.0,0.272897491701825,16.0
IND,ALP+LNP+GRN+ON+OTH,ALP,281102.0,633522.0,0.4437130833656921,32.0
IND,ALP+LNP+GRN+ON+OTH,GRN,83322.0,633522.0,0.13152187295784518,32.0
IND,ALP+LNP+GRN+ON+OTH,LNP,178648.0,633522.0,0.2819917856049198,32.0
IND,ALP+LNP+GRN+ON+OTH,ON,49308.0,633522.0,0.0778315512326328,32.0
IND,ALP+LNP+GRN+ON+OTH,OTH,41142.0,633522.0,0.0649417068389101,32.0
IND,ALP+LNP,ALP,220080.0,351229.0,0.6265997397709187,16.0
IND,ALP+LNP,LNP,131149.0,351229.0,0.3734002602290813,16.0
IND,ALP+LNP+ON,ALP,6367.0,13822.0,0.46064245405874693,1.0
IND,ALP+LNP+ON,LNP,4350.0,13822.0,0.31471567066994643,1.0
IND,ALP+LNP+ON,ON,3105.0,13822.0,0.2246418752713066,1.0
LNP,ALP+GRN,ALP,178961.0,242988.0,0.7365013910151942,10.0
LNP,ALP+GRN,GRN,64027.0,242988.0,0.2634986089848058,10.0
LNP,ALP+GRN+IND,ALP,88110.0,149599.0,0.5889745252307836,2.0
LNP,ALP+GRN+IND,GRN,28686.0,149599.0,0.19175261866723708,2.0
LNP,ALP+GRN+IND,IND,32803.0,149599.0,0.2192728561019793,2.0
LNP,ALP+GRN+ON+IND,ALP,65430.0,125258.0,0.5223618451516071,1.0
LNP,ALP+GRN+ON+IND,GRN,21331.0,125258.0,0.17029650800747256,1.0
LNP,ALP+GRN+ON+IND,IND,18581.0,125258.0,0.14834182247840458,1.0
LNP,ALP+GRN+ON+IND,ON,19916.0,125258.0,0.15899982436251578,1.0
LNP,ALP+IND,ALP,67482.0,198507.0,0.33994770965255633,10.0
LNP,ALP+IND,IND,131025.0,198507.0,0.6600522903474436,10.0
LNP,ALP+ON,ALP,4954.0,24870.0,0.1991958182549256,1.0
LNP,ALP+ON,ON,19916.0,24870.0,0.8008041817450744,1.0
LNP,ALP+OTH,ALP,12582.0,73502.0,0.1711790155369922,2.0
LNP,ALP+OTH,OTH,60920.0,73502.0,0.8288209844630078,2.0
ON,ALP+LNP+GRN+IND,ALP,13343.0,137885.0,0.09676904666932588,25.0
ON,ALP+LNP+GRN+IND,GRN,10316.0,137885.0,0.07481596982993075,25.0
ON,ALP+LNP+GRN+IND,IND,37665.0,137885.0,0.27316241795699314,25.0
ON,ALP+LNP+GRN+IND,LNP,76561.0,137885.0,0.5552525655437502,25.0
ON,ALP+LNP+GRN+IND+OTH,ALP,294207.0,1495796.0,0.19668925441704618,13.0
ON,ALP+LNP+GRN+IND+OTH,GRN,148098.0,1495796.0,0.09900949059898542,13.0
ON,ALP+LNP+GRN+IND+OTH,IND,104375.0,1495796.0,0.06977890033132861,13.0
ON,ALP+LNP+GRN+IND+OTH,LNP,911344.0,1495796.0,0.6092702480819577,13.0
ON,ALP+LNP+GRN+IND+OTH,OTH,37772.0,1495796.0,0.0252521065706821,13.0
ON,ALP+LNP+GRN,ALP,118465.0,641269.0,0.18473526710319693,70.0
ON,ALP+LNP+GRN,GRN,131111.0,641269.0,0.20445554049860512,70.0
ON,ALP+LNP+GRN,LNP,391693.0,641269.0,0.610809192398198,70.0
ON,ALP+LNP+GRN+OTH,ALP,5598.0,43473.0,0.12876958111931544,6.0
ON,ALP+LNP+GRN+OTH,GRN,4512.0,43473.0,0.10378855841556828,6.0
ON,ALP+LNP+GRN+OTH,LNP,20140.0,43473.0,0.46327605640282477,6.0
ON,ALP+LNP+GRN+OTH,OTH,13223.0,43473.0,0.30416580406229154,6.0
ON,ALP+LNP+IND,ALP,14751.0,126554.0,0.11655893926703226,10.0
ON,ALP+LNP+IND,IND,49924.0,126554.0,0.39448772855855996,10.0
ON,ALP+LNP+IND,LNP,61879.0,126554.0,0.4889533321744078,10.0
ON,ALP+LNP+IND+OTH,ALP,1641.0,10662.0,0.15391108610016882,1.0
ON,ALP+LNP+IND+OTH,IND,1390.0,10662.0,0.13036953667229412,1.0
ON,ALP+LNP+IND+OTH,LNP,3191.0,10662.0,0.29928718814481337,1.0
ON,ALP+LNP+IND+OTH,OTH,4440.0,10662.0,0.41643218908272367,1.0
ON,ALP+LNP,ALP,135864.0,474391.0,0.28639666435493083,25.0
ON,ALP+LNP,LNP,338527.0,474391.0,0.7136033356450692,25.0
ON,ALP+LNP+OTH,ALP,933.0,9593.0,0.09725841759616387,1.0
ON,ALP+LNP+OTH,LNP,2256.0,9593.0,0.23517147920358594,1.0
ON,ALP+LNP+OTH,OTH,6404.0,9593.0,0.6675701032002502,1.0
ON,LNP+IND,IND,4639.0,12657.0,0.3665165521055542,1.0
ON,LNP+IND,LNP,8018.0,12657.0,0.6334834478944458,1.0
OTH,ALP+LNP+GRN+IND,ALP,11774.0,60146.0,0.19575699132111862,6.0
OTH,ALP+LNP+GRN+IND,GRN,11967.0,60146.0,0.19896584976557044,6.0
OTH,ALP+LNP+GRN+IND,IND,22074.0,60146.0,0.3670069497555947,6.0
