Division,DivisionKey,State,Classification,ReviewPriority,SuggestedKToTest,UseOverride,SeatShrinkageK,Rationale
Monash,MONASH,VIC,Rural,Critical,0.5,False,,
Hughes,HUGHES,NSW,Outer metro,Critical,0.5,False,,
Moore,MOORE,WA,Outer metro,Critical,0.5,False,,
Deakin,DEAKIN,VIC,Outer metro,Critical,0.5,False,,
Flynn,FLYNN,QLD,Rural,High,0.5,False,,
Bendigo,BENDIGO,VIC,Provincial,Medium,,False,,
Fenner,FENNER,ACT,Inner metro,Medium,,False,,
Bean,BEAN,ACT,Inner metro,Medium,,False,,
Macnamara,MACNAMARA,VIC,Inner metro,Medium,,False,,
Ryan,RYAN,QLD,Outer metro,Medium,,False,,
Boothby,BOOTHBY,SA,Outer metro,Medium,,False,,
Paterson,PATERSON,NSW,Provincial,Medium,,False,,
Lingiari,LINGIARI,NT,Rural,Medium,,False,,
Whitlam,WHITLAM,NSW,Provincial,Medium,,False,,
Fisher,FISHER,QLD,Rural,Medium,,False,,
Banks,BANKS,NSW,Inner metro,Medium,,False,,
Bradfield,BRADFIELD,NSW,Inner metro,Medium,,False,,
Lindsay,LINDSAY,NSW,Outer metro,Medium,,False,,
Melbourne,MELBOURNE,VIC,Inner metro,Medium,,False,,
Solomon,SOLOMON,NT,Inner metro,Medium,,False,,
Sydney,SYDNEY,NSW,Inner metro,Medium,,False,,
Fremantle,FREMANTLE,WA,Inner metro,Medium,,False,,
Flinders,FLINDERS,VIC,Rural,Medium,,False,,
Blaxland,BLAXLAND,NSW,Inner metro,Medium,,False,,
Parkes,PARKES,NSW,Rural,Medium,,False,,
Warringah,WARRINGAH,NSW,Inner metro,Medium,,False,,
Kooyong,KOOYONG,VIC,Inner metro,Medium,,False,,
Mackellar,MACKELLAR,NSW,Outer metro,Medium,,False,,
Curtin,CURTIN,WA,Inner metro,Medium,,False,,
Werriwa,WERRIWA,NSW,Outer metro,Medium,,False,,
Hinkler,HINKLER,QLD,Provincial,Medium,,False,,
Kennedy,KENNEDY,QLD,Rural,Medium,,False,,
Corio,CORIO,VIC,Provincial,Medium,,False,,
Herbert,HERBERT,QLD,Provincial,Medium,,False,,
Fraser,FRASER,VIC,Inner metro,Medium,,False,,
Cowper,COWPER,NSW,Provincial,Medium,,False,,
Wentworth,WENTWORTH,NSW,Inner metro,Medium,,False,,
Fowler,FOWLER,NSW,Outer metro,Medium,,False,,
McMahon,MCMAHON,NSW,Outer metro,Medium,,False,,
Cooper,COOPER,VIC,Inner metro,Medium,,False,,
Mayo,MAYO,SA,Rural,Medium,,False,,
Wills,WILLS,VIC,Inner metro,Medium,,False,,
Indi,INDI,VIC,Rural,Medium,,False,,
Clark,CLARK,TAS,Inner metro,Medium,,False,,
McEwen,MCEWEN,VIC,Rural,Low,,False,,
Dunkley,DUNKLEY,VIC,Outer metro,Low,,False,,
Brand,BRAND,WA,Outer metro,Low,,False,,
Holt,HOLT,VIC,Outer metro,Low,,False,,
Wide Bay,WIDE BAY,QLD,Rural,Low,,False,,
Gorton,GORTON,VIC,Outer metro,Low,,False,,
Fadden,FADDEN,QLD,Outer metro,Low,,False,,
Braddon,BRADDON,TAS,Rural,Low,,False,,
Longman,LONGMAN,QLD,Provincial,Low,,False,,
Forde,FORDE,QLD,Outer metro,Low,,False,,
Pearce,PEARCE,WA,Outer metro,Low,,False,,
Bowman,BOWMAN,QLD,Outer metro,Low,,False,,
Cook,COOK,NSW,Inner metro,Low,,False,,
Dawson,DAWSON,QLD,Rural,Low,,False,,
Barton,BARTON,NSW,Inner metro,Low,,False,,
Dickson,DICKSON,QLD,Outer metro,Low,,False,,
Adelaide,ADELAIDE,SA,Inner metro,Low,,False,,
Petrie,PETRIE,QLD,Outer metro,Low,,False,,
Casey,CASEY,VIC,Rural,Low,,False,,
La Trobe,LA TROBE,VIC,Provincial,Low,,False,,
Swan,SWAN,WA,Inner metro,Low,,False,,
Canning,CANNING,WA,Outer metro,Low,,False,,
Dobell,DOBELL,NSW,Provincial,Low,,False,,
Brisbane,BRISBANE,QLD,Inner metro,Low,,False,,
Forrest,FORREST,WA,Rural,Low,,False,,
Tangney,TANGNEY,WA,Inner metro,Low,,False,,
Maranoa,MARANOA,QLD,Rural,Low,,False,,
Riverina,RIVERINA,NSW,Rural,Low,,False,,
Bullwinkel,BULLWINKEL,WA,Outer metro,Low,,False,,
Fairfax,FAIRFAX,QLD,Rural,Low,,False,,
Cowan,COWAN,WA,Inner metro,Low,,False,,
Makin,MAKIN,SA,Outer metro,Low,,False,,
Page,PAGE,NSW,Rural,Low,,False,,
Lilley,LILLEY,QLD,Inner metro,Low,,False,,
Lyons,LYONS,TAS,Rural,Low,,False,,
Groom,GROOM,QLD,Provincial,Low,,False,,
Hasluck,HASLUCK,WA,Outer metro,Low,,False,,
Newcastle,NEWCASTLE,NSW,Provincial,Low,,False,,
Gilmore,GILMORE,NSW,Rural,Low,,False,,
Gippsland,GIPPSLAND,VIC,Rural,Low,,False,,
Griffith,GRIFFITH,QLD,Inner metro,Low,,False,,
Macquarie,MACQUARIE,NSW,Provincial,Low,,False,,
Chisholm,CHISHOLM,VIC,Inner metro,Low,,False,,
Cunningham,CUNNINGHAM,NSW,Provincial,Low,,False,,
Moreton,MORETON,QLD,Inner metro,Low,,False,,
Robertson,ROBERTSON,NSW,Provincial,Low,,False,,
Goldstein,GOLDSTEIN,VIC,Inner metro,Low,,False,,
Jagajaga,JAGAJAGA,VIC,Outer metro,Low,,False,,
Capricornia,CAPRICORNIA,QLD,Provincial,Low,,False,,
Richmond,RICHMOND,NSW,Rural,Low,,False,,
Bass,BASS,TAS,Provincial,Low,,False,,
Grey,GREY,SA,Rural,Low,,False,,
McPherson,MCPHERSON,QLD,Provincial,Low,,False,,
Bonner,BONNER,QLD,Outer metro,Low,,False,,
Menzies,MENZIES,VIC,Outer metro,Low,,False,,
Bruce,BRUCE,VIC,Outer metro,Low,,False,,
Kingston,KINGSTON,SA,Outer metro,Low,,False,,
Oxley,OXLEY,QLD,Outer metro,Low,,False,,
Mitchell,MITCHELL,NSW,Outer metro,Low,,False,,
Sturt,STURT,SA,Inner metro,Low,,False,,
