Division,State,ALP_primary,LNP_primary,GRN_primary,ON_primary,IND_primary,OTH_primary,ALP_3CP,LNP_3CP,GRN_3CP,ON_3CP,IND_3CP,OTH_3CP,ALP_2CP,LNP_2CP,GRN_2CP,ON_2CP,IND_2CP,OTH_2CP,ALP_2PP,LNP_2PP,GRN_2PP,ON_2PP,IND_2PP,OTH_2PP
Wentworth,NSW,13.38%,36.36%,10.18%,2.38%,37.70%,0.00%,,,,,,,,41.66%,,,58.34%,,50.56%,49.44%,,,,
Sydney,NSW,55.15%,17.59%,21.60%,3.45%,0.00%,2.22%,,,,,,,70.95%,,29.05%,,,,78.08%,21.92%,,,,
Kingsford Smith,NSW,50.79%,26.15%,13.56%,5.92%,3.59%,0.00%,,,,,,,67.19%,32.81%,,,,,67.19%,32.81%,,,,
Bennelong,NSW,45.35%,35.07%,11.78%,2.31%,0.00%,5.50%,,,,,,,59.26%,40.74%,,,,,59.26%,40.74%,,,,
Bradfield,NSW,20.29%,38.03%,6.73%,1.54%,31.14%,2.26%,,,,,,,,49.99%,,,50.01%,,45.05%,54.95%,,,,
North Sydney,NSW,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,
Warringah,NSW,14.57%,31.72%,8.75%,1.72%,40.70%,2.54%,,,,,,,,38.80%,,,61.20%,,54.51%,45.49%,,,,
Banks,NSW,36.43%,39.10%,11.88%,3.71%,2.02%,6.87%,,,,,,,52.39%,47.61%,,,,,52.39%,47.61%,,,,
Cook,NSW,31.47%,48.06%,9.94%,4.36%,0.00%,6.16%,,,,,,,42.81%,57.19%,,,,,42.81%,57.19%,,,,
Barton,NSW,47.12%,24.17%,15.89%,5.58%,0.00%,7.24%,,,,,,,66.00%,34.00%,,,,,66.00%,34.00%,,,,
Blaxland,NSW,46.04%,19.59%,7.89%,3.55%,18.76%,4.17%,,,,,,,71.90%,28.10%,,,,,71.90%,28.10%,,,,
Grayndler,NSW,53.54%,14.31%,25.11%,3.16%,2.31%,1.56%,,,,,,,66.86%,,33.14%,,,,80.18%,19.82%,,,,
Parramatta,NSW,47.77%,30.72%,12.11%,2.73%,2.59%,4.08%,,,,,,,62.55%,37.45%,,,,,62.55%,37.45%,,,,
Reid,NSW,48.57%,31.72%,11.54%,2.32%,3.06%,2.78%,,,,,,,62.01%,37.99%,,,,,62.01%,37.99%,,,,
Watson,NSW,48.00%,15.19%,8.93%,3.23%,16.01%,8.63%,,,,,,,66.52%,,,,33.48%,,72.86%,27.14%,,,,
Berowra,NSW,27.01%,41.72%,11.92%,4.07%,12.44%,2.84%,,,,,,,48.37%,51.63%,,,,,48.37%,51.63%,,,,
Mackellar,NSW,12.07%,35.45%,6.13%,2.53%,40.66%,3.16%,,,,,,,,44.34%,,,55.66%,,46.34%,53.66%,,,,
Mitchell,NSW,33.22%,46.33%,13.73%,4.27%,0.00%,2.44%,,,,,,,46.19%,53.81%,,,,,46.19%,53.81%,,,,
