,Labor,,,Coalition,,,,,,,,,,,,,,,,,,,
State,Coalition gains/losses,Green gains/losses,Independent gains/losses,Labor gains/losses,Greens gains/losses,Independent gains/losses,,,,,,,,,,,,,,,,,
NSW,"57.61% - 58.10%, Berowra (+1)
58.11% - 59.96%, Lindsay (+2)
59.97% - 62.24%, Mitchell (+3)
62.25% - 62.78%, Hume (+4)
62.89% -63.67%, Cook (+5)
63.68% - 64.11%, Cowper (+6
)64.12% - 65.27%, Page (+7)
65.28% - 66.38%, Lyne (+8)
66.39% - 67.54%, Riverina (+9)
67.55% -68.23%, Calare (+10)
68.24% - 68.75%, Farrer (+11)
68.76% - 71.08%, Parkes (+12)
71.09% - 100%, New England (+13)

53.35% - 53.07%, Banks (-1)
53.06% - 50.60%, Hughes (-2)
50.59% - 48.68%, Gilmore (-3)
48.67% - 48.08%, Paterson (-4)
48.07% - 47.73%, Werriwa (-5)
47.72% - 47.56%, Whitlam (-6)
47.55% - 47.13%, Eden-Monaro, Bennelong (-8)
47.12% - 46.91%, Macquarie (-9)
46.90% - 46.19%, Robertson (-10)
46.18% - 45.78%, Hunter (-11)
45.77% - 45.11%, Dobell (-12)
45.10% - 44.93%, McMahon (-13)
44.92% - 44.36%, Richmond (-14)
44.35% - 44.19%, Shortland (-15)
44.18% - 44.15%, Reid (-16)
44.14% - 42.19%, Parramatta (-17)
42.18% - 40.35%, Greenway (-18)
40.34% - 39.49%, Macarthur (-19)
39.48% - 38.28%, Barton (-20)
38.27% - 37.58%, Kingsford Smith (-21)
37.57% - 36.21%, Cunningham (-22)
36.20% - 34.80%, Chifley (-23)
34.79% - 34.41%, Blaxland (-24)
34.40% - 33.56%, Newcastle (-25)
33.55% - 27.02%, Watson (-26)
27.01% - 26.20%, Sydney (-27)
26.19% - 0%, Grayndler (-28)",,,,,,,,,,,,,,,,,,,,,,
VIC,"57.09% - 57.20%, Casey (+1)
57.21% - 58.14%, Kooyong (+2)
58.15% - 58.25%, La Trobe (+3)
58.26% - 58.39%, Monash (+4)
58.40% - 59.61%, Goldstein (+5)
59.62% - 60.80%, Flinders (+6)
60.81% - 64.94%, Indi (+7)
64.95% - 69.40%, Wannon (+8)
69.41% - 73.54%, Nicholls (+9)
73.55% - 73.69%, Gippsland (+10)
73.70% - 100%, Mallee (+11)

53.57% - 52.57%, Menzies (-1)
52.56% - 52.38%, Aston (-2)
52.37% - 50.62%, Deakin (-3)
50.61% - 50.04%, Bendigo (-4)
50.03% - 49.38%, McEwen (-5)
49.37% - 47.49%, Chisholm (-6)
47.48% - 46.86%, Dunkley (-7)
46.85% - 46.50%, Hawke (-8)
46.49% - 44.28%, Corangamite (-9)
44.27% - 43.25%, Gorton (-10)
43.24% - 42.60%, Ballarat (-11)
42.59% - 42.20%, Macnamara (-12)
42.19%, Bruce (-13)
42.18% - 41.78%, Holt (-14)
41.77% - 41.75%, Jagajaga (-15)
41.75% - 41.45%, Maribyrnong (-16)
41.44% - 41.38%, Corio (-17)
41.37% - 41.36%, Lalor (-18)
41.35% - 40.37%, Isaacs (-19)
40.36% - 39.91%, Calwell, Gellibrand (-21)
39.90% - 38.95%, Scullin (-22)
38.94% - 33.83%, Hotham (-23)
33.82% - 30.74%, Fraser (-24)
30.73% - 26.67%, Melbourne (-25)
26.66% - 24.57%, Cooper (-26)
24.56% - 0%, Wills (-27)",,,,,,,,,,,,,,,,,,,,,,
QLD,"55.35% - 57.69%, Longman (+1)
57.70% - 59.19%, Bowman (+2)
59.20% - 60.12%, Fairfax (+3)
60.13% - 60.60%, McPherson (+4)
50.61% - 60.92%, Capricornia (+5)
60.93% - 61.18%, Wide Bay (+6)
61.19% - 61.73%, Fisher (+7)
61.74% - 62.28%, Hinkler (+8)
62.29% - 63.15%, Fadden (+9)
63.16% - 63.18%, Flynn (+10)
63.19% - 63.83%, Wright (+11)
63.84% - 64.02%, Moncrieff (+12)
64.03% - 65.97%, Kennedy (+13)
65.98% - 67.46%, Dawson (+14)
67.47% - 68.04%, Herbert (+15)
68.05% - 77.99%, Groom (+16)
78% - 100%, Maranoa (+17)

54.77% - 54.19%, Petrie (-1)
54.18% - 51.59%, Forde (-2)
51.58% - 50.76%, Bonner (-3)
50.75% - 50.38%, Leichhardt (-4)
50.37% - 49.02%, Dickson (-5)
49.01% - 46.67%, Blair (-6)
46.66% - 40.97%, Brisbane (-7)
40.96% - 40.56%, Lilley (-8)
40.55% - 40.15%, Rankin (-9)
40.14% - 39.77%, Moreton (-10)
39.76% - 37.09%, Griffith (-11)
37.08% - 0%, Oxley (-12)",,,"55.35% - 57.69%, Longman (-1)
57.70% - 59.19%, Bowman (-2)
59.20% - 60.12%, Fairfax (-3)
60.13% - 60.60%, McPherson (-4)
50.61% - 60.92%, Capricornia (-5)
60.93% - 61.18%, Wide Bay (-6)
61.19% - 61.73%, Fisher (-7)
61.74% - 62.28%, Hinkler (-8)
62.29% - 63.15%, Fadden (-9)
63.16% - 63.18%, Flynn (-10)
63.19% - 63.83%, Wright (-11)
63.84% - 64.02%, Moncrieff (-12)
64.03% - 65.97%, Kennedy (-13)
65.98% - 67.46%, Dawson (-14)
67.47% - 68.04%, Herbert (-15)
68.05% - 77.99%, Groom (-16)
78% - 100%, Maranoa (-17)

54.77% - 54.19%, Petrie (+1)
54.18% - 51.59%, Forde (+2)
51.58% - 50.76%, Bonner (+3)
50.75% - 50.38%, Leichhardt (+4)
50.37% - 49.02%, Dickson (+5)
49.01% - 46.67%, Blair (+6)
46.66% - 40.97%, Brisbane (+7)
40.96% - 40.56%, Lilley (+8)
40.55% - 40.15%, Rankin (+9)
40.14% - 39.77%, Moreton (+10)
39.76% - 37.09%, Griffith (+11)
37.08% - 0%, Oxley (+12)",,,,,,,,,,,,,,,,,,,
WA,"57.22% - 59.70%, Forrest (+1)
59.71% - 63.26%, Canning (+2)
63.27% - 66.10%, Durack (+3)
66.11% - 100%, O'Connor (+4)

53.26% - 52.56%, Bullwinkel (-1)
52.55% - 48.54%, Moore (-2)
48.53% - 47.46%, Tangney (-3)
46.45% - 41.78%, Pearce (-4)
41.77% - 41.64%, Cowan (-5)
41.63% - 40.00%, Swan (-6)
39.99% - 39.39%, Hasluck (-7)
39.38% - 38.50%, Burt (-8)
38.49% - 37.54%, Perth (-9)
37.53% - 36.25%, Brand (-10)
36.24% - 0%, Fremantle (-11)",,,,,,,,,,,,,,,,,,,,,,
SA,"60.49% - 68.38%, Grey (+1)
68.39% - 100%, Barker (+2)

50.35% - 45.34%, Sturt (-1)
45.33% - 40.80%, Boothby (-2)
40.79% - 39.99%, Makin (-3)
39.98% - 39.76%, Hindmarsh (-4)
39.75% - 37.22%, Spence (-5)
37.21% - 34.85%, Adelaide (-6)
34.84% - 0%, Kingston (-7)",,,,,,,,,,,,,,,,,,,,,,
TAS,"51.09% - 48.84%, Braddon (-1)
48.83% - 45.57%, Bass (-2)
45.56% - 36.49%, Lyons (-3)
36.38% - 0%, Franklin (-4)",,,,,,,,,,,,,,,,,,,,,,
ACT,"36.79% - 34.01%, Bean (-1)
34% - 29.06%, Fenner (-2)
29.05% - 0%, Canberra (-3)",,,,,,,,,,,,,,,,,,,,,,
NT,"51.40% - 48%, Solomon (-1)
47.99% - 0%, Lingiari (-2)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2022.0,,,,,,,,,2019.0,,,,,,PVI,,,,,,,,
IND V LNP,,,,,,,,,,,,,,,,,,,,,,,
,,2PP,,2CP,,% of 2PP (2PP required),Swing req,,2PP,,2CP (predicted),,,,2PP,,2CP (predicted),,% of 2PP (2PP required),Swing required,,,
,,Coalition,Labor,Coalition,Ind,,,,Coalition,Labor,Coalition,Ind,,,Coalition,Labor,Coalition,Ind,,,,,
NSW,Mackellar,57.9,42.1,46.7,53.3,81.1 (61.8),4.2,,62.2,37.8,50.4,49.6,,Mackellar,58.975,41.025,47.625,52.375,81.1 (61.8),3.0,,,
,Warringah,50.7,49.3,40.6,59.4,75.9 (61.2),8.6,,53.4,46.6,40.5,59.5,,Warringah,51.375,48.625,40.575,59.425,75.9 (61.2),7.6,,,
,Wentworth,51.2,48.8,56.8,43.2,81.9 (61.2),4.4,,55.6,44.4,45.5,54.5,,Wentworth,52.3,47.7,53.975,46.025,81.9 (61.2),4.7,,,
,Bradfield,56.1,43.9,52.5,47.5,95.9 (52.2),-2.5,,65.7,34.3,63.0,37,,Bradfield,58.5,41.5,55.125,44.875,95.9 (52.2),-5.3,,,
,Cowper,59.5,40.5,52.3,47.7,87.9 (57),-2.5,,61.9,38.1,54.4,45.6,,Cowper,60.1,39.9,52.825,47.175,87.9 (57),-3.1,,,
VIC,Goldstein,53.7,46.3,46.7,53.3,85.9 (58.3),3.9,,56.6,43.4,48.6,51.4,,Goldstein,54.425,45.575,47.175,52.825,85.9 (58.3),3.3,,,
,Kooyong,53.7,46.3,47.8,52.2,86.9 (57.7),2.7,,57.3,42.7,49.8,50.2,,Kooyong,54.6,45.4,48.3,51.7,86.9 (57.7),2.1,,,
,Wannon,58.6,41.4,53.8,46.2,91 (55.1),-4.0,,59.9,40.1,54.5,45.5,,Wannon,58.925,41.075,53.975,46.025,91 (55.1),-4.2,,,
,Nicholls,67.1,32.9,53.8,46.2,0.802,,,68.6,31.4,55.0,45,,Nicholls,67.475,32.525,54.1,45.9,0.802,,,,
,Indi,55.3,44.7,41.1,58.9,74.3% (67.4),12.1,,62.7,37.3,46.6,53.4,,Indi,57.15,42.85,42.475,57.525,74.3% (67.4),7.2,,,
WA,Curtin,55.6,44.4,48.7,51.3,87.6% (57.2),1.6,,64.0,36.0,56.1,43.9,,Curtin,57.7,42.3,50.55,49.45,87.6% (57.2),-0.5,,,
QLD,Groom,64.2,35.8,56.9,43.1,0.886,,,,,,,,Groom,,,,,0.886,,,,
,Kennedy,60.2,39.8,36.9,63.1,61.3% (81.7%),,,,,,,,Kennedy,,,,,61.3% (81.7%),,,,
SA,Mayo,48.4,51.6,37.7,62.3,77.9% (64.3),15.9,,,,,,,Mayo,,,,,77.9% (64.3),,,,
,,,,,,,,,,,,,,,,,,,,,,,
GRN V LNP,,,,,,,,,2019.0,,,,,,PVI,,,,,,,,
,,2PP,,2CP,,% of 2PP (2PP required),Swing required,,2PP,,2CP,,,,2PP,,2CP,,% of 2PP (2PP required),Swing required,,,
,,Coalition,Labor,Coalition,Green,,,,Coalition,Labor,Coalition,Green,,,Coalition,Labor,Coalition,Green,,,,,
QLD,Brisbane,45.6,54.4,46.3,53.7,101.5% (50.9),5.3,,54.9,45.1,55.72,44.28,,Brisbane,47.925,52.075,48.655,51.345,101.5% (50.9),3.0,,,
,Ryan,47.6,52.4,47.4,52.6,99.6% (50.3),2.7,,56.0,44.0,55.77,44.23,,Ryan,49.7,50.3,49.4925,50.5075,99.6% (50.3),0.6,,,
,Griffith,38.9,61.1,39.5,60.5,101.5% (50.9),12.0,,47.1,52.9,47.8,52.2,,Griffith,40.95,59.05,41.575,58.425,101.5% (50.9),9.9,,,
,,,,,,,,,,,,,,,,,,,,,,,
IND V ALP,,,,,,,,,2019.0,,,,,,PVI,,,,% of 2PP (2PP required),Swing required,,,
,,2PP,,2CP,,% of 2PP (2PP required),Swing required,,2PP,,2CP,,,,2PP,,2CP,,,,,,
,,Coalition,Labor,IND,Labor,,,,Coalition,Labor,Ind,Labor,,,Coalition,Labor,Ind,Labor,,,,,
NSW,Fowler,44.3,55.7,51.6,48.4,86.9% (57.5),,,36.4,63.6,44.73,55.27,,Fowler,42.325,57.675,49.8825,50.1175,86.9% (57.5),-0.2,,,
TAS,Clark,32.8,67.2,70.8,29.2,43.5% (114.9),,,33.8,66.2,71.2,28.8,,Clark,33.05,66.95,70.9,29.1,43.5% (114.9),48.0,,,
,,,,,,,,,,,,,,,,,,,,,,,
GRN V ALP,,,,,,,,,,2019.0,,,,,,,PVI,,,,,% of 2PP (2PP required),Swing required
,,2PP,,3CP,,,% of 2PP (2PP required),Swing required,,2PP,,3CP,,,,,2PP,,3CP,,,,
,,Coalition,Labor,Coalition,Labor,Green,,,,Coalition,Labor,Coalition,Labor,Green,,,Coalition,Labor,Coalition,Labor,Green,,
QLD,Brisbane,45.6,54.4,41.5,28.4,30.1,,5.3,,54.9,45.1,,,,,Brisbane,47.925,52.075,,,,,
,Ryan,47.6,52.4,43.0,23.8,33.3,,2.7,,56.0,44.0,,,,,Ryan,49.7,50.3,,,,,
,Griffith,38.9,61.1,33.9,29.7,36.4,,12.0,,47.1,52.9,,,,,Griffith,40.95,59.05,,,,,
VIC,Macnamara,37.8,62.2,33.7,33.5,32.8,,,,43.7,56.3,,,,,Macnamara,39.275,60.725,,,,,
,Wills,22.9,77.1,,54.6,45.6,70.8% (70.5),-6.6,,24.3,75.7,,53.6,46.4,,Wills,23.25,76.75,,54.35,,70.8% (70.5),-6.3
,Cooper,24.3,75.7,,57.8,42.2,76.4% (65.3),-10.4,,23.7,76.3,,58.3,41.7,,Cooper,24.15,75.85,,57.925,,76.4% (65.3),-10.6
,Melbourne,26.9,73.1,,44.5,55.5,60.9% (82.2),9.1,,37.5,62.5,,38.1,61.9,,Melbourne,29.55,70.45,,42.9,,60.9% (82.2),11.7
NSW,Richmond,41.8,58.2,35.6,33.5,30.9,,,,46,54.0,,,,,Richmond,42.85,57.15,,,,,
,Grayndler,21.1,78.9,,67.1,32.9,85% (58.7),-20.2,,27.8,72.2,,61.4,38.6,,Grayndler,22.775,77.225,,65.675,,85% (58.7),-18.5
,Sydney,24.4,75.6,,66.7,33.3,88.2% (56.6),-19.0,,31.2,68.8,,60.7,39.3,,Sydney,26.1,73.9,,65.2,,88.2% (56.6),-17.3
