LNP v IND,,ALP,,,,,,LNP,,Green,,,,,,IND,,ON,,,,,,OTH,,,,,,,PRIMARY,,,,,,2PP,,,PRIMARY,,,,,,2PP,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Votes,%,LNP Pref,,IND Pref,,,,Votes,%,LNP Pref,,IND Pref,,,,Votes,%,LNP Pref,,IND Pref,,Votes,%,LNP Pref,,IND Pref,,,ALP,LNP,GRN,IND,ON,OTH,LNP,IND,,ALP,LNP,GRN,IND,ON,OTH,LNP,IND
Division,Votes,,,Votes,%,Votes,%,Votes,%,,,Votes,%,Votes,%,Votes,%,,,Votes,%,Votes,%,,,Votes,%,Votes,%,,,,,,,,,,,,,,,,,,
Bradfield (NSW),112202,22768.0,0.2029197341,7142.0,0.3136858749,15626.0,0.6863141251,42676.0,0.3803497264,7551.0,0.06729826563,1237.0,0.1638193617,6314.0,0.8361806383,30309.0,0.2701288747,1725.0,0.0153740575,1353.0,0.7843478261,373.0,0.2162318841,7173.0,0.06392934172,3680.0,0.5130349923,3493,0.4869650077,,0.2029197341,0.3803497264,0.06729826563,0.2701288747,0.0153740575,0.06392934172,0.4998841375,0.500124775,,0.20292,0.38,0.0673,0.2695,0.01537,0.06491,0.5000347082,0.4999742019
Kooyong (VIC),114868,13671.0,0.1190148692,3267.0,0.2389730086,10404.0,0.7610269914,49542.0,0.4312950517,8900.0,0.07748023819,951.0,0.1068539326,7949.0,0.8931460674,38955.0,0.3391283908,1201.0,0.01045547933,925.0,0.7701915071,276.0,0.2298084929,2599.0,0.02262597068,1983.0,0.7629857638,616.0,0.2370142362,,0.1190148692,0.4312950517,0.07748023819,0.3391283908,0.01045547933,0.02262597068,0.4933314761,0.5066685239,,0.119,0.4383,0.0775,0.3321,0.0105,0.0226,0.5003494569,0.4996505431
Curtin (WA),105348,15626.0,0.1483274481,,0,,0,42436.0,0.4028173292,8235.0,0.07816949539,,0,,0,33952.0,0.3222842389,2731.0,0.02592360557,,0,,0,2368.0,0.02247788283,,0,,0,,,,,,,,,,,,,,,,,,
,0,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,,,,,,,,,,,,
,0,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,,,,,,,,,,,,
,0,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,,,,,,,,,,,,
,0,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,,,,,,,,,,,,
,0,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,,,,,,,,,,,,
,0,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,,,,,,,,,,,,
,0,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,#DIV/0!,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
