ReviewPriority,State,DivisionID,Electorate,EliminatedModelCategory,FinishPosition,AliveModelCategoriesAfter,CandidateCount,InternalCandidateExclusions,LastSurvivorCandidate,LastSurvivorSubtype,LastSurvivorIdeologyFamily,LastSurvivorPrimaryCoverage,DefaultEvidenceMultiplier,TotalVariationDistance,MaximumRecipientDelta,ObservedDominantRecipient,PassThroughDominantRecipient,DominantRecipientChanged,DefaultMethod
CRITICAL,NSW,106,Berowra,OTH,6,ALP>LNP>GRN>ON>IND,3,2,Stephen Bastian,OTH_CYA,RIGHT,0.4868275404029223,0.4868275404029223,0.271349293559882,0.19678474265838586,ON,IND,True,OBSERVED_LAST_SURVIVOR_EXIT
CRITICAL,QLD,171,McPherson,OTH,6,ALP>LNP>GRN>ON>IND,7,6,Harry Hatzikalimnios,OTH_GRPF,RIGHT,0.2296894319586879,0.2296894319586879,0.26190540593571554,0.26190540593571554,ON,ON,False,OBSERVED_LAST_SURVIVOR_EXIT
CRITICAL,VIC,232,Scullin,OTH,5,ALP>LNP>GRN>ON,4,3,Adriana Buccianti,OTH_CYA,RIGHT,0.30610648639588806,0.30610648639588806,0.2534414050446885,0.2534414050446885,ON,ON,False,OBSERVED_LAST_SURVIVOR_EXIT
CRITICAL,SA,179,Adelaide,OTH,5,ALP>LNP>GRN>ON,3,2,Steve Marks,OTH_CYA,RIGHT,0.43329658213891953,0.43329658213891953,0.2316842748459446,0.18610582077443283,ON,GRN,True,OBSERVED_LAST_SURVIVOR_EXIT
CRITICAL,VIC,197,Aston,OTH,5,ALP>LNP>GRN>ON,5,4,Mark Grondman,IND_MINOR,LEFT,0.21905873899766481,0.21905873899766481,0.2158366265493084,0.17255703251302318,GRN,ON,True,OBSERVED_LAST_SURVIVOR_EXIT
CRITICAL,NSW,130,Lyne,OTH,6,ALP>LNP>GRN>ON>IND,5,4,Keys Manley,OTH_HMP,CENTRE_LEFT,0.4007352941176471,0.4007352941176471,0.19997236707594768,0.13522685754143557,IND,ON,True,OBSERVED_LAST_SURVIVOR_EXIT
CRITICAL,NSW,144,Reid,OTH,5,ALP>LNP>GRN>ON,3,2,Steven Commerford,IND_MINOR,CENTRE_LEFT,0.524018944519621,0.524018944519621,0.1974958770890617,0.16084731606656463,GRN,ON,True,OBSERVED_LAST_SURVIVOR_EXIT
CRITICAL,VIC,218,Indi,OTH,6,ALP>LNP>GRN>ON>IND,4,3,Ben Howman,OTH_HMP,CENTRE_LEFT,0.38159005911448907,0.38159005911448907,0.19433731426472045,0.13172536182915354,IND,ON,True,OBSERVED_LAST_SURVIVOR_EXIT
CRITICAL,NSW,145,Richmond,OTH,5,ALP>LNP>GRN>ON,6,5,Vivian Mac Mcmahon,OTH_HMP,CENTRE_LEFT,0.2904678872420808,0.2904678872420808,0.19250026581746915,0.15207241415399414,GRN,ON,True,OBSERVED_LAST_SURVIVOR_EXIT
CRITICAL,VIC,204,Casey,OTH,6,ALP>LNP>GRN>ON>IND,3,2,Phillip Courtis,OTH_CYA,RIGHT,0.4017731646664504,0.4017731646664504,0.18888059406522284,0.18888059406522284,ON,ON,False,OBSERVED_LAST_SURVIVOR_EXIT
CRITICAL,QLD,164,Groom,OTH,6,ALP>LNP>GRN>ON>IND,3,2,Alexandra Todd,OTH_FFPA,RIGHT,0.37320299022426684,0.37320299022426684,0.1837562493509155,0.18359365486534818,ON,ON,False,OBSERVED_LAST_SURVIVOR_EXIT
