State,DivisionID,Electorate,EliminatedModelCategory,AliveModelCategoriesAfter,CandidateCount,LastSurvivorCandidate,LastSurvivorPrimaryCoverage,DefaultEvidenceMultiplier,TotalVariationDistance,ReviewPriority,UseOverride,EvidenceMultiplierOverride,MethodOverride,AnalystNotes
NSW,106,Berowra,OTH,ALP>LNP>GRN>ON>IND,3,Stephen Bastian,0.4868275404029223,0.4868275404029223,0.271349293559882,CRITICAL,FALSE,,,
QLD,171,McPherson,OTH,ALP>LNP>GRN>ON>IND,7,Harry Hatzikalimnios,0.2296894319586879,0.2296894319586879,0.26190540593571554,CRITICAL,FALSE,,,
VIC,232,Scullin,OTH,ALP>LNP>GRN>ON,4,Adriana Buccianti,0.30610648639588806,0.30610648639588806,0.2534414050446885,CRITICAL,FALSE,,,
SA,179,Adelaide,OTH,ALP>LNP>GRN>ON,3,Steve Marks,0.43329658213891953,0.43329658213891953,0.2316842748459446,CRITICAL,FALSE,,,
VIC,197,Aston,OTH,ALP>LNP>GRN>ON,5,Mark Grondman,0.21905873899766481,0.21905873899766481,0.2158366265493084,CRITICAL,FALSE,,,
NSW,130,Lyne,OTH,ALP>LNP>GRN>ON>IND,5,Keys Manley,0.4007352941176471,0.4007352941176471,0.19997236707594768,CRITICAL,FALSE,,,
NSW,144,Reid,OTH,ALP>LNP>GRN>ON,3,Steven Commerford,0.524018944519621,0.524018944519621,0.1974958770890617,CRITICAL,FALSE,,,
VIC,218,Indi,OTH,ALP>LNP>GRN>ON>IND,4,Ben Howman,0.38159005911448907,0.38159005911448907,0.19433731426472045,CRITICAL,FALSE,,,
NSW,145,Richmond,OTH,ALP>LNP>GRN>ON,6,Vivian Mac Mcmahon,0.2904678872420808,0.2904678872420808,0.19250026581746915,CRITICAL,FALSE,,,
VIC,204,Casey,OTH,ALP>LNP>GRN>ON>IND,3,Phillip Courtis,0.4017731646664504,0.4017731646664504,0.18888059406522284,CRITICAL,FALSE,,,
QLD,164,Groom,OTH,ALP>LNP>GRN>ON>IND,3,Alexandra Todd,0.37320299022426684,0.37320299022426684,0.1837562493509155,CRITICAL,FALSE,,,
SA,187,Makin,OTH,ALP>LNP>GRN>ON,4,Mark Aldridge,0.37970962857397345,0.37970962857397345,0.1818781010398257,CRITICAL,FALSE,,,
NSW,125,Hume,OTH,ALP>LNP>GRN>ON,4,Peter Mclean,0.35890588330500933,0.35890588330500933,0.18099970519375674,CRITICAL,FALSE,,,
QLD,177,Ryan,OTH,ALP>LNP>GRN>ON,4,N De Lapp,0.3929154423767548,0.3929154423767548,0.18018225634749224,CRITICAL,FALSE,,,
ACT,101,Canberra,OTH,ALP>LNP>GRN>IND,2,Teresa Mctaggart,0.507258064516129,0.507258064516129,0.17861119040822154,CRITICAL,FALSE,,,
QLD,252,Dickson,OTH,ALP>LNP>GRN>ON>IND,4,David Zaloudek,0.36487322201607914,0.36487322201607914,0.1768297426645568,CRITICAL,FALSE,,,
NSW,122,Greenway,OTH,ALP>LNP>GRN>ON,3,Robert Stuckey,0.3870092790863669,0.3870092790863669,0.17257175853523565,CRITICAL,FALSE,,,
QLD,159,Fadden,OTH,ALP>LNP>GRN>ON,5,John Armfield,0.3088180112570357,0.3088180112570357,0.1703389056362474,CRITICAL,FALSE,,,
NSW,135,New England,OTH,ALP>LNP>GRN>ON,3,Natasha Ledger,0.38573508005822416,0.38573508005822416,0.1681118124393213,CRITICAL,FALSE,,,
SA,185,Hindmarsh,OTH,ALP>LNP>GRN>ON,5,Andrew Townsend,0.4157537819509651,0.4157537819509651,0.16640150442967344,CRITICAL,FALSE,,,
NSW,103,Banks,OTH,ALP>LNP>GRN>ON,4,Allan Taruste,0.39017176657945624,0.39017176657945624,0.16546671416136094,CRITICAL,FALSE,,,
WA,248,Tangney,OTH,ALP>LNP>GRN>ON,2,James Rai,0.5043009185012393,0.5043009185012393,0.16296912113169837,CRITICAL,FALSE,,,
NSW,121,Grayndler,OTH,ALP>LNP>GRN>ON,2,David Bradbury,0.5974388824214203,0.5974388824214203,0.16203163518719654,CRITICAL,FALSE,,,
NSW,151,Warringah,OTH,ALP>LNP>GRN>ON>IND,3,Sean Mcleod,0.3675464320625611,0.3675464320625611,0.15068701335040222,CRITICAL,FALSE,,,
WA,329,Bullwinkel,OTH,ALP>LNP>GRN>ON,2,Penelope Rose Young,0.6155105860334542,0.6155105860334542,0.13986477967735655,CRITICAL,FALSE,,,
WA,305,Hasluck,OTH,ALP>LNP>GRN>ON,3,Leo Treasure,0.5255617062845979,0.5255617062845979,0.13881662676843398,CRITICAL,FALSE,,,
VIC,226,McEwen,OTH,ALP>LNP>GRN>ON,5,Tom Forrest,0.3112628510050637,0.3112628510050637,0.1387787837601615,CRITICAL,FALSE,,,
VIC,208,Corio,OTH,ALP>LNP>GRN>ON,2,John De Lorenzo,0.5504972685250035,0.5504972685250035,0.1367901761121409,CRITICAL,FALSE,,,
NSW,113,Cowper,OTH,ALP>LNP>ON>IND,6,Megan Mathew,0.4667622289912202,0.4667622289912202,0.13494757143159986,CRITICAL,FALSE,,,
WA,240,Fremantle,OTH,ALP>LNP>GRN>ON>IND,2,Joshua Last,0.5099894847528917,0.5099894847528917,0.13410751351541522,CRITICAL,FALSE,,,
NSW,250,Riverina,OTH,ALP>LNP>ON>IND,8,James Gooden,0.2357308584686775,0.2357308584686775,0.13130693527239756,CRITICAL,FALSE,,,
WA,243,O'Connor,OTH,ALP>LNP>GRN>ON,3,Philip Arnatt,0.5056242969628797,0.5056242969628797,0.13070243346879123,CRITICAL,FALSE,,,
WA,317,Burt,OTH,ALP>LNP>GRN>ON,3,Fiona Caruso,0.4603629417382999,0.4603629417382999,0.13046847095467146,CRITICAL,FALSE,,,
VIC,233,Wannon,OTH,ALP>LNP>GRN>ON>IND,4,Robbie Swan,0.3951854261548471,0.3951854261548471,0.13012205972065444,CRITICAL,FALSE,,,
NSW,148,Shortland,OTH,ALP>LNP>GRN>ON,3,James Pheils,0.5065893516078018,0.5065893516078018,0.12853509704247199,CRITICAL,FALSE,,,
VIC,220,Jagajaga,OTH,ALP>LNP>GRN,3,Chris Kearney,0.5461945031712474,0.5461945031712474,0.11849489033190652,CRITICAL,FALSE,,,
NSW,249,Paterson,OTH,ALP>LNP>GRN>ON>IND,5,Daniel Dryden,0.3586716493969764,0.3586716493969764,0.11748140104963765,CRITICAL,FALSE,,,
NSW,153,Werriwa,OTH,ALP>LNP>GRN>ON,5,Andrew Charles Murphy,0.2594991364421416,0.2594991364421416,0.10778806678890968,CRITICAL,FALSE,,,
VIC,322,Macnamara,OTH,ALP>LNP>GRN>ON,2,JB Myers,0.5863057324840765,0.5863057324840765,0.10477287965135766,CRITICAL,FALSE,,,
NSW,108,Bradfield,OTH,ALP>LNP>GRN>IND,3,Andy Yin,0.6461731493099122,0.6461731493099122,0.09332952474802905,CRITICAL,FALSE,,,
NSW,115,Dobell,OTH,ALP>LNP>GRN>ON,4,Tim Claydon,0.45683621091927207,0.45683621091927207,0.09109232777605558,CRITICAL,FALSE,,,
NT,306,Lingiari,OTH,ALP>LNP>GRN>ON,2,Chris Tomlins,0.563061137238136,0.563061137238136,0.07545118211228298,CRITICAL,FALSE,,,
NSW,251,Watson,OTH,ALP>LNP>GRN>IND,4,Vanessa Hadchiti,0.43381277425646025,0.43381277425646025,0.07291325410784578,CRITICAL,FALSE,,,
VIC,216,Holt,OTH,ALP>LNP>GRN>ON,2,Shane Foreman,0.5221550855991943,0.5221550855991943,0.059973114986947074,CRITICAL,FALSE,,,
NSW,146,Robertson,OTH,ALP>LNP>GRN>ON,3,Tom Lillicrap,0.38555678059536935,0.38555678059536935,0.05161029533679384,CRITICAL,FALSE,,,
VIC,221,Kooyong,OTH,ALP>LNP>GRN>ON>IND,2,Richard Peppard,0.5675259715275106,0.5675259715275106,0.04470669063928409,CRITICAL,FALSE,,,
WA,236,Canning,OTH,ALP>LNP>GRN>ON,2,Paul Gullan,0.8515068493150685,0.8515068493150685,0.02459917666695803,CRITICAL,FALSE,,,
QLD,166,Hinkler,OTH,ALP>LNP>GRN>ON,3,Robert Blohberger,0.3768193588713278,0.3768193588713278,0.14780454214943087,HIGH,FALSE,,,
NSW,132,Mackellar,OTH,ALP>LNP>GRN>ON>IND,4,Lisa Cotton,0.35143818849449204,0.35143818849449204,0.14440555595468813,HIGH,FALSE,,,
NSW,120,Gilmore,OTH,ALP>LNP>GRN>ON>IND,3,Adrian Richard Carle,0.4793119479311948,0.4793119479311948,0.14136658431558485,HIGH,FALSE,,,
QLD,304,Blair,OTH,ALP>LNP>GRN>ON,6,Anthony Hopkins,0.2834824974845099,0.2834824974845099,0.13908806582968478,HIGH,FALSE,,,
QLD,155,Bowman,OTH,ALP>LNP>GRN>ON,3,Gary Williamson,0.3693524096385542,0.3693524096385542,0.13293806590925822,HIGH,FALSE,,,
QLD,310,Bonner,OTH,ALP>LNP>GRN>ON,4,Ross Dovey,0.3231777420096574,0.3231777420096574,0.1318015825688944,HIGH,FALSE,,,
VIC,323,Monash,IND,ALP>LNP,2,Deb Leonard,0.6265055934808249,0.6265055934808249,0.1307070224046309,HIGH,FALSE,,,
VIC,323,Monash,OTH,ALP>LNP>GRN>ON>IND,3,David O'Reilly,0.44401008827238336,0.44401008827238336,0.1276881021778734,HIGH,FALSE,,,
QLD,156,Brisbane,OTH,ALP>LNP>GRN>ON,4,Joseph Wheeler,0.41110723017813483,0.41110723017813483,0.1258225087654792,HIGH,FALSE,,,
QLD,311,Flynn,OTH,ALP>LNP>ON,5,Lance Price,0.3597415449094825,0.3597415449094825,0.12454585056558579,HIGH,FALSE,,,
QLD,173,Moreton,OTH,ALP>LNP>GRN>ON,4,Natarsha Billing,0.3211626575028637,0.3211626575028637,0.12384821824911905,HIGH,FALSE,,,
QLD,168,Leichhardt,OTH,ALP>LNP>GRN>ON,6,Daniel Collins,0.33499050385431794,0.33499050385431794,0.12377219401506286,HIGH,FALSE,,,
WA,244,Pearce,OTH,ALP>LNP>GRN>ON,2,Ramon Granados Rangel,0.6721880579250149,0.6721880579250149,0.12372451159200325,HIGH,FALSE,,,
NSW,109,Calare,OTH,ALP>LNP>ON>IND,4,Sue Raye,0.42805718399670883,0.42805718399670883,0.12172735159240772,HIGH,FALSE,,,
WA,247,Swan,OTH,ALP>LNP>GRN>ON,2,Shelley Leech,0.5390182918805106,0.5390182918805106,0.12161085260722856,HIGH,FALSE,,,
QLD,316,Wright,OTH,ALP>LNP>GRN>ON,4,Justin Mcguiness,0.3439113534837849,0.3439113534837849,0.1198124773892254,HIGH,FALSE,,,
VIC,309,Gorton,OTH,ALP>LNP>GRN>ON,3,Xavier Menta,0.5388357519788918,0.5388357519788918,0.11508197952129615,HIGH,FALSE,,,
VIC,217,Hotham,OTH,ALP>LNP>GRN>ON,2,Mark Brown,0.5750880563560679,0.5750880563560679,0.1133390826411751,HIGH,FALSE,,,
VIC,328,Corangamite,OTH,ALP>LNP>GRN,4,Kate Lockhart,0.3986899563318777,0.3986899563318777,0.11178790218005853,HIGH,FALSE,,,
QLD,176,Rankin,OTH,ALP>LNP>GRN>ON,4,Carol Ordish,0.31624631509990175,0.31624631509990175,0.11174154234710956,HIGH,FALSE,,,
VIC,324,Nicholls,OTH,ALP>LNP>GRN>ON,3,Glenn Francis Floyd,0.4629561029820337,0.4629561029820337,0.10486886463607244,HIGH,FALSE,,,
VIC,210,Dunkley,OTH,ALP>LNP>GRN>ON,4,Lisa Abbott,0.43870805790310435,0.43870805790310435,0.10321800646734179,HIGH,FALSE,,,
WA,237,Cowan,OTH,ALP>LNP>GRN>ON,4,John Bell,0.3193990347189787,0.3193990347189787,0.10260030112160146,HIGH,FALSE,,,
QLD,178,Wide Bay,OTH,ALP>LNP>GRN>ON,3,Kirsti Kenningale,0.3594562175129948,0.3594562175129948,0.10234218103842613,HIGH,FALSE,,,
SA,186,Kingston,OTH,ALP>LNP>GRN>ON,3,Russell Patrick Jackson,0.4260433715220949,0.4260433715220949,0.10178480068622688,HIGH,FALSE,,,
NSW,136,Newcastle,OTH,ALP>LNP>GRN>ON,4,Jennifer Stefanac,0.4425722145804677,0.4425722145804677,0.10141331152335277,HIGH,FALSE,,,
NSW,105,Bennelong,OTH,ALP>LNP>GRN>ON,4,Eric Chan,0.3204108681245858,0.3204108681245858,0.10022122901687619,HIGH,FALSE,,,
VIC,234,Wills,OTH,ALP>LNP>GRN,4,Sue Bolton,0.6329859863456702,0.6329859863456702,0.09869028269835162,MEDIUM,FALSE,,,
NSW,107,Blaxland,OTH,ALP>LNP>GRN>ON>IND,2,Mike Luo,0.5232044198895027,0.5232044198895027,0.09641561413280741,MEDIUM,FALSE,,,
QLD,160,Fairfax,OTH,ALP>LNP>GRN>ON>IND,3,Rhys Sanderson,0.43872154518280065,0.43872154518280065,0.09638643760231543,MEDIUM,FALSE,,,
NSW,114,Cunningham,OTH,ALP>LNP>GRN>ON,2,Tim Lavers,0.6478214665249734,0.6478214665249734,0.09398999772122865,MEDIUM,FALSE,,,
VIC,320,Cooper,OTH,ALP>LNP>GRN,2,Kath Larkin,0.6751573269403656,0.6751573269403656,0.09375589867128482,MEDIUM,FALSE,,,
VIC,223,La Trobe,OTH,ALP>LNP>GRN>ON,2,Gregory Thomas Hardiman,0.5600710900473934,0.5600710900473934,0.09362552082587591,MEDIUM,FALSE,,,
VIC,228,Melbourne,OTH,ALP>LNP>GRN,3,Anthony Koutoufides,0.47501853224610824,0.47501853224610824,0.09277288171265634,MEDIUM,FALSE,,,
VIC,321,Fraser,OTH,ALP>LNP>GRN,2,Jasmine Duff,0.596,0.596,0.09069656785588637,MEDIUM,FALSE,,,
TAS,196,Lyons,OTH,ALP>LNP>GRN>ON,4,Carlo Di Falco,0.3432969215491559,0.3432969215491559,0.089538359249906,MEDIUM,FALSE,,,
QLD,161,Fisher,OTH,ALP>LNP>GRN>ON>IND,3,James Pidgeon,0.49222849222849224,0.49222849222849224,0.08839791351002113,MEDIUM,FALSE,,,
SA,182,Boothby,OTH,ALP>LNP>GRN>ON,2,Nicole Hussey,0.5802535261560435,0.5802535261560435,0.08415046540916918,MEDIUM,FALSE,,,
NSW,138,Page,OTH,ALP>LNP>GRN>ON,7,Donna Lee Pike,0.21820346803601995,0.21820346803601995,0.08152266417620342,MEDIUM,FALSE,,,
SA,190,Sturt,OTH,ALP>LNP>GRN>ON>IND,2,Nicholas Duffield,0.5282433271260087,0.5282433271260087,0.07954681368395794,MEDIUM,FALSE,,,
NSW,126,Hunter,OTH,ALP>LNP>GRN>ON,5,Andrew David Fenwick,0.34266497000545354,0.34266497000545354,0.07898674673835789,MEDIUM,FALSE,,,
VIC,326,Hawke,OTH,ALP>LNP>GRN>ON,3,Devon Starbuck,0.4462161696259266,0.4462161696259266,0.07636028700483749,MEDIUM,FALSE,,,
NSW,111,Chifley,OTH,ALP>LNP>GRN>ON,4,Jamie Green,0.5005158990713817,0.5005158990713817,0.07614570527349694,MEDIUM,FALSE,,,
QLD,175,Petrie,OTH,ALP>LNP>GRN>ON,2,Ryan Mensink,0.5572074215033301,0.5572074215033301,0.07571703466736394,MEDIUM,FALSE,,,
SA,180,Barker,OTH,ALP>LNP>GRN>ON,5,Cody Scholes,0.24418987967694084,0.24418987967694084,0.07343164428394107,MEDIUM,FALSE,,,
VIC,203,Calwell,OTH,ALP>LNP>GRN>ON>IND,6,Gianni Del Rosario-Makridis,0.25906688536540917,0.25906688536540917,0.07292562027905695,MEDIUM,FALSE,,,
NSW,104,Barton,OTH,ALP>LNP>GRN>ON,2,Thomas Pambris,0.5273054057790681,0.5273054057790681,0.07202998092591864,MEDIUM,FALSE,,,
NT,307,Solomon,OTH,ALP>LNP>GRN>ON>IND,2,Janey Davies,0.668918918918919,0.668918918918919,0.07021240641930296,MEDIUM,FALSE,,,
NSW,140,Parramatta,OTH,ALP>LNP>GRN>ON,4,Ganesh Loke,0.3770820481184454,0.3770820481184454,0.06969401122619329,MEDIUM,FALSE,,,
NSW,131,Macarthur,OTH,ALP>LNP>GRN>ON,3,Graham Ernest Charlesworth,0.49101796407185627,0.49101796407185627,0.06934757178100276,MEDIUM,FALSE,,,
NSW,139,Parkes,OTH,ALP>LNP>ON,6,Stephen Pope,0.31339901022154387,0.31339901022154387,0.06910918275234763,MEDIUM,FALSE,,,
QLD,172,Moncrieff,OTH,ALP>LNP>GRN>ON>IND,4,Vic Naicker,0.3816901408450704,0.3816901408450704,0.06733583599805026,MEDIUM,FALSE,,,
VIC,200,Bendigo,OTH,ALP>LNP>GRN>ON,5,Wayne Taylor,0.34513274336283184,0.34513274336283184,0.06586180548477943,MEDIUM,FALSE,,,
NSW,118,Farrer,OTH,ALP>LNP>GRN>ON>IND,4,Peter Sinclair,0.3468101609462866,0.3468101609462866,0.06541942849849272,MEDIUM,FALSE,,,
VIC,211,Flinders,OTH,ALP>LNP>GRN>ON>IND,2,Jason Smart,0.7623666343355965,0.7623666343355965,0.06483811200866614,MEDIUM,FALSE,,,
WA,239,Forrest,OTH,ALP>LNP>GRN>ON>IND,2,Aaron Peet,0.7850367197062423,0.7850367197062423,0.06438266194605055,MEDIUM,FALSE,,,
QLD,302,Longman,OTH,ALP>LNP>GRN>ON,2,Benjamin Wood,0.5617081182543406,0.5617081182543406,0.06294614633257858,MEDIUM,FALSE,,,
NSW,128,Lindsay,OTH,ALP>LNP>GRN>ON,6,Antony Victor Emmanuel,0.21002698233092523,0.21002698233092523,0.05988123377284456,MEDIUM,FALSE,,,
TAS,192,Bass,OTH,ALP>LNP>GRN>ON>IND,2,Ray Broomhall,0.7653949129852744,0.7653949129852744,0.05389373586299218,MEDIUM,FALSE,,,
QLD,163,Griffith,OTH,ALP>LNP>GRN>ON,3,Dion Hunt,0.4817991233085573,0.4817991233085573,0.0523119079457737,MEDIUM,FALSE,,,
VIC,201,Bruce,OTH,ALP>LNP>GRN>ON,4,Wendy Birchall,0.3335983463189696,0.3335983463189696,0.05167128894837321,MEDIUM,FALSE,,,
QLD,162,Forde,OTH,ALP>LNP>GRN>ON,4,Corneliu Pop,0.3802856147683734,0.3802856147683734,0.048809898703616225,LOW,FALSE,,,
WA,312,Durack,OTH,ALP>LNP>GRN>ON,4,Kat Wright,0.50263839585532,0.50263839585532,0.04862753210694869,LOW,FALSE,,,
VIC,229,Menzies,OTH,ALP>LNP>GRN>ON>IND,3,Amanda Paliouras,0.4645736833075999,0.4645736833075999,0.04771881155692978,LOW,FALSE,,,
VIC,198,Ballarat,OTH,ALP>LNP>GRN>ON,3,Ian Maxwell Harkness,0.41473341473341474,0.41473341473341474,0.04670171918233933,LOW,FALSE,,,
