ReviewPriority,State,Electorate,ActualWinner,ActualFinalTwo,LegacyPredictedWinner,CanonicalPredictedWinner,WinnerChanged,LegacyPredictedFinalTwo,CanonicalPredictedFinalTwo,FinalTwoChanged,LegacyWinnerShare,CanonicalWinnerShare,WinnerShareDeltaPP,LegacyWinnerMatchedActual,CanonicalWinnerMatchedActual,LegacyFinalTwoMatchedActual,CanonicalFinalTwoMatchedActual
CRITICAL,QLD,Brisbane,GRN,GRN+LNP,LNP,GRN,True,GRN+LNP,GRN+LNP,False,0.5162246288589661,0.5641257225530797,4.790109369411355,False,True,True,True
CRITICAL,WA,Fremantle,IND,ALP+IND,ALP,IND,True,ALP+IND,ALP+IND,False,0.5117537264361259,0.5477552856029039,3.600155916677794,False,True,True,True
CRITICAL,VIC,Goldstein,IND,IND+LNP,LNP,IND,True,IND+LNP,IND+LNP,False,0.5015465499585243,0.5340999464007689,3.255339644224453,False,True,True,True
CRITICAL,SA,Grey,LNP,IND+LNP,LNP,ON,True,IND+LNP,IND+ON,True,0.5568043866226924,0.5862294557305352,2.9425069107842816,True,False,True,False
CRITICAL,WA,Bullwinkel,LNP,ALP+LNP,ALP,LNP,True,ALP+ON,ALP+LNP,True,0.5049514313579263,0.5221288699970309,1.7177438639104592,False,True,False,True
CRITICAL,TAS,Bass,ALP,ALP+ON,ALP,ON,True,ALP+ON,ALP+ON,False,0.5137606103279498,0.5038668459677624,-0.9893764360187407,True,False,True,True
CRITICAL,WA,Durack,LNP,LNP+ON,ON,OTH,True,ON+OTH,ON+OTH,False,0.5088905590409775,0.5000934474339774,-0.879711160700003,False,False,False,False
CRITICAL,NT,Solomon,ALP,ALP+LNP,LNP,ALP,True,ALP+LNP,ALP+LNP,False,0.5121614916460456,0.5059051437240298,-0.6256347922015792,False,True,True,True
CRITICAL,NSW,Hughes,LNP,ALP+LNP,ALP,LNP,True,ALP+LNP,ALP+LNP,False,0.5015413334319081,0.5059504755833542,0.4409142151446055,False,True,True,True
CRITICAL,VIC,Monash,IND,IND+LNP,IND,ON,True,IND+ON,IND+ON,False,0.5088979951920216,0.5130375214161349,0.4139526224113288,True,False,False,False
CRITICAL,VIC,Deakin,ALP,ALP+LNP,ALP,LNP,True,ALP+LNP,ALP+LNP,False,0.5009188060049732,0.5050005567548143,0.4081750749841073,True,False,True,True
CRITICAL,VIC,Bendigo,LNP,ALP+LNP,LNP,ALP,True,ALP+LNP,ALP+LNP,False,0.5029376758216415,0.5046450513639,0.17073755422585268,True,False,True,True
HIGH,NSW,Richmond,GRN,GRN+ON,GRN,GRN,False,ALP+GRN,GRN+ON,True,0.5088534579848649,0.6468211545985927,13.796769661372776,True,True,False,True
HIGH,QLD,Flynn,ON,ALP+ON,ON,ON,False,LNP+ON,ALP+ON,True,0.5118612988769343,0.6427109132433344,13.084961436640008,True,True,False,True
HIGH,NSW,Blaxland,ALP,ALP+ON,ALP,ALP,False,ALP+IND,ALP+ON,True,0.55586160990127,0.6742859538105423,11.842434390927236,True,True,False,True
HIGH,SA,Mayo,OTH,ALP+OTH,OTH,OTH,False,ALP+OTH,ON+OTH,True,0.5636774826407125,0.6684528360913845,10.477535345067201,True,True,True,False
HIGH,WA,Cowan,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.6827960162043982,0.5832027996457243,-9.959321655867392,True,True,True,True
HIGH,NSW,Newcastle,ALP,ALP+GRN,ALP,ALP,False,ALP+ON,ALP+GRN,True,0.6694024218138849,0.5866582874305579,-8.274413438332695,True,True,False,True
HIGH,VIC,Melbourne,GRN,ALP+GRN,GRN,GRN,False,ALP+GRN,ALP+GRN,False,0.5921749145088991,0.5174545173686408,-7.472039714025835,True,True,True,True
HIGH,QLD,Forde,ON,ALP+ON,ON,ON,False,ALP+ON,ALP+ON,False,0.5112055129693243,0.5621528718985952,5.094735892927094,True,True,True,True
HIGH,NSW,Watson,ALP,ALP+IND,ALP,ALP,False,ALP+ON,ALP+IND,True,0.6836183079794632,0.6361778939394057,-4.74404140400575,True,True,False,True
HIGH,NSW,Calare,ON,IND+ON,IND,IND,False,IND+ON,IND+LNP,True,0.5183419605829748,0.5207612617210073,0.24193011380325702,False,False,True,False
HIGH,NSW,Werriwa,ALP,ALP+LNP,ALP,ALP,False,ALP+ON,ALP+LNP,True,0.5590056851003368,0.5583462241856113,-0.06594609147254626,True,True,False,True
MEDIUM,VIC,Cooper,ALP,ALP+GRN,ALP,ALP,False,ALP+GRN,ALP+GRN,False,0.5365586271886744,0.5838182401471897,4.725961295851533,True,True,True,True
MEDIUM,VIC,Corangamite,ALP,ALP+LNP,ALP,ALP,False,ALP+LNP,ALP+LNP,False,0.5455869451796492,0.5915519629525672,4.596501777291795,True,True,True,True
MEDIUM,VIC,Dunkley,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.5607213565577653,0.5165353532523317,-4.418600330543365,True,True,True,True
MEDIUM,QLD,Lilley,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.6563214355264969,0.614372335202539,-4.194910032395793,True,True,True,True
MEDIUM,NSW,Greenway,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.6208405004030492,0.5800704855636485,-4.077001483940068,True,True,True,True
MEDIUM,VIC,Isaacs,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.6270349362932536,0.5868214356085607,-4.021350068469287,True,True,True,True
MEDIUM,VIC,Maribyrnong,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.6427774188314002,0.6031670570451543,-3.9610361786245885,True,True,True,True
MEDIUM,WA,Pearce,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.5548442581639246,0.5162404703971131,-3.8603787766811504,True,True,True,True
MEDIUM,SA,Hindmarsh,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.653497896017591,0.6152893788495815,-3.820851716800955,True,True,True,True
MEDIUM,NSW,Kingsford Smith,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.6699659108571404,0.6325348783652922,-3.7431032491848204,True,True,True,True
MEDIUM,WA,Curtin,IND,IND+LNP,IND,IND,False,IND+LNP,IND+LNP,False,0.5152327220600664,0.552585812373302,3.7353090313235526,True,True,True,True
MEDIUM,NSW,Barton,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.6459459905384181,0.6087426909050562,-3.7203299633361886,True,True,True,True
MEDIUM,QLD,Moreton,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.6691294624810131,0.6323965340806427,-3.6732928400370457,True,True,True,True
MEDIUM,WA,Moore,LNP,ALP+LNP,ALP,ALP,False,ALP+LNP,ALP+LNP,False,0.5052896583965595,0.5417297313420883,3.6440072945528867,False,False,True,True
MEDIUM,NSW,McMahon,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.578174742443959,0.542191477050711,-3.598326539324803,True,True,True,True
MEDIUM,WA,Swan,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.6466405556761696,0.6109954682113711,-3.5645087464798553,True,True,True,True
MEDIUM,VIC,Bruce,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.5761893438893282,0.5406944227860385,-3.5494921103289667,True,True,True,True
MEDIUM,VIC,Hotham,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.6684952993104951,0.633212547718207,-3.528275159228811,True,True,True,True
MEDIUM,VIC,Gellibrand,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.6538636271485969,0.620020745983046,-3.3842881165550898,True,True,True,True
MEDIUM,NSW,Macarthur,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.6233651404592958,0.5908062028919843,-3.255893756731154,True,True,True,True
MEDIUM,WA,Forrest,LNP,IND+LNP,ON,ON,False,IND+ON,IND+ON,False,0.5071349055427623,0.538948714651184,3.1813809108421687,False,False,False,False
MEDIUM,SA,Makin,ALP,ALP+ON,ALP,ALP,False,ALP+ON,ALP+ON,False,0.6355364258804936,0.6046182542753366,-3.0918171605157085,True,True,True,True
