Seat,State,DivisionID,Eliminated,AliveSet,Recipient,Votes,ScenarioTotal,Share,Method,VoteBasis,CandidateCount,LastSurvivorCandidate,LastSurvivorSubtype,LastSurvivorIdeologyFamily,LastSurvivorPrimaryCoverage,DefaultEvidenceMultiplier,EffectiveEvidenceMultiplier,OverrideApplied,Source
Bean,ACT,318,GRN,ALP+IND+LNP,ALP,4701.0,9757.0,0.48180793276621914,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Sam Carter,GRN,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Bean,ACT,318,GRN,ALP+IND+LNP,IND,4762.0,9757.0,0.4880598544634622,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Sam Carter,GRN,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Bean,ACT,318,GRN,ALP+IND+LNP,LNP,294.0,9757.0,0.030132212770318703,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Sam Carter,GRN,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Bean,ACT,318,LNP,ALP+IND,ALP,4781.596268625569,23665.0,0.20205350807629693,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,David Lamerton,LIB,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Bean,ACT,318,LNP,ALP+IND,IND,18883.40373137443,23665.0,0.7979464919237029,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,David Lamerton,LIB,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Canberra,ACT,101,IND,ALP+GRN+LNP,ALP,4105.536637931034,10187.0,0.40301724137931033,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Claire Miles,IND_PROMINENT,LEFT,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Canberra,ACT,101,IND,ALP+GRN+LNP,GRN,3597.8332435344823,10187.0,0.35317887931034486,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Claire Miles,IND_PROMINENT,LEFT,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Canberra,ACT,101,IND,ALP+GRN+LNP,LNP,2483.630118534483,10187.0,0.24380387931034483,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Claire Miles,IND_PROMINENT,LEFT,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Canberra,ACT,101,LNP,ALP+GRN,ALP,12536.526445264451,17101.0,0.7330873308733088,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Will Roche,LIB,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Canberra,ACT,101,LNP,ALP+GRN,GRN,4564.473554735548,17101.0,0.26691266912669126,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Will Roche,LIB,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Canberra,ACT,101,OTH,ALP+GRN+IND+LNP,ALP,415.0,2480.0,0.16733870967741932,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,2,Teresa Mctaggart,OTH_AJP,CENTRE_LEFT,0.507258064516129,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Canberra,ACT,101,OTH,ALP+GRN+IND+LNP,GRN,607.0,2480.0,0.24475806451612905,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,2,Teresa Mctaggart,OTH_AJP,CENTRE_LEFT,0.507258064516129,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Canberra,ACT,101,OTH,ALP+GRN+IND+LNP,IND,949.0,2480.0,0.3826612903225807,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,2,Teresa Mctaggart,OTH_AJP,CENTRE_LEFT,0.507258064516129,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Canberra,ACT,101,OTH,ALP+GRN+IND+LNP,LNP,509.0,2480.0,0.20524193548387096,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,2,Teresa Mctaggart,OTH_AJP,CENTRE_LEFT,0.507258064516129,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Fenner,ACT,102,GRN,ALP+LNP,ALP,13828.503466666669,15492.0,0.8926222222222223,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Dani Hunterford,GRN,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Fenner,ACT,102,GRN,ALP+LNP,LNP,1663.4965333333334,15492.0,0.10737777777777771,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Dani Hunterford,GRN,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Fenner,ACT,102,OTH,ALP+GRN+LNP,ALP,2206.0,7426.0,0.29706436843522765,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Elizabeth Kikkert,OTH_FFPA,RIGHT,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Fenner,ACT,102,OTH,ALP+GRN+LNP,GRN,1383.0,7426.0,0.18623754376514942,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Elizabeth Kikkert,OTH_FFPA,RIGHT,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Fenner,ACT,102,OTH,ALP+GRN+LNP,LNP,3836.999999999999,7426.0,0.516698087799623,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Elizabeth Kikkert,OTH_FFPA,RIGHT,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Banks,NSW,103,GRN,ALP+LNP,ALP,10066.89792,11756.0,0.85632,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Natalie Hanna,GRN,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Banks,NSW,103,GRN,ALP+LNP,LNP,1689.10208,11756.0,0.14368,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Natalie Hanna,GRN,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Banks,NSW,103,ON,ALP+GRN+LNP,ALP,514.8644386030792,3666.0,0.14044310927525344,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Todd Nicol,ON,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Banks,NSW,103,ON,ALP+GRN+LNP,GRN,1061.391663537364,3666.0,0.28952309425460016,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Todd Nicol,ON,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Banks,NSW,103,ON,ALP+GRN+LNP,LNP,2089.743897859557,3666.0,0.5700337964701465,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Todd Nicol,ON,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Banks,NSW,103,OTH,ALP+GRN+LNP+ON,ALP,1289.0,8791.0,0.14662723239676942,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,4,Allan Taruste,OTH_CYA,RIGHT,0.3901717665794562,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Banks,NSW,103,OTH,ALP+GRN+LNP+ON,GRN,1555.9999999999998,8791.0,0.17699920373108863,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,4,Allan Taruste,OTH_CYA,RIGHT,0.3901717665794562,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Banks,NSW,103,OTH,ALP+GRN+LNP+ON,LNP,1623.0,8791.0,0.18462063474007512,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,4,Allan Taruste,OTH_CYA,RIGHT,0.3901717665794562,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Banks,NSW,103,OTH,ALP+GRN+LNP+ON,ON,4323.0,8791.0,0.49175292913206686,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,4,Allan Taruste,OTH_CYA,RIGHT,0.3901717665794562,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Barton,NSW,104,GRN,ALP+LNP,ALP,13230.79746835443,15885.0,0.8329113924050633,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Manal Bahsa,GRN,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Barton,NSW,104,GRN,ALP+LNP,LNP,2654.2025316455697,15885.0,0.1670886075949367,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Manal Bahsa,GRN,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Barton,NSW,104,ON,ALP+GRN+LNP,ALP,1610.3418731625368,5573.0,0.2889542209155817,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Christos Nicolis,ON,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
Barton,NSW,104,ON,ALP+GRN+LNP,GRN,781.7648047039058,5573.0,0.1402771944561108,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,1,Christos Nicolis,ON,,1.0,1.0,1.0,False,AEC_CANDIDATE_ROUNDS_CATEGORY_EXIT
