Eliminated,AliveSet,Recipient,Votes,ScenarioTotal,Share,Seats,SeatObservations,BetweenSeatVariance,PoolingWeight,Source
ALP,GRN+LNP,GRN,22137.128767034603,29217.0,0.7576797332729097,1,1,0.0,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
ALP,GRN+LNP,LNP,7079.871232965397,29217.0,0.2423202667270903,1,1,0.0,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
ALP,IND+LNP,IND,157706.3847134092,206475.0,0.7653328797394076,13,13,0.003890471480570052,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
ALP,IND+LNP,LNP,48768.61528659079,206475.0,0.23466712026059242,13,13,0.0038904714805700533,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
ALP,IND+LNP+ON,IND,6444.503642817112,8824.0,0.7303381281524379,1,1,0.0,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
ALP,IND+LNP+ON,LNP,1259.393984681487,8824.0,0.1427237063328974,1,1,0.0,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
ALP,IND+LNP+ON,ON,1120.102372501401,8824.0,0.1269381655146646,1,1,0.0,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
ALP,LNP+ON,LNP,9234.127485778188,15675.0,0.5890990421549084,1,1,0.0,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
ALP,LNP+ON,ON,6440.872514221812,15675.0,0.4109009578450917,1,1,0.0,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
ALP,LNP+OTH,LNP,4733.402214880647,15917.0,0.2973802987297008,1,1,0.0,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
ALP,LNP+OTH,OTH,11183.597785119351,15917.0,0.7026197012702992,1,1,0.0,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
GRN,ALP+IND+LNP,ALP,86227.99494250053,200070.0,0.4328276525619092,23,23,0.012355449508979753,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
GRN,ALP+IND+LNP,IND,99547.55337182734,200070.0,0.4926070386098627,23,23,0.012473927099486509,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
GRN,ALP+IND+LNP,LNP,14294.451685672127,200070.0,0.07456530882822818,23,23,0.0011733846710994555,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
GRN,ALP+IND+LNP+ON,ALP,33586.02929224503,75276.0,0.42503769426211196,11,11,0.013527922238392864,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
GRN,ALP+IND+LNP+ON,IND,30797.263030307164,75276.0,0.42362803205224325,11,11,0.012572872944947095,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
GRN,ALP+IND+LNP+ON,LNP,5486.776956457775,75276.0,0.07367962803224054,11,11,0.00021946251615116824,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
GRN,ALP+IND+LNP+ON,ON,5405.9307209900335,75276.0,0.07765464565340423,11,11,0.0007514965561313106,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
GRN,ALP+IND+LNP+ON+OTH,ALP,4475.14671943112,13072.0,0.3360588911731163,3,3,0.021036663031206344,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
GRN,ALP+IND+LNP+ON+OTH,IND,4984.733491709996,13072.0,0.38788803880133954,3,3,0.029710762698529812,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
GRN,ALP+IND+LNP+ON+OTH,LNP,763.3810263047753,13072.0,0.056843877366265616,3,3,0.0004646856786047866,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
GRN,ALP+IND+LNP+ON+OTH,ON,613.9365261332521,13072.0,0.04559922291038144,3,3,0.0006355223671987659,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
GRN,ALP+IND+LNP+ON+OTH,OTH,2234.802236420855,13072.0,0.1736099697488971,3,3,0.0010503764270334572,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
GRN,ALP+LNP,ALP,857136.7215408474,1039675.0,0.8133844863582426,73,73,0.003794586526247349,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
GRN,ALP+LNP,LNP,182538.27845915253,1039675.0,0.18661551364175744,73,73,0.003794586526247349,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
GRN,ALP+LNP+ON,ALP,136789.4340116507,198227.0,0.6885960330357159,21,21,0.00281092906467172,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
GRN,ALP+LNP+ON,LNP,32541.643663616953,198227.0,0.16654979129634245,21,21,0.00457008655555345,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
GRN,ALP+LNP+ON,ON,28895.922324732346,198227.0,0.14485417566794165,21,21,0.002324029774993655,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
GRN,ALP+LNP+ON+OTH,ALP,21941.96903259494,35789.0,0.6120131615921826,6,6,0.0018341526025909632,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
GRN,ALP+LNP+ON+OTH,LNP,4219.798901076918,35789.0,0.1186730082059108,6,6,0.0004964153621590611,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
GRN,ALP+LNP+ON+OTH,ON,3824.207505338337,35789.0,0.10649944688620118,6,6,7.680984970475387e-05,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
GRN,ALP+LNP+ON+OTH,OTH,5803.024560989802,35789.0,0.1628143833157055,6,6,0.002556408716970008,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
GRN,ALP+LNP+OTH,ALP,23544.10342767143,38153.0,0.6416869351843079,3,3,0.017151368064850774,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
GRN,ALP+LNP+OTH,LNP,3530.908468622366,38153.0,0.09978865905613728,3,3,0.0012183614007894225,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
GRN,ALP+LNP+OTH,OTH,11077.988103706204,38153.0,0.2585244057595549,3,3,0.02695140327129272,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
IND,ALP+GRN+LNP,ALP,14119.735743662066,40504.0,0.34592646883737704,5,5,0.0013601156822895897,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
IND,ALP+GRN+LNP,GRN,16514.428075788648,40504.0,0.41105715703389734,5,5,0.0013500193901368291,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
IND,ALP+GRN+LNP,LNP,9869.836180549288,40504.0,0.24301637412872554,5,5,0.0003567124605631188,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
IND,ALP+GRN+LNP+ON,ALP,4417.541380563778,17667.0,0.25453767432354746,3,3,0.00043244818980782884,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
IND,ALP+GRN+LNP+ON,GRN,5486.81922568516,17667.0,0.2958142859703518,3,3,0.006646263568134352,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
IND,ALP+GRN+LNP+ON,LNP,3492.746421158828,17667.0,0.20011159724733293,3,3,0.00015718710495206368,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
IND,ALP+GRN+LNP+ON,ON,4269.892972592234,17667.0,0.24953644245876794,3,3,0.0037576379055088635,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
IND,ALP+GRN+LNP+OTH,ALP,1714.424794295118,6762.0,0.25353812397147557,1,1,0.0,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
IND,ALP+GRN+LNP+OTH,GRN,1684.0087767416346,6762.0,0.24904004388370815,1,1,0.0,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
IND,ALP+GRN+LNP+OTH,LNP,1284.8912781130005,6762.0,0.19001645639056505,1,1,0.0,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
IND,ALP+GRN+LNP+OTH,OTH,2078.675150850247,6762.0,0.30740537575425125,1,1,0.0,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
IND,ALP+LNP,ALP,136448.6422412933,217571.0,0.6316195925042858,15,15,0.014462825498345743,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
IND,ALP+LNP,LNP,81122.35775870671,217571.0,0.36838040749571416,15,15,0.01446282549834574,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
IND,ALP+LNP+ON,ALP,3182.5787150918827,6909.0,0.46064245405874693,1,1,0.0,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
IND,ALP+LNP+ON,LNP,2174.37056865866,6909.0,0.31471567066994643,1,1,0.0,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
IND,ALP+LNP+ON,ON,1552.0507162494573,6909.0,0.22464187527130663,1,1,0.0,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
LNP,ALP+GRN,ALP,123331.02173678653,169284.0,0.7238655845702611,9,9,0.002972170249010262,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
LNP,ALP+GRN,GRN,45952.97826321348,169284.0,0.27613441542973893,9,9,0.0029721702490102604,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
LNP,ALP+IND,ALP,34241.29919692193,104652.0,0.3449174003960613,7,7,0.012914683017200406,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
LNP,ALP+IND,IND,70410.70080307807,104652.0,0.6550825996039388,7,7,0.012914683017200399,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
LNP,ALP+ON,ALP,4041.6831523924407,20290.0,0.1991958182549256,1,1,0.0,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
LNP,ALP+ON,ON,16248.31684760756,20290.0,0.8008041817450744,1,1,0.0,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
LNP,ALP+OTH,ALP,5058.511088133656,29551.0,0.1711790155369922,1,1,0.0,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
LNP,ALP+OTH,OTH,24492.48891186634,29551.0,0.8288209844630078,1,1,0.0,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
ON,ALP+GRN+IND+LNP,ALP,7961.19152346944,83514.0,0.09030699322344811,22,22,0.0008141601560089172,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
ON,ALP+GRN+IND+LNP,GRN,6029.519926140803,83514.0,0.07185202621643628,22,22,0.0005214908545361689,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
ON,ALP+GRN+IND+LNP,IND,24763.98214416362,83514.0,0.2806755453947919,22,22,0.009733447904808243,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
ON,ALP+GRN+IND+LNP,LNP,44759.30640622614,83514.0,0.5571654351653237,22,22,0.01186356011722468,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
ON,ALP+GRN+IND+LNP+OTH,ALP,1677.991156509178,16867.0,0.10022239627533122,5,5,0.0015340389154065491,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
