Electorate,division_key,LegacyWinner,LegacyRunnerUp,LegacyFinalTwo,LegacyWinnerShare,LegacyEliminationOrder,DirectWinner,DirectRunnerUp,DirectFinalTwo,DirectWinnerShare,DirectEliminationOrder,CanonicalWinner,CanonicalRunnerUp,CanonicalFinalTwo,CanonicalWinnerShare,CanonicalEliminationOrder,ActualWinner,ActualRunnerUp,ActualFinalTwo,ActualWinnerShare,WinnerChanged,FinalTwoChanged,EliminationOrderChanged,WinnerShareDeltaPP,LegacyWinnerMatchedActual,DirectWinnerMatchedActual,CanonicalWinnerMatchedActual,LegacyFinalTwoMatchedActual,DirectFinalTwoMatchedActual,CanonicalFinalTwoMatchedActual,LegacyAbsoluteWinnerErrorPP,DirectAbsoluteWinnerErrorPP,CanonicalAbsoluteWinnerErrorPP,AbsoluteErrorChangePP,ReviewPriority
Grey,GREY,LNP,IND,IND+LNP,0.5222613452214364,OTH>GRN>ALP>ON,ON,IND,IND+ON,0.5712070161593736,OTH>GRN>ALP>LNP,ON,IND,IND+ON,0.5734991425872176,OTH>GRN>ALP>LNP,LNP,IND,IND+LNP,52.2261,True,True,True,5.123779736578116,True,False,False,True,False,False,3.452214364374484e-05,4.894601615937367,5.12381425872176,5.123779736578117,CRITICAL
Riverina,RIVERINA,LNP,IND,IND+LNP,0.6170662031789138,GRN>OTH>ALP>ON,LNP,IND,IND+LNP,0.5917032756402125,GRN>OTH>ALP>ON,ON,IND,IND+ON,0.5898130847380274,GRN>OTH>ALP>LNP,LNP,IND,IND+LNP,61.7066,True,True,True,-2.7253118440886404,True,True,False,True,True,False,2.031789138046136e-05,2.536272435978748,2.72529152619726,2.7252712083058794,CRITICAL
Calare,CALARE,ON,IND,IND+ON,0.5068375789560392,ALP>GRN>OTH>LNP,IND,LNP,IND+LNP,0.5323205892358123,ALP>GRN>OTH>ON,IND,LNP,IND+LNP,0.5323205892358123,ALP>GRN>OTH>ON,ON,IND,IND+ON,50.6838,True,True,True,2.5483010279773066,True,False,False,True,False,False,4.210439608076655e-05,2.548258923581226,2.548258923581226,2.548216819185145,CRITICAL
Forrest,FORREST,LNP,IND,IND+LNP,0.504318124743721,OTH>GRN>ALP>ON,ON,IND,IND+ON,0.5194359477891816,OTH>GRN>ALP>LNP,ON,IND,IND+ON,0.5241684797918948,OTH>GRN>ALP>LNP,LNP,IND,IND+LNP,50.4318,True,True,True,1.9850355048173896,True,False,False,True,False,False,1.2474372090842678e-05,1.5117947789181518,1.9850479791894804,1.9850355048173896,CRITICAL
Fisher,FISHER,LNP,IND,IND+LNP,0.5150512777931865,OTH>GRN>ALP>ON,ON,IND,IND+ON,0.5551204610343177,OTH>GRN>ALP>LNP,IND,LNP,IND+LNP,0.5238495047471383,OTH>GRN>ALP>ON,LNP,IND,IND+LNP,51.5051,True,False,False,0.8798226953951827,True,False,False,True,False,True,2.7779318645393403e-05,4.006946103431764,0.879850474713828,0.8798226953951827,CRITICAL
Bendigo,BENDIGO,LNP,ALP,ALP+LNP,0.506748593961558,OTH>GRN>ON,ALP,LNP,ALP+LNP,0.5116200966533232,OTH>GRN>ON,ALP,LNP,ALP+LNP,0.508448758600625,OTH>GRN>ON,LNP,ALP,ALP+LNP,50.6749,True,False,False,0.170016463906697,True,False,False,True,True,True,4.0603844198017214e-05,0.48710966533231925,0.16997586006249898,0.16993525621830097,CRITICAL
Franklin,FRANKLIN,ALP,IND,ALP+IND,0.5017370119419273,OTH>LNP>GRN>ON,IND,ALP,ALP+IND,0.5005974707077168,OTH>LNP>GRN>ON,IND,ALP,ALP+IND,0.5005982893615215,OTH>LNP>GRN>ON,ALP,IND,ALP+IND,55.8958,True,False,False,-0.11387225804058154,True,False,False,True,True,True,5.722098805807274,5.83605292922833,5.835971063847856,0.11387225804058154,CRITICAL
Monash,MONASH,IND,LNP,IND+LNP,0.5013904801727849,OTH>GRN>ALP>ON,IND,ON,IND+ON,0.505452095991393,OTH>GRN>ALP>LNP,ON,IND,IND+ON,0.501037685947545,OTH>GRN>ALP>LNP,IND,LNP,IND+LNP,50.139,True,True,True,-0.03527942252398164,True,True,False,True,False,False,4.801727848668946e-05,0.40620959913929555,0.03523140524549495,0.03518338796700826,CRITICAL
Lyne,LYNE,LNP,IND,IND+LNP,0.5538357560907401,GRN>OTH>ALP>ON,LNP,IND,IND+LNP,0.5182913243167591,GRN>OTH>ALP>ON,LNP,IND,IND+LNP,0.5190064722256549,GRN>OTH>ALP>ON,LNP,IND,IND+LNP,55.3836,False,False,False,-3.4829283865085214,True,True,True,True,True,True,2.4390925990047663e-05,3.5544675683240934,3.4829527774345115,3.4829283865085214,MEDIUM
Nicholls,NICHOLLS,LNP,IND,IND+LNP,0.6048124269195332,GRN>OTH>ALP>ON,LNP,IND,IND+LNP,0.5706279643907902,GRN>OTH>ALP>ON,LNP,IND,IND+LNP,0.5730023429317911,GRN>OTH>ALP>ON,LNP,IND,IND+LNP,60.4812,False,False,False,-3.18100839877421,True,True,True,True,True,True,4.2691953316964515e-05,3.4184035609209795,3.180965706820893,3.180923014867576,MEDIUM
Corangamite,CORANGAMITE,ALP,LNP,ALP+LNP,0.5835309686874947,IND>OTH>ON>GRN,ALP,LNP,ALP+LNP,0.562002842544231,IND>OTH>GRN>ON,ALP,LNP,ALP+LNP,0.5619646769692015,IND>OTH>GRN>ON,ALP,LNP,ALP+LNP,58.3531,False,False,True,-2.1566291718293162,True,True,True,True,True,True,3.131250536636543e-06,2.152815745576897,2.156632303079853,2.1566291718293162,MEDIUM
Mallee,MALLEE,LNP,ON,LNP+ON,0.549905629297305,GRN>IND>OTH>ALP,LNP,ON,LNP+ON,0.5299254886427053,GRN>ALP>IND>OTH,LNP,ON,LNP+ON,0.5299254886427053,GRN>ALP>IND>OTH,LNP,ON,LNP+ON,55.0831,False,False,True,-1.9980140654599743,True,True,True,True,True,True,0.09253707026950497,2.0905511357294793,2.0905511357294793,1.9980140654599743,LOW
Hindmarsh,HINDMARSH,ALP,ON,ALP+ON,0.6238209643030302,OTH>LNP>GRN,ALP,ON,ALP+ON,0.6038665637082066,OTH>LNP>GRN,ALP,ON,ALP+ON,0.6152893788495815,OTH>LNP>GRN,ALP,ON,ALP+ON,62.3821,False,False,False,-0.8531585453448787,True,True,True,True,True,True,3.5696969713505666e-06,1.9954436291793387,0.85316211504185,0.8531585453448787,LOW
Shortland,SHORTLAND,ALP,ON,ALP+ON,0.5537006663430591,IND>OTH>GRN>LNP,ALP,ON,ALP+ON,0.5683510836117348,IND>OTH>GRN>LNP,ALP,ON,ALP+ON,0.5620413867729797,IND>OTH>GRN>LNP,ALP,ON,ALP+ON,54.9604,False,False,False,0.8340720429920512,True,True,True,True,True,True,0.4096666343059163,1.8747083611734827,1.2437386772979675,0.8340720429920512,LOW
Reid,REID,ALP,LNP,ALP+LNP,0.5967721452681737,IND>OTH>GRN>ON,ALP,LNP,ALP+LNP,0.608148668462319,IND>OTH>GRN>ON,ALP,LNP,ALP+LNP,0.603337978635297,IND>OTH>GRN>ON,ALP,LNP,ALP+LNP,59.6772,False,False,False,0.6565833367123353,True,True,True,True,True,True,1.4526817371240952e-05,1.1376668462318995,0.6565978635297065,0.6565833367123353,LOW
Aston,ASTON,ALP,LNP,ALP+LNP,0.5065747046699495,IND>OTH>GRN>ON,ALP,LNP,ALP+LNP,0.5219274531969647,IND>OTH>GRN>ON,ALP,LNP,ALP+LNP,0.5127926243601023,IND>OTH>GRN>ON,ALP,LNP,ALP+LNP,50.6575,False,False,False,0.621791969015284,True,True,True,True,True,True,2.9533005052595485e-05,1.5352453196964655,0.6217624360102314,0.6217329030051788,LOW
Flynn,FLYNN,ON,ALP,ALP+ON,0.6279179669113336,IND>GRN>OTH>LNP,ON,LNP,LNP+ON,0.5381231219160737,IND>GRN>OTH>ALP,ON,ALP,ALP+ON,0.6219070940337605,IND>GRN>OTH>LNP,ON,ALP,ALP+ON,61.9371,False,False,False,-0.601087287757307,True,True,True,True,False,True,0.8546966911333609,8.12478780839263,0.25360940337605387,-0.601087287757307,LOW
Corio,CORIO,ALP,ON,ALP+ON,0.5949029610473502,IND>OTH>LNP>GRN,ALP,ON,ALP+ON,0.5846757139269387,IND>OTH>LNP>GRN,ALP,ON,ALP+ON,0.5895627309364384,IND>OTH>LNP>GRN,ALP,ON,ALP+ON,59.4903,False,False,False,-0.5340230110911781,True,True,True,True,True,True,3.895264977238355e-06,1.0227286073061226,0.5340269063561554,0.5340230110911781,LOW
Wide Bay,WIDE BAY,LNP,ON,LNP+ON,0.5008142045179855,IND>OTH>GRN>ALP,ON,LNP,LNP+ON,0.5012559871512048,IND>OTH>GRN>ALP,LNP,ON,LNP+ON,0.5061243740838679,IND>OTH>GRN>ALP,LNP,ON,LNP+ON,50.0814,False,False,False,0.5310169565882372,True,False,True,True,True,True,2.0451798554699252e-05,0.04419871512048035,0.5310374083867919,0.5310169565882372,LOW
Greenway,GREENWAY,ALP,ON,ALP+ON,0.603564544384707,IND>OTH>GRN>LNP,ALP,ON,ALP+ON,0.6148762611602961,IND>OTH>GRN>LNP,ALP,ON,ALP+ON,0.6085557913390494,IND>OTH>GRN>LNP,ALP,ON,ALP+ON,59.6505,False,False,False,0.49912469543423876,True,True,True,True,True,True,0.7059544384706906,1.8371261160296082,1.2050791339049294,0.49912469543423876,LOW
Gorton,GORTON,ALP,ON,ALP+ON,0.5645917529682095,OTH>GRN>LNP,ALP,ON,ALP+ON,0.5784322219125134,OTH>GRN>LNP,ALP,ON,ALP+ON,0.5692002950552915,OTH>GRN>LNP,ALP,ON,ALP+ON,56.0268,False,False,False,0.4608542087081946,True,True,True,True,True,True,0.43237529682095266,1.8164221912513434,0.8932295055291473,0.4608542087081946,LOW
