,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Primary,,,,,,,,Two-candidate-preferred,,,,
Division,State,Status,ALP,LNP,GRN,ONP,OTH:IND,OTH,IND,OTH,ALP,LNP,GRN,ONP,OTH
Wentworth,NSW,,0.18,0.31,0.12,0.11,1,0.28,0.28,0,,,,,
Sydney,NSW,,0.51,0.17,0.21,0.08,0,0.03,0,0.03,,,,,
Kingsford Smith,NSW,,0.47,0.22,0.14,0.13,1,0.04,0.04,0,,,,,
Bennelong,NSW,,0.43,0.3,0.12,0.09,0,0.06,0,0.06,,,,,
Bradfield,NSW,,0.24,0.33,0.09,0.1,0.932287498,0.24,0.2237489995,0.01625100048,,,,,
Warringah,NSW,,0.19,0.28,0.1,0.11,0.9479086993,0.32,0.3033307838,0.01666921622,,,,,
Banks,NSW,,0.36,0.32,0.12,0.12,0.2269366397,0.08,0.01815493118,0.06184506882,,,,,
Cook,NSW,,0.3,0.36,0.1,0.16,0,0.08,0,0.08,,,,,
Barton,NSW,,0.44,0.21,0.15,0.13,0,0.07,0,0.07,,,,,
Blaxland,NSW,,0.44,0.17,0.1,0.11,0.8182913362,0.18,0.1472924405,0.03270755948,,,,,
Grayndler,NSW,,0.5,0.14,0.23,0.08,0.5974388824,0.05,0.02987194412,0.02012805588,,,,,
Parramatta,NSW,,0.45,0.26,0.13,0.09,0.3881863048,0.07,0.02717304133,0.04282695867,,,,,
Reid,NSW,,0.46,0.27,0.12,0.09,0.5240189445,0.06,0.03144113667,0.02855886333,,,,,
Watson,NSW,,0.45,0.14,0.11,0.11,0.6497820017,0.19,0.1234585803,0.06654141968,,,,,
Berowra,NSW,,0.27,0.33,0.12,0.14,0.8141287106,0.14,0.1139780195,0.02602198051,,,,,
Mackellar,NSW,,0.16,0.3,0.08,0.13,0.9278428332,0.33,0.306188135,0.02381186503,,,,,
Mitchell,NSW,,0.32,0.36,0.13,0.14,0,0.05,0,0.05,,,,,
Chifley,NSW,,0.47,0.16,0.11,0.14,0.1424819435,0.12,0.01709783322,0.1029021668,,,,,
Fowler,NSW,,0.34,0.11,0.08,0.13,0.8522272752,0.34,0.2897572736,0.05024272643,,,,,
Greenway,NSW,,0.46,0.22,0.12,0.12,0.3870092791,0.08,0.03096074233,0.04903925767,,,,,
Lindsay,NSW,,0.3,0.29,0.1,0.19,0.09565671512,0.12,0.01147880581,0.1085211942,,,,,
McMahon,NSW,,0.4,0.2,0.1,0.2,1,0.1,0.1,0,,,,,
Hughes,NSW,,0.36,0.28,0.12,0.05,0,0.09,0,0.09,,,,,
Hume,NSW,,0.25,0.32,0.1,0.21,0.3589058833,0.12,0.043068706,0.076931294,,,,,
Macarthur,NSW,,0.43,0.18,0.13,0.17,0,0.09,0,0.09,,,,,
Werriwa,NSW,,0.38,0.24,0.12,0.13,0.192746114,0.13,0.02505699482,0.1049430052,,,,,
Dobell,NSW,,0.38,0.21,0.1,0.2,0,0.11,0,0.11,,,,,
Newcastle,NSW,,0.42,0.16,0.2,0.13,0.1017881706,0.09,0.009160935351,0.08083906465,,,,,
Paterson,NSW,,0.34,0.2,0.08,0.19,0.5884327857,0.19,0.1118022293,0.07819777071,,,,,
Robertson,NSW,,0.4,0.23,0.09,0.18,0.372216097,0.1,0.0372216097,0.0627783903,,,,,
Shortland,NSW,,0.4,0.2,0.11,0.2,0.5065893516,0.09,0.04559304164,0.04440695836,,,,,
Macquarie,NSW,,0.38,0.24,0.12,0.2,0,0.06,0,0.06,,,,,
Cowper,NSW,,0.13,0.26,0.06,0.22,0.7599233251,0.33,0.2507746973,0.07922530273,,,,,
Cunningham,NSW,,0.4,0.18,0.19,0.17,0,0.06,0,0.06,,,,,
Whitlam,NSW,,0.35,0.21,0.12,0.19,0.6578596023,0.13,0.0855217483,0.0444782517,,,,,
Calare,NSW,,0.12,0.2,0.05,0.23,0.8117558227,0.4,0.3247023291,0.07529767091,,,,,
Eden-Monaro,NSW,,0.38,0.25,0.11,0.18,0.4845408399,0.08,0.03876326719,0.04123673281,,,,,
Gilmore,NSW,,0.35,0.26,0.09,0.17,0.4931369661,0.13,0.0641078056,0.0658921944,,,,,
Hunter,NSW,,0.36,0.13,0.08,0.3,0,0.13,0,0.13,,,,,
Lyne,NSW,,0.19,0.25,0.07,0.25,0.5309288042,0.24,0.127422913,0.112577087,,,,,
New England,NSW,,0.2,0.35,0.09,0.27,0.3857350801,0.09,0.03471615721,0.05528384279,,,,,
Page,NSW,,0.22,0.32,0.14,0.2,0.2746892908,0.12,0.03296271489,0.08703728511,,,,,
Parkes,NSW,,0.18,0.25,0.07,0.32,0.1201147033,0.18,0.02162064659,0.1583793534,,,,,
Richmond,NSW,,0.29,0.2,0.23,0.16,0.1984161581,0.12,0.02380993897,0.09619006103,,,,,
Farrer,NSW,,0.16,0.3,0.07,0.22,0.6660082251,0.25,0.1665020563,0.08349794372,,,,,
Riverina,NSW,,0.18,0.27,0.06,0.27,0.6156224744,0.22,0.1354369444,0.08456305562,,,,,
