INNER METRO,WENTWORTH (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,"WENTWORTH
(NSW)",FULL DISTRIBUTION,,,,,,,,SYDNEY (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,"SYDNEY
(NSW)",FULL DISTRIBUTION,,,,,,,,KINGSFORD SMITH (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,"KINGSFORD SMITH
(NSW)",FULL DISTRIBUTION,,,,,,,,BENNELONG (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,"BENNELONG 
(NSW)",FULL DISTRIBUTION,,,,,,,,BRADFIELD (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,"BRADFIELD
(NSW)",FULL DISTRIBUTION,,,,,,,,WARRINGAH (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,"WARRINGAH
(NSW)",FULL DISTRIBUTION,,,,,,,,BANKS (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,"BANKS
(NSW)",FULL DISTRIBUTION,,,,,,,,COOK (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,"COOK
(NSW)",FULL DISTRIBUTION,,,,,,,,BARTON (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,"BARTON
(NSW)",FULL DISTRIBUTION,,,,,,,,BLAXLAND (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,"BLAXLAND
(NSW)",FULL DISTRIBUTION,,,,,,,,GRAYNDLER (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,"GRAYNDLER
(NSW)",FULL DISTRIBUTION,,,,,,,,PARRAMATTA (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,PARRAMATTA (NSW),FULL DISTRIBUTION,,,,,,,,REID (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,REID (NSW),FULL DISTRIBUTION,,,,,,,,WATSON (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,WATSON (NSW),FULL DISTRIBUTION,,,,,
,NSW,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH
,Primary,0.0840551745,0.2536457224,0.1209920693,0.1411886927,0.3489966336,0,6,0.9488782925,,True,True,True,True,True,True,OTH,,ROUND 1,0.08858372582,0.2673111235,0.1275106304,0.1487953658,0.3677991544,0,,,Primary,0.4806482662,0.0673774555,0.2366397176,0.1661156856,0,0.01900405272,5,0.9697851776,,True,True,True,True,True,True,IND,,ROUND 1,0.4956234404,0.06947668108,0.2440125123,0.1712912194,0,0.01959614681,,,Primary,0.4385932968,0.157259906,0.1589518067,0.2117304806,0.0332,0,6,0.9997354901,,True,True,True,True,True,True,OTH,,ROUND 1,0.4387093398,0.1573015138,0.1589938621,0.2117865002,0.03320878405,0,,,Primary,0.3597114559,0.2518152706,0.1320308008,0.1435430837,0,0.06924167031,5,0.9563422814,,True,True,True,True,True,True,IND,,ROUND 1,0.3761325447,0.2633108203,0.1380581026,0.1500959296,0,0.07240260276,,,Primary,0.1358697341,0.2815247264,0.08989826563,0.124844732,0.2449845747,0.03771991765,6,0.9148419504,,True,True,True,True,True,True,OTH,,ROUND 1,0.1485171663,0.3077304514,0.09826644437,0.1364659021,0.2677889603,0.04123107563,,,Primary,0.07853083903,0.2106863669,0.1031798729,0.1319404234,0.3818718221,0.03489991405,6,0.9411092384,,True,True,True,True,True,False,OTH,,ROUND 1,0.0834449773,0.2238702568,0.1096364468,0.1401967147,0.4057677967,0.03708380773,,,Primary,0.3021444699,0.291844087,0.1285254915,0.1841706562,0.0175,0.05911656517,5,0.9833012697,,True,True,True,True,False,True,IND,,ROUND 1,0.3072755819,0.2968002748,0.1307081517,0.1872983,0.01779719048,0.0601205012,,,Primary,0.2354117446,0.3818731432,0.116047737,0.1947406049,0,0.05811239611,5,0.9861856258,,True,True,True,True,False,True,IND,,ROUND 1,0.2387093651,0.387222378,0.1176733203,0.1974685088,0,0.05892642784,,,Primary,0.4127358933,0.1419134518,0.1646028747,0.2184202341,0,0.05879045907,5,0.996462913,,True,True,True,True,False,True,IND,,ROUND 1,0.4142009581,0.1424171938,0.165187156,0.2191955478,0,0.05899914418,,,Primary,0.4135348721,0.1019733939,0.09408497572,0.1762951507,0.1849,0.04991378933,6,1.020702182,,True,True,True,True,True,False,OTH,,ROUND 1,0.4051474363,0.09990513951,0.09217671657,0.1727194807,0.1811498038,0.04890142318,,,Primary,0.4726492677,0.03905323058,0.2585749125,0.1765059145,0.0204,0.01244371562,6,0.9796270409,,True,True,True,True,True,False,OTH,,ROUND 1,0.4824787883,0.03986540688,0.2639524041,0.1801766459,0.02082425163,0.01270250319,,,Primary,0.3979681783,0.2095832545,0.1325368376,0.1548101711,0,0.04931695648,5,0.944215398,,True,True,True,True,False,True,IND,,ROUND 1,0.4214802884,0.2219655122,0.140367164,0.1639564145,0,0.05223062087,,,Primary,0.4076984415,0.2197345597,0.1278456351,0.1468256635,0.0279,0.03365165387,5,0.9636559536,,True,True,True,True,False,True,IND,,ROUND 1,0.4230746875,0.2280217943,0.1326673017,0.1523631572,0.02895224161,0.03492081769,,,Primary,0.4346573539,0.06710536676,0.1026482248,0.1717103817,0.1574,0.0778551404,2,1.011376467,,True,False,True,True,True,True,LNP,,ROUND 1,0.4297681109,0.06635053209,0.1014935863,0.1697788976,0.1556294862,0.07697938691
,Eliminated,0,,OTH,ALP+LNP+GRN+ON+IND,6,,,,,,,,,,,,,SWING,-0.04524644868,-0.09630959893,0.02571856115,0.1250248666,0.002999154433,0,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.05592482577,-0.1063757744,0.02804779472,0.1368107114,0,-0.002557905904,,,Eliminated,0,,OTH,ALP+LNP+GRN+ON+IND,6,,,,,,,,,,,,,SWING,-0.06915895703,-0.1042083922,0.02341705545,0.1526229607,-0.002672666942,0,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.07737891122,-0.08737945031,0.02030230179,0.1270201273,0,0.01743593246,,,Eliminated,0.03771991765,,OTH,ALP+LNP+GRN+ON+IND,6,,,,,,,,,,,,,SWING,-0.05440256779,-0.07261927496,0.03096817874,0.1210918446,-0.002311039747,0.01861115798,,,Eliminated,0.03489991405,,OTH,ALP+LNP+GRN+ON+IND,6,,,,,,,,,,,,,SWING,-0.06223586173,-0.09334111007,0.02215657385,0.122980996,0.008967796697,0.01455889368,,,Eliminated,0.0175,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.05699388793,-0.09419381226,0.01188266017,0.1502436681,-0.002367564153,-0.008571063966,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.0760023795,-0.09340076516,0.01825058328,0.1538635296,0,-0.002710968273,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.05700993519,-0.099321258,0.006259281336,0.1634382267,0,-0.0133663149,,,Eliminated,0.04991378933,,OTH,ALP+LNP+GRN+ON+IND,6,,,,,,,,,,,,,SWING,-0.05523743588,-0.09601825436,0.01329174086,0.1372016757,-0.006475360179,0.007237633847,,,Eliminated,0.01244371562,,OTH,ALP+LNP+GRN+ON+IND,6,,,,,,,,,,,,,SWING,-0.05292047937,-0.1032378237,0.01280249154,0.1485653254,-0.002318301449,-0.002891212422,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.05621288986,-0.08526774225,0.01930532638,0.1366593674,-0.0154,0.0114136644,,,Eliminated,0.0279,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.06267375394,-0.08918776533,0.01727166656,0.1291259539,-0.001655265033,0.007119163817,,,Eliminated,0.06710536676,,LNP,ALP+GRN+ON+IND+OTH,2,,,,,,,,,,,,,SWING,-0.05026424292,-0.08557983467,0.01217036152,0.1374974672,0.008229486217,-0.009325753489
,Weights,0.09279881218,0.1789161098737936,0.2806236080178174,0.14253897550111358,0.3051224944320713,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0,,,,,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.1606752372,0.21582797979773466,0.16019226615343918,0.3388781966492975,0.12442632022192397,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0,,,,,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.2613131049,0.2564739733193827,0.1225477373790217,0.11116923881768245,0.24849594559246665,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.04123107563,,,,,Weights,0.09506353861,0.2519550342130987,0.05767350928641251,0.40640273704789837,0.1889051808406647,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.03708380773,,,,,Weights,0.2303664921,0.1703950499762018,0.3322227510709186,0.08329366968110423,0.0,0.18372203712517848,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.01779719048,,,,,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.1262430939,0.20027624309392264,0.08397790055248619,0.4430939226519337,0.1464088397790055,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.04890142318,,,,,Weights,0.0960092539,0.22267206477732793,0.08155002891844997,0.4609600925390399,0.13880855986119145,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.01270250319,,,,,Weights,0.2670289855,0.15579710144927536,0.286231884057971,0.14746376811594203,0.0,0.14347826086956522,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.2725659002,0.14280846887268647,0.3388250140213123,0.1408006169377454,0.0,0.10500000000000001,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.02895224161,,,,,Weights,0.2934316469,0.0,0.026250000000000006,0.28875000000000006,0.3128183531292828,0.07875000000000001,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.06635053209,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.009856708797,0.009674177153,0.004622490562,0.004193294533,0.009373246604,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.003317709327,0.008793209039,0.002012800517,0.01418342059,0.006592774575,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.004031413613,0.002981913375,0.005813898144,0.001457639219,,0.00321513565,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.006301271195,0.009996546206,0.004191655237,0.02211649671,0.007307819985,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.001194711852,0.00277086785,0.001014785368,0.005736056302,0.001727294244,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.007604588615,0.003984356282,0.009453217891,0.003928337213,,0.0029295,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.01969083828,,0.001761515877,0.01937667465,0.02099179032,0.005284547632
,Round 2,0.0840551745,0.2536457224420679,0.12099206925591546,0.14118869266725467,0.34899663364453826,0.0,1,0.9488782925,,True,True,True,True,True,False,ALP,,ROUND 2,0.08858372582,0.2673111235,0.1275106304,0.1487953658,0.3677991544,,,,Round 2,0.4806482662,0.06737745550075061,0.23663971761974473,0.16611568558279438,0.0,0.019004052718440287,6,0.9697851776,,True,True,True,True,False,True,OTH,,ROUND 2,0.4956234404,0.06947668108,0.2440125123,0.1712912194,,0.01959614681,,,Round 2,0.4385932968,0.1572599059839406,0.15895180668199976,0.2117304806092187,0.03320000000000001,0.0,5,0.9997354901,,True,True,True,True,True,False,IND,,ROUND 2,0.4387093398,0.1573015138,0.1589938621,0.2117865002,0.03320878405,,,,Round 2,0.3597114559,0.25181527064437403,0.13203080082322516,0.14354308370753413,0.0,0.0692416703092558,6,0.9563422814,,True,True,True,True,False,True,OTH,,ROUND 2,0.3761325447,0.2633108203,0.1380581026,0.1500959296,,0.07240260276,,,Round 2,0.1457264428,0.29119890353893646,0.09452075619001366,0.1290380265324523,0.2543578212993789,0.0,3,0.9148419504,,True,True,True,True,True,False,GRN,,ROUND 2,0.1592913867,0.3183051492,0.1033192194,0.1410495293,0.2780347154,,,,Round 2,0.08184854835,0.21947957593920916,0.10519267344462627,0.146123843944397,0.38846459667374694,0.0,1,0.9411092384,,True,True,True,True,True,False,ALP,,ROUND 2,0.08697029528,0.2332137089,0.1117752001,0.1552676756,0.4127731201,,,,Round 2,0.3061758835,0.2948260004014194,0.13433938962804898,0.18562829539676645,0.0,0.06233170081874098,6,0.9833012697,,True,True,True,True,False,True,OTH,,ROUND 2,0.3113754583,0.2998328279,0.1366207832,0.1887806933,,0.06339023729,,,Round 2,0.2354117446,0.3818731431687413,0.11604773701628372,0.19474060488586384,0.0,0.058112396111466305,6,0.9861856258,,True,True,True,True,False,True,OTH,,ROUND 2,0.2387093651,0.387222378,0.1176733203,0.1974685088,,0.05892642784,,,Round 2,0.4127358933,0.14191345184140228,0.16460287465858273,0.21842023412155023,0.0,0.058790459074946726,6,0.996462913,,True,True,True,True,False,True,OTH,,ROUND 2,0.4142009581,0.1424171938,0.165187156,0.2191955478,,0.05899914418,,,Round 2,0.4198361433,0.11196994007865518,0.09827663095212208,0.19841164745470635,0.19220781998524009,0.0,3,1.020702182,,True,True,True,True,True,False,GRN,,ROUND 2,0.4113209032,0.1096989328,0.09628335542,0.1943874041,0.1883094045,,,,Round 2,0.4738439795,0.04182409842732647,0.2595896978847452,0.18224197080907337,0.022127294243890497,0.0,5,0.9796270409,,True,True,True,True,True,False,IND,,ROUND 2,0.4836983461,0.0426938995,0.2649882936,0.186031993,0.0225874678,,,,Round 2,0.3979681783,0.2095832544500463,0.13253683763761706,0.1548101711397234,0.0,0.049316956477003814,6,0.944215398,,True,True,True,True,False,True,OTH,,ROUND 2,0.4214802884,0.2219655122,0.140367164,0.1639564145,,0.05223062087,,,Round 2,0.4153030301,0.22371891594049856,0.13729885301177713,0.1507540007251259,0.0,0.036581153872373214,6,0.9636559536,,True,True,True,True,False,True,OTH,,ROUND 2,0.4309660813,0.2321564196,0.1424770454,0.1564396506,,0.03796080306,,,Round 2,0.4543481921,0.0,0.1044097406401659,0.19108705630740586,0.1783917903152526,0.08313968803344642,6,1.011376467,,True,False,True,True,True,True,OTH,,ROUND 2,0.4492374568,,0.1032352878,0.1889376137,0.1763851504,0.08220449131
,Eliminated,0.0840551745,,ALP,LNP+GRN+ON+IND,1,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.01900405272,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.0332,,IND,ALP+LNP+GRN+ON,5,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.06924167031,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.09452075619,,GRN,ALP+LNP+ON+IND,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.08184854835,,ALP,LNP+GRN+ON+IND,1,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.06233170082,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.05811239611,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.05879045907,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.09827663095,,GRN,ALP+LNP+ON+IND,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.02212729424,,IND,ALP+LNP+GRN+ON,5,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.04931695648,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.03658115387,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.08313968803,,OTH,ALP+GRN+ON+IND,6,,,,,,,,,,,,,SWING,,,,,,
,Weights,0,0.0881090905951024,0.40833333333333344,0.0175,0.48605757607156425,0.0,,Calibrate,,,,,,,,,,ELIMINATED,LABOR,,,0.08858372582,,,,,Weights,0.2070707071,0.06734006734006734,0.6510942760942761,0.07449494949494949,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.01959614681,,,,,Weights,0.2836660107,0.17570986786617937,0.37897104301377565,0.161653078436885,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.03320878405,,,,,Weights,0.1996355202,0.20974155069582506,0.23028495692511597,0.36033797216699803,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.07240260276,,,,,Weights,0.4143422124,0.06131848319181109,0.0,0.10500000000000001,0.4193393044085146,0.0,,Calibrate,,,,,,,,,,ELIMINATED,GREENS,,,0.1033192194,,,,,Weights,0,0.10619567510548522,0.4083333333333334,0.0175,0.46797099156118144,0.0,,Calibrate,,,,,,,,,,ELIMINATED,LABOR,,,0.08697029528,,,,,Weights,0.1137648389,0.17877331825890333,0.12125494629734314,0.5862068965517241,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.06339023729,,,,,Weights,0.130441447,0.3303188228080932,0.1079092581238504,0.4313304721030043,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.05892642784,,,,,Weights,0.1364579013,0.18609152495506706,0.1312042029586617,0.5462463708004978,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.05899914418,,,,,Weights,0.4314310322,0.06973101894792634,0.0,0.10500000000000001,0.3938379488538492,0.0,,Calibrate,,,,,,,,,,ELIMINATED,GREENS,,,0.09628335542,,,,,Weights,0.2954383464,0.15324305060584462,0.3781183178902352,0.17320028510334998,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.0225874678,,,,,Weights,0.1266990291,0.18373786407766993,0.27160194174757285,0.4179611650485437,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.05223062087,,,,,Weights,0.1147421604,0.24609089698911432,0.10175924098342184,0.5374077016466334,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.03796080306,,,,,Weights,0.2462879629,0.0,0.13857733831096758,0.2470588235294118,0.3680758752900817,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.08220449131,,
,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,,0.007406024985,0.03432252959,0.001470965554,0.04085565437,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.003935182634,0.00127973419,0.01237342995,0.001415705947,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.009417711555,0.005833567613,0.01258183863,0.005366882204,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.01382309687,0.0145228553,0.01594531506,0.02495040307,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.03916393924,0.0057958694,,0.0099246794,0.03963626815,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,,0.008691961849,0.03342149058,0.001432349596,0.03830274633,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.007091155902,0.01114324499,0.007558027035,0.03653927289,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.007580265035,0.01919561827,0.006270865552,0.02506564725,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.008022422661,0.01094040618,0.007713555325,0.03211407491,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.04239958833,0.006852929615,,0.01031904625,0.03870506675,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.006537251222,0.003390854072,0.008366735279,0.003832453672,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.006248410505,0.009061392246,0.01339458114,0.02061257259,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.004197400625,0.009002288969,0.003722470452,0.01965899383,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.0204763044,,0.01152127668,0.02054039351,0.03060171344,
,Round 3,0,0.2610517474269084,0.15531459884264082,0.14265965822097149,0.3898522880173585,0.0,4,0.9488782925,,False,True,True,True,True,False,ON,,ROUND 3,,0.275116155,0.1636823184,0.150345581,0.4108559455,,,,Round 3,0.4845834488,0.06865718969054457,0.24901314756731507,0.16753139153025395,0.0,0.0,2,0.9697851776,,True,True,True,True,False,False,LNP,,ROUND 3,0.4996812284,0.07079628693,0.2567714514,0.1727510333,,,,,Round 3,0.4480110084,0.16309347359709775,0.1715336453100571,0.21709736281332329,0.0,0.0,2,0.9997354901,,True,True,True,True,False,False,LNP,,ROUND 3,0.4481295431,0.1631366249,0.1715790297,0.2171548024,,,,,Round 3,0.3735345528,0.2663381259478064,0.1479761158878152,0.1684934867762272,0.0,0.0,3,0.9563422814,,True,True,True,True,False,False,GRN,,ROUND 3,0.390586676,0.2784966545,0.1547313329,0.1761853366,,,,,Round 3,0.1848903821,0.29699477293865106,0.0,0.13896270593240373,0.293994089452266,0.0,4,0.9148419504,,True,True,False,True,True,False,ON,,ROUND 3,0.2021009006,0.324640527,,0.1518980474,0.321360525,,,,Round 3,0,0.22817153778806287,0.138614164022497,0.14755619354059146,0.42676734300479713,0.0,3,0.9411092384,,False,True,True,True,True,False,GRN,,ROUND 3,,0.2424495781,0.1472880707,0.1567896558,0.4534726954,,,,Round 3,0.3132670394,0.3059692453895069,0.14189741666344746,0.22216756829051115,0.0,0.0,3,0.9833012697,,True,True,True,True,False,False,GRN,,ROUND 3,0.3185870384,0.311165311,0.1443071631,0.2259404876,,,,,Round 3,0.2429920096,0.4010687614428385,0.12231860256847138,0.21980625213565938,0.0,0.0,3,0.9861856258,,True,True,True,True,False,False,GRN,,ROUND 3,0.2463958136,0.4066868863,0.1240320274,0.2228852727,,,,,Round 3,0.420758316,0.15285385802346757,0.17231642998308494,0.2505343090289351,0.0,0.0,2,0.996462913,,True,True,True,True,False,False,LNP,,ROUND 3,0.4222518575,0.1533964346,0.1729280917,0.2514236162,,,,,Round 3,0.4622357317,0.11882286969371597,0.0,0.20873069370467917,0.23091288673969057,0.0,2,1.020702182,,True,True,False,True,True,False,LNP,,ROUND 3,0.4528605306,0.1164128693,,0.2044971564,0.2262294437,,,,Round 3,0.4803812307,0.04521495249891339,0.2679564331637073,0.18607442448068093,0.0,0.0,2,0.9796270409,,True,True,True,True,False,False,LNP,,ROUND 3,0.4903715503,0.04615527197,0.2735290289,0.1899441489,,,,,Round 3,0.4042165888,0.21864464669594239,0.14593141877785185,0.17542274372550024,0.0,0.0,3,0.944215398,,True,True,True,True,False,False,GRN,,ROUND 3,0.4280978574,0.2315622549,0.1545531021,0.1857867856,,,,,Round 3,0.4195004307,0.23272120490984768,0.1410213234641276,0.17041299455125983,0.0,0.0,3,0.9636559536,,True,True,True,True,False,False,GRN,,ROUND 3,0.4353217859,0.2414982277,0.1463399079,0.1768400786,,,,,Round 3,0.4748244965,0.0,0.1159310173158451,0.21162744982155143,0.2089935037595077,0.0,3,1.011376467,,True,False,True,True,True,False,GRN,,ROUND 3,0.4694834335,,0.1146269674,0.2092469586,0.2066426405,
