InnerMetro,BRISBANE (QLD),RAW,,,,,,,,,AliveMask,,,,,,,,"BRISBANE
(QLD)",FULL DISTRIBUTION,,,,,,,,LILLEY (QLD),RAW,,,,,,,,,AliveMask,,,,,,,,"LILLEY
(QLD)",FULL DISTRIBUTION,,,,,,,,GRIFFITH (QLD),RAW,,,,,,,,,AliveMask,,,,,,,,GRIFFITH (QLD),FULL DISTRIBUTION,,,,,,,,MORETON (QLD),RAW,,,,,,,,,AliveMask,,,,,,,,"MORETON 
(QLD)",FULL DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,QLD,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary,0.2486224164,0.2382881575,0.2801948113,0.1539202924,0,0.04232936589,,0.9633550434,,True,True,True,True,True,True,IND,,ROUND 1,0.2580797371,0.2473523745,0.2908531109,0.1597752494,0,0.04393952798,,,Primary,0.3896049317,0.16933217,0.1836424507,0.1938983934,0,0.04933440819,,0.9858123539,,True,True,True,True,True,True,IND,,ROUND 1,0.3952120606,0.1717691701,0.186285402,0.1966889465,0,0.05004442072,,,Primary,0.2704282895,0.1633632085,0.3416619472,0.1589699202,0,0.03192005082,,0.9663434162,,True,True,True,True,True,True,IND,,ROUND 1,0.279846983,0.1690529534,0.3535616236,0.1645066521,0,0.03303178796,,,Primary,0.3501691349,0.1630357915,0.2323124487,0.1691045838,0,0.05780669102,,0.9724286499,,True,True,True,True,True,True,IND,,ROUND 1,0.3600975094,0.1676583588,0.2388992228,0.17389922,0,0.05944568892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.06344267922,-0.09533578296,0.03203329964,0.1345100004,0,-0.007764837902,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.06554287116,-0.1052129998,0.02226795135,0.1541529071,0,-0.005664987471,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.06523130657,-0.09671025511,0.0370246764,0.1399301481,0,-0.01501326286,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.0629716255,-0.08952743269,0.02221177411,0.1452732862,0,-0.0149860021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 2,0.2486224164,0.23828815747889298,0.2801948112781616,0.15392029235332677,0.0,0.04232936588559304,,0.9633550434,,True,True,True,True,False,True,OTH,,ROUND 2,0.2580797371,0.2473523745,0.2908531109,0.1597752494,,0.04393952798,,,Round 2,0.3896049317,0.16933216995447653,0.18364245068285284,0.19389839337423878,0.0,0.04933440819423369,,0.9858123539,,True,True,True,True,False,True,OTH,,ROUND 2,0.3952120606,0.1717691701,0.186285402,0.1966889465,,0.05004442072,,,Round 2,0.2704282895,0.16336320849739033,0.34166194716601045,0.15896992021066317,0.0,0.03192005081952205,,0.9663434162,,True,True,True,True,False,True,OTH,,ROUND 2,0.279846983,0.1690529534,0.3535616236,0.1645066521,,0.03303178796,,,Round 2,0.3501691349,0.16303579147616462,0.2323124487109804,0.16910458376215948,0.0,0.057806691018959626,,0.9724286499,,True,True,True,True,False,True,OTH,,ROUND 2,0.3600975094,0.1676583588,0.2388992228,0.17389922,,0.05944568892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated,0.04232936589,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.04933440819,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.03192005082,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.05780669102,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.1440796367,0.21428571428571427,0.19437652811735942,0.44725812085225286,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.04393952798,,,,,Weights,0.1855635002,0.17500851208716378,0.12989445011916922,0.5095335376234252,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.05004442072,,,,,Weights,0.1164474938,0.30074328187535737,0.11854392986468458,0.4642652944539737,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.03303178796,,,,,Weights,0.2319587629,0.2051832760595647,0.14103665521191294,0.4218213058419244,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.05944568892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.00609879966,0.009070578404,0.008227835178,0.01893215264,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.009154665463,0.008633941373,0.006408265824,0.02513753553,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.00371700992,0.009599740841,0.003783928266,0.01481937179,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.01340876854,0.01186096624,0.00815286235,0.02438409389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 3,0.254721216,0.24735873588294863,0.2884226464564126,0.17285244499618457,0.0,0.0,,0.9633550434,,True,True,True,True,False,False,ON,,ROUND 3,0.2644105284,0.2567679877,0.2993939238,0.1794275602,,,,,Round 3,0.3987595972,0.17796611132725015,0.19005071650719746,0.21903592890800477,0.0,0.0,,0.9858123539,,True,True,True,True,False,False,LNP,,ROUND 3,0.4044984784,0.1805273698,0.1927858945,0.2221882573,,,,,Round 3,0.2741452995,0.17296294933848158,0.345445875431637,0.17378929200337437,0.0,0.0,,0.9663434162,,True,True,True,True,False,False,LNP,,ROUND 3,0.2836934519,0.1789870417,0.3574773415,0.1798421649,,,,,Round 3,0.3635779035,0.17489675771759777,0.24046531106116298,0.19348867765417765,0.0,0.0,,0.9724286499,,True,True,True,True,False,False,LNP,,ROUND 3,0.3738864579,0.17985562,0.247283244,0.1989746782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated,0.172852445,,ON,ALP+LNP+GRN,4,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1779661113,,LNP,ALP+GRN+ON,2,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1729629493,,LNP,ALP+GRN+ON,2,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1748967577,,LNP,ALP+GRN+ON,2,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
