INNER METRO,CHISHOLM (VIC),RAW,,,,,,,,,AliveMask,,,,,,,,"CHISHOLM
(VIC)",FULL DISTRIBUTION,,,,,,,,GOLDSTEIN (VIC),RAW,,,,,,,,,AliveMask,,,,,,,,"GOLDSTEIN
(VIC)",FULL DISTRIBUTION,,,,,,,,HOTHAM (VIC),RAW,,,,,,,,,AliveMask,,,,,,,,"HOTHAM
(VIC)",FULL DISTRIBUTION,,,,,,,,KOOYONG (VIC),RAW,,,,,,,,,AliveMask,,,,,,,,"KOOYONG
(VIC)",FULL DISTRIBUTION,,,,,,,,MACNAMARA (VIC),RAW,,,,,,,,,AliveMask,,,,,,,,"MACNAMARA
(VIC)",FULL DISTRIBUTION,,,,,,,,COOPER (VIC),RAW,,,,,,,,,AliveMask,,,,,,,,"COOPER
(VIC)",FULL DISTRIBUTION,,,,,,,,MELBOURNE (VIC),RAW,,,,,,,,,AliveMask,,,,,,,,"MELBOURNE
(VIC)",FULL DISTRIBUTION,,,,,,,,WILLS (VIC),RAW,,,,,,,,,AliveMask,,,,,,,,"WILLS
(VIC)",FULL DISTRIBUTION,,,,,,,,FRASER (VIC),RAW,,,,,,,,,AliveMask,,,,,,,,"FRASER
(VIC)",FULL DISTRIBUTION,,,,,,,,GELLIBRAND (VIC),RAW,,,,,,,,,AliveMask,,,,,,,,"GELLIBRAND
(VIC)",FULL DISTRIBUTION,,,,,,,,MARIBYRNONG (VIC),RAW,,,,,,,,,AliveMask,,,,,,,,"MARIBYRNONG
(VIC)",FULL DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VIC,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary,0.3167621254,0.2644011252,0.146769454,0.1281779848,0.0566,0.04477409134,6,0.9574847807,,True,True,True,True,True,True,OTH,,ROUND 1,0.3308273215,0.2761413346,0.1532864615,0.1338694749,0.05911321113,0.04676219637,,,Primary,0.07586787971,0.3126114698,0.09285002702,0.1304500904,0.3112316468,0.02680398991,6,0.9498151037,,True,True,True,True,True,True,OTH,,ROUND 1,0.07987647219,0.3291287627,0.09775589655,0.1373426153,0.3276760346,0.02822021866,,,Primary,0.4134616471,0.1515936238,0.1659221818,0.1889142274,0,0.06200746815,5,0.9818991482,,True,True,True,True,True,True,IND,,ROUND 1,0.4210836193,0.1543881814,0.1689808796,0.1923967729,0,0.06315054684,,,Primary,0.05694090535,0.3190738064,0.1006059127,0.09767604239,0.3335563432,0.01686746193,6,0.924720472,,True,True,True,True,True,True,OTH,,ROUND 1,0.06157634342,0.3450489268,0.1087960262,0.1056276414,0.3607104561,0.01824060616,,,Primary,0.2892846185,0.2036116297,0.2830989486,0.1512145935,0,0.0150212417,5,0.9422310319,,True,True,True,True,True,True,IND,,ROUND 1,0.307020899,0.216095228,0.3004559805,0.1604856859,0,0.01594220652,,,Primary,0.3558049737,0.04114580382,0.2779802925,0.2005682978,0,0.1121367771,5,0.987636145,,True,True,True,True,True,True,IND,,ROUND 1,0.3602591658,0.04166089306,0.2814602259,0.2030791389,0,0.1135405763,,,Primary,0.2385581767,0.08421570479,0.4255912446,0.1380850116,0.0468,0.02763938716,6,0.9608895248,,True,True,True,True,True,True,OTH,,ROUND 1,0.2482680584,0.08764348306,0.4429138143,0.143705398,0.04870487064,0.02876437556,,,Primary,0.2973062545,0.02405381555,0.3652656291,0.1727868776,0,0.1149523524,5,0.9743649291,,True,True,True,True,True,True,IND,,ROUND 1,0.3051282385,0.02468665983,0.3748755914,0.1773328169,0,0.1179766933,,,Primary,0.3641470656,0.07485642476,0.2546561016,0.1942483295,0,0.09720829813,5,0.9851162196,,True,True,True,True,True,True,IND,,ROUND 1,0.3696488377,0.0759874046,0.2585036126,0.1971831603,0,0.0986769847,,,Primary,0.3960138557,0.1514475899,0.1846625387,0.2100267299,0,0.04921127783,5,0.991361992,,True,True,True,True,True,True,IND,,ROUND 1,0.3994644327,0.1527671941,0.1862715539,0.2118567502,0,0.04964006914,,,Primary,0.3555057803,0.1824555206,0.2187819833,0.214379708,0,0.0194,5,0.9905229922,,True,True,True,True,True,True,IND,,ROUND 1,0.3589071461,0.1842011968,0.2208752195,0.2164308246,0,0.01958561301,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated,0.04477409134,,OTH,ALP+LNP+GRN+ON+IND,6,,,,,,,,,,,,,SWING,-0.05653480389,-0.09625979061,0.02829200752,0.1147378518,-0.0001983698883,0.009963105032,,,Eliminated,0.02680398991,,OTH,ALP+LNP+GRN+ON+IND,6,,,,,,,,,,,,,SWING,-0.05674140752,-0.1061327072,0.02588086954,0.1197326286,0.02011938783,-0.002858771252,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.06737802782,-0.1030804424,0.02040869786,0.1457066937,0,0.004343078689,,,Eliminated,0.01686746193,,OTH,ALP+LNP+GRN+ON+IND,6,,,,,,,,,,,,,SWING,-0.05743956193,-0.08624987967,0.0313151135,0.09517207102,0.02157911286,-0.004376855779,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.05403871948,-0.1088664017,0.04570703195,0.1325501082,-0.01834798381,0.00299596482,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.0593958079,-0.1096599108,0.02935493343,0.150246986,0,-0.01054620077,,,Eliminated,0.02763938716,,OTH,ALP+LNP+GRN+ON+IND,6,,,,,,,,,,,,,SWING,-0.06514011825,-0.1100722217,0.04827256976,0.1186869266,-0.0007471447976,0.008999988398,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.05075301597,-0.1039421557,0.02113496237,0.1423358684,0,-0.008775659101,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.05639822789,-0.09266902016,0.005672510993,0.1494010505,0,-0.006006313433,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.06672442304,-0.1090053958,0.01580901517,0.1520670123,0,0.007853791313,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.05534863419,-0.1204293238,0.008693236168,0.1474991088,0,0.01958561301,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.1096914176,0.2707328833172613,0.10318225650916105,0.3825940212150434,0.13379942140790743,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.04676219637,,,,,Weights,0.1354528453,0.23243387656959658,0.056104728827144,0.48330216403954046,0.09270638525247128,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.02822021866,,,,,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.06310119277,0.35244324740284727,0.06464024624855713,0.41323585994613315,0.10657945363601386,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.01824060616,,,,,Weights,0.2115531015,0.21491776315789476,0.24477913533834586,0.22375000000000003,0.0,0.10500000000000001,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.2105778648,0.10626836434867777,0.4701273261508325,0.042605288932419196,0.17042115572967678,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.02876437556,,,,,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.004911333548,0.01212181885,0.004619891777,0.01713029965,0.005990747515,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.003630676699,0.006230155283,0.001503830585,0.01295442633,0.002484901015,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.001064356967,0.00594482306,0.001090316893,0.006970240138,0.001797724877,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.005820243134,0.002937192465,0.01299403118,0.001177584076,0.004710336304,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 2,0.321673459,0.27652294402627997,0.15138934573624777,0.14530828448922956,0.06259074751490727,0.0,5,0.9574847807,,True,True,True,True,True,False,IND,,ROUND 2,0.3359567331,0.2888013988,0.1581114904,0.1517604117,0.06536996595,,,,Round 2,0.07949855641,0.31884162511566005,0.09435385760126606,0.1434045167598511,0.31371654776922475,0.0,1,0.9498151037,,True,True,True,True,True,False,ALP,,ROUND 2,0.0836989811,0.3356880975,0.09933918427,0.1509815081,0.330292229,,,,Round 2,0.4134616471,0.1515936237771982,0.16592218178908025,0.18891422739564132,0.0,0.06200746815301618,6,0.9818991482,,True,True,True,True,False,True,OTH,,ROUND 2,0.4210836193,0.1543881814,0.1689808796,0.1923967729,,0.06315054684,,,Round 2,0.05800526232,0.3250186295052619,0.10169622960075751,0.1046462825285418,0.33535406808279766,0.0,1,0.924720472,,True,True,True,True,True,False,ALP,,ROUND 2,0.06272734742,0.3514777052,0.1099751035,0.1131653139,0.3626545299,,,,Round 2,0.2892846185,0.2036116296916423,0.28309894855388784,0.1512145934586257,0.0,0.015021241703043683,6,0.9422310319,,True,True,True,True,False,True,OTH,,ROUND 2,0.307020899,0.216095228,0.3004559805,0.1604856859,,0.01594220652,,,Round 2,0.3558049737,0.041145803822058624,0.2779802925101779,0.20056829784748959,0.0,0.11213677708995595,2,0.987636145,,True,True,True,True,False,True,LNP,,ROUND 2,0.3602591658,0.04166089306,0.2814602259,0.2030791389,,0.1135405763,,,Round 2,0.2443784198,0.08715289725127066,0.4385852757433363,0.13926259567702773,0.05151033630352372,0.0,5,0.9608895248,,True,True,True,True,True,False,IND,,ROUND 2,0.2543251992,0.0907002262,0.4564367333,0.1449309125,0.05360692876,,,,Round 2,0.2973062545,0.02405381555096056,0.3652656290706042,0.1727868775615888,0.0,0.11495235241070859,2,0.9743649291,,True,True,True,True,False,True,LNP,,ROUND 2,0.3051282385,0.02468665983,0.3748755914,0.1773328169,,0.1179766933,,,Round 2,0.3641470656,0.07485642476295049,0.2546561016405036,0.19424832949580004,0.0,0.09720829812872789,2,0.9851162196,,True,True,True,True,False,True,LNP,,ROUND 2,0.3696488377,0.0759874046,0.2585036126,0.1971831603,,0.0986769847,,,Round 2,0.3960138557,0.15144758987471718,0.18466253873500504,0.2100267298550771,0.0,0.04921127782741777,6,0.991361992,,True,True,True,True,False,True,OTH,,ROUND 2,0.3994644327,0.1527671941,0.1862715539,0.2118567502,,0.04964006914,,,Round 2,0.3555057803,0.18245552060757037,0.21878198332688834,0.21437970802674747,0.0,0.019400000000000035,6,0.9905229922,,True,True,True,True,False,True,OTH,,ROUND 2,0.3589071461,0.1842011968,0.2208752195,0.2164308246,,0.01958561301,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated,0.06259074751,,IND,ALP+LNP+GRN+ON,5,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.07949855641,,ALP,LNP+GRN+ON+IND,1,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.06200746815,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.05800526232,,ALP,LNP+GRN+ON+IND,1,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.0150212417,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.04114580382,,LNP,ALP+GRN+ON+OTH,2,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.0515103363,,IND,ALP+LNP+GRN+ON,5,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.02405381555,,LNP,ALP+GRN+ON+OTH,2,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.07485642476,,LNP,ALP+GRN+ON+OTH,2,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.04921127783,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.0194,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.3107598559,0.19816419283929027,0.3478047681586911,0.1432711831434581,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.06536996595,,,,,Weights,0,0.11098267047916127,0.40833333333333344,0.0175,0.46318399618750544,0.0,,Calibrate,,,,,,,,,,ELIMINATED,LABOR,,,0.0836989811,,,,,Weights,0.1709894332,0.1903618315722062,0.2774575728466218,0.3611911623439001,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.06315054684,,,,,Weights,0,0.13711866501854142,0.4083333333333334,0.0175,0.43704800164812524,0.0,,Calibrate,,,,,,,,,,ELIMINATED,LABOR,,,0.06272734742,,,,,Weights,0.1229859673,0.27564951262465553,0.12341942387903355,0.4779450961882009,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.01594220652,,,,,Weights,0.4083459348,0.0,0.15930112404859118,0.33970588235294114,0.0,0.09264705882352939,,Calibrate,,,,,,,,,,ELIMINATED,LIBERAL,,,0.04166089306,,,,,Weights,0.2763358956,0.36694022043498004,0.2134527007937876,0.1432711831434581,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.05360692876,,,,,Weights,0.430991864,0.0,0.13665519485354824,0.3397058823529412,0.0,0.0926470588235294,,Calibrate,,,,,,,,,,ELIMINATED,LIBERAL,,,0.02468665983,,,,,Weights,0.3654902555,0.0,0.20215680329393423,0.3397058823529412,0.0,0.0926470588235294,,Calibrate,,,,,,,,,,ELIMINATED,LIBERAL,,,0.0759874046,,,,,Weights,0.1910828025,0.21496815286624205,0.23771610555050046,0.3562329390354868,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.04964006914,,,,,Weights,0.1787609835,0.21170974783117083,0.20983574219057108,0.3996935264612169,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.01958561301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.01945069168,0.01240324496,0.02176936043,0.00896745045,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,,0.00882296209,0.03246191053,0.001391224737,0.03682245905,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.01060262184,0.01180385521,0.01720444161,0.0223965495,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,,0.007953604133,0.02368548211,0.001015092091,0.02535108398,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.001847401941,0.004140597954,0.001853912997,0.007179328811,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.01680172172,,0.006554572799,0.01397747159,,0.003812037707,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.01423415492,0.01890121416,0.0109950204,0.007379946826,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.0103669988,,0.003287078851,0.008171222636,,0.002228515264,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.02735929381,,0.01513273554,0.02542916782,,0.006935227588,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.009403428884,0.01057885749,0.01169831331,0.01753067813,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.00346796308,0.004107169108,0.004070813398,0.007754054413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 3,0.3411241506,0.2889261889867794,0.17315870616454926,0.1542757349395238,0.0,0.0,4,0.9574847807,,True,True,True,True,False,False,ON,,ROUND 3,0.3562710943,0.3017553854,0.1808474763,0.161126044,,,,,Round 3,0,0.3276645872054806,0.126815768136087,0.1447957414970577,0.35053900681918304,0.0,3,0.9498151037,,False,True,True,True,True,False,GRN,,ROUND 3,,0.3449772339,0.1335162682,0.1524462403,0.3690602576,,,,Round 3,0.4240642689,0.1633974789859616,0.18312662340118033,0.2113107768918316,0.0,0.0,2,0.9818991482,,True,True,True,True,False,False,LNP,,ROUND 3,0.4318816955,0.1664096351,0.1865024771,0.2152061923,,,,,Round 3,0,0.3329722336384111,0.12538171171410395,0.10566137461911379,0.36070515206412945,0.0,4,0.924720472,,False,True,True,True,True,False,ON,,ROUND 3,,0.3600787954,0.1355887703,0.1142630425,0.3900693917,,,,Round 3,0.2911320204,0.20775222764610343,0.2849528615508252,0.15839392226925314,0.0,0.0,4,0.9422310319,,True,True,True,True,False,False,ON,,ROUND 3,0.3089815667,0.2204896895,0.3024235585,0.1681051854,,,,,Round 3,0.3726066954,0.0,0.2845348653089147,0.21454576943998302,0.0,0.11594881479699962,6,0.987636145,,True,False,True,True,False,True,OTH,,ROUND 3,0.3772712221,,0.288096853,0.2172315893,,0.1174003355,,,Round 3,0.2586125747,0.10605411140916561,0.4495802961461197,0.146642542503351,0.0,0.0,2,0.9608895248,,True,True,True,True,False,False,LNP,,ROUND 3,0.2691387179,0.1103707645,0.467879277,0.1526112406,,,,,Round 3,0.3076732533,0.0,0.36855270792169204,0.18095810019728276,0.0,0.11718086767498875,6,0.9743649291,,True,False,True,True,False,True,OTH,,ROUND 3,0.3157679881,,0.3782491517,0.1857190205,,0.1202638397,,,Round 3,0.3915063594,0.0,0.2697888371765946,0.2196774973196847,0.0,0.10414352571706006,6,0.9851162196,,True,False,True,True,False,True,OTH,,ROUND 3,0.3974214936,,0.2738649834,0.2229965287,,0.1057169942,,,Round 3,0.4054172846,0.16202644736946464,0.19636085204930248,0.22755740798923002,0.0,0.0,2,0.991361992,,True,True,True,True,False,False,LNP,,ROUND 3,0.4089497962,0.1634382281,0.1980717978,0.2295401779,,,,,Round 3,0.3589737434,0.18656268971549508,0.2228527967253854,0.22213376244009508,0.0,0.0,2,0.9905229922,,True,True,True,True,False,False,LNP,,ROUND 3,0.3624082895,0.188347662,0.2249849811,0.2242590674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
