Division,State,ALP,LNP,GRN,ON_LOGIT_PVI,IND,OTH
Adelaide,SA,0.1079401491,-0.06666278892,0.07039401082,-0.499841212,-0.07,-0.02032552941
Aston,VIC,0.02004097693,0.06169212988,-0.005068954656,-0.6228579223,-0.0313,-0.0118994538
Ballarat,VIC,0.08885296537,-0.04579769466,0.02185769562,0.06345408262,-0.0446,-0.02360691601
Banks,NSW,0.02214446985,0.07684408703,-0.01147450852,-0.503159523,-0.0525,-0.01088343483
Barker,SA,-0.119838765,0.1671005455,-0.04243076467,0.2749380537,-0.01175848603,-0.009789893666
Barton,NSW,0.1327358933,-0.07308654816,0.02460287466,-0.07626739702,-0.07,-0.01120954093
Bass,TAS,0.02813209487,0.007250789871,0.002307450345,-0.00370101951,-0.01482160865,-0.02203965905
Bean,ACT,0.07154659202,-0.08077156767,-0.01387013145,-3.844269812,0.1506701071,-0.07
Bendigo,VIC,0.01625934654,0.04196540655,-0.002781622771,-0.1771027284,-0.07,0.01473836841
Bennelong,NSW,0.07971145594,0.03681527064,-0.007969199177,-1.098812325,-0.07,-0.0007583296907
Berowra,NSW,-0.07848101551,0.1029319985,0.004545811989,-0.3016068096,0.01933775786,-0.04098478818
Blair,QLD,0.02494016889,-0.0492469692,-0.01216941347,0.5381285178,-0.07,0.06675341634
Blaxland,NSW,0.1335348721,-0.1130266061,-0.04591502428,-0.6097801252,0.1149,-0.02008621067
Bonner,QLD,0.02967194317,0.0500812978,0.01287580217,-0.3749242521,-0.07,-0.006360384336
Boothby,SA,0.05984361892,0.01072010691,0.04401334019,-0.8155101215,0.0217,-0.03214150986
Bowman,QLD,-0.02975997389,0.07523101577,-0.001370115153,0.1983879192,-0.07,0.01250721267
Braddon,TAS,0.01202982362,0.01987557456,-0.04200490379,0.1064673417,0.01372099145,-0.01047922234
Bradfield,NSW,-0.1441302659,0.06652472639,-0.05010173437,-1.421135743,0.1749845747,-0.03228008235
Brand,WA,0.1300056529,-0.1256806651,0.005333969486,0.5877573643,-0.07,0.01037619625
Brisbane,QLD,-0.03137758364,0.02328815748,0.1401948113,-0.9348321176,-0.07,-0.02767063411
Bruce,VIC,0.09980918726,-0.07634745374,-0.007351721099,0.1812151785,-0.07,0.03994887437
Bullwinkel,WA,-0.009914631583,0.03569915921,-0.009846189712,0.2046943702,-0.07,0.03754865856
Burt,WA,0.1342725798,-0.122430961,-0.01216143595,0.3512439048,-0.0509,0.02643140611
Calare,NSW,-0.224552868,0.01414775048,-0.08423329773,0.2400101762,0.2791533421,0.001470948883
Calwell,VIC,0.0003030456853,-0.1510790231,-0.03555373364,-0.3302205597,0.0481,0.04005466426
Canberra,ACT,0.133946831,-0.1361655827,0.0881800265,-3.970432742,0.02696268401,-0.05587395884
Canning,WA,-0.0289048223,0.094914027,-0.03450643536,0.4568004307,-0.07,0.0002807262015
Capricornia,QLD,-0.03131575203,0.04499207027,-0.06101410594,1.040126361,-0.07,0.02309170062
Casey,VIC,-0.09609476899,0.07005493123,-0.007202947387,-0.2945947349,0.03108134309,0.0171927015
Chifley,NSW,0.1867421002,-0.1186174246,-0.03475638658,-0.07255302646,-0.07,0.02644349654
Chisholm,VIC,0.03676212542,0.04940112518,0.006769453959,-1.360805721,-0.0134,-0.02522590866
Clark,TAS,-0.1433892971,-0.1856637578,0.01043478958,-0.5019123704,0.4127273534,-0.07
Cook,NSW,-0.04458825542,0.1668731432,-0.02395226298,-0.3654667733,-0.07,-0.01188760389
