Pendulum for the 2028 Australian Federal Election,,,,,,,,,,
Labor (94),,,,Crossbench (13),,,,Coalition (43),,
Electorate,Margin,PVI,,Electorate,Margin,PVI,,Electorate,Margin,PVI
Bean (ACT) v IND,0.0034,0.1321,,Bradfield (NSW) v LIB,0.0001,0.0974,,Longman (QLD),0.0011,0.0535
Bullwinkel (WA),0.0051,0.0327,,Kooyong (VIC) v LIB,0.0067,0.0721,,Goldstein (VIC) v IND,0.0018,0.084
Fremantle (WA) v IND,0.0069,0.1375,,Fowler (NSW) v LAB,0.0252,0.1062,,Berowra (NSW),0.0163,0.0761
Menzies (VIC),0.0108,0.0358,,Ryan (QLD) v LIB,0.0327,0.0198,,La Trobe (VIC),0.0206,0.0815
Petrie (QLD),0.0112,0.0478,,Curtin (WA) v LIB,0.0327,0.0752,,Forrest (WA),0.0224,0.0722
Solomon (NT),0.0131,0.0141,,Mackellar (NSW) v LIB,0.0565,0.092,,Flinders (VIC) v IND,0.0229,0.0962
Bendigo (VIC),0.014,0.0062,,Calare (NSW) v NAT,0.0648,0.1755,,Bowman (QLD),0.0243,0.077
Wills (VIC) v GRN,0.0143,0.2543,,Wentworth (NSW) v LIB,0.0834,0.0437,,Cowper (NSW) v IND,0.025,0.1368
Forde (QLD),0.018,0.0419,,Indi (VIC) v LIB,0.0854,0.1081,,Casey (VIC),0.0297,0.0708
Banks (NSW),0.0237,0.0336,,Warringah (NSW) v LIB,0.1083,0.0129,,Lindsay (NSW),0.0307,0.0811
Deakin (VIC),0.0282,0.0238,,Kennedy (QLD) v LNP,0.1472,0.1403,,Fairfax (QLD),0.0328,0.092
Moore (WA),0.0289,0.0256,,Mayo (SA) v LIB,0.1489,0.0036,,Wannon (VIC) v IND,0.0339,0.1495
Hughes (NSW),0.0295,0.0307,,Clark (TAS) v LAB,0.204,0.1548,,Mitchell (NSW),0.0381,0.0997
Melbourne (VIC) v GRN,0.0302,0.1926,,,,,,Monash (VIC),0.0404,0.0826
Aston (VIC),0.0343,0.0257,,,,,,McPherson (QLD),0.0439,0.1013
Calwell (VIC) v IND,0.0424,0.0963,,,,,,Grey (SA),0.0464,0.1049
McEwen (VIC),0.0465,0.0004,,,,,,Groom (QLD) v IND,0.0583,0.1805
Bonner (QLD),0.05,0.0159,,,,,,Capricornia (QLD),0.0597,0.1061
Gilmore (NSW),0.0511,0.006,,,,,,Fisher (QLD),0.06,0.1119
Blair (QLD),0.0555,0.0098,,,,,,Farrer (NSW) v IND,0.0616,0.1824
Chisholm (VIC),0.057,0.0062,,,,,,Hinkler (QLD),0.063,0.1174
Dickson (QLD),0.0606,0.0038,,,,,,Canning (WA),0.0655,0.0971
Leichhardt (QLD),0.0613,0.0076,,,,,,Fadden (QLD),0.0684,0.1229
Whitlam (NSW),0.0642,0.0227,,,,,,Cook (NSW),0.0719,0.1279
Pearce (WA),0.0644,0.0254,,,,,,Wide Bay (QLD),0.0741,0.1093
Sturt (SA),0.0662,0.0036,,,,,,Hume (NSW),0.0797,0.1225
Paterson (NSW),0.0679,0.0132,,,,,,Wright (QLD),0.0797,0.1325
Werriwa (NSW),0.0685,0.0192,,,,,,Moncrieff (QLD),0.0875,0.1384
Tangney (WA),0.0699,0.0146,,,,,,Page (NSW),0.0927,0.1412
Dunkley (VIC),0.0708,0.0251,,,,,,Lyne (NSW),0.0969,0.1528
Braddon (TAS),0.072,0.011,,,,,,Durack (WA),0.1015,0.1327
Eden-Monaro (NSW),0.0737,0.0244,,,,,,Flynn (QLD),0.1026,0.1316
Hawke (VIC),0.0763,0.0314,,,,,,Dawson (QLD),0.1184,0.1598
Franklin (TAS) v IND,0.078,0.1351,,,,,,Riverina (NSW),0.1273,0.1639
Macquarie (NSW),0.0786,0.0287,,,,,,Barker (SA),0.1302,0.1839
Bass (TAS),0.0801,0.0116,,,,,,Parkes (NSW),0.1307,0.1876
Corangamite (VIC),0.0805,0.035,,,,,,O'Connor (WA),0.1326,0.1611
Lingiari (NT),0.0813,0.02,,,,,,Herbert (QLD),0.1337,0.1747
Brisbane (QLD),0.0896,0.0333,,,,,,Nicholls (VIC),0.1418,0.1941
McMahon (NSW),0.0902,0.0489,,,,,,New England (NSW),0.1723,0.2109
Hunter (NSW) v ON,0.0904,0.0381,,,,,,Mallee (VIC),0.1928,0.237
Robertson (NSW),0.0921,0.0309,,,,,,Gippsland (VIC),0.1936,0.2355
Fraser (VIC) v GRN,0.0923,0.1617,,,,,,Maranoa (QLD) v ON,0.201,0.28
Bennelong (NSW),0.0927,0.0244,,,,,,,,
Dobell (NSW),0.0942,0.0422,,,,,,,,
Cooper (VIC) v GRN,0.0972,0.2333,,,,,,,,
Richmond (NSW),0.1001,0.0507,,,,,,,,
Gorton (VIC),0.1028,0.0572,,,,,,,,
Griffith (QLD) v GRN,0.1058,0.1023,,,,,,,,
Ballarat (VIC),0.1066,0.0675,,,,,,,,
Boothby (SA),0.111,0.0466,,,,,,,,
Shortland (NSW),0.1151,0.0564,,,,,,,,
Lyons (TAS),0.1158,0.0443,,,,,,,,
Macnamara (VIC),0.118,0.074,,,,,,,,
Reid (NSW),0.1201,0.0581,,,,,,,,
Parramatta (NSW),0.1251,0.0585,,,,,,,,
Maribyrnong (VIC),0.1265,0.0825,,,,,,,,
Greenway (NSW),0.127,0.0781,,,,,,,,
Jagajaga (VIC),0.1288,0.0822,,,,,,,,
Lalor (VIC),0.1321,0.0862,,,,,,,,
Corio (VIC),0.1323,0.0855,,,,,,,,
Cowan (WA),0.1363,0.0822,,,,,,,,
Swan (WA),0.1399,0.0836,,,,,,,,
Holt (VIC),0.1403,0.0781,,,,,,,,
Scullin (VIC),0.1429,0.1009,,,,,,,,
Isaacs (VIC),0.1434,0.0864,,,,,,,,
Lilley (QLD),0.1452,0.0903,,,,,,,,
Bruce (VIC),0.1462,0.078,,,,,,,,
Makin (SA),0.1466,0.092,,,,,,,,
Gellibrand (VIC),0.151,0.0963,,,,,,,,
Spence (SA),0.1534,0.1024,,,,,,,,
Rankin (QLD),0.1555,0.0944,,,,,,,,
Burt (WA),0.1571,0.1061,,,,,,,,
Macarthur (NSW),0.1594,0.0965,,,,,,,,
Hasluck (WA),0.1597,0.1,,,,,,,,
Barton (NSW),0.16,0.1051,,,,,,,,
Moreton (QLD),0.1609,0.0985,,,,,,,,
Hindmarsh (SA),0.1635,0.1001,,,,,,,,
Watson (NSW) v IND,0.165,0.1644,,,,,,,,
Perth (WA),0.1651,0.115,,,,,,,,
Grayndler (NSW) v GRN,0.1686,0.248,,,,,,,,
Hotham (VIC),0.1686,0.1105,,,,,,,,
Brand (WA),0.1692,0.1246,,,,,,,,
Kingsford Smith (NSW),0.1719,0.1172,,,,,,,,
Cunningham (NSW),0.1752,0.1242,,,,,,,,
