SOLOMON (NT),RAW,,,,,,,,SOLOMON (NT),HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,LNP,GRN,ON,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH
Index,1,2,3,4,5,6,153.0,,Index,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALP,0.0,0,0,0,0,0,,,ALP,0,0,0,0,0,0,,ALP,0,0.4149257822,0.06274834071,0.06885195128,0.4534739258,0,1,,0.5109398993,0.20355111933198716,0.0286341007565745,0.027058358411867958,0.22981652216586312,0.0,0.5109398993,0.6184769015047309,0.09138244147096972,0.09591030968825806,0.6832904480023341,0.0,0,0.30923845075236545,0.04569122073548486,0.04795515484412903,0.34164522400116704,0.0
LNP,0,0.0,0,0,0,0,,,LNP,0,0,0,0,0,0,,LNP,0.4458520491,0,0.05943154453,0.06521252613,0.4295038803,0,1,,0.3087153900484346,0.37778718046396853,0.03174081419984026,0.03069778355845758,0.25105883172929905,0.0,0.7545674391098838,0.37778718046396853,0.09117235873243934,0.09591030968825806,0.6805627120054505,0.0,0.3772837195549419,0.0,0.04558617936621967,0.04795515484412903,0.34028135600272524,0.0
GRN,0.3884803922,0.1515012255,0.0,0,0.4600183824,0,,,GRN,0.3884803922,0.1515012255,0,0,0.4600183824,0,,GRN,0.3884803922,0.1515012255,0,0,0.4600183824,0,1,,0.36814656995284994,0.3206094747946763,0.03338045183738461,0.036627410658593436,0.24123609275649568,0.0,0.7566269621097127,0.47211070028487234,0.03338045183738461,0.036627410658593436,0.7012544751094368,0.0,0.37831348105485635,0.23605535014243617,0.0,0.018313705329296718,0.3506272375547184,0.0
ON,0.07617695765,0.535841022,0.05772415425,0.0,0.3302578661,0,,,ON,0.07617695765,0.535841022,0.05772415425,0,0.3302578661,0,,ON,0.07617695765,0.535841022,0.05772415425,0,0.3302578661,0,1,,0.47713782827895895,0.15480362137556863,0.03662583725487868,0.040188478825407076,0.29124423426518675,0.0,0.5533147859321409,0.6906446433769882,0.0943499915013892,0.040188478825407076,0.6215021003640748,0.0,0.27665739296607045,0.3453223216884941,0.0471749957506946,0.0,0.3107510501820374,0.0
IND,0.6534509265,0.3465490735,0,0,0.0,0,,,IND,0.6534509265,0.3465490735,0,0,0,0,,IND,0.6534509265,0.3465490735,0,0,0,0,1,,0.1545096145424538,0.2711336367689197,0.06159890807044078,0.0675907118635862,0.4451671287545995,0.0,0.8079605409928139,0.6176827103185596,0.06159890807044078,0.0675907118635862,0.4451671287545995,0.0,0.40398027049640695,0.3088413551592798,0.03079945403522039,0.0337953559317931,0.0,0.0
OTH,0.1621621622,0.09459459459,0.1129343629,0.1872586873,0.4430501931,0.0,,,OTH,0.1621621622,0.09459459459,0.1129343629,0.1872586873,0.4430501931,0,,OTH,0.1621621622,0.09459459459,0.1129343629,0.1872586873,0.4430501931,0,1,,0.3898243356330188,0.3382744766553417,0.0266066588108457,0.017333933759801145,0.22796059514099262,0.0,0.5519864977951809,0.43286907124993634,0.13954102174520863,0.20459262101848838,0.6710107881911856,0.0,0.27599324889759047,0.21643453562496817,0.06977051087260432,0.10229631050924419,0.3355053940955928,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINGIARI (NT),RAW,,,,,,,,LINGIARI (NT),HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,LNP,GRN,ON,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH
Index,1,2,3,4,5,6,154.0,,Index,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
