CLARK (TAS),RAW,,,,,,,,CLARK (TAS),HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,LNP,GRN,ON,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH
Index,1,2,3,4,5,6,145.0,,Index,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALP,0.0,0,0,0,0,0,,,ALP,0,0,0,0,0,0,,ALP,0,0.1881207555,0.02622948685,0,0.7856497576,0,1,,0.5546032059,0.2658760877845664,0.03694750516359851,0.0,0.14257320117245503,0.0,0.5546032059,0.4539968433111085,0.06317699201147592,0.0,0.9282229587980355,0.0,0,0.22699842165555426,0.03158849600573796,0.0,0.46411147939901776,0.0
LNP,0.3404135338,0.0,0,0,0.6595864662,0,,,LNP,0.3404135338,0,0,0,0.6595864662,0,,LNP,0.3404135338,0,0,0,0.6595864662,0,1,,0.4060957500321516,0.28651056154032173,0.03994787807791648,0.0,0.2674458103496102,0.0,0.746509283866738,0.28651056154032173,0.03994787807791648,0.0,0.9270322765150236,0.0,0.373254641933369,0.0,0.01997393903895824,0.0,0.4635161382575118,0.0
GRN,0.2612960106,0.03372272427,0.0,0,0.7049812652,0,,,GRN,0.2612960106,0.03372272427,0,0,0.7049812652,0,,GRN,0.2612960106,0.03372272427,0,0,0.7049812652,0,1,,0.44552419859977826,0.28693811066991576,0.04000749082101928,0.0,0.22753019990928675,0.0,0.7068202091794564,0.32066083493705266,0.04000749082101928,0.0,0.9325114650624717,0.0,0.3534101045897282,0.16033041746852633,0.0,0.0,0.46625573253123587,0.0
ON,0.1651376147,0.3863796754,0.05857445307,0.0,0.3899082569,0,,,ON,0.1651376147,0.3863796754,0.05857445307,0,0.3899082569,0,,ON,0.1651376147,0.3863796754,0.05857445307,0,0.3899082569,0,1,,0.38689377615364684,0.16455313549705067,0.02266806469534054,0.0,0.4258850236539619,0.0,0.5520313908325459,0.5509328108675517,0.08124251776520645,0.0,0.8157932805346959,0.0,0.27601569541627297,0.2754664054337759,0.04062125888260323,0.0,0.40789664026734795,0.0
IND,0,0,0,0,0.0,0,,,IND,0,0,0,0,0,0,,IND,0.6156823568,0.3372896834,0.04702795973,0,0,0,1,,0.12710619132360568,0.11740854105297262,0.016149032281350603,0.0,0.7393362353420712,0.0,0.742788548169159,0.454698224477294,0.06317699201147592,0.0,0.7393362353420712,0.0,0.3713942740845795,0.227349112238647,0.03158849600573796,0.0,0.0,0.0
OTH,0,0,0,0,0,0.0,,,OTH,0,0,0,0,0,0,,OTH,0.2556157197,0.1400341332,0.01952481769,0,0.5848253294,0,1,,0.4128379082618589,0.24600060256909603,0.0342078111980921,0.0,0.30695367797095297,0.0,0.6684536279595801,0.38603473578164205,0.053732628888047404,0.0,0.8917790073707305,0.0,0.33422681397979004,0.19301736789082102,0.026866314444023702,0.0,0.44588950368536523,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANKLIN (TAS),RAW,,,,,,,,FRANKLIN (TAS),HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,LNP,GRN,ON,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH
Index,1,2,3,4,5,6,146.0,,Index,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALP,0.0,0,0,0,0,0,,,ALP,0,0,0,0,0,0,,ALP,0,0.2801564106,0.03569497851,0,0.5874911502,0.09665746077,1,,0.4953238247,0.2190895490482587,0.027295252717455254,0.0,0.1945464499233876,0.06374492358729637,0.4953238247,0.49924595960620144,0.06299023122852711,0.0,0.7820376000862315,0.16040238435543797,0,0.24962297980310072,0.031495115614263554,0.0,0.39101880004311573,0.08020119217771898
LNP,0.510443571,0.0,0,0,0.489556429,0,,,LNP,0.510443571,0,0,0,0.489556429,0,,LNP,0.510443571,0,0,0,0.489556429,0,1,,0.2628598728647979,0.29696556813147856,0.0378366482918263,0.0,0.2998810806361827,0.1024568300757146,0.7733034438923105,0.29696556813147856,0.0378366482918263,0.0,0.7894375096086701,0.1024568300757146,0.38665172194615527,0.0,0.01891832414591315,0.0,0.39471875480433505,0.0512284150378573
GRN,0.4430064118,0.03977677511,0.0,0,0.5172168131,0,,,GRN,0.4430064118,0.03977677511,0,0,0.5172168131,0,,GRN,0.4430064118,0.03977677511,0,0,0.5172168131,0,1,,0.29801549423292534,0.2867715823053726,0.03653782345222918,0.0,0.27973532236563214,0.09893977764384086,0.7410219060116002,0.3265483574181724,0.03653782345222918,0.0,0.7969521354741574,0.09893977764384086,0.3705109530058001,0.1632741787090862,0.0,0.0,0.3984760677370787,0.04946988882192043
ON,0.1228578961,0.3778012128,0.05773793831,0.0,0.1800685473,0.2615344055,,,ON,0.1228578961,0.3778012128,0.05773793831,0,0.1800685473,0.2615344055,,ON,0.1228578961,0.3778012128,0.05773793831,0,0.1800685473,0.2615344055,1,,0.3720994868606571,0.1823895473194605,0.021760014654454915,0.0,0.39233772748889795,0.031413223676529524,0.49495738298509684,0.5601907600798085,0.0794979529618633,0.0,0.5724062748129158,0.29294762916031547,0.24747869149254842,0.28009538003990425,0.03974897648093165,0.0,0.2862031374064579,0.14647381458015774
IND,0,0,0,0,0.0,0,,,IND,0,0,0,0,0,0,,IND,0.5369347787,0.3144918959,0.04006969336,0,0,0.108503632,1,,0.20192510153672028,0.18896128616144559,0.023380702806984215,0.0,0.5338341571849795,0.05189875230987063,0.7388598802638737,0.5034531820255786,0.06345039617013047,0.0,0.5338341571849795,0.160402384355438,0.36942994013193686,0.2517265910127893,0.031725198085065236,0.0,0.0,0.080201192177719
OTH,0.2179061072,0.3404653095,0.03884503531,0,0.402783548,0.0,,,OTH,0.2179061072,0.3404653095,0.03884503531,0,0.402783548,0,,OTH,0.2179061072,0.3404653095,0.03884503531,0,0.402783548,0,1,,0.4072654233212829,0.18926508469088688,0.023917567072965305,0.0,0.31478619602368596,0.06476572889117899,0.625171530508653,0.5297303942048046,0.06276260238663377,0.0,0.7175697440087296,0.06476572889117899,0.3125857652543265,0.2648651971024023,0.031381301193316884,0.0,0.3587848720043648,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASS (TAS),RAW,,,,,,,,BASS (TAS),HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,LNP,GRN,ON,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH
