COWAN (WA),RAW,,,,,,,,COWAN (WA),HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,LNP,GRN,ON,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH
Index,1,2,3,4,5,6,119.0,,Index,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALP,0.0,0,0,0,0,0,,,ALP,0,0,0,0,0,0,,ALP,0,0.4372936285,0.3382784591,0.1682178351,0,0.05621007733,1,,0.4984080201,0.19436073952426025,0.1968666424242239,0.086886665289333,0.0,0.023477932709083032,0.4984080201,0.6316543680013431,0.535145101495378,0.25510450041130517,0.0,0.07968801003887417,0,0.3158271840006715,0.26757255074768893,0.12755225020565256,0.0,0.03984400501943708
LNP,0,0.0,0,0,0,0,,,LNP,0,0,0,0,0,0,,LNP,0.4625298445,0,0.3231073704,0.1606736134,0,0.05368917171,1,,0.2828651011335598,0.38790541663793326,0.20954535903906998,0.09368528486533789,0.0,0.02599883832409938,0.7453949455876269,0.38790541663793326,0.5326527294474518,0.2543588982881144,0.0,0.07968801003887417,0.3726974727938134,0.0,0.26632636472372584,0.12717944914405718,0.0,0.03984400501943708
GRN,0.752632868,0.247367132,0.0,0,0,0,,,GRN,0.752632868,0.247367132,0,0,0,0,,GRN,0.752632868,0.247367132,0,0,0,0,1,,0.11441468109199308,0.32912155775412083,0.33452563037916283,0.16635164263698868,0.0,0.05558648813773468,0.8670475490812166,0.5764886897648972,0.33452563037916283,0.16635164263698868,0.0,0.05558648813773468,0.4335237745406082,0.28824434488244854,0.0,0.08317582131849433,0.0,0.027793244068867334
ON,0.1815786322,0.5715654569,0.2468559109,0.0,0,0,,,ON,0.1815786322,0.5715654569,0.2468559109,0,0,0,,ON,0.1815786322,0.5715654569,0.2468559109,0,0,0,1,,0.4501579540855909,0.1404672176123449,0.2461011516996847,0.12238025168264458,0.0,0.04089342491973515,0.6317365862571085,0.712032674553296,0.49295706258721617,0.12238025168264458,0.0,0.04089342491973515,0.3158682931285542,0.35601633727664794,0.24647853129360803,0.0,0.0,0.02044671245986757
IND,0.1750824664,0.1009895965,0.4148693225,0.1575742197,0.0,0.1514843948,,,IND,0.1750824664,0.1009895965,0.4148693225,0.1575742197,0,0.1514843948,,IND,0.1750824664,0.1009895965,0.4148693225,0.1575742197,0,0.1514843948,1,,0.4172182645437958,0.30842084646620677,0.16861491430369402,0.09048252792151379,0.0,0.015263446764789714,0.5923007309228874,0.409410443015306,0.583484236810672,0.24805674766269623,0.0,0.16674784158843853,0.29615036546144363,0.20470522150765294,0.2917421184053359,0.12402837383134808,0.0,0.08337392079421925
OTH,0.1957374083,0.2585704232,0.2499246004,0.2957675681,0,0.0,,,OTH,0.1957374083,0.2585704232,0.2499246004,0.2957675681,0,0,,OTH,0.1957374083,0.2585704232,0.2499246004,0.2957675681,0,0,1,,0.3614030768679677,0.31646837831948815,0.22277173080657608,0.0744719672972616,0.0,0.024884846708706557,0.5571404851317658,0.5750388015626771,0.4726963311886008,0.37023953540824983,0.0,0.024884846708706557,0.27857024256588286,0.2875194007813385,0.23634816559430036,0.1851197677041249,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CURTIN (WA),RAW,,,,,,,,CURTIN (WA),HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,LNP,GRN,ON,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH
Index,1,2,3,4,5,6,120.0,,Index,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALP,0.0,0.20332346,0,0,0.79667654,0,,,ALP,0,0.20332346,0,0,0.79667654,0,,ALP,0,0.20332346,0,0,0.79667654,0,1,,0.2971753342,0.37486275712731143,0.13735213049099107,0.06454823079027266,0.12606154743254586,0.0,0.2971753342,0.5781862171403643,0.13735213049099107,0.06454823079027266,0.9227380874194929,0.0,0,0.2890931085701821,0.06867606524549552,0.032274115395136325,0.46136904370974635,0.0
LNP,0,0.0,0,0,0,0,,,LNP,0,0,0,0,0,0,,LNP,0.2262686065,0,0.1045795919,0.04914687241,0.6200049292,0,1,,0.24066574195305804,0.37327266994414376,0.09348924331635969,0.042457244284548105,0.2501151005018908,0.0,0.46693434844278064,0.37327266994414376,0.19806883520124868,0.09160411669786753,0.8701200297139601,0.0,0.23346717422139027,0.0,0.09903441760062431,0.04580205834893376,0.4350600148569799,0.0
GRN,0.396297528,0.06229907992,0.0,0,0.5414033921,0,,,GRN,0.396297528,0.06229907992,0,0,0.5414033921,0,,GRN,0.396297528,0.06229907992,0,0,0.5414033921,0,1,,0.18478552852360894,0.33532485202979345,0.08540643555919142,0.04013650384411638,0.35434668004328995,0.0,0.581083056513854,0.3976239319544138,0.08540643555919142,0.04013650384411638,0.8957500721284246,0.0,0.2905415282569269,0.19881196597720685,0.0,0.020068251922058186,0.4478750360642122,0.0
ON,0.07632348165,0.5904514453,0.06398181228,0.0,0.2692432608,0,,,ON,0.07632348165,0.5904514453,0.06398181228,0,0.2692432608,0,,ON,0.07632348165,0.5904514453,0.06398181228,0,0.2692432608,0,1,,0.24384125757331687,0.14619225393439494,0.10098226519454072,0.047456319288249144,0.4615279040094985,0.0,0.3201647392232032,0.7366436992088347,0.16496407747125394,0.047456319288249144,0.7307711648084592,0.0,0.16008236961160158,0.3683218496044173,0.08248203873562696,0.0,0.3653855824042295,0.0
IND,0,0,0,0,0.0,0,,,IND,0,0,0,0,0,0,,IND,0.3152717641,0.4705331942,0.1457161598,0.06847888183,0,0,1,,0.1694403907696826,0.11361358336223304,0.05358957238323254,0.023125234863000957,0.6402312186218512,0.0,0.48471215489012737,0.5841467775911647,0.19930573219898973,0.09160411669786753,0.6402312186218512,0.0,0.24235607744506363,0.2920733887955823,0.09965286609949484,0.04580205834893376,0.0,0.0
OTH,0.2039695946,0.1537162162,0.2487331081,0.1469594595,0.2466216216,0.0,,,OTH,0.2039695946,0.1537162162,0.2487331081,0.1469594595,0.2466216216,0,,OTH,0.2039695946,0.1537162162,0.2487331081,0.1469594595,0.2466216216,0,1,,0.22232276123691447,0.25978373211448774,0.061415067335641046,0.024443044151186803,0.43203539516177,0.0,0.42629235583150904,0.41349994833070397,0.3101481754437492,0.17140250361064627,0.6786570167833916,0.0,0.21314617791575446,0.20674997416535193,0.15507408772187456,0.08570125180532312,0.33932850839169576,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERTH (WA),RAW,,,,,,,,PERTH (WA),HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,LNP,GRN,ON,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH
Index,1,2,3,4,5,6,121.0,,Index,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
