119,150.0,0.7933333333,,,,,
Seat,FinalA,FinalB,Party,ShareToA,ShareToB,SourceYear,
Wentworth,LNP,IND,ALP,0.16,0.84,,"1 ind, 1 ind-oth"
Wentworth,LNP,IND,GRN,0.075,0.925,,
Wentworth,LNP,IND,ON,0.76,0.24,,
Wentworth,LNP,IND,OTH,0.473,0.527,,
Wentworth,ALP,LNP,GRN,0.917,0.083,,
Wentworth,ALP,LNP,ON,0.159,0.841,,
Wentworth,ALP,LNP,IND,0.739,0.261,,
Wentworth,ALP,LNP,OTH,0.404,0.596,,
Sydney,ALP,GRN,LNP,0.721,0.279,,
Sydney,ALP,GRN,ON,0.726,0.274,,
Sydney,ALP,GRN,IND,,,,
Sydney,ALP,GRN,OTH,0.274,0.726,,
Sydney,ALP,LNP,GRN,0.934,0.066,,
Sydney,ALP,LNP,ON,0.251,0.749,,
Sydney,ALP,LNP,IND,,,,
Sydney,ALP,LNP,OTH,0.848,0.152,,
Kingsford Smith,ALP,LNP,GRN,0.907,0.093,,
Kingsford Smith,ALP,LNP,ON,0.302,0.698,,
Kingsford Smith,ALP,LNP,IND,0.644,0.356,,
Kingsford Smith,ALP,LNP,OTH,,,,
Bennelong,ALP,LNP,GRN,0.909,0.091,,
Bennelong,ALP,LNP,ON,0.261,0.739,,
Bennelong,ALP,LNP,IND,,,,
Bennelong,ALP,LNP,OTH,0.475,0.525,,
Bradfield,LNP,IND,ALP,0.314,0.686,,"1 ind, 1 ind-oth"
Bradfield,LNP,IND,GRN,0.164,0.836,,
Bradfield,LNP,IND,ON,0.784,0.216,,
Bradfield,LNP,IND,OTH,0.513,0.487,,
Warringah,LNP,IND,ALP,0.184,0.816,,"1 ind, 1 ind-oth"
Warringah,LNP,IND,GRN,0.099,0.901,,
Warringah,LNP,IND,ON,0.733,0.267,,
Warringah,LNP,IND,OTH,0.64,0.36,,
Warringah,ALP,LNP,GRN,0.887,0.113,,
Warringah,ALP,LNP,ON,0.17,0.83,,
Warringah,ALP,LNP,IND,0.778,0.222,,
Warringah,ALP,LNP,OTH,0.236,0.764,,
Banks,ALP,LNP,GRN,0.893,0.107,,
Banks,ALP,LNP,ON,0.298,0.702,,
Banks,ALP,LNP,IND,0.672,0.321,,
Banks,ALP,LNP,OTH,0.421,0.579,,
Cook,ALP,LNP,GRN,0.865,0.135,,
Cook,ALP,LNP,ON,0.225,0.775,,
Cook,ALP,LNP,IND,,,,
Cook,ALP,LNP,OTH,0.284,0.716,,
Barton,ALP,LNP,GRN,0.883,0.117,,
Barton,ALP,LNP,ON,0.326,0.674,,
Barton,ALP,LNP,IND,,,,
Barton,ALP,LNP,OTH,0.418,0.582,,
Blaxland,ALP,LNP,GRN,0.875,0.125,,
Blaxland,ALP,LNP,ON,0.317,0.683,,
Blaxland,ALP,LNP,IND,0.875,0.125,,
Blaxland,ALP,LNP,OTH,0.341,0.659,,
Grayndler,ALP,GRN,LNP,0.674,0.326,,2 ind
Grayndler,ALP,GRN,ON,0.544,0.456,,
Grayndler,ALP,GRN,IND,0.462,0.538,,
Grayndler,ALP,GRN,OTH,0.57,0.43,,
Grayndler,ALP,LNP,GRN,0.96,0.04,,
Grayndler,ALP,LNP,ON,0.156,0.844,,
Grayndler,ALP,LNP,IND,0.674,0.326,,
Grayndler,ALP,LNP,OTH,0.301,0.699,,
Parramatta,ALP,LNP,GRN,0.894,0.106,,2 ind
Parramatta,ALP,LNP,ON,0.236,0.764,,
Parramatta,ALP,LNP,IND,0.635,0.365,,
Parramatta,ALP,LNP,OTH,0.409,0.591,,
Reid,ALP,LNP,GRN,0.867,0.133,,
Reid,ALP,LNP,ON,0.225,0.775,,
Reid,ALP,LNP,IND,0.711,0.289,,
Reid,ALP,LNP,OTH,0.264,0.736,,
Watson,ALP,IND,LNP,0.525,0.475,,"1 ind, 1 ind-oth"
Watson,ALP,IND,GRN,0.585,0.415,,
Watson,ALP,IND,ON,0.404,0.596,,
