,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,,,,,,,LNP,,,,,,,GRN,,,,,,,ON,,,,,,,,,,IND,,,,,,,OTH,,,,,,
Division,2022 Primary,2022 Aus Primary,2022 Lean,2025 Primary,2025 Aus Primary,2025 Lean,New PVI,2022 Primary,2022 Aus Primary,2022 Lean,2025 Primary,2025 Aus Primary,2025 Lean,New PVI,2022 Primary,2022 Aus Primary,2022 Lean,2025 Primary,2025 Aus Primary,2025 Lean,New PVI,2022 Primary,2022 Aus Primary,2022 M-Lean,2022 Lean,2025 Primary,2025 Aus Primary,2025 M-Lean,2025 Lean,2025 M-PVI,New PVI,2022 Primary,2022 Aus Primary,2022 Lean,2025 Primary,2025 Aus Primary,2025 Lean,New PVI,2022 Primary,2022 Aus Primary,2022 Lean,2025 Primary,2025 Aus Primary,2025 Lean,New PVI
Wentworth,0.1773301745,0.3258,-0.1484698255,0.1338301745,0.3456,-0.2117698255,-0.1959448255,0.3753207224,0.357,0.01832072244,0.3636207224,0.3182,0.04542072244,0.03864572244,0.1070920693,0.1225,-0.01540793074,0.1017920693,0.122,-0.02020793074,-0.01900793074,0.01207049923,0.0496,0.2433568392,-0.03752950077,0.02377049923,0.064,0.3714140504,-0.04022950077,0.3393997476,-0.03955450077,0.2925865346,0.0529,0.2396865346,0.3648,0.0727,0.2921,0.2789966336,0.0356,0.092,-0.0564,0,0.0765,-0.0765,-0.071475
Sydney,0.5105482662,,0.1847482662,0.5515482662,,0.2059482662,0.2006482662,0.1935524555,,-0.1634475445,0.1758524555,,-0.1423475445,-0.1476225445,0.2271647176,,0.1046647176,0.2159647176,,0.09396471762,0.09663971762,0.01768050798,,0.3564618544,-0.03191949202,0.03448050798,,0.5387579371,-0.02951949202,0.4931839164,-0.03011949202,0,,-0.0529,0,,-0.0727,,0.05105405272,,-0.04094594728,0.02215405272,,-0.05434594728,-0.05099594728
Kingsford Smith,0.4733682968,,0.1475682968,0.5078682968,,0.1622682968,0.1585932968,0.296109906,,-0.06089009402,0.261509906,,-0.05669009402,-0.05774009402,0.1575768067,,0.03507680668,0.1355768067,,0.01357680668,0.01895180668,0.03476353952,,0.700877813,-0.01483646048,0.05916353952,,0.924430305,-0.004836460477,0.868542182,-0.007336460477,-1.854900537e-05,,-0.05291854901,0.03588145099,,-0.03681854901,-0.0368,0.0382,,-0.0538,0,,-0.0765,-0.070825
Bennelong,0.3209114559,,-0.004888544057,0.4535114559,,0.1079114559,0.07971145594,0.4067902706,,0.04979027064,0.3506902706,,0.03249027064,0.03681527064,0.1033558008,,-0.01914419918,0.1177558008,,-0.004244199177,-0.007969199177,0.01537580228,,0.3099960137,-0.03422419772,0.02307580228,,0.3605594106,-0.04092419772,0.3479185614,-0.03924919772,0,,-0.0529,0,,-0.0727,,0.1535666703,,0.06156667031,0.05496667031,,-0.02153332969,-0.0007583296907
Bradfield,0.1773197341,,-0.1484802659,0.2029197341,,-0.1426802659,-0.1441302659,0.4366497264,,0.07964972639,0.3803497264,,0.06214972639,0.06652472639,0.08619826563,,-0.03630173437,0.06729826563,,-0.05470173437,-0.05010173437,0.0146740575,,0.2958479335,-0.0349259425,0.0153740575,,0.2402196485,-0.0486259425,0.2541267198,-0.0452009425,0.1606382988,,0.1077382988,0.2701,,0.1974,0.1749845747,0.1245199176,,0.03251991765,0.02261991765,,-0.05388008235,-0.03228008235
Warringah,0.119680839,,-0.206119161,0.145680839,,-0.199919161,-0.201469161,0.3427113669,,-0.0142886331,0.3172113669,,-0.0009886330998,-0.0043136331,0.07877987293,,-0.04372012707,0.08747987293,,-0.03452012707,-0.03682012707,0.0172157187,,0.3470911028,-0.0323842813,0.0172157187,,0.2689956047,-0.0467842813,0.2885194792,-0.0431842813,0.3280872884,,0.2751872884,0.3968,,0.3241,0.3118718221,0.1135249141,,0.02152491405,0.02252491405,,-0.05397508595,-0.03510008595
Banks,0.3583694699,,0.03256946985,0.3642694699,,0.01866946985,0.02214446985,0.445994087,,0.08899408703,0.390994087,,0.07279408703,0.07684408703,0.08612549148,,-0.03637450852,0.1188254915,,-0.003174508516,-0.01147450852,0.03765463183,,0.7591659643,-0.01194536817,0.03705463183,,0.5789786223,-0.02694536817,0.6240254578,-0.02319536817,-3.524536312e-05,,-0.05293524536,0.02016475464,,-0.05253524536,-0.0525,0.07189156517,,-0.02010843483,0.06869156517,,-0.007808434831,-0.01088343483
Cook,0.2401117446,,-0.08568825542,0.3147117446,,-0.03088825542,-0.04458825542,0.5372231432,,0.1802231432,0.4806231432,,0.1624231432,0.1668731432,0.09442273702,,-0.02807726298,0.09942273702,,-0.02257726298,-0.02395226298,0.03920497913,,0.7904229663,-0.01039502087,0.04360497913,,0.6813277989,-0.02039502087,0.7086015907,-0.01789502087,0,,-0.0529,0,,-0.0727,,0.08903739611,,-0.002962603889,0.06163739611,,-0.01486260389,-0.01188760389
Barton,0.4799108933,,0.1541108933,0.4712108933,,0.1256108933,0.1327358933,0.2940384518,,-0.06296154816,0.2417384518,,-0.07646154816,-0.07308654816,0.1101278747,,-0.01237212534,0.1589278747,,0.03692787466,0.02460287466,0.05635732109,,1.136236312,0.006757321087,0.05575732109,,0.871208142,-0.008242678913,0.9374651846,-0.004492678913,0,,-0.0529,0,,-0.0727,,0.05956545907,,-0.03243454093,0.07236545907,,-0.004134540925,-0.01120954093
Blaxland,0.5155848721,,0.1897848721,0.4603848721,,0.1147848721,0.1335348721,0.2717233939,,-0.08527660613,0.1959233939,,-0.1222766061,-0.1130266061,0.06818497572,,-0.05431502428,0.07888497572,,-0.04311502428,-0.04591502428,0.02831780494,,0.5709234867,-0.02128219506,0.03551780494,,0.5549657022,-0.02848219506,0.5589551483,-0.02668219506,2.516400801e-05,,-0.05287483599,0.187625164,,0.114925164,0.1149,0.1161637893,,0.02416378933,0.04166378933,,-0.03483621067,-0.02008621067
Grayndler,0.5269992677,,0.2011992677,0.5353992677,,0.1897992677,0.1926492677,0.1785032306,,-0.1784967694,0.1431032306,,-0.1750967694,-0.1759467694,0.2093499125,,0.08684991252,0.2511499125,,0.1291499125,0.1185749125,0.04061132055,,0.818776624,-0.008988679449,0.03161132055,,0.4939268836,-0.03238867945,0.5751393187,-0.02653867945,4.255307635e-05,,-0.05285744692,0.02314255308,,-0.04955744692,-0.0496,0.04449371562,,-0.04750628438,0.01559371562,,-0.06090628438,-0.05755628438
Parramatta,0.4013931783,,0.07559317831,0.4776931783,,0.1320931783,0.1179681783,0.3682332545,,0.01123325445,0.3072332545,,-0.01096674555,-0.00541674555,0.09546183764,,-0.02703816236,0.1210618376,,-0.0009381623624,-0.007463162362,0.01859704702,,0.3749404641,-0.03100295298,0.02729704702,,0.4265163597,-0.03670295298,0.4136223858,-0.03527795298,-2.273896491e-06,,-0.0529022739,0.0154,,-0.0573,-0.0468,0.1163169565,,0.02431695648,0.04081695648,,-0.03568304352,-0.02068304352
Reid,0.4161484415,,0.09034844147,0.4857484415,,0.1401484415,0.1276984415,0.3789095597,,0.02190955966,0.3172095597,,-0.000990440341,0.004734559659,0.09369563512,,-0.02880436488,0.1153956351,,-0.006604364879,-0.01215436488,0.01853720324,,0.3737339362,-0.03106279676,0.02323720324,,0.3630813006,-0.04076279676,0.3657444595,-0.03833779676,7.506644141e-06,,-0.05289249336,0.03060750664,,-0.04209249336,-0.0421,0.09270165387,,0.0007016538724,0.02780165387,,-0.04869834613,-0.03634834613
Watson,0.5411323539,,0.2153323539,0.4800323539,,0.1344323539,0.1546573539,0.2642303668,,-0.09276963324,0.1519303668,,-0.1662696332,-0.1478946332,0.07112322476,,-0.05137677524,0.08932322476,,-0.03267677524,-0.03735177524,0.02948143033,,0.594383676,-0.02011856967,0.03228143033,,0.5043973489,-0.03171856967,0.5268939307,-0.02881856967,2.748388343e-05,,-0.05287251612,0.1474,,0.0747,0.0874,0.0940051404,,0.002005140401,0.0863051404,,0.009805140401,0.007855140401
