Division,Display Name,Aliases,State,Classification,Status,Held party,Current MP,Current margin,Notes
Adelaide,Adelaide,,SA,Inner metro,Active,Labor,,,
Aston,Aston,,VIC,Outer metro,Active,Labor,,,
Ballarat,Ballarat,,VIC,Provincial,Active,Labor,,,
Banks,Banks,,NSW,Inner metro,Active,Labor,,,
Barker,Barker,,SA,Rural,Active,Liberal,,,
Barton,Barton,,NSW,Inner metro,Active,Labor,,,
Bass,Bass,,TAS,Provincial,Active,Labor,,,
Bean,Bean,,ACT,Inner metro,Active,Labor,,,
Bendigo,Bendigo,,VIC,Provincial,Active,Labor,,,
Bennelong,Bennelong,,NSW,Inner metro,Active,Labor,,,
Berowra,Berowra,,NSW,Outer metro,Active,Liberal,,,
Blair,Blair,,QLD,Provincial,Active,Labor,,,
Blaxland,Blaxland,,NSW,Inner metro,Active,Labor,,,
Bonner,Bonner,,QLD,Outer metro,Active,Labor,,,
Boothby,Boothby,,SA,Outer metro,Active,Labor,,,
Bowman,Bowman,,QLD,Outer metro,Active,Liberal National,,,
Braddon,Braddon,,TAS,Rural,Active,Labor,,,
Bradfield,Bradfield,,NSW,Inner metro,Active,Independent,,,
Brand,Brand,,WA,Outer metro,Active,Labor,,,
Brisbane,Brisbane,,QLD,Inner metro,Active,Labor,,,
Bruce,Bruce,,VIC,Outer metro,Active,Labor,,,
Bullwinkel,Bullwinkel,,WA,Outer metro,Active,Labor,,,
Burt,Burt,,WA,Outer metro,Active,Labor,,,
Calare,Calare,,NSW,Rural,Active,Independent,,,
Calwell,Calwell,,VIC,Outer metro,Active,Labor,,,
Canberra,Canberra,,ACT,Inner metro,Active,Labor,,,
Canning,Canning,,WA,Outer metro,Active,Liberal,,,
Capricornia,Capricornia,,QLD,Provincial,Active,Liberal National,,,
Casey,Casey,,VIC,Rural,Active,Labor,,,
Chifley,Chifley,,NSW,Outer metro,Active,Labor,,,
Chisholm,Chisholm,,VIC,Inner metro,Active,Labor,,,
Clark,Clark,,TAS,Inner metro,Active,Independent,,,
Cook,Cook,,NSW,Inner metro,Active,Liberal,,,
Cooper,Cooper,,VIC,Inner metro,Active,Labor,,,
Corangamite,Corangamite,,VIC,Provincial,Active,Labor,,,
Corio,Corio,,VIC,Provincial,Active,Labor,,,
Cowan,Cowan,,WA,Inner metro,Active,Labor,,,
Cowper,Cowper,,NSW,Provincial,Active,National,,,
Cunningham,Cunningham,,NSW,Provincial,Active,Labor,,,
Curtin,Curtin,,WA,Inner metro,Active,Independent,,,
Dawson,Dawson,,QLD,Rural,Active,Liberal National,,,
Deakin,Deakin,,VIC,Outer metro,Active,Labor,,,
Dickson,Dickson,,QLD,Outer metro,Active,Labor,,,
Dobell,Dobell,,NSW,Provincial,Active,Labor,,,
Dunkley,Dunkley,,VIC,Outer metro,Active,Labor,,,
Durack,Durack,,WA,Rural,Active,Liberal,,,
Eden-Monaro,Eden-Monaro,,NSW,Rural,Active,Labor,,,
Fadden,Fadden,,QLD,Outer metro,Active,Liberal National,,,
Fairfax,Fairfax,,QLD,Rural,Active,Liberal National,,,
Farrer,Farrer,,NSW,Rural,Active,Liberal,,,
Fenner,Fenner,,ACT,Inner metro,Active,Labor,,,
