Division,Classification,ALP primary,LNP primary,GRN primary,ON primary,IND primary,OTH primary
Wentworth,InnerMetro,0.08858372582,0.2673111235,0.1275106304,0.1487953658,0.3677991544,0
Sydney,InnerMetro,0.4956234404,0.06947668108,0.2440125123,0.1712912194,0,0.01959614681
Kingsford Smith,InnerMetro,0.4387093398,0.1573015138,0.1589938621,0.2117865002,0.03320878405,0
Bennelong,InnerMetro,0.3761325447,0.2633108203,0.1380581026,0.1500959296,0,0.07240260276
Bradfield,InnerMetro,0.1485171663,0.3077304514,0.09826644437,0.1364659021,0.2677889603,0.04123107563
Warringah,InnerMetro,0.0834449773,0.2238702568,0.1096364468,0.1401967147,0.4057677967,0.03708380773
Banks,InnerMetro,0.3072755819,0.2968002748,0.1307081517,0.1872983,0.01779719048,0.0601205012
Cook,InnerMetro,0.2387093651,0.387222378,0.1176733203,0.1974685088,0,0.05892642784
Barton,InnerMetro,0.4142009581,0.1424171938,0.165187156,0.2191955478,0,0.05899914418
Blaxland,InnerMetro,0.4051474363,0.09990513951,0.09217671657,0.1727194807,0.1811498038,0.04890142318
Grayndler,InnerMetro,0.4824787883,0.03986540688,0.2639524041,0.1801766459,0.02082425163,0.01270250319
Parramatta,InnerMetro,0.4214802884,0.2219655122,0.140367164,0.1639564145,0,0.05223062087
Reid,InnerMetro,0.4230746875,0.2280217943,0.1326673017,0.1523631572,0.02895224161,0.03492081769
Watson,InnerMetro,0.4297681109,0.06635053209,0.1014935863,0.1697788976,0.1556294862,0.07697938691
Berowra,OuterMetro,0.2051822311,0.3237114208,0.1471733905,0.2034285473,0.09096175492,0.02954265531
Mackellar,OuterMetro,0.05407238289,0.2706461757,0.08486489707,0.1549106557,0.3953989293,0.04010695936
Mitchell,OuterMetro,0.2559120163,0.3705009779,0.1528459279,0.1984788352,0,0.02226224274
Chifley,OuterMetro,0.4745487928,0.09799466301,0.10700391,0.222396031,0,0.09805660308
Fowler,OuterMetro,0.3163964924,0.02338861652,0.08179830916,0.1959294969,0.3279886004,0.0544984846
Greenway,OuterMetro,0.4329367328,0.1783102553,0.1183661878,0.2000747165,0.02389485971,0.04641724782
Lindsay,OuterMetro,0.2620195012,0.3037173808,0.1106567069,0.2320592454,0,0.09154716573
McMahon,OuterMetro,0.3903077189,0.153731591,0.09856414836,0.2518228634,0.09280775773,0.01276592065
Hughes,OuterMetro,0.3078109977,0.2668775709,0.1220148902,0.1941301299,0,0.1091664113
Hume,OuterMetro,0.201167675,0.3180374476,0.09449046325,0.2430737892,0.04134750522,0.1018831198
Macarthur,OuterMetro,0.4153144384,0.1326513999,0.1329185368,0.2491212068,0,0.06999441807
Werriwa,OuterMetro,0.3477470099,0.1979131344,0.1193773856,0.1928119606,0.02308093737,0.1190695722
Dobell,Provincial,0.3642534713,0.1782105786,0.1154357329,0.2626774344,0,0.07942278291
Newcastle,Provincial,0.3948642108,0.09209283975,0.2379348245,0.2113595833,0,0.06374854171
Paterson,Provincial,0.3075116616,0.1794591402,0.09081954243,0.2370976568,0.1144942959,0.07061770309
Robertson,Provincial,0.3657537889,0.2129590581,0.1093213309,0.2374312246,0.03032158511,0.04421301239
Shortland,Provincial,0.3688676867,0.1592261768,0.1258314264,0.2517188596,0.04109710871,0.05325874182
Macquarie,Provincial,0.3614428356,0.2123745892,0.1341595435,0.2513141599,0,0.04070887177
Cowper,Provincial,0.06366468687,0.2736825788,0.06500611514,0.2146997125,0.2915038573,0.09144304936
Cunningham,Provincial,0.3750524186,0.121617986,0.2212443415,0.251443343,0,0.03064191091
Whitlam,Provincial,0.3279565415,0.1700559314,0.134185308,0.2350377705,0.08114217248,0.05162227613
Calare,Rural,0.05502896154,0.227419567,0.05534612169,0.2447533176,0.346520102,0.07093193022
Eden-Monaro,Rural,0.3604308134,0.2133638703,0.1151890164,0.2427994951,0.02396671952,0.04425008524
Gilmore,Rural,0.3151584654,0.2504079357,0.09702722032,0.1934270911,0.07270139732,0.07127789018
Hunter,Rural,0.3613316554,0.08439392457,0.09481731974,0.3301833567,0,0.1292737436
Lyne,Rural,0.137273672,0.2602146742,0.08299933517,0.2209673006,0.1480007345,0.1505442835
New England,Rural,0.1398134165,0.400558491,0.09462107725,0.2715760083,0.03584570653,0.05758530041
Page,Rural,0.1543570184,0.3429188365,0.1556294736,0.1881587698,0.03228654713,0.1266493546
Parkes,Rural,0.1339167436,0.3052054368,0.07452060939,0.3086957505,0.02557177934,0.1520896804
Richmond,Rural,0.2638574802,0.143120006,0.3082784534,0.1456537561,0,0.1390903043
Farrer,Rural,0.09549721247,0.3279352571,0.07417540487,0.2181832948,0.1880560296,0.09615280115
Riverina,Rural,0.133347942,0.2626098893,0.06530602936,0.2615532187,0.1551729218,0.1220099988
Chisholm,InnerMetro,0.3308273215,0.2761413346,0.1532864615,0.1338694749,0.05911321113,0.04676219637
Goldstein,InnerMetro,0.07987647219,0.3291287627,0.09775589655,0.1373426153,0.3276760346,0.02822021866
Hotham,InnerMetro,0.4210836193,0.1543881814,0.1689808796,0.1923967729,0,0.06315054684
Kooyong,InnerMetro,0.06157634342,0.3450489268,0.1087960262,0.1056276414,0.3607104561,0.01824060616
Macnamara,InnerMetro,0.307020899,0.216095228,0.3004559805,0.1604856859,0,0.01594220652
Cooper,InnerMetro,0.3602591658,0.04166089306,0.2814602259,0.2030791389,0,0.1135405763
Melbourne,InnerMetro,0.2482680584,0.08764348306,0.4429138143,0.143705398,0.04870487064,0.02876437556
Wills,InnerMetro,0.3051282385,0.02468665983,0.3748755914,0.1773328169,0,0.1179766933
Fraser,InnerMetro,0.3696488377,0.0759874046,0.2585036126,0.1971831603,0,0.0986769847
