3CP SD,2CP SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3CP,,,,,,2CP,,,,,,ALP,,,LNP,,,GRN,,,ON,,,IND,,,OTH,,
Division,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,3CP Margin,3CP Prob,Win Prob,3CP Margin,3CP Prob,Win Prob,3CP Margin,3CP Prob,Win Prob,3CP Margin,3CP Prob,Win Prob,3CP Margin,3CP Prob,Win Prob,3CP Margin,3CP Prob,Win Prob
Wentworth (NSW),,0.3837277775,0.1765986055,,0.439673617,,,0.4011011621,,,0.5988988379,,-0.1765986055,0,0,0.2071291721,1,3.808328923e-07,0,0.5,0,-0.1765986055,,,0.2630750115,,,-0.1765986055,,
Sydney (NSW),0.5299762411,,0.2680692572,0.2019545017,,,0.6356002327,,0.3643997673,,,,0.3280217395,1,1,-0.2019545017,0,0,0.0661147555,0.9995263665,0,0,,,-0.2019545017,,,-0.2019545017,,
Kingsford Smith (NSW),0.4714347752,,0.1832316457,0.3453335791,,,0.6354270981,,,0.3645729019,,,0.2882031295,1,1,-0.1832316457,0,0,0,0.5,0,0.1621019334,,,-0.1832316457,,,-0.1832316457,,
Bennelong (NSW),0.5120703739,0.2954974995,,0.1924321266,,,0.5638557702,0.4361442298,,,,,0.3196382473,1,0.9992954695,0.103065373,0.999999872,0.0007045305246,-0.1924321266,0,0,0,,,-0.1924321266,,,-0.1924321266,,
Bradfield (NSW),0.2158413342,0.428659803,,,0.3554988628,,,0.4983318085,,,0.5016681915,,-0.1396575286,0,0,0.2128184687,1,0.4667629378,-0.2158413342,0,0,-0.2158413342,,,0.1396575286,,,-0.2158413342,,
Warringah (NSW),,0.2565357372,,0.1722549032,0.5712093596,,,0.3915408924,,,0.6084591076,,-0.1722549032,0,0,0.08428083401,0.999987458,2.931081511e-08,-0.1722549032,0,0,0,,,0.3989544564,,,-0.1722549032,,
Banks (NSW),0.4291849717,0.3297222886,,0.2410927397,,,0.4950245848,0.5049754152,,,,,0.1880922321,1,0.4017690547,0.08862954892,0.9999953205,0.5982309453,-0.2410927397,0,0,0,,,-0.2410927397,,,-0.2410927397,,
Cook (NSW),0.3370604016,0.4270309629,,0.2359086356,,,0.3998868536,0.6001131464,,,,,0.101151766,0.9999997877,2.783586092e-07,0.1911223273,1,0.9999997216,-0.2359086356,0,0,0,,,-0.2359086356,,,-0.2359086356,,
Barton (NSW),0.4441656339,,0.1838849799,0.3719493862,,,0.6087426909,,,0.3912573091,,,0.260280654,1,0.9999999729,-0.1838849799,0,0,0,0.5,0,0.1880644064,,,-0.1838849799,,,-0.1838849799,,
Blaxland (NSW),0.4674121393,,,0.284531004,0.2480568567,,0.672059046,,,0.327940954,,,0.2193552826,1,1,-0.2480568567,0,0,-0.284531004,0,0,0.03647414738,,,0,,,-0.2480568567,,
Grayndler (NSW),0.508047469,,0.2829693325,0.2089831985,,,0.6082995523,,0.3917004477,,,,0.2990642704,1,0.9999999694,-0.2089831985,0,0,0.07398613392,0.9998919054,3.064818721e-08,0,,,-0.2089831985,,,-0.2089831985,,
Parramatta (NSW),0.5460458285,0.2519393101,,0.2020148613,,,0.6004320716,0.3995679284,,,,,0.3440309672,1,0.9999997438,0.04992444881,0.993723807,2.56209288e-07,-0.2020148613,0,0,0,,,-0.2020148613,,,-0.2020148613,,
Reid (NSW),0.5443051542,0.2634890769,,0.1922057689,,,0.5967721453,0.4032278547,,,,,0.3520993853,1,0.9999993462,0.07128330799,0.9998174921,6.537606231e-07,-0.1922057689,0,0,0,,,-0.1922057689,,,-0.1922057689,,
Watson (NSW),0.5287390042,,,0.2212827902,0.2499782056,,0.6361778939,,,,0.3638221061,,0.307456214,1,1,-0.2212827902,0,0,-0.2212827902,0,0,0,,,0.02869541541,,,-0.2212827902,,
Berowra (NSW),0.3907253411,0.366013096,,0.2432615629,,,0.4544431542,0.5455568458,,,,,0.1474637782,1,0.01136798787,0.1227515331,0.9999999996,0.9886320121,-0.2432615629,0,0,0,,,-0.2432615629,,,-0.2432615629,,
Mackellar (NSW),,0.3095739997,,0.1847027751,0.5057232253,,,0.4465659915,,,0.5534340085,,-0.1847027751,0,0,0.1248712246,0.9999999998,0.003773399485,-0.1847027751,0,0,0,,,0.3210204502,,,-0.1847027751,,
Mitchell (NSW),0.3690459851,0.4048794937,,0.2260745212,,,0.4309021022,0.5690978978,,,,,0.1429714639,1,0.0002752536974,0.1788049725,1,0.9997247463,-0.2260745212,0,0,0,,,-0.2260745212,,,-0.2260745212,,
Chifley (NSW),0.587005207,,,0.2905406111,,0.1224541819,0.6426797197,,,0.3573202803,,,0.4645510251,1,1,-0.1224541819,4.599876036e-10,0,-0.1224541819,4.599876036e-10,0,0.1680864291,,,-0.1224541819,,,0,,
Fowler (NSW),0.3692863338,,,0.2259119915,0.4048016747,,0.4360765175,,,,0.5639234825,,0.1433743423,1,0.000696315205,-0.2259119915,0,0,-0.2259119915,0,0,0,,,0.1788896831,,,-0.2259119915,,
Greenway (NSW),0.5338535294,0.2206044777,,0.2455419929,,,0.5965052011,,,0.4034947989,,,0.3132490518,1,0.9999993009,-0.02493751524,0.1062215277,0,-0.2206044777,0,0,0.02493751524,,,-0.2206044777,,,-0.2206044777,,
Lindsay (NSW),0.3722463117,0.3407978678,,0.2869558206,,,0.4564244139,0.5435755861,,,,,0.0852904911,0.9999899836,0.01467403347,0.05384204719,0.9964498425,0.9853259665,-0.2869558206,0,0,0,,,-0.2869558206,,,-0.2869558206,,
McMahon (NSW),0.5090206526,0.2092566509,,0.2817226965,,,0.5684495415,,,0.4315504585,,,0.2997640018,1,0.9996897333,-0.07246604566,0.0001454327801,0,-0.2092566509,0,0,0.07246604566,,,-0.2092566509,,,-0.2092566509,,
Hughes (NSW),0.4253321507,0.3148314735,,0.2598363758,,,0.495591201,0.504408799,,,,,0.1654957748,1,0.4127642677,0.05499509763,0.997018007,0.5872357323,-0.2598363758,0,0,0,,,-0.2598363758,,,-0.2598363758,,
Hume (NSW),0.2955401426,0.3695177011,,0.3349421563,,,,0.5436201161,,0.4563798839,,,-0.03940201364,0.02441341639,0,0.07397755852,0.9998917226,0.9854085064,-0.2955401426,0,0,0.03940201364,,,-0.2955401426,,,-0.2955401426,,
Macarthur (NSW),0.4492135461,,0.1582040859,0.392582368,,,0.5908062029,,,0.4091937971,,,0.2910094602,1,0.9999971914,-0.1582040859,0,0,0,0.5,0,0.2343782821,,,-0.1582040859,,,-0.1582040859,,
Werriwa (NSW),0.4764377475,0.2708885605,,0.252673692,,,0.5472762346,0.4527237654,,,,,0.2237640555,1,0.990955999,0.01821486843,0.8187847101,0.009044001014,-0.252673692,0,0,0,,,-0.252673692,,,-0.252673692,,
Dobell (NSW),0.4748053209,0.2193856578,,0.3058090213,,,0.5371108477,,,0.4628891523,,,0.2554196631,1,0.9682405938,-0.08642336349,7.760266072e-06,0,-0.2193856578,0,0,0.08642336349,,,-0.2193856578,,,-0.2193856578,,
Newcastle (NSW),0.4469619372,,0.277070819,0.2759672439,,,0.585974191,,0.414025809,,,,0.1709946933,1,0.9999914102,-0.2759672439,0,0,0.001103575112,0.5220019731,8.589771431e-06,0,,,-0.2759672439,,,-0.2759672439,,
Paterson (NSW),0.4571531096,0.2618694873,,0.2809774031,,,0.531524044,,,0.468475956,,,0.1952836224,1,0.9425103943,-0.01910791583,0.1696887907,0,-0.2618694873,0,0,0.01910791583,,,-0.2618694873,,,-0.2618694873,,
Robertson (NSW),0.4774261998,0.2501058362,,0.272467964,,,0.5484562573,,,0.4515437427,,,0.2273203637,1,0.9922995711,-0.02236212785,0.1317607783,0,-0.2501058362,0,0,0.02236212785,,,-0.2501058362,,,-0.2501058362,,
Shortland (NSW),0.4914376519,0.2048125476,,0.3037498005,,,0.5496044154,,,0.4503955846,,,0.2866251042,1,0.9934349471,-0.09893725284,3.770957764e-07,0,-0.2048125476,0,0,0.09893725284,,,-0.2048125476,,,-0.2048125476,,
Macquarie (NSW),0.4755261472,0.2365244212,,0.2879494316,,,0.5426990828,,,0.4573009172,,,0.239001726,1,0.9836176219,-0.0514250104,0.005066599773,0,-0.2365244212,0,0,0.0514250104,,,-0.2365244212,,,-0.2365244212,,
Cowper (NSW),,0.3273581926,,0.2634972702,0.4091445372,,,0.5124413808,,,0.4875586192,,-0.2634972702,0,0,0.06386092238,0.9992960977,0.7330517643,-0.2634972702,0,0,0,,,0.145647267,,,-0.2634972702,,
