ALP 2PP (AUS),2016.0,2019.0,2022.0,2025.0,16-25 swing,national 16-25 swing,19-25 swing,national 19-25 swing,,,Inner metro,Outer metro,Provincial,Rural,,,,,,,,,,,,,,,,
Inner metro,,0.5315235365,0.5917388426,0.6330723668,,0.0564,0.1015488302,0.0681,,2016.0,,,,,,,Inner metro,Outer metro,Provincial,Rural,,ALP Primary (AUS),2016.0,2019.0,2022.0,2025.0,16-25 swing,national 16-25 swing,19-25 swing,national swing
Outer metro,,0.5056710852,0.5394874084,0.5785859461,,0.0564,0.07291486091,0.0681,,2019.0,0.5315235365,0.5056710852,0.4918828742,0.3994574326,,2019.0,0.4684764635,0.4943289148,0.5081171258,0.6005425674,,Inner metro,,0.3577353402,0.3567501655,0.3809015541,,,,
Provincial,,0.4918828742,0.5186376386,0.5349318257,,0.0564,0.04304895149,0.0681,,2022.0,0.5917388426,0.5394874084,0.5186376386,0.4197566221,,2022.0,0.4082611574,0.4605125916,0.4813623614,0.5802433779,,Outer metro,,0.3695640796,0.3716812821,0.3865459721,,,,
Rural,,0.3994574326,0.4197566221,0.4392002292,,0.0564,0.0397427966,0.0681,,2025.0,0.6330723668,0.5785859461,0.5349318257,0.4392002292,,2025.0,0.3669276332,0.4214140539,0.4650681743,0.5607997708,,Provincial,,0.3465903955,0.3381953873,0.3520446728,,,,
,,,,,,,,,,19-25 swing,0.1015488302,0.07291486091,0.04304895149,0.0397427966,,19-25 swing,-0.1015488302,-0.07291486091,-0.04304895149,-0.0397427966,,Rural,,0.2530283722,0.2301785396,0.2436162423,,,,
ALP 2PP (NSW),2016.0,2019.0,2022.0,2025.0,,,19-25 swing,national swing,,national swing,0.0681,0.0681,0.0681,0.0681,,national swing,-0.0681,-0.0681,-0.0681,-0.0681,,,,,,,,,,
Inner metro,,0.5084584553,0.5626377922,0.6140783991,,,0.1056199438,0.0681,,,,,,,,,,,,,,,,,,,,,,
Outer metro,,0.4745213954,0.501898876,0.55032716,,,0.07580576455,0.0681,,,,,,,,,,,,,,,,,,,,,,
Provincial,,0.5370971782,0.5643739975,0.5899312691,,,0.05283409093,0.0681,,,,,,,,,,,,,,,,,,,,,,
Rural,,0.4095130311,0.4248982867,0.450300942,,,0.04078791088,0.0681,,,,,,,,,,,,,,,,,,,,,,
