candidate,canonical_party
A:SHELDON Tony,ALP
A:AYRES Tim,ALP
A:BELJIC Emilija,ALP
A:MCGREGOR Victoria,ALP
A:SEWELL Sharon,ALP
A:ROARTY Heather,ALP
B:BODDY Max,IND
B:DOVE Warwick,IND
C:DARWICHE Emanie Samira,OTH
C:GEORGE Graham,OTH
D:WHITICKER Miles,OTH
D:POTTS Andrew,OTH
E:SHELTON Lyle,OTH
E:MASTERS Roseanne,OTH
F:STACEY Warwick,ON
F:THOMPSON Rebecca,ON
G:KERIN Emma,OTH
G:STELLINO Matt,OTH
H:WOLFSON Asher,OTH
H:FISCHER Duncan Gregg,OTH
I:KELLY Craig,OTH
I:O'NEILL Michael,OTH
I:SEDMAN Tracy,OTH
I:CHRISTOU Steve,OTH
I:QUTAMI Sonia,OTH
J:HUNT Miles,OTH
J:BALDERSTONE Michael,OTH
J:ELLISTON Tia,OTH
K:BOURKE William,OTH
K:CAMPBELL Petra,OTH
L:WHYMAN Owen D,OTH
L:BROOKE Lawrence John,OTH
M:NILE Silvana,OTH
M:ROBERTSON Andrew,OTH
M:MARTIN Michelle,OTH
N:BRAGG Andrew,LNP
N:COLLINS Jessica,LNP
N:DAVEY Perin,LNP
N:HUGHES Hollie,LNP
N:McARTHUR Juliana,LNP
N:BRINSMEAD Rhiannon,LNP
O:KOLOMEITZ Glenn Raymond,OTH
O:SAHAY Nikhita,OTH
P:SCHMULOW Andy,OTH
P:LAWLER Ann,OTH
Q:BOYLE Peter,OTH
Q:CHUTER Andrew,OTH
R:FARUQI Mehreen,GRN
R:LLOYD Eddie,GRN
R:SELVENTHIRAN Sujan,GRN
R:BLOCH Barbara,GRN
R:FLOYD Ethan,GRN
R:JACOBS Rachael,GRN
UG:HARRIS Kerrie Christina,IND
UG:PRICE Shawn,IND
UG:GRZIC Warren,IND
