candidate,canonical_party
A:STRAUSS Jonathan,OTH
A:EMANUEL Kamala,OTH
B:FONG Harry,OTH
B:McMULLAN Robert,OTH
B:McCLAER David,OTH
C:WHARTON Wayne CoCo,OTH
C:DAVIS Marnie Laree,OTH
D:SIMPSON Chris,OTH
D:JORDAN Frank,OTH
E:McDONALD Michelle,OTH
E:LECKIE Cameron McClure,OTH
E:McGUIRE Aidan,OTH
F:HARPER Ange,OTH
F:SCHRAMM Craig,OTH
G:RENNICK Gerard,OTH
G:LYON Robert,OTH
H:ROBERTS Scott Frazer,OTH
H:PULLAR Luke Daniel,OTH
I:SCARR Paul,LNP
I:McDONALD Susan,LNP
I:FRASER Stuart,LNP
I:LI Sophia,LNP
I:TUNNEY Yvonne,LNP
I:ZHUANG Peter,LNP
J:GREEN Nita,ALP
J:MULHOLLAND Corinne,ALP
J:CASEY Peter,ALP
J:SHANKEY Danielle,ALP
J:CHISHOLM Melinda,ALP
J:BAILEY Brianna,ALP
K:BAY William,OTH
K:SMITH Catherine,OTH
L:PUKALLUS Jan,OTH
L:HEALY Richard Frederick,OTH
M:JENSZ Michelle,OTH
M:DILLON Gregory,OTH
N:LUSH Katie,OTH
N:FULLER Karen,OTH
O:JONES Belinda,OTH
O:LINDSAY Melody,OTH
P:WATERS Larissa,GRN
P:SIDHU Navdeep Singh,GRN
P:GARTON Claire,GRN
P:COX Jennifer,GRN
P:McARDLE Melissa,GRN
P:KENNEDY Kirsten,GRN
Q:ROBERTS Malcolm,ON
Q:COURT Geena,ON
R:MARTIN Rhett,OTH
R:HONNIBALL Ross,OTH
S:WILLMOTT Jim,OTH
S:LADE Lachlan,OTH
UG:HOLMES Gilbert,IND
UG:DONOHUE Danny,IND
UG:WONG Duke,IND
UG:BROWN Jason,IND
