candidate,canonical_party
A:GREEN Tyler Bradley,OTH
A:VAN RAALTE Jacob Nicholas,OTH
B:ADAMSON AGARS Imelda,OTH
B:WOLFENDALE Drew,OTH
C:ANTIC Alex,LNP
C:RUSTON Anne,LNP
C:FAWCETT David,LNP
C:WYLD Damian,LNP
D:SMITH Marielle,ALP
D:GROGAN Karen,ALP
D:WALKER Charlotte,ALP
D:ALLISON Jennifer,ALP
E:BRAY Frankie,OTH
E:PASTRO Julie,OTH
F:PATRICK Rex,OTH
F:FORDHAM Anne Elizabeth,OTH
G:SMELTZ Nicole,OTH
G:DAY Bob,OTH
G:REA Antonio,OTH
G:BAWDEN Matilda,OTH
H:CROSSLING Monique,LNP
H:AZZOPARDI Emma,LNP
I:SHANE Jordan,OTH
I:NIELSEN Craig Michael,OTH
J:LONIE Rob,OTH
J:AMADIO Patrick J,OTH
K:NIES Jessica,OTH
K:HALL Timothy John,OTH
L:ACKLAND Louise,OTH
L:FREER Mark,OTH
M:BROHIER Frederick Christopher,OTH
M:MATHEW Deepa,OTH
N:HANSON-YOUNG Sarah,GRN
N:SCHULTZ-BYARD Noah,GRN
O:WEARNE Madeleine,OTH
O:DWYER Michael,OTH
P:GAME Jennifer,ON
P:QUAREMBA Carlos,ON
UG:HADJIMARKOU Kosta,IND
UG:FRANCIS Janette Gail,IND
