candidate,canonical_party
A:BILIC Dennis,OTH
A:RICHARDSON Pierre,OTH
B:CHANDLER Claire,LNP
B:COLBECK Richard Mansell,LNP
B:MARTIN Jacki,LNP
C:MOORE Wayne Leslie,OTH
C:KELLY Matt,OTH
C:SMITH Greg,OTH
D:OWEN Matt,OTH
D:HESTER Gail,OTH
E:DAVIES Casey,OTH
E:LUCAS Kate Elizabeth,OTH
F:McKIM Nick,GRN
F:BLEYER Vanessa,GRN
F:JORDAN Scott,GRN
F:HOARE Trenton,GRN
G:LAMBIE Jacqui,OTH
G:HANNAN Christine,OTH
H:ABRAHAM Chrysten,OTH
H:ARMSTRONG Nicole,OTH
I:HANSON Lee,ON
I:DUNN James,ON
J:STAGGARD Daryl,OTH
J:WILLIAMS Ray,OTH
K:BROWN Carol,ALP
K:DOWLING Richard,ALP
K:FALLS Bailey,ALP
K:O'DONNELL Saxon,ALP
K:LUCKMAN Greg,ALP
K:MEYERS Amelia Louise,ALP
L:BIGG Phillip,OTH
L:ROACH Melanie,OTH
UG:EDWARDS Fenella,IND
