candidate,canonical_party
A:PATERSON James,LNP
A:HUME Jane,LNP
A:HOPPITT Kyle,LNP
A:ARNOLD Glenn,LNP
A:MIRABELLA Greg,LNP
A:KMETJ Chrestyna,LNP
B:PATTEN Fiona,OTH
B:DAVY Alice,OTH
B:EVANS Shea,OTH
C:JEGES Helen,OTH
C:McMILLAN Benjamin,OTH
D:AUSTIN-ABDULLAH Racquel,OTH
D:AL-SAIMARY Laylah,OTH
E:EL-MASRI Mohamed,OTH
E:KAUR Harsimran,OTH
E:EL ACHKAR Rasheed,OTH
F:CORDNER HUNT Kammy,OTH
F:GNIESLAW Simon Mark Simcha,OTH
G:VONGVIXAY Keo,IND
G:HERNAN Taylor,IND
H:UNKLES James William,OTH
H:JEAN Ron,OTH
H:McKAY Roger Ivan,OTH
I:CICCONE Raffaele,ALP
I:WALSH Jess,ALP
I:ANANDA-RAJAH Michelle,ALP
I:PSAILA Lynn,ALP
I:KELLEY Stephenie,ALP
I:BAKER David,ALP
J:FINN Bernie,OTH
J:FOREMAN Jane,OTH
K:PICKERING Warren,ON
K:BRADBURY Christopher,ON
L:McKENZIE Heath,OTH
L:NOBLE Carly,OTH
M:VAN DEN LAMB Jordan,OTH
M:PRICE Steph,OTH
N:ACKERLY Celeste,OTH
N:JESSUP Bert,OTH
O:NEIL Chris,OTH
O:CLONARIDIS Nick,OTH
P:DITTLOFF Jordan,OTH
P:FORD Matthew,OTH
P:MATULEC Stephen,OTH
Q:HODGINS-MAY Steph,GRN
Q:ARI Navera,GRN
Q:IAMPOLSKI Rachel,GRN
Q:SLATER Maddie,GRN
Q:HENDERSON Brittney,GRN
Q:YAWARI Nasser,GRN
R:BARWICK Robert,OTH
R:YOHANNA Sleiman,OTH
S:CONSTANTINOU Ethan,OTH
S:VICKERS Ken,OTH
T:SAINI Raj,IND
T:ALLE Kirti,IND
T:KANAKAGIRI Yashaswini Srinivas,IND
UG:CHEUNG Heena Sinha,IND
UG:ABEYSINGHE Susantha,IND
UG:LEWAND Viesha,IND
UG:HARVEY Lawrence,IND
UG:CORBETT Cory,IND
UG:BLACK K,IND
UG:VAN David,IND
UG:RITTER Nate,IND
