candidate,canonical_party
A:CULLERTON Rodney,OTH
A:NEWTON-WORDSWORTH William,OTH
B:KLOMP Steve,OTH
B:NG Joan Lee,OTH
C:NOVAKOVICH Aisha Nancy,OTH
C:RYLES Rex Michael,OTH
D:BANNISTER Melissa,OTH
D:MONGAN Trent Kenneth,OTH
D:ROBINS Peter,OTH
D:STEWART Lincoln,OTH
E:OBORN Karen,OTH
E:OOSTRYCK Ryan,OTH
F:MITCHELL Elana,OTH
F:SIMSON Simon,OTH
G:BURNS Ryan,OTH
G:NICOL Gary,OTH
H:KING Madison,OTH
H:CLUNE Jody,OTH
I:STEELE-JOHN Jordon,GRN
I:COLLINS Simone,GRN
I:CLARKE Donald,GRN
I:IVES Verity,GRN
I:LONSDALE Heather,GRN
J:CARRIE-WILSON Tian,OTH
J:ALDERDICE Tamara,OTH
K:SOBIERALSKI Jade,OTH
K:BREEN Riley,OTH
L:WHITEAKER Ellie,ALP
L:GHOSH Varun,ALP
L:SINGH Deep,ALP
L:DEWAN Tarun,ALP
L:WHITE Ally,ALP
L:OSWALD Brock,ALP
M:WHITTEN Tyron,ON
M:DOYLE Conor,ON
N:MEOTTI Jason,OTH
N:D'ATH Melissa Rose,OTH
O:ANAGNO Michael,OTH
O:STEWART Grant,OTH
P:KRAKOUER Megan,OTH
P:LA MACCHIA Tano,OTH
Q:BROCKMAN Slade,LNP
Q:O'SULLIVAN Matt,LNP
Q:BOTHA Trish,LNP
Q:MATHEWS Jennifer,LNP
R:BROWN Paul,LNP
R:MILES Jeremy,LNP
UG:CAO Ky,IND
UG:MUBARAK Kim,IND
