Seat,Eliminated,ReportedAliveSet,AliveSet,AliveSetSource,AliveSetPositionConflict,RecordedPosition,TopThree
ACT,GRN,ALP+IND+LNP,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,nan,
ACT,IND,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,nan,
ACT,LNP,ALP+GRN+IND,ALP+GRN+IND,positive_recipients_validated_against_3cp,False,nan,
ACT,OTH,ALP+GRN+IND+LNP,ALP+GRN+IND+LNP,positive_recipients_validated_against_3cp,False,nan,
Adelaide,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Adelaide,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Adelaide,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Aston,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Aston,IND,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Aston,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Aston,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,ALP+LNP+GRN
Ballarat,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Ballarat,IND,ALP+GRN+LNP+ON+OTH,ALP+GRN+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Ballarat,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Ballarat,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,ALP+LNP+GRN
Banks,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Banks,IND,ALP+GRN+LNP+ON+OTH,ALP+GRN+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,6.0,ALP+LNP+GRN
Banks,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Banks,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Barker*(**),GRN,ALP+LNP+ON,ALP+LNP+ON,positive_recipients_validated_against_3cp,False,4.0,LNP+ALP+ON
Barker*(**),IND,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,LNP+ALP+ON
Barker*(**),ON,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,LNP+ALP+ON
Barker*(**),OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,LNP+ALP+ON
Barton,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Barton,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Barton,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Bass,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Bass,IND,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Bass,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Bass,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,ALP+LNP+GRN
Bean,GRN,ALP+IND+LNP,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+IND+LNP
Bean,LNP,ALP+IND,ALP+IND,positive_recipients_validated_against_3cp,False,3.0,ALP+IND+LNP
Bendigo**,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Bendigo**,ON,ALP+GRN+LNP+OTH,ALP+GRN+LNP+OTH,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Bendigo**,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Bennelong,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Bennelong,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Bennelong,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Berowra*,GRN,ALP+IND+LNP,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,4.0,LNP+ALP+IND
Berowra*,IND,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,LNP+ALP+IND
Berowra*,ON,ALP+GRN+IND+LNP,ALP+GRN+IND+LNP,positive_recipients_validated_against_3cp,False,5.0,LNP+ALP+IND
Berowra*,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,LNP+ALP+IND
Blair,GRN,ALP+LNP+ON,ALP+LNP+ON,positive_recipients_validated_against_3cp,True,3.0,ALP+LNP+ON
Blair,ON,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+ON
Blair,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+ON
Blaxland,GRN,ALP+IND+LNP,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+IND
Blaxland,IND,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+IND
Blaxland,ON,ALP+GRN+IND+LNP,ALP+GRN+IND+LNP,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+IND
Blaxland,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,ALP+LNP+IND
Bonner,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Bonner,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Bonner,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Boothby,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Boothby,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Boothby,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Bowman,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,LNP+ALP+GRN
Bowman,IND,ALP+GRN+LNP+ON+OTH,ALP+GRN+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,6.0,LNP+ALP+GRN
Bowman,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,LNP+ALP+GRN
Bowman,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,LNP+ALP+GRN
Braddon,GRN,ALP+LNP+ON,ALP+LNP+ON,positive_recipients_validated_against_3cp,True,3.0,ALP+LNP+ON
Braddon,IND,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+ON
Braddon,ON,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+ON
Braddon,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,ALP+LNP+ON
Bradfield*,ALP,IND+LNP,IND+LNP,positive_recipients_validated_against_3cp,False,3.0,IND+LNP+ALP
Bradfield*,GRN,ALP+IND+LNP,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,4.0,IND+LNP+ALP
Bradfield*,ON,ALP+GRN+IND+LNP+OTH,ALP+GRN+IND+LNP+OTH,positive_recipients_validated_against_3cp,False,5.0,IND+LNP+ALP
Bradfield*,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,IND+LNP+ALP
Brand,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Brand,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Brand,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Brisbane,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Brisbane,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Brisbane,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Bruce,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Bruce,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Bruce,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Bullwinkel**,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Bullwinkel**,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Bullwinkel**,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Burt,GRN,ALP+LNP+ON,ALP+LNP+ON,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+ON
Burt,IND,ALP+GRN+LNP+ON+OTH,ALP+GRN+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,6.0,ALP+LNP+ON
Burt,ON,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+ON
Burt,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+ON
Calare*,ALP,IND+LNP+OTH,IND+LNP+OTH,positive_recipients_validated_against_3cp,False,4.0,IND+LNP+IND
Calare*,OTH,IND+LNP,IND+LNP,positive_recipients_validated_against_3cp,True,3.0,IND+LNP+IND
Calwell,GRN,ALP+IND+LNP,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+IND+LNP
Calwell,LNP,ALP+IND,ALP+IND,positive_recipients_validated_against_3cp,False,3.0,ALP+IND+LNP
Calwell,ON,ALP+GRN+IND+LNP+OTH,ALP+GRN+IND+LNP+OTH,positive_recipients_validated_against_3cp,False,6.0,ALP+IND+LNP
Calwell,OTH,ALP+GRN+IND+LNP,ALP+GRN+IND+LNP,positive_recipients_validated_against_3cp,False,5.0,ALP+IND+LNP
