stage,division_key,actual_winner,actual_runner_up,actual_final_two,actual_winner_share,division,winner,runner_up,final_two,winner_pct,elimination_order,winner_match,runner_up_match,final_two_match,absolute_winner_error_pp
1_pass_through_original_fallback,ADELAIDE,ALP,ON,ALP+ON,0.6488339999999999,Adelaide,ALP,ON,ALP+ON,0.6488339115438818,OTH>LNP>GRN,True,True,True,8.845611809693565e-06
1_pass_through_original_fallback,ASTON,ALP,LNP,ALP+LNP,0.506575,Aston,ALP,LNP,ALP+LNP,0.5127926243601023,IND>OTH>GRN>ON,True,True,True,0.6217624360102314
1_pass_through_original_fallback,BALLARAT,ALP,ON,ALP+ON,0.57424,Ballarat,ALP,ON,ALP+ON,0.573956382576287,IND>OTH>GRN>LNP,True,True,True,0.02836174237129674
1_pass_through_original_fallback,BANKS,LNP,ALP,ALP+LNP,0.5049750000000001,Banks,LNP,ALP,ALP+LNP,0.5017399378927809,IND>OTH>GRN>ON,True,True,True,0.3235062107219133
1_pass_through_original_fallback,BARKER,LNP,ON,LNP+ON,0.584741,Barker,LNP,ON,LNP+ON,0.5751361404402966,IND>OTH>GRN>ALP,True,True,True,0.960485955970336
1_pass_through_original_fallback,BARTON,ALP,ON,ALP+ON,0.608743,Barton,ALP,ON,ALP+ON,0.6087426909050562,OTH>LNP>GRN,True,True,True,3.0909494386222036e-05
1_pass_through_original_fallback,BASS,ALP,ON,ALP+ON,0.527818,Bass,ALP,ON,ALP+ON,0.5630243823364803,OTH>IND>GRN>LNP,True,True,True,3.5206382336480324
1_pass_through_original_fallback,BENDIGO,LNP,ALP,ALP+LNP,0.506749,Bendigo,ALP,LNP,ALP+LNP,0.508448758600625,OTH>GRN>ON,False,False,True,0.16997586006249898
1_pass_through_original_fallback,BENNELONG,ALP,LNP,ALP+LNP,0.5638559999999999,Bennelong,ALP,LNP,ALP+LNP,0.5638377079423411,OTH>GRN>ON,True,True,True,0.001829205765879749
1_pass_through_original_fallback,BEROWRA,LNP,ALP,ALP+LNP,0.5455570000000001,Berowra,LNP,ALP,ALP+LNP,0.5449569431771092,OTH>IND>GRN>ON,True,True,True,0.0600056822890882
1_pass_through_original_fallback,BLAIR,ON,ALP,ALP+ON,0.525598,Blair,ON,ALP,ALP+ON,0.5236328434723251,GRN>OTH>LNP,True,True,True,0.19651565276749272
1_pass_through_original_fallback,BLAXLAND,ALP,ON,ALP+ON,0.672059,Blaxland,ALP,ON,ALP+ON,0.6720590460196805,OTH>GRN>LNP>IND,True,True,True,4.60196805107671e-06
1_pass_through_original_fallback,BONNER,ALP,LNP,ALP+LNP,0.5130899999999999,Bonner,ALP,LNP,ALP+LNP,0.5164719206934866,OTH>GRN>ON,True,True,True,0.33819206934866397
1_pass_through_original_fallback,BOOTHBY,ALP,LNP,ALP+LNP,0.620564,Boothby,ALP,LNP,ALP+LNP,0.6198374986207079,OTH>IND>ON>GRN,True,True,True,0.07265013792920882
1_pass_through_original_fallback,BOWMAN,LNP,ALP,ALP+LNP,0.551023,Bowman,LNP,ALP,ALP+LNP,0.5500182687493307,OTH>GRN>ON,True,True,True,0.10047312506693551
1_pass_through_original_fallback,BRADDON,ON,ALP,ALP+ON,0.5079910000000001,Braddon,ALP,ON,ALP+ON,0.5255917892814526,OTH>IND>GRN>LNP,False,False,True,1.7600789281452478
1_pass_through_original_fallback,BRADFIELD,IND,LNP,IND+LNP,0.501668,Bradfield,IND,LNP,IND+LNP,0.5023869915914566,OTH>GRN>ON>ALP,True,True,True,0.07189915914566081
1_pass_through_original_fallback,BRAND,ALP,ON,ALP+ON,0.602546,Brand,ALP,ON,ALP+ON,0.602546046934246,OTH>LNP>GRN,True,True,True,4.69342459341604e-06
1_pass_through_original_fallback,BRISBANE,GRN,LNP,GRN+LNP,0.549148,Brisbane,GRN,LNP,GRN+LNP,0.5491484473221717,OTH>ON>ALP,True,True,True,4.473221717482545e-05
1_pass_through_original_fallback,BRUCE,ALP,ON,ALP+ON,0.567583,Bruce,ALP,ON,ALP+ON,0.5769018331115487,OTH>GRN>LNP,True,True,True,0.9318833111548797
1_pass_through_original_fallback,BULLWINKEL,LNP,ALP,ALP+LNP,0.542462,Bullwinkel,LNP,ALP,ALP+LNP,0.5424899949499056,OTH>GRN>ON,True,True,True,0.0027994949905574273
1_pass_through_original_fallback,BURT,ALP,ON,ALP+ON,0.60589,Burt,ALP,ON,ALP+ON,0.6058900042576681,IND>LNP>OTH>GRN,True,True,True,4.2576681069661504e-07
1_pass_through_original_fallback,CALARE,ON,IND,IND+ON,0.506838,Calare,IND,LNP,IND+LNP,0.5323205892358123,ALP>GRN>OTH>ON,False,False,False,2.548258923581226
1_pass_through_original_fallback,CALWELL,ALP,ON,ALP+ON,0.6165550000000001,Calwell,ALP,ON,ALP+ON,0.6165551627239251,LNP>GRN>OTH>IND,True,True,True,1.6272392500127353e-05
1_pass_through_original_fallback,CANBERRA,ALP,GRN,ALP+GRN,0.638042,Canberra,ALP,GRN,ALP+GRN,0.6324897303802225,OTH>ON>LNP>IND,True,True,True,0.5552269619777506
1_pass_through_original_fallback,CANNING,LNP,ALP,ALP+LNP,0.5590550000000001,Canning,LNP,ALP,ALP+LNP,0.5624082077362892,OTH>GRN>ON,True,True,True,0.335320773628911
1_pass_through_original_fallback,CAPRICORNIA,ON,ALP,ALP+ON,0.600421,Capricornia,ON,ALP,ALP+ON,0.6104503684027068,GRN>OTH>LNP,True,True,True,1.002936840270685
1_pass_through_original_fallback,CASEY,LNP,ALP,ALP+LNP,0.543802,Casey,LNP,ALP,ALP+LNP,0.5431015275218753,OTH>IND>GRN>ON,True,True,True,0.07004724781246585
1_pass_through_original_fallback,CHIFLEY,ALP,ON,ALP+ON,0.64268,Chifley,ALP,ON,ALP+ON,0.6426797196654187,LNP>GRN>OTH,True,True,True,2.803345813262581e-05
1_pass_through_original_fallback,CHISHOLM,ALP,LNP,ALP+LNP,0.550457,Chisholm,ALP,LNP,ALP+LNP,0.5501522639732689,OTH>IND>ON>GRN,True,True,True,0.030473602673108946
1_pass_through_original_fallback,CLARK,IND,GRN,GRN+IND,0.688768,Clark,IND,GRN,GRN+IND,0.697065389116186,LNP>ALP>ON,True,True,True,0.8297389116185938
1_pass_through_original_fallback,COOK,LNP,ALP,ALP+LNP,0.600113,Cook,LNP,ALP,ALP+LNP,0.6001528183714723,OTH>GRN>ON,True,True,True,0.003981837147226663
1_pass_through_original_fallback,COOPER,ALP,GRN,ALP+GRN,0.583818,Cooper,ALP,GRN,ALP+GRN,0.5838182401471897,LNP>OTH>ON,True,True,True,2.4014718980058802e-05
1_pass_through_original_fallback,CORANGAMITE,ALP,LNP,ALP+LNP,0.583531,Corangamite,ALP,LNP,ALP+LNP,0.5619646769692015,IND>OTH>GRN>ON,True,True,True,2.156632303079853
1_pass_through_original_fallback,CORIO,ALP,ON,ALP+ON,0.594903,Corio,ALP,ON,ALP+ON,0.5895627309364384,IND>OTH>LNP>GRN,True,True,True,0.5340269063561554
1_pass_through_original_fallback,COWAN,ALP,ON,ALP+ON,0.599485,Cowan,ALP,ON,ALP+ON,0.5999168129549998,IND>OTH>GRN>LNP,True,True,True,0.04318129549997218
1_pass_through_original_fallback,COWPER,LNP,IND,IND+LNP,0.512441,Cowper,LNP,IND,IND+LNP,0.5092085833789592,ALP>GRN>OTH>ON,True,True,True,0.323241662104079
1_pass_through_original_fallback,CUNNINGHAM,ALP,ON,ALP+ON,0.6159490000000001,Cunningham,ALP,ON,ALP+ON,0.6159487920202863,OTH>LNP>GRN,True,True,True,2.0797971378438973e-05
1_pass_through_original_fallback,CURTIN,IND,LNP,IND+LNP,0.551373,Curtin,IND,LNP,IND+LNP,0.5513729032066135,OTH>ALP>GRN>ON,True,True,True,9.679338652812675e-06
1_pass_through_original_fallback,DAWSON,LNP,ON,LNP+ON,0.517289,Dawson,LNP,ON,LNP+ON,0.5139841381610434,GRN>OTH>ALP,True,True,True,0.33048618389566187
1_pass_through_original_fallback,DEAKIN,ALP,LNP,ALP+LNP,0.505546,Deakin,ALP,LNP,ALP+LNP,0.5059269583546283,OTH>IND>GRN>ON,True,True,True,0.0380958354628258
