division,reason,sheet_winner,winner_python,winner_no_calibration,sheet_runner_up,runner_up_python,runner_up_no_calibration,sheet_final_two,final_two_python,final_two_no_calibration,sheet_winner_pct,winner_pct_python,winner_pct_no_calibration,winner_diff_pp,winner_diff_pp_no_calibration,runner_diff_pp,sheet_positive_parties,sheet_note
Dickson,calibration_path_difference,ALP,ALP,ALP,LNP,LNP,LNP,ALP+LNP,ALP+LNP,ALP+LNP,0.5059640293,0.524756089946262,0.5059640293020682,1.8792060646262043,2.068234472574204e-10,1.8792060646261932,2,
Mayo,calibration_path_difference,OTH,OTH,OTH,ALP,ON,ALP,ALP+OTH,ON+OTH,ALP+OTH,0.654184591,0.6684528360913845,0.6541845910127575,1.4268245091384468,1.2757461753665211e-09,1.4268245091384524,2,
Barker,calibration_path_difference,LNP,LNP,LNP,ON,ON,ON,LNP+ON,LNP+ON,LNP+ON,0.5847405407,0.5775655662490051,0.5847405407159741,0.7174974450994909,1.5974110922911677e-09,0.7174974450994909,2,
Clark,calibration_path_difference,IND,IND,IND,GRN,GRN,GRN,GRN+IND,GRN+IND,GRN+IND,0.6887682052,0.694615063614173,0.6887682051531977,0.5846858414172984,4.680233978149317e-09,0.5846858414172984,2,
Wright,calibration_path_difference,ON,ON,ON,LNP,LNP,LNP,LNP+ON,LNP+ON,LNP+ON,0.5501050457,0.5541308189640637,0.5501050457112374,0.40257732640637256,1.123745541065091e-09,0.402577326406367,2,
Bowman,calibration_path_difference,LNP,LNP,LNP,ALP,ALP,ALP,ALP+LNP,ALP+LNP,ALP+LNP,0.5510233891,0.5544786322253784,0.5510233890887029,0.3455243125378371,1.1297185409375743e-09,0.3455243125378371,2,
Bonner,calibration_path_difference,ALP,ALP,ALP,LNP,LNP,LNP,ALP+LNP,ALP+LNP,ALP+LNP,0.5130903524,0.5164943501602053,0.5130903523838684,0.34039977602052796,1.6131651570105987e-09,0.34039977602052796,2,
Petrie,calibration_path_difference,LNP,LNP,LNP,ALP,ALP,ALP,ALP+LNP,ALP+LNP,ALP+LNP,0.5203779078,0.523384049947725,0.5203779077848173,0.30061421477249883,1.5182743950958866e-09,0.3006142147724933,2,
Lingiari,calibration_path_difference,ALP,ALP,ALP,ON,ON,ON,ALP+ON,ALP+ON,ALP+ON,0.5577016698,0.5549726682057936,0.5577016698891171,0.2729001594206415,8.9117047075149e-09,0.2729001594206415,2,
Lyons,calibration_path_difference,ALP,ALP,ALP,ON,ON,ON,ALP+ON,ALP+ON,ALP+ON,0.5406792843,0.5380001932780659,0.5406792843331023,0.2679091021934088,3.3102298679921205e-09,0.2679091021934199,2,
Solomon,calibration_path_difference,ALP,ALP,ALP,LNP,LNP,LNP,ALP+LNP,ALP+LNP,ALP+LNP,0.5103674985,0.5080699668457712,0.5103674984431629,0.2297531654228746,5.683709058956765e-09,0.2297531654228857,2,
Canberra,calibration_path_difference,ALP,ALP,ALP,GRN,GRN,GRN,ALP+GRN,ALP+GRN,ALP+GRN,0.6380423427,0.6360494698174132,0.6380423426410989,0.19928728825868713,5.890110621464828e-09,0.19928728825867603,2,
Bass,calibration_path_difference,ALP,ALP,ALP,ON,ON,ON,ALP+ON,ALP+ON,ALP+ON,0.5278183558,0.5295058884181152,0.5289019397882707,0.16875326181151618,0.10835839882706866,0.03612099818849357,2,
Blair,calibration_path_difference,ON,ON,ON,ALP,ALP,ALP,ALP+ON,ALP+ON,ALP+ON,0.5255978297,0.5271039713601374,0.5255978296856123,0.15061416601374056,1.4387713243024791e-09,0.15061416601372946,2,
Herbert,calibration_path_difference,LNP,LNP,LNP,ALP,ALP,ALP,ALP+LNP,ALP+LNP,ALP+LNP,0.6442663467,0.6429420743822185,0.6442663467737397,0.13242723177815385,7.373968102797335e-09,0.1324272317781594,2,
Boothby,calibration_path_difference,ALP,ALP,ALP,LNP,LNP,LNP,ALP+LNP,ALP+LNP,ALP+LNP,0.6205639115,0.6192758341331752,0.6205639115301641,0.12880773668247913,3.016409344525073e-09,0.12880773668247358,2,
Leichhardt,calibration_path_difference,ON,ON,ON,ALP,ALP,ALP,ALP+ON,ALP+ON,ALP+ON,0.5395677048,0.5401251981984486,0.5395677048237176,0.05574933984485719,2.3717583452764757e-09,0.055749339844862744,2,
Sturt,calibration_path_difference,ALP,ALP,ALP,LNP,LNP,LNP,ALP+LNP,ALP+LNP,ALP+LNP,0.547999271,0.547528595860255,0.5479992710056386,0.04706751397449693,5.638600697466245e-10,0.04706751397449693,2,
Hinkler,calibration_path_difference,ON,ON,ON,LNP,LNP,LNP,LNP+ON,LNP+ON,LNP+ON,0.5116967045,0.5112492157948659,0.5116967045152214,0.044748870513411365,1.5221379712215821e-09,0.044748870513416916,2,
