division,round,eliminated,alive_after,basis,reliability,reliability_reason,pooled_evidence_seats,pooled_mean_variance,class_evidence_seats,nearest_distance,position_conflict,coverage,anchor_weight
Wentworth,1,ALP,GRN+IND+LNP+ON,posterior_nearest_field,Low,"Nearest-field evidence at distance 1, based on 1 seats.",1,0.0,0,1.0,False,1.0,0.0
Wentworth,2,ON,GRN+IND+LNP,posterior_nearest_field,Medium,"Nearest-field evidence at distance 1, based on 24 seats.",24,0.0,0,1.0,False,0.929712460060703,0.0
Wentworth,3,GRN,IND+LNP,posterior_nearest_field,Medium,"Nearest-field evidence at distance 1, based on 24 seats.",24,0.0,0,1.0,False,0.645390070896454,0.0
Sydney,1,OTH,ALP+GRN+LNP+ON,seat_pref_flow_shrunk,Medium,Seat-specific historical flow from one election.,73,0.00802382233899586,16,nan,False,1.0,0.0
Sydney,2,LNP,ALP+GRN+ON,posterior_nearest_field,Low,"Nearest-field evidence at distance 1, based on 1 seats.",1,0.0,0,1.0,False,1.0,0.0
Sydney,3,ON,ALP+GRN,posterior_nearest_field,Medium,"Nearest-field evidence at distance 1, based on 70 seats.",70,0.0,0,1.0,False,0.2916129032,0.0
Kingsford Smith,1,IND,ALP+GRN+LNP+ON,seat_pref_flow_shrunk,Medium,Seat-specific historical flow from one election.,16,0.00456985146000111,4,nan,False,1.0,0.0
Kingsford Smith,2,LNP,ALP+GRN+ON,posterior_nearest_field,Low,"Nearest-field evidence at distance 1, based on 1 seats.",1,0.0,0,1.0,False,0.0,0.0
Kingsford Smith,3,GRN,ALP+ON,posterior_nearest_field,Medium,"Nearest-field evidence at distance 1, based on 21 seats.",21,0.0,0,1.0,False,0.8709160794,0.0
Bennelong,1,OTH,ALP+GRN+LNP+ON,seat_pref_flow_shrunk,Medium,Seat-specific historical flow from one election.,73,0.00802382233899586,16,nan,False,1.0,0.0
Bennelong,2,GRN,ALP+LNP+ON,matrix_posterior_explicit_blend,High,Exact pooled scenario based on 21 seats.,21,0.003235015131739608,23,nan,False,1.0,0.0
Bennelong,3,ON,ALP+LNP,matrix_posterior_explicit_blend,High,Exact pooled scenario based on 25 seats.,25,0.006225577806918004,23,nan,False,0.7891272032,0.0
