division,division_key,state,classification,scenario,eliminated,alive_set,historical_votes_at_elimination,position_conflict,current_seat_evidence_weight,flow_total_variation_pp,max_recipient_shift_pp,largest_shift_recipient,largest_shift_direction,largest_shift_signed_pp,encountered_current_path,encountered_unshrunk_path,current_model_transfer_pct,estimated_current_round_effect_pp,local_ALP,local_LNP,local_GRN,local_ON,local_IND,local_OTH,current_ALP,current_LNP,current_GRN,current_ON,current_IND,current_OTH
Flinders,FLINDERS,VIC,Rural,ALP|IND+LNP,ALP,IND+LNP,30194.0,False,0.47404403337557105,23.872819732948642,23.872819732948646,LNP,away from local history,-23.872819732948646,False,False,,0.0,0.0,0.7798900443796781,0.0,0.0,0.2201099556203219,0.0,0.0,0.5411618470501917,0.0,0.0,0.4588381529498083,0.0
Sydney,SYDNEY,NSW,Inner metro,OTH|ALP+GRN+LNP+ON,OTH,ALP+GRN+LNP+ON,2376.0,False,0.49210290739708495,22.28556945701345,21.052402810829207,GRN,away from local history,-21.052402810829207,True,True,1.959614681019596,0.43671129082845467,0.207070707070707,0.0673400673400673,0.6510942760942761,0.0744949494949494,0.0,0.0,0.1947390406088646,0.13783291629713418,0.4405702479859842,0.22685779510801707,0.0,0.0
Corio,CORIO,VIC,Provincial,OTH|ALP+GRN+IND+LNP+ON,OTH,ALP+GRN+IND+LNP+ON,3209.0,False,0.4928760932248753,20.467710509938396,20.167449648691477,GRN,away from local history,-20.167449648691477,False,False,,0.0,0.1402306014334683,0.0364599563727017,0.542224992209411,0.1159239638516671,0.1651604861327516,0.0,0.13722799282099912,0.10501390739643808,0.34055049572249646,0.2283677807824972,0.18883982327756915,0.0
Melbourne,MELBOURNE,VIC,Inner metro,OTH|ALP+GRN+IND+LNP+ON,OTH,ALP+GRN+IND+LNP+ON,2042.0,False,0.4928760932248753,20.22568823042473,16.211451541823706,GRN,away from local history,-16.211451541823706,True,True,2.8764375561150577,0.5817792922426799,0.2105778648383937,0.1062683643486777,0.4701273261508325,0.0426052889324191,0.1704211557296767,0.0,0.17043549795238355,0.152171530281678,0.3080128107325956,0.18692242401889034,0.18245773701445256,0.0
Herbert,HERBERT,QLD,Provincial,ON|ALP+GRN+LNP+OTH,ON,ALP+GRN+LNP+OTH,7014.0,False,0.48628650106215887,19.000811385202798,19.000811385202798,OTH,away from local history,-19.000811385202798,False,False,,0.0,0.0479041916167664,0.2378100940975192,0.0642999714856002,0.0,0.0,0.649985742800114,0.08824271017986848,0.37115118469560465,0.0806284761764407,0.0,0.0,0.45997762894808614
Monash,MONASH,VIC,Rural,OTH|ALP+GRN+IND+LNP+ON,OTH,ALP+GRN+IND+LNP+ON,21606.0,True,0.4928760932248753,18.729287816978488,15.822045969796338,LNP,away from local history,-15.822045969796338,True,True,6.839674245341984,1.2810222751538516,0.1747662686290845,0.5066648153290753,0.0525317041562528,0.0657687679348329,0.2002684439507544,0.0,0.14569385015726305,0.348444355631112,0.08407500593630651,0.21798841255381318,0.20379837572150533,0.0
Fraser,FRASER,VIC,Inner metro,OTH|ALP+GRN+LNP+ON,OTH,ALP+GRN+LNP+ON,12497.0,False,0.49210290739708495,18.391500118511004,18.391500118511004,GRN,away from local history,-18.391500118511004,False,False,,0.0,0.1679603104745138,0.122109306233496,0.5987036888853324,0.1112266944066576,0.0,0.0,0.17549270073442486,0.16478501799251594,0.4147886877002225,0.24493359357283673,0.0,0.0
Bendigo,BENDIGO,VIC,Provincial,OTH|ALP+GRN+LNP+ON,OTH,ALP+GRN+LNP+ON,22907.0,False,0.49210290739708495,17.954340999859888,17.954340999859888,LNP,away from local history,-17.954340999859888,True,True,8.601857939086019,1.5444069067070239,0.1337582398393504,0.5603527306063648,0.1970576679617584,0.1088313615925263,0.0,0.0,0.15698095494175238,0.38080932060776607,0.20903206038553795,0.2531776640649437,0.0,0.0
Fenner,FENNER,ACT,Inner metro,OTH|ALP+GRN+LNP,OTH,ALP+GRN+LNP,7426.0,False,0.45391071729031285,17.247924192667192,17.24792419266719,GRN,toward pooled evidence,17.24792419266719,True,True,7.979041169996565,1.3762189723027127,0.2970643684352276,0.5166980877996229,0.1862375437651494,0.0,0.0,0.0,0.2697935256911873,0.3714896886169914,0.3587167856918213,0.0,0.0,0.0
Lingiari,LINGIARI,NT,Rural,OTH|ALP+GRN+LNP+ON,OTH,ALP+GRN+LNP+ON,2339.0,False,0.49210290739708495,16.51815130402413,11.927794960165027,ON,toward pooled evidence,11.927794960165027,True,True,6.257372163466444,1.0336022016172755,0.3505771697306541,0.1274048738777255,0.337751175716118,0.1842667806755023,0.0,0.0,0.2632837075426691,0.17330843731631654,0.25986312486386176,0.3035447302771526,0.0,0.0
