division,division_key,state,classification,review_priority,priority_reason,override_review_candidate,candidate_k_to_test,winner_changed,final_two_changed,elimination_order_changed,current_winner,unshrunk_winner,actual_winner,current_final_two,unshrunk_final_two,actual_final_two,current_matches_actual_winner,unshrunk_matches_actual_winner,current_matches_actual_final_two,unshrunk_matches_actual_final_two,winner_pct_change_pp,final_distribution_change_pp,seat_flow_scenarios,encountered_scenarios,max_flow_total_variation_pp,max_recipient_shift_pp,max_estimated_round_effect_pp,most_distinctive_scenario,position_conflicts,current_elimination_order,unshrunk_elimination_order
Monash,MONASH,VIC,Rural,Critical,Winner changes when the seat flow is left unshrunk.,True,0.5,True,True,True,IND,LNP,IND,IND+ON,IND+LNP,IND+LNP,True,False,False,True,0.35386439390296953,50.53593512529919,3,1,18.729287816978488,15.822045969796338,1.2810222751538516,OTH|ALP+GRN+IND+LNP+ON,1,OTH>GRN>ALP>LNP,OTH>GRN>ALP>ON
Hughes,HUGHES,NSW,Outer metro,Critical,Winner changes when the seat flow is left unshrunk.,True,0.5,True,False,False,ALP,LNP,LNP,ALP+LNP,ALP+LNP,ALP+LNP,False,True,True,True,0.08591042450339925,0.3941771108850134,3,1,5.672787081345784,4.011690756043143,0.6192778077395205,OTH|ALP+GRN+LNP+ON,0,OTH>GRN>ON,OTH>GRN>ON
Moore,MOORE,WA,Outer metro,Critical,Winner changes when the seat flow is left unshrunk.,True,0.5,True,False,True,ALP,LNP,LNP,ALP+LNP,ALP+LNP,ALP+LNP,False,True,True,True,0.4323089108047351,1.4902405901166231,4,1,13.774806761258107,13.77480676125811,0.42734667924275255,GRN|ALP+IND+LNP,0,OTH>GRN>IND>ON,OTH>GRN>ON>IND
Deakin,DEAKIN,VIC,Outer metro,Critical,Winner changes when the seat flow is left unshrunk.,True,0.5,True,False,False,ALP,LNP,ALP,ALP+LNP,ALP+LNP,ALP+LNP,True,False,True,True,0.02634631379968555,0.21010751479431933,4,1,7.328044184612184,4.273686001392879,0.3622836787365201,OTH|ALP+GRN+IND+LNP+ON,0,OTH>IND>GRN>ON,OTH>IND>GRN>ON
Flynn,FLYNN,QLD,Rural,High,Final two changes when the seat flow is left unshrunk.,True,0.5,False,True,True,ON,ON,ON,LNP+ON,ALP+ON,ALP+ON,True,True,False,True,13.857758611892624,48.813870112306574,4,3,9.800235482312484,5.639821941190181,0.48325969890754306,IND|ALP+GRN+LNP+ON+OTH,0,IND>GRN>OTH>ALP,IND>GRN>OTH>LNP
Bendigo,BENDIGO,VIC,Provincial,Medium,Material local-flow or elimination-path difference.,False,,False,False,False,LNP,LNP,LNP,ALP+LNP,ALP+LNP,ALP+LNP,True,True,True,True,0.6340952189560212,0.6340952189560184,3,1,17.954340999859888,17.954340999859888,1.5444069067070239,OTH|ALP+GRN+LNP+ON,0,OTH>GRN>ON,OTH>GRN>ON
Fenner,FENNER,ACT,Inner metro,Medium,Material local-flow or elimination-path difference.,False,,False,False,False,ALP,ALP,,ALP+GRN,ALP+GRN,,False,False,False,False,1.0546093335841111,1.0546093335841138,2,1,17.247924192667192,17.24792419266719,1.3762189723027127,OTH|ALP+GRN+LNP,0,ON>OTH>LNP,ON>OTH>LNP
Bean,BEAN,ACT,Inner metro,Medium,Material local-flow or elimination-path difference.,False,,False,False,False,ALP,ALP,,ALP+IND,ALP+IND,,False,False,False,False,0.9623430497155971,0.9623430497155971,2,2,7.249770811691432,7.249770811691436,1.3629844193670628,LNP|ALP+IND,0,ON>GRN>LNP,ON>GRN>LNP
Macnamara,MACNAMARA,VIC,Inner metro,Medium,Material local-flow or elimination-path difference.,False,,False,False,False,ALP,ALP,ALP,ALP+LNP,ALP+LNP,ALP+LNP,True,True,True,True,0.6785698404278895,0.6785698404278923,4,2,6.9941013091263295,4.23338722025515,1.222485819406454,OTH|ALP+GRN+IND+LNP+ON,0,OTH>ON>GRN,OTH>ON>GRN
Ryan,RYAN,QLD,Outer metro,Medium,Material local-flow or elimination-path difference.,False,,False,False,False,GRN,GRN,GRN,GRN+LNP,GRN+LNP,GRN+LNP,True,True,True,True,2.052554367096482,2.052554367096482,3,3,6.43971413630199,6.439714136301989,1.1450422787416437,ON|ALP+GRN+LNP,0,OTH>ON>ALP,OTH>ON>ALP
