State,DivisionID,Electorate,EliminatedModelCategory,FinishPosition,CategoryExitCount,AliveModelCategoriesAfter,RecipientModelCategory,ObservedExitShare,PassThroughShare,ShareDelta,AbsoluteShareDelta
ACT,101,Canberra,IND,4,3,ALP>LNP>GRN,ALP,0.40301724137931033,0.40301724137931033,0.0,0.0
ACT,101,Canberra,IND,4,3,ALP>LNP>GRN,GRN,0.3531788793103448,0.3531788793103448,0.0,0.0
ACT,101,Canberra,IND,4,3,ALP>LNP>GRN,LNP,0.24380387931034483,0.24380387931034483,0.0,0.0
ACT,101,Canberra,LNP,3,4,ALP>GRN,ALP,0.7330873308733087,0.7330873308733087,0.0,0.0
ACT,101,Canberra,LNP,3,4,ALP>GRN,GRN,0.26691266912669126,0.26691266912669126,0.0,0.0
ACT,101,Canberra,OTH,5,2,ALP>LNP>GRN>IND,ALP,0.23893805309734514,0.16733870967741934,-0.0715993434199258,0.0715993434199258
ACT,101,Canberra,OTH,5,2,ALP>LNP>GRN>IND,GRN,0.35176991150442477,0.24475806451612903,-0.10701184698829574,0.10701184698829574
ACT,101,Canberra,OTH,5,2,ALP>LNP>GRN>IND,IND,0.31047197640117996,0.38266129032258067,0.07218931392140071,0.07218931392140071
ACT,101,Canberra,OTH,5,2,ALP>LNP>GRN>IND,LNP,0.09882005899705015,0.20524193548387096,0.1064218764868208,0.1064218764868208
ACT,102,Fenner,GRN,3,2,ALP>LNP,ALP,0.8926222222222222,0.8926222222222222,0.0,0.0
ACT,102,Fenner,GRN,3,2,ALP>LNP,LNP,0.10737777777777778,0.10737777777777778,0.0,0.0
ACT,102,Fenner,OTH,4,1,ALP>LNP>GRN,ALP,0.2970643684352276,0.2970643684352276,0.0,0.0
ACT,102,Fenner,OTH,4,1,ALP>LNP>GRN,GRN,0.18623754376514948,0.18623754376514948,0.0,0.0
ACT,102,Fenner,OTH,4,1,ALP>LNP>GRN,LNP,0.5166980877996229,0.5166980877996229,0.0,0.0
ACT,318,Bean,GRN,4,1,ALP>LNP>IND,ALP,0.48180793276621914,0.48180793276621914,0.0,0.0
ACT,318,Bean,GRN,4,1,ALP>LNP>IND,IND,0.4880598544634621,0.4880598544634621,0.0,0.0
ACT,318,Bean,GRN,4,1,ALP>LNP>IND,LNP,0.030132212770318745,0.030132212770318745,0.0,0.0
ACT,318,Bean,LNP,3,2,ALP>IND,ALP,0.20205350807629702,0.20205350807629702,0.0,0.0
ACT,318,Bean,LNP,3,2,ALP>IND,IND,0.797946491923703,0.7979464919237031,1.1102230246251565e-16,1.1102230246251565e-16
NSW,103,Banks,GRN,3,6,ALP>LNP,ALP,0.85632,0.85632,0.0,0.0
NSW,103,Banks,GRN,3,6,ALP>LNP,LNP,0.14368,0.14368,0.0,0.0
NSW,103,Banks,ON,4,5,ALP>LNP>GRN,ALP,0.14044310927525347,0.14044310927525347,0.0,0.0
NSW,103,Banks,ON,4,5,ALP>LNP>GRN,GRN,0.2895230942546001,0.2895230942546001,0.0,0.0
NSW,103,Banks,ON,4,5,ALP>LNP>GRN,LNP,0.5700337964701464,0.5700337964701464,0.0,0.0
NSW,103,Banks,OTH,5,4,ALP>LNP>GRN>ON,ALP,0.0899096017591009,0.14662723239676942,0.05671763063766852,0.05671763063766852
NSW,103,Banks,OTH,5,4,ALP>LNP>GRN>ON,GRN,0.08575616906914243,0.1769992037310886,0.09124303466194617,0.09124303466194617
NSW,103,Banks,OTH,5,4,ALP>LNP>GRN>ON,LNP,0.16711458587832886,0.1846206347400751,0.017506048861746226,0.017506048861746226
NSW,103,Banks,OTH,5,4,ALP>LNP>GRN>ON,ON,0.6572196432934279,0.49175292913206686,-0.165466714161361,0.165466714161361
NSW,104,Barton,GRN,3,4,ALP>LNP,ALP,0.8329113924050633,0.8329113924050633,0.0,0.0
NSW,104,Barton,GRN,3,4,ALP>LNP,LNP,0.1670886075949367,0.1670886075949367,0.0,0.0
NSW,104,Barton,ON,4,3,ALP>LNP>GRN,ALP,0.2889542209155817,0.2889542209155817,0.0,0.0
NSW,104,Barton,ON,4,3,ALP>LNP>GRN,GRN,0.14027719445611087,0.14027719445611087,0.0,0.0
NSW,104,Barton,ON,4,3,ALP>LNP>GRN,LNP,0.5707685846283075,0.5707685846283075,0.0,0.0
NSW,104,Barton,OTH,5,2,ALP>LNP>GRN>ON,ALP,0.13080771979985703,0.13645790128577354,0.005650181485916506,0.005650181485916506
NSW,104,Barton,OTH,5,2,ALP>LNP>GRN>ON,GRN,0.16988324994043363,0.13120420295866167,-0.038679046981771964,0.038679046981771964
NSW,104,Barton,OTH,5,2,ALP>LNP>GRN>ON,LNP,0.2194424588992137,0.18609152495506706,-0.03335093394414665,0.03335093394414665
NSW,104,Barton,OTH,5,2,ALP>LNP>GRN>ON,ON,0.4798665713604956,0.5462463708004978,0.06637979944000216,0.06637979944000216
NSW,105,Bennelong,GRN,3,6,ALP>LNP,ALP,0.8772365156066344,0.8772365156066344,0.0,0.0
NSW,105,Bennelong,GRN,3,6,ALP>LNP,LNP,0.12276348439336555,0.12276348439336555,0.0,0.0
NSW,105,Bennelong,ON,4,5,ALP>LNP>GRN,ALP,0.13506052240390742,0.13506052240390742,0.0,0.0
NSW,105,Bennelong,ON,4,5,ALP>LNP>GRN,GRN,0.21087279677213847,0.21087279677213844,-2.7755575615628914e-17,2.7755575615628914e-17
NSW,105,Bennelong,ON,4,5,ALP>LNP>GRN,LNP,0.6540666808239541,0.6540666808239541,0.0,0.0
NSW,105,Bennelong,OTH,5,4,ALP>LNP>GRN>ON,ALP,0.16578947368421051,0.19963552021206096,0.03384604652785045,0.03384604652785045
NSW,105,Bennelong,OTH,5,4,ALP>LNP>GRN>ON,GRN,0.16390977443609023,0.23028495692511597,0.06637518248902574,0.06637518248902574
NSW,105,Bennelong,OTH,5,4,ALP>LNP>GRN>ON,LNP,0.21842105263157896,0.20974155069582506,-0.008679501935753897,0.008679501935753897
NSW,105,Bennelong,OTH,5,4,ALP>LNP>GRN>ON,ON,0.4518796992481203,0.36033797216699803,-0.09154172708112229,0.09154172708112229
NSW,106,Berowra,GRN,4,5,ALP>LNP>IND,ALP,0.500341856967045,0.500341856967045,0.0,0.0
NSW,106,Berowra,GRN,4,5,ALP>LNP>IND,IND,0.4309448926569123,0.43094489265691227,-5.551115123125783e-17,5.551115123125783e-17
NSW,106,Berowra,GRN,4,5,ALP>LNP>IND,LNP,0.06871325037604266,0.06871325037604266,0.0,0.0
NSW,106,Berowra,IND,3,6,ALP>LNP,ALP,0.7362979683972912,0.7362979683972912,0.0,0.0
NSW,106,Berowra,IND,3,6,ALP>LNP,LNP,0.26370203160270883,0.26370203160270883,0.0,0.0
NSW,106,Berowra,ON,5,4,ALP>LNP>GRN>IND,ALP,0.08800806180718844,0.08800806180718844,0.0,0.0
NSW,106,Berowra,ON,5,4,ALP>LNP>GRN>IND,GRN,0.0564326503191132,0.0564326503191132,0.0,0.0
NSW,106,Berowra,ON,5,4,ALP>LNP>GRN>IND,IND,0.22976150487067518,0.22976150487067515,-2.7755575615628914e-17,2.7755575615628914e-17
NSW,106,Berowra,ON,5,4,ALP>LNP>GRN>IND,LNP,0.6257977830030231,0.6257977830030231,0.0,0.0
NSW,106,Berowra,OTH,6,3,ALP>LNP>GRN>ON>IND,ALP,0.05254016500217108,0.11600619880451628,0.0634660338023452,0.0634660338023452
NSW,106,Berowra,OTH,6,3,ALP>LNP>GRN>ON>IND,GRN,0.052105948762483714,0.11268541067079921,0.06057946190831549,0.06057946190831549
