State,DivisionID,Electorate,EliminatedModelCategory,FinishPosition,CategoryExitCount,AliveModelCategoriesAfter,CandidateCount,InternalCandidateExclusions,LastSurvivorCandidate,LastSurvivorSubtype,LastSurvivorIdeologyFamily,LastSurvivorPrimaryCoverage,TotalVariationDistance,MaximumRecipientDelta,ObservedDominantRecipient,PassThroughDominantRecipient,DominantRecipientChanged
NSW,106,Berowra,OTH,6,3,ALP>LNP>GRN>ON>IND,3,2,Stephen Bastian,OTH_CYA,RIGHT,0.4868275404029223,0.271349293559882,0.19678474265838586,ON,IND,True
QLD,171,McPherson,OTH,6,7,ALP>LNP>GRN>ON>IND,7,6,Harry Hatzikalimnios,OTH_GRPF,RIGHT,0.2296894319586879,0.26190540593571554,0.26190540593571554,ON,ON,False
VIC,232,Scullin,OTH,5,4,ALP>LNP>GRN>ON,4,3,Adriana Buccianti,OTH_CYA,RIGHT,0.30610648639588806,0.2534414050446885,0.2534414050446885,ON,ON,False
SA,179,Adelaide,OTH,5,3,ALP>LNP>GRN>ON,3,2,Steve Marks,OTH_CYA,RIGHT,0.43329658213891953,0.2316842748459446,0.18610582077443283,ON,GRN,True
VIC,197,Aston,OTH,5,5,ALP>LNP>GRN>ON,5,4,Mark Grondman,IND_MINOR,LEFT,0.21905873899766481,0.2158366265493084,0.17255703251302318,GRN,ON,True
NSW,130,Lyne,OTH,6,5,ALP>LNP>GRN>ON>IND,5,4,Keys Manley,OTH_HMP,CENTRE_LEFT,0.4007352941176471,0.19997236707594768,0.13522685754143557,IND,ON,True
NSW,144,Reid,OTH,5,3,ALP>LNP>GRN>ON,3,2,Steven Commerford,IND_MINOR,CENTRE_LEFT,0.524018944519621,0.1974958770890617,0.16084731606656463,GRN,ON,True
VIC,218,Indi,OTH,6,4,ALP>LNP>GRN>ON>IND,4,3,Ben Howman,OTH_HMP,CENTRE_LEFT,0.38159005911448907,0.19433731426472045,0.13172536182915354,IND,ON,True
NSW,145,Richmond,OTH,5,6,ALP>LNP>GRN>ON,6,5,Vivian Mac Mcmahon,OTH_HMP,CENTRE_LEFT,0.2904678872420808,0.19250026581746915,0.15207241415399414,GRN,ON,True
VIC,204,Casey,OTH,6,3,ALP>LNP>GRN>ON>IND,3,2,Phillip Courtis,OTH_CYA,RIGHT,0.4017731646664504,0.18888059406522284,0.18888059406522284,ON,ON,False
QLD,164,Groom,OTH,6,3,ALP>LNP>GRN>ON>IND,3,2,Alexandra Todd,OTH_FFPA,RIGHT,0.37320299022426684,0.1837562493509155,0.18359365486534818,ON,ON,False
SA,187,Makin,OTH,5,4,ALP>LNP>GRN>ON,4,3,Mark Aldridge,OTH_CYA,RIGHT,0.37970962857397345,0.1818781010398257,0.1818781010398257,ON,ON,False
NSW,125,Hume,OTH,5,4,ALP>LNP>GRN>ON,4,3,Peter Mclean,IND_MINOR,CENTRE_LEFT,0.35890588330500933,0.18099970519375674,0.14529190249905044,ALP,ON,True
QLD,177,Ryan,OTH,5,4,ALP>LNP>GRN>ON,4,3,N De Lapp,OTH_GRPF,RIGHT,0.3929154423767548,0.18018225634749224,0.18018225634749224,ON,ON,False
ACT,101,Canberra,OTH,5,2,ALP>LNP>GRN>IND,2,1,Teresa Mctaggart,OTH_AJP,CENTRE_LEFT,0.507258064516129,0.17861119040822154,0.10701184698829574,GRN,IND,True
QLD,252,Dickson,OTH,6,4,ALP>LNP>GRN>ON>IND,4,3,David Zaloudek,OTH_HMP,CENTRE_LEFT,0.36487322201607914,0.1768297426645568,0.13259322510655272,IND,ON,True
NSW,122,Greenway,OTH,5,3,ALP>LNP>GRN>ON,3,2,Robert Stuckey,IND_MINOR,CENTRE,0.3870092790863669,0.17257175853523565,0.15281959977963633,GRN,ON,True
QLD,159,Fadden,OTH,5,5,ALP>LNP>GRN>ON,5,4,John Armfield,OTH_GRPF,RIGHT,0.3088180112570357,0.1703389056362474,0.17033890563624737,ON,ON,False
NSW,135,New England,OTH,5,3,ALP>LNP>GRN>ON,3,2,Natasha Ledger,IND_MINOR,CENTRE,0.38573508005822416,0.1681118124393213,0.1556527384664259,ALP,ON,True
SA,185,Hindmarsh,OTH,5,5,ALP>LNP>GRN>ON,5,4,Andrew Townsend,OTH_CYA,RIGHT,0.4157537819509651,0.16640150442967344,0.1664015044296735,ON,ON,False
NSW,103,Banks,OTH,5,4,ALP>LNP>GRN>ON,4,3,Allan Taruste,OTH_CYA,RIGHT,0.39017176657945624,0.16546671416136094,0.165466714161361,ON,ON,False
WA,248,Tangney,OTH,5,2,ALP>LNP>GRN>ON,2,1,James Rai,OTH_AUC,RIGHT,0.5043009185012393,0.16296912113169837,0.1260707167705071,LNP,LNP,False
NSW,121,Grayndler,OTH,5,2,ALP>LNP>GRN>ON,2,1,David Bradbury,IND_MINOR,CENTRE_LEFT,0.5974388824214203,0.16203163518719654,0.12551915610736017,GRN,ON,True
NSW,151,Warringah,OTH,6,3,ALP>LNP>GRN>ON>IND,3,2,Sean Mcleod,OTH_LTP,RIGHT,0.3675464320625611,0.15068701335040222,0.1506870133504022,ON,ON,False
QLD,166,Hinkler,OTH,5,3,ALP>LNP>GRN>ON,3,2,Robert Blohberger,OTH_CYA,RIGHT,0.3768193588713278,0.14780454214943087,0.14780454214943084,ON,ON,False
NSW,132,Mackellar,OTH,6,4,ALP>LNP>GRN>ON>IND,4,3,Lisa Cotton,IND_MINOR,CENTRE_RIGHT,0.35143818849449204,0.14440555595468813,0.11867437937702119,ON,ON,False
NSW,120,Gilmore,OTH,6,3,ALP>LNP>GRN>ON>IND,3,2,Adrian Richard Carle,OTH_HMP,CENTRE_LEFT,0.4793119479311948,0.14136658431558485,0.11661550917646141,ON,ON,False
WA,329,Bullwinkel,OTH,5,2,ALP>LNP>GRN>ON,2,1,Penelope Rose Young,OTH_HMP,CENTRE_LEFT,0.6155105860334542,0.13986477967735655,0.11544545275345144,GRN,ON,True
QLD,304,Blair,OTH,5,6,ALP>LNP>GRN>ON,6,5,Anthony Hopkins,OTH_HMP,CENTRE_LEFT,0.2834824974845099,0.13908806582968478,0.11630703005302473,ON,ON,False
WA,305,Hasluck,OTH,5,3,ALP>LNP>GRN>ON,3,2,Leo Treasure,OTH_HMP,CENTRE_LEFT,0.5255617062845979,0.13881662676843398,0.1028733184944236,GRN,ON,True
VIC,226,McEwen,OTH,5,5,ALP>LNP>GRN>ON,5,4,Tom Forrest,OTH_HMP,CENTRE_LEFT,0.3112628510050637,0.1387787837601615,0.11728267226294076,GRN,ON,True
VIC,208,Corio,OTH,5,2,ALP>LNP>GRN>ON,2,1,John De Lorenzo,IND_MINOR,CENTRE,0.5504972685250035,0.1367901761121409,0.1367901761121409,ON,GRN,True
NSW,113,Cowper,OTH,5,7,ALP>LNP>ON>IND,6,5,Megan Mathew,OTH_HMP,CENTRE_LEFT,0.4667622289912202,0.13494757143159986,0.12476096014910848,IND,ON,True
WA,240,Fremantle,OTH,6,2,ALP>LNP>GRN>ON>IND,2,1,Joshua Last,OTH_SAL,LEFT,0.5099894847528917,0.13410751351541522,0.13410751351541522,GRN,IND,True
QLD,155,Bowman,OTH,5,3,ALP>LNP>GRN>ON,3,2,Gary Williamson,OTH_CYA,RIGHT,0.3693524096385542,0.13293806590925822,0.11515593944004127,ON,ON,False
QLD,310,Bonner,OTH,5,4,ALP>LNP>GRN>ON,4,3,Ross Dovey,OTH_FFPA,RIGHT,0.3231777420096574,0.1318015825688944,0.07518332947181768,ON,ON,False
NSW,250,Riverina,OTH,5,9,ALP>LNP>ON>IND,8,7,James Gooden,IND_MINOR,CENTRE_RIGHT,0.2357308584686775,0.13130693527239756,0.08966444794176759,IND,ON,True
VIC,323,Monash,IND,3,7,ALP>LNP,2,1,Deb Leonard,IND_PROMINENT,CENTRE_LEFT,0.6265055934808249,0.1307070224046309,0.13070702240463095,ALP,ALP,False
WA,243,O'Connor,OTH,5,3,ALP>LNP>GRN>ON,3,2,Philip Arnatt,OTH_HMP,CENTRE_LEFT,0.5056242969628797,0.13070243346879123,0.12166597367977061,GRN,ON,True
WA,317,Burt,OTH,5,3,ALP>LNP>GRN>ON,3,2,Fiona Caruso,OTH_HMP,CENTRE_LEFT,0.4603629417382999,0.13046847095467146,0.09133422879372288,ALP,ON,True
VIC,233,Wannon,OTH,6,4,ALP>LNP>GRN>ON>IND,4,3,Robbie Swan,OTH_HMP,CENTRE_LEFT,0.3951854261548471,0.13012205972065444,0.09355924319640405,IND,ON,True
NSW,148,Shortland,OTH,5,3,ALP>LNP>GRN>ON,3,2,James Pheils,IND_MINOR,CENTRE_LEFT,0.5065893516078018,0.12853509704247199,0.10636951521448595,ALP,ON,True
VIC,323,Monash,OTH,6,3,ALP>LNP>GRN>ON>IND,3,2,David O'Reilly,OTH_HMP,CENTRE_LEFT,0.44401008827238336,0.1276881021778734,0.0857188669426096,IND,IND,False
QLD,156,Brisbane,OTH,5,4,ALP>LNP>GRN>ON,4,3,Joseph Wheeler,OTH_GRPF,RIGHT,0.41110723017813483,0.1258225087654792,0.12582250876547924,ON,ON,False
QLD,311,Flynn,OTH,4,6,ALP>LNP>ON,5,4,Lance Price,OTH_GRPF,RIGHT,0.3597415449094825,0.12454585056558579,0.12454585056558576,ON,ON,False
QLD,173,Moreton,OTH,5,4,ALP>LNP>GRN>ON,4,3,Natarsha Billing,OTH_GRPF,RIGHT,0.3211626575028637,0.12384821824911905,0.12384821824911907,ON,ON,False
QLD,168,Leichhardt,OTH,5,6,ALP>LNP>GRN>ON,6,5,Daniel Collins,OTH_KAP,CENTRE_RIGHT,0.33499050385431794,0.12377219401506286,0.12102626110749437,ON,ON,False
WA,244,Pearce,OTH,5,2,ALP>LNP>GRN>ON,2,1,Ramon Granados Rangel,OTH_HMP,CENTRE_LEFT,0.6721880579250149,0.12372451159200325,0.09633454565835214,GRN,GRN,False
NSW,109,Calare,OTH,5,5,ALP>LNP>ON>IND,4,3,Sue Raye,OTH_HMP,CENTRE_LEFT,0.42805718399670883,0.12172735159240772,0.07784220795410884,IND,IND,False
WA,247,Swan,OTH,5,2,ALP>LNP>GRN>ON,2,1,Shelley Leech,OTH_HMP,CENTRE_LEFT,0.5390182918805106,0.12161085260722856,0.12161085260722854,GRN,GRN,False
QLD,316,Wright,OTH,5,4,ALP>LNP>GRN>ON,4,3,Justin Mcguiness,OTH_GRPF,RIGHT,0.3439113534837849,0.1198124773892254,0.1198124773892254,ON,ON,False
